,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.75),%<Act (0.75),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.25),%<Act (1.25),Sim Avg (1.50),%<Act (1.50),Sim Avg (1.75),%<Act (1.75),Sim Avg (2.00),%<Act (2.00),Sim Avg (2.25),%<Act (2.25),Sim Avg (2.50),%<Act (2.50),Sim Avg (2.75),%<Act (2.75),Sim Avg (3.00),%<Act (3.00),Sim Avg (3.25),%<Act (3.25),Sim Avg (3.50),%<Act (3.50)
Worst,-0.22987813556427056,-0.35138107044728667,89.7,-0.43016754827850706,99.0,-0.6112615783806671,99.9,-0.8286555059645672,100.0,-1.0455900523578496,100.0,-1.2936120544758583,100.0,-1.5374239625952313,100.0,-1.7796326425771245,100.0,-2.03473327890803,100.0,-2.2618125623512233,100.0,-2.518508441893735,100.0,-2.7571931844140978,100.0,-2.984864822197932,100.0,-3.2773243146853375,100.0,-3.5140362415930175,100.0
2nd,-0.2225646388617061,-0.2755639176021308,73.7,-0.33751302749764445,95.5,-0.47597864962322445,99.9,-0.6409058209481538,100.0,-0.82917302398466,100.0,-1.0152381615242116,100.0,-1.2094726766727493,100.0,-1.3877634439321036,100.0,-1.6012115375670724,100.0,-1.7776314790860377,100.0,-1.9737465012833022,100.0,-2.1694730358619023,100.0,-2.3429824429481205,100.0,-2.5416813851143143,100.0,-2.7251943554655242,100.0
3rd,-0.21904751103073533,-0.24008196063126688,60.199999999999996,-0.2951784190917951,88.8,-0.41688188413885346,99.8,-0.5604571665907946,100.0,-0.7209296128796345,100.0,-0.8794756163658207,100.0,-1.0492428819089177,100.0,-1.2132741382250538,100.0,-1.3808282482107734,100.0,-1.5407647059311154,100.0,-1.7260045900318233,100.0,-1.8925652455056028,100.0,-2.038028942705049,100.0,-2.2114870965334323,100.0,-2.370978076254393,100.0
4th,-0.19065930543168025,-0.2172925403225938,67.0,-0.2666878073807641,92.2,-0.3759671831286162,99.9,-0.5084977230193453,100.0,-0.6505463792953663,100.0,-0.7953146640056677,100.0,-0.9457365874960262,100.0,-1.095263229928768,100.0,-1.2450131795525177,100.0,-1.3880245874380246,100.0,-1.5547646002641746,100.0,-1.711392264743921,100.0,-1.8454794352176027,100.0,-1.9932392034016093,100.0,-2.1432070109083856,100.0
5th,-0.18863364535603286,-0.20003364234719867,57.099999999999994,-0.24566742281749565,86.1,-0.3454825559262048,99.7,-0.46893384943260275,100.0,-0.5982247042496608,100.0,-0.7318790885955591,100.0,-0.8724248667839729,100.0,-1.0104549197928212,100.0,-1.1421207646978997,100.0,-1.277223031630474,100.0,-1.4299993623590812,100.0,-1.5706317119989404,100.0,-1.6967887816521607,100.0,-1.8322435369098564,100.0,-1.9735053620083882,100.0
10%,-0.1383375440894079,-0.12788378701848743,36.1,-0.1566237265628217,67.5,-0.22072027529171231,98.0,-0.29907562264346155,99.9,-0.38278332332178344,100.0,-0.4661646448687058,100.0,-0.5510562952361966,100.0,-0.639239475390649,100.0,-0.7226450359944342,100.0,-0.8126114009294926,100.0,-0.9055958989033029,100.0,-0.9879683454447433,100.0,-1.0758351772301709,100.0,-1.1717249571587038,100.0,-1.2604619752061685,100.0
20%,-0.08929050423317064,-0.08004610186954253,36.7,-0.09712261272162379,58.3,-0.13750905705520883,92.10000000000001,-0.18520377856875658,98.6,-0.23741601227319864,100.0,-0.29033687493301225,100.0,-0.341327358192308,100.0,-0.393405321223776,100.0,-0.44652049413843947,100.0,-0.5047538276084177,100.0,-0.5628436892102887,100.0,-0.6140389649016852,100.0,-0.6725921784826225,100.0,-0.7271719265685537,100.0,-0.782205889440577,100.0
30%,-0.05869970973995109,-0.04937557755352237,36.9,-0.059278897927365175,48.9,-0.08409736864512647,78.3,-0.11223275957036254,92.60000000000001,-0.14372224475387135,98.0,-0.17515970926878624,99.8,-0.20725847786115828,99.9,-0.23796822000922865,99.9,-0.2712408833482676,100.0,-0.3051355521216674,99.9,-0.3463574806973627,99.9,-0.37322762859502767,100.0,-0.40595298800747937,100.0,-0.44202361703571535,100.0,-0.4734397617155371,100.0
40%,-0.02848628787183452,-0.02424985470706064,43.8,-0.029067445993329465,49.3,-0.04047610426764739,65.60000000000001,-0.054506430670611124,77.9,-0.06875507574972024,84.6,-0.08570151738172577,89.9,-0.10006413005342676,92.30000000000001,-0.11318103757096863,93.0,-0.12994364093560962,94.5,-0.14525370936881857,95.0,-0.16819169543776089,96.5,-0.1787312590298577,96.7,-0.19660433898168048,96.7,-0.2126769625917236,97.0,-0.2239491770524531,97.1
50%,0.008052510791035805,-0.0017169643856133673,63.5,-0.0020863899041635536,63.7,-0.0016319605618201295,61.7,-0.002100103627762934,61.7,-0.001661977063219097,59.9,-0.002110221387908273,58.599999999999994,-0.001754859371742603,55.300000000000004,-0.00016913846220793454,55.800000000000004,-0.0019890186692002087,55.300000000000004,0.002300210974824746,53.2,-0.004314762134887833,54.400000000000006,-0.004073119892255945,54.300000000000004,-0.0036700776192717965,55.1,-0.00241068860278705,54.400000000000006,0.0032820083368333562,52.5
60%,0.042439763281113846,0.02052438723705705,79.3,0.025409106678580682,73.4,0.03719958382745779,57.49999999999999,0.05054230156086804,40.2,0.06467211728767279,28.499999999999996,0.08121514040898226,18.6,0.09624477263105963,14.899999999999999,0.11327919000908983,11.0,0.12607691799487714,9.3,0.14681365054922182,6.4,0.1544484741900933,6.7,0.17145289940324254,5.800000000000001,0.18845164413444057,4.6,0.20272509478189465,5.1,0.22421023049704109,3.5999999999999996
70%,0.0932216773708332,0.04519817840092111,94.3,0.05587269465662578,88.7,0.0801822954079551,66.2,0.10969454743368633,30.8,0.13823975183034903,14.099999999999998,0.17230428472729967,5.2,0.20378161362130107,2.6,0.2375952579161036,0.5,0.26770703407701674,0.6,0.30338017505267456,0.4,0.3344654423627796,0.0,0.3648566663637182,0.0,0.4001100742068316,0.1,0.42954443449573154,0.0,0.47178967906639274,0.0
80%,0.14029147917753798,0.07579866290564748,97.3,0.09422787806062063,92.10000000000001,0.1335039440717428,57.9,0.18260544486957325,14.399999999999999,0.23094005740923795,2.8000000000000003,0.286299926909257,0.2,0.3406460696141813,0.0,0.3920358834903034,0.0,0.4445247739593519,0.0,0.4999618677055267,0.0,0.5540711357582995,0.0,0.6071407490944624,0.0,0.6609323750632886,0.0,0.7155394044018369,0.0,0.7803950684791549,0.0
90%,0.20520000447256054,0.12391110635494869,97.39999999999999,0.15257837733911855,91.5,0.21667305771337794,38.9,0.29296103504353677,4.7,0.3740508559753084,0.0,0.4629119643628986,0.0,0.5506168687535263,0.0,0.6335270196331355,0.0,0.7213173801555763,0.0,0.8075424896685448,0.0,0.893525679635609,0.0,0.9867414604317885,0.0,1.0724858840060958,0.0,1.166079445843563,0.0,1.260000809693111,0.0
5th,0.2960943029370821,0.1944162347356023,96.5,0.24060942590210385,84.6,0.33889419141776445,26.5,0.4634052887992167,1.2,0.591478853786117,0.0,0.7264907364479384,0.0,0.8703325889885287,0.0,0.9972813746194056,0.0,1.1373334863689777,0.0,1.2717164897876079,0.0,1.4155944162740293,0.0,1.5540856225315258,0.0,1.6998443048242615,0.0,1.8401301502884948,0.0,1.97973712967148,0.0
4th,0.3218225849498906,0.21153505537861134,96.5,0.26149709985975583,84.1,0.36981686467788505,27.800000000000004,0.5033653507494209,1.0,0.6446830510792588,0.0,0.7889312075221572,0.0,0.9429998177034663,0.0,1.0858996921286617,0.0,1.2396517315264,0.0,1.382581026543381,0.0,1.5406935028582873,0.0,1.6876523728593003,0.0,1.8465854999860352,0.0,1.9982191794870845,0.0,2.151265545620373,0.0
3rd,0.3925572698246145,0.2339226978138704,99.1,0.28984246406412634,91.7,0.4089352804032789,44.1,0.5576214340624134,4.3,0.7146757370204043,0.0,0.8758196995551171,0.0,1.0478569380640352,0.0,1.212527095300008,0.0,1.3689721068001472,0.0,1.5405816329700581,0.0,1.7095998318662602,0.0,1.8710078221508224,0.0,2.0472730661466976,0.0,2.217477875460276,0.0,2.390137369636478,0.0
2nd,0.4237483525140041,0.26797747928653726,97.39999999999999,0.33390060858544846,87.0,0.47049227345575684,35.8,0.6382683330705216,3.0,0.8155583026869603,0.0,1.0039262692134145,0.0,1.2046029290328528,0.0,1.3955810592984161,0.0,1.5681163055001253,0.0,1.7791601648606348,0.0,1.9535112277405915,0.0,2.161512724621061,0.0,2.3557344513461085,0.0,2.5557298204699577,0.0,2.756387545937055,0.0
Best,0.42759136419066157,0.3431758006321481,81.89999999999999,0.4255447551509837,57.9,0.6036336525915874,12.4,0.8168827887410768,1.0,1.0325471998668643,0.0,1.2866051431451992,0.0,1.5337582669141698,0.0,1.782875345835644,0.0,1.976746545700525,0.0,2.2621273353788443,0.0,2.465076320510519,0.0,2.7235178440884757,0.0,2.9581008065578005,0.0,3.2466233002739573,0.0,3.524190180976109,0.0
