,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (DCEMX),-0.30530479286160495,-0.39016408810295194,67.9,-0.30530479286160495,-0.4088307046752958,74.1,-0.30530479286160495,-0.45607161177102007,83.6,-0.30530479286160495,-0.5242560966993655,92.30000000000001,-0.30530479286160495,-0.6056970406800595,97.89999999999999,-0.30530479286160495,-0.6965446858665811,99.7,-0.30530479286160495,-0.7932419363143598,100.0,-0.30530479286160495,-0.8937673360287715,100.0,-0.30530479286160495,-0.9971075372429061,100.0,-0.30530479286160495,-1.10272532458104,100.0,-0.30530479286160495,-1.2097329550273626,100.0,-0.30530479286160495,-1.317865881004873,100.0,-0.30530479286160495,-1.4269304392025122,100.0,-0.30530479286160495,-1.536469065499057,100.0,-0.30530479286160495,-1.6464009583068233,100.0,-0.30530479286160495,-1.7567001680904473,100.0
2nd Worst (VCGEX),-0.30417551017184913,-0.29970989510758705,43.3,-0.30417551017184913,-0.31485836879381907,47.9,-0.30417551017184913,-0.35087269568381885,61.7,-0.30417551017184913,-0.4017601701503414,79.4,-0.30417551017184913,-0.4634572605395036,91.9,-0.30417551017184913,-0.5313726614242565,98.5,-0.30417551017184913,-0.6046425124771851,99.5,-0.30417551017184913,-0.6819640436228902,100.0,-0.30417551017184913,-0.7615907266023533,100.0,-0.30417551017184913,-0.8426527266562139,100.0,-0.30417551017184913,-0.9242935629696165,100.0,-0.30417551017184913,-1.0065619466057925,100.0,-0.30417551017184913,-1.089440927678291,100.0,-0.30417551017184913,-1.1728810018277664,100.0,-0.30417551017184913,-1.2569115614082458,100.0,-0.30417551017184913,-1.3414295851217495,100.0
3rd Worst (ICARX),-0.286604893104016,-0.26206252761206633,35.3,-0.286604893104016,-0.2751522730595058,40.5,-0.286604893104016,-0.3064855871343082,53.300000000000004,-0.286604893104016,-0.3510991047214653,73.4,-0.286604893104016,-0.4048837282344049,88.3,-0.286604893104016,-0.4655019888857241,97.6,-0.286604893104016,-0.5300392809414967,99.3,-0.286604893104016,-0.5966515634500642,100.0,-0.286604893104016,-0.664451990891535,100.0,-0.286604893104016,-0.7332452700452465,100.0,-0.286604893104016,-0.8034976746197574,100.0,-0.286604893104016,-0.875120376772017,100.0,-0.286604893104016,-0.9477638410008042,100.0,-0.286604893104016,-1.021177326438737,100.0,-0.286604893104016,-1.0949218117151713,100.0,-0.286604893104016,-1.1689556782246378,100.0
4th Worst (DAEMX),-0.2734179369753874,-0.24047442306061845,30.7,-0.2734179369753874,-0.2512227467775889,35.8,-0.2734179369753874,-0.2786236844522799,46.400000000000006,-0.2734179369753874,-0.3187517811721789,67.10000000000001,-0.2734179369753874,-0.3673646722347604,86.1,-0.2734179369753874,-0.4215174393617333,95.89999999999999,-0.2734179369753874,-0.47903376011890275,99.0,-0.2734179369753874,-0.5386593842720931,100.0,-0.2734179369753874,-0.6008105232047494,100.0,-0.2734179369753874,-0.6645916939238959,100.0,-0.2734179369753874,-0.7293348074584938,100.0,-0.2734179369753874,-0.7946878055762434,100.0,-0.2734179369753874,-0.860363018029714,100.0,-0.2734179369753874,-0.9262080296904202,100.0,-0.2734179369753874,-0.9923019427212714,100.0,-0.2734179369753874,-1.05851674846865,100.0
5th Worst (EEMCX),-0.26031904837227837,-0.22643382081274513,30.0,-0.26031904837227837,-0.23323425156918126,32.800000000000004,-0.26031904837227837,-0.25740304663599456,42.8,-0.26031904837227837,-0.29432573232076376,62.9,-0.26031904837227837,-0.3395048655094921,82.5,-0.26031904837227837,-0.38903126861325954,94.8,-0.26031904837227837,-0.4422160338432043,98.5,-0.26031904837227837,-0.4984297296383876,99.9,-0.26031904837227837,-0.5566436843926709,100.0,-0.26031904837227837,-0.615898237008651,100.0,-0.26031904837227837,-0.6760043102731343,100.0,-0.26031904837227837,-0.7368007248434904,100.0,-0.26031904837227837,-0.797717067551368,100.0,-0.26031904837227837,-0.8588531425682756,100.0,-0.26031904837227837,-0.920519075776477,100.0,-0.26031904837227837,-0.9827874945711264,100.0
10%,-0.18244691980592062,-0.11584106752079501,14.399999999999999,-0.18244691980592062,-0.12163783363489236,16.2,-0.18244691980592062,-0.13610535552471698,20.8,-0.18244691980592062,-0.15746370681785007,31.900000000000002,-0.18244691980592062,-0.18288211716387093,48.3,-0.18244691980592062,-0.21097159932924045,66.7,-0.18244691980592062,-0.24109962955388556,83.3,-0.18244691980592062,-0.27232653126664685,92.30000000000001,-0.18244691980592062,-0.30405495250387055,97.0,-0.18244691980592062,-0.33665464916763055,99.3,-0.18244691980592062,-0.3696560999121378,99.8,-0.18244691980592062,-0.40287295945735413,99.9,-0.18244691980592062,-0.43644553954508675,100.0,-0.18244691980592062,-0.47009671823271515,100.0,-0.18244691980592062,-0.5042279467690306,100.0,-0.18244691980592062,-0.5384005612207784,100.0
20%,-0.1168969622337988,-0.07147978346530784,20.599999999999998,-0.1168969622337988,-0.07472355144633486,21.7,-0.1168969622337988,-0.08411444681862684,25.900000000000002,-0.1168969622337988,-0.09773830670896731,34.5,-0.1168969622337988,-0.11396921948481478,46.9,-0.1168969622337988,-0.1318172997929505,60.0,-0.1168969622337988,-0.1509178997433721,72.3,-0.1168969622337988,-0.17116462876126406,82.0,-0.1168969622337988,-0.19168192524475022,88.9,-0.1168969622337988,-0.21240276734649652,94.0,-0.1168969622337988,-0.233270123697853,97.3,-0.1168969622337988,-0.2542421317536214,98.7,-0.1168969622337988,-0.27550660677061656,99.3,-0.1168969622337988,-0.29691934131032055,99.7,-0.1168969622337988,-0.3185016273689038,99.9,-0.1168969622337988,-0.3399877368101535,100.0
30%,-0.0750173537940384,-0.04347634326119649,27.1,-0.0750173537940384,-0.04528619239925729,28.000000000000004,-0.0750173537940384,-0.050891512644164166,30.8,-0.0750173537940384,-0.05924281180266634,37.1,-0.0750173537940384,-0.0694037387341326,45.2,-0.0750173537940384,-0.0803561548850574,53.300000000000004,-0.0750173537940384,-0.09201182239568192,61.6,-0.0750173537940384,-0.10410929018843797,71.2,-0.0750173537940384,-0.11669889313521607,77.3,-0.0750173537940384,-0.12949519291629555,82.89999999999999,-0.0750173537940384,-0.14259482726417283,87.2,-0.0750173537940384,-0.15573208802928437,89.9,-0.0750173537940384,-0.16884592655878453,92.60000000000001,-0.0750173537940384,-0.18234930990761464,95.6,-0.0750173537940384,-0.19567201016901206,96.3,-0.0750173537940384,-0.20901637978590087,97.8
40%,-0.04555134569131175,-0.020603078193468207,31.2,-0.04555134569131175,-0.021491137055997644,31.2,-0.04555134569131175,-0.02415721722628597,33.0,-0.04555134569131175,-0.02812044856561659,36.1,-0.04555134569131175,-0.03291603027499817,38.9,-0.04555134569131175,-0.03823812191214128,42.199999999999996,-0.04555134569131175,-0.043723809058073285,47.599999999999994,-0.04555134569131175,-0.049460513175143404,51.800000000000004,-0.04555134569131175,-0.05562127114728346,57.3,-0.04555134569131175,-0.06183256329618507,61.4,-0.04555134569131175,-0.06772908546454863,64.9,-0.04555134569131175,-0.07384892309440085,68.8,-0.04555134569131175,-0.0800720601487888,72.7,-0.04555134569131175,-0.08632827120447402,76.3,-0.04555134569131175,-0.09278787322133189,77.60000000000001,-0.04555134569131175,-0.0992723623856403,79.5
50%,-0.02116840850632029,2.3130489117522912e-05,34.1,-0.02116840850632029,9.399144817705297e-05,33.300000000000004,-0.02116840850632029,0.00022702211840192833,33.5,-0.02116840850632029,0.00021491323674444673,33.5,-0.02116840850632029,0.0003794010516504398,33.0,-0.02116840850632029,0.0005523353605505133,32.7,-0.02116840850632029,0.00010680281846987372,33.7,-0.02116840850632029,3.950537637463891e-05,33.5,-0.02116840850632029,-0.0001685079737526345,34.4,-0.02116840850632029,-0.00030123842981140045,35.099999999999994,-0.02116840850632029,-0.0002431109379630505,35.099999999999994,-0.02116840850632029,-0.00031964227242582666,35.5,-0.02116840850632029,-0.0002784631389876362,35.4,-0.02116840850632029,-0.0003679089354285527,35.9,-0.02116840850632029,-0.0003130687198856406,36.199999999999996,-0.02116840850632029,-0.000371085780147371,36.8
