,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (NOEMX),-6.1454052278553934,-3.407499360457654,1.3,-6.1454052278553934,-3.635842441965912,2.4,-6.1454052278553934,-4.154938967033874,4.9,-6.1454052278553934,-4.851583086410741,12.5,-6.1454052278553934,-5.6760144198965365,31.0,-6.1454052278553934,-6.5743407373677565,59.3,-6.1454052278553934,-7.523932804454383,82.0,-6.1454052278553934,-8.505515291782944,92.7,-6.1454052278553934,-9.511487233972653,98.5,-6.1454052278553934,-10.535158192369632,99.9,-6.1454052278553934,-11.571621714441575,100.0,-6.1454052278553934,-12.618118189438869,100.0,-6.1454052278553934,-13.672270182717217,100.0,-6.1454052278553934,-14.733409220827832,100.0,-6.1454052278553934,-15.800202517546357,100.0,-6.1454052278553934,-16.870824043494583,100.0
2nd Worst (PWECX),-5.619017659834691,-3.0141922244244825,1.4000000000000001,-5.619017659834691,-3.1711607415638428,1.0999999999999999,-5.619017659834691,-3.579201921543059,2.9000000000000004,-5.619017659834691,-4.1708493827494015,7.8,-5.619017659834691,-4.860952214158095,21.9,-5.619017659834691,-5.630222732571087,49.6,-5.619017659834691,-6.442963403845429,75.1,-5.619017659834691,-7.296576711893776,90.0,-5.619017659834691,-8.171843065815322,97.7,-5.619017659834691,-9.061627023388452,99.8,-5.619017659834691,-9.963169146986722,99.9,-5.619017659834691,-10.871354343083953,100.0,-5.619017659834691,-11.786010941275919,100.0,-5.619017659834691,-12.705793630005534,100.0,-5.619017659834691,-13.629111480960146,100.0,-5.619017659834691,-14.554238929019983,100.0
3rd Worst (PMKCX),-5.218571999189716,-2.793096866351176,1.0,-5.218571999189716,-2.9250363633804835,1.5,-5.218571999189716,-3.300025326045427,2.6,-5.218571999189716,-3.823384660425548,7.3,-5.218571999189716,-4.454668346344132,21.099999999999998,-5.218571999189716,-5.157102601573105,47.3,-5.218571999189716,-5.909746082455718,72.3,-5.218571999189716,-6.686698017957635,89.7,-5.218571999189716,-7.480615704887735,98.0,-5.218571999189716,-8.290465837179957,99.5,-5.218571999189716,-9.110642810046949,99.9,-5.218571999189716,-9.938142609611853,100.0,-5.218571999189716,-10.772659104118608,100.0,-5.218571999189716,-11.609233341494335,100.0,-5.218571999189716,-12.447476698362037,100.0,-5.218571999189716,-13.288276394715183,100.0
4th Worst (PWEAX),-4.622619870503781,-2.6332539053394344,2.7,-4.622619870503781,-2.750563002825151,3.1,-4.622619870503781,-3.0901302201339895,5.3,-4.622619870503781,-3.583525869044499,11.4,-4.622619870503781,-4.182355414954493,31.0,-4.622619870503781,-4.8381050580212905,56.8,-4.622619870503781,-5.5419169806734265,81.10000000000001,-4.622619870503781,-6.269932450152335,94.5,-4.622619870503781,-7.013813624185019,98.8,-4.622619870503781,-7.7702412766673294,99.8,-4.622619870503781,-8.535410681241034,99.9,-4.622619870503781,-9.305708510365816,100.0,-4.622619870503781,-10.079024481763597,100.0,-4.622619870503781,-10.860381535067743,100.0,-4.622619870503781,-11.64671519580005,100.0,-4.622619870503781,-12.438295733592058,100.0
5th Worst (SIEMX),-4.470173003867454,-2.496556648152762,2.7,-4.470173003867454,-2.6149313699285175,2.7,-4.470173003867454,-2.936666322502051,5.2,-4.470173003867454,-3.4042406640792735,11.1,-4.470173003867454,-3.973274529440205,28.000000000000004,-4.470173003867454,-4.60311517164674,54.300000000000004,-4.470173003867454,-5.256512828678203,78.2,-4.470173003867454,-5.941872259335393,92.80000000000001,-4.470173003867454,-6.649164541183236,98.3,-4.470173003867454,-7.365928850913279,99.6,-4.470173003867454,-8.091958511381343,100.0,-4.470173003867454,-8.829200858977046,100.0,-4.470173003867454,-9.571916526526406,100.0,-4.470173003867454,-10.318574485254649,100.0,-4.470173003867454,-11.066640997027882,100.0,-4.470173003867454,-11.817366962576164,100.0
10%,-2.5105286279197596,-1.5501633655158833,11.899999999999999,-2.5105286279197596,-1.6261413988635596,13.200000000000001,-2.5105286279197596,-1.821443638081333,18.0,-2.5105286279197596,-2.1159989856318173,29.2,-2.5105286279197596,-2.4648305861529716,47.5,-2.5105286279197596,-2.8463951932803324,64.7,-2.5105286279197596,-3.259397830529223,80.5,-2.5105286279197596,-3.682075847580978,90.3,-2.5105286279197596,-4.114381109844758,96.3,-2.5105286279197596,-4.557945478687177,98.7,-2.5105286279197596,-5.005264947414249,99.7,-2.5105286279197596,-5.458865004697324,99.9,-2.5105286279197596,-5.914809018050415,100.0,-2.5105286279197596,-6.372638984186385,100.0,-2.5105286279197596,-6.834643911244146,100.0,-2.5105286279197596,-7.297219142995795,100.0
20%,-1.72459191697516,-1.020490161755195,18.4,-1.72459191697516,-1.06568553120679,19.6,-1.72459191697516,-1.1960190657324556,24.8,-1.72459191697516,-1.386336384973284,32.0,-1.72459191697516,-1.6132750183883922,43.5,-1.72459191697516,-1.8682530385326785,56.49999999999999,-1.72459191697516,-2.1396940341543886,68.4,-1.72459191697516,-2.4218781077746625,80.0,-1.72459191697516,-2.70710316953867,86.6,-1.72459191697516,-2.997940254301226,91.7,-1.72459191697516,-3.293083447704337,96.0,-1.72459191697516,-3.590590500917314,97.8,-1.72459191697516,-3.885750183190411,99.1,-1.72459191697516,-4.187934662594284,99.6,-1.72459191697516,-4.492673718719582,99.7,-1.72459191697516,-4.798037374572598,100.0
30%,-1.2838304609299693,-0.6376288740520522,20.3,-1.2838304609299693,-0.6650084390173194,21.5,-1.2838304609299693,-0.7444320825573586,24.2,-1.2838304609299693,-0.859931717736434,28.799999999999997,-1.2838304609299693,-1.0037511006602657,34.4,-1.2838304609299693,-1.1623598430468114,41.9,-1.2838304609299693,-1.3294308307889044,51.6,-1.2838304609299693,-1.5031028810168467,60.199999999999996,-1.2838304609299693,-1.6829063761758334,68.30000000000001,-1.2838304609299693,-1.8652112985044795,76.0,-1.2838304609299693,-2.0487511221762094,81.8,-1.2838304609299693,-2.2365302877916853,86.0,-1.2838304609299693,-2.426051235280286,89.5,-1.2838304609299693,-2.615691744747983,91.9,-1.2838304609299693,-2.806526143160706,94.3,-1.2838304609299693,-2.99747637692065,96.2
40%,-0.8226166942203457,-0.3087550299916652,24.9,-0.8226166942203457,-0.32041349548546727,25.6,-0.8226166942203457,-0.35978231080877665,27.0,-0.8226166942203457,-0.41392646803967614,28.4,-0.8226166942203457,-0.48488684566665624,32.4,-0.8226166942203457,-0.5585827451888544,35.6,-0.8226166942203457,-0.6371168434233028,40.1,-0.8226166942203457,-0.7199906252651713,44.6,-0.8226166942203457,-0.8092013767121158,48.6,-0.8226166942203457,-0.8982761421728537,53.1,-0.8226166942203457,-0.9872824665903711,57.3,-0.8226166942203457,-1.07613471956022,61.3,-0.8226166942203457,-1.1678047100891626,65.0,-0.8226166942203457,-1.2588940362516445,68.5,-0.8226166942203457,-1.349773522712353,72.3,-0.8226166942203457,-1.4435018227225942,75.1
50%,-0.41107735001208645,-0.00014172124998318658,30.4,-0.41107735001208645,-0.00018292810754918243,30.0,-0.41107735001208645,0.0011690883018569665,29.099999999999998,-0.41107735001208645,0.0037686276040824777,29.299999999999997,-0.41107735001208645,0.004664680122515618,28.499999999999996,-0.41107735001208645,0.003266075655020698,28.9,-0.41107735001208645,-0.0037201181077507676,29.799999999999997,-0.41107735001208645,-0.003726903253694616,29.2,-0.41107735001208645,-0.005518590208599276,29.9,-0.41107735001208645,-0.007019907071362578,30.3,-0.41107735001208645,-0.005601393801601468,30.5,-0.41107735001208645,-0.004763594340834086,31.7,-0.41107735001208645,-0.004808570632444997,31.1,-0.41107735001208645,-0.005800541785526038,31.5,-0.41107735001208645,-0.007272356010015467,32.0,-0.41107735001208645,-0.007793402258797082,32.5
