,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
Worst,-0.22987813556427086,-0.3379664896697377,87.9,-0.3421205338215285,88.6,-0.35383797794247324,90.8,-0.37194951169477064,94.5,-0.39535317115658364,96.89999999999999,-0.4231770457535426,98.9,-0.4547438924478971,99.7,-0.48940661020790616,99.7,-0.5263500514819156,99.9,-0.565081638327866,100.0,-0.6056638019720604,100.0,-0.6474276318406234,100.0,-0.6903347956961671,100.0,-0.7340614884223026,100.0,-0.778392539083879,100.0,-0.8233712394695188,100.0,-0.8689334551452506,100.0,-0.9149722134859812,100.0,-0.9613316718272301,100.0,-1.0081364357179425,100.0,-1.0553591063374899,100.0
2nd Worst,-0.22256463886170574,-0.26894226778155483,72.8,-0.27149278810798433,75.0,-0.27977001411915947,79.0,-0.29289970536282506,84.39999999999999,-0.3102957786961247,91.10000000000001,-0.33200779057713675,95.5,-0.35724990137340645,98.0,-0.38427293375574734,99.4,-0.41322141964475473,99.7,-0.4439346530976868,99.8,-0.4754275812544198,99.9,-0.5081692303709477,100.0,-0.5418349487612043,100.0,-0.5766656398924165,100.0,-0.6121667890962849,100.0,-0.6480792946006347,100.0,-0.684201404410127,100.0,-0.7205274450725233,100.0,-0.7571629192524464,100.0,-0.7937094278586188,100.0,-0.8302893669206893,100.0
3rd Worst,-0.21904751103073514,-0.23703043356942435,58.5,-0.23943473575637966,61.1,-0.246863219710725,65.7,-0.25759782561547556,72.7,-0.27272202877196583,81.3,-0.2915901514745018,89.1,-0.3119735705505895,93.8,-0.33465749987953547,97.2,-0.35903209473410097,98.9,-0.38544415859421555,99.6,-0.4134590439249829,99.7,-0.4421528880485767,100.0,-0.4713505493647983,100.0,-0.5003303368124424,100.0,-0.5296904792311118,100.0,-0.5597076994633358,100.0,-0.5904091317032522,100.0,-0.6213523081110153,100.0,-0.6525427179173527,100.0,-0.6841218491225511,100.0,-0.7159182742573873,100.0
4th Worst,-0.19065930543168078,-0.21516882439417634,65.8,-0.2175008270204704,68.8,-0.22353515003394198,73.6,-0.23395824938917625,80.0,-0.24756019388469247,86.7,-0.26337720400494224,91.60000000000001,-0.2820984518097726,95.6,-0.3027005402871271,98.4,-0.3251847882661601,99.1,-0.3485865632529828,99.8,-0.3730990179358138,100.0,-0.3982602841320928,100.0,-0.42400634306414253,100.0,-0.45054420403017453,100.0,-0.4777723767047919,100.0,-0.5050938304617221,100.0,-0.5326375206426234,100.0,-0.5605346220975903,100.0,-0.5885278841669025,100.0,-0.6167711228360606,100.0,-0.6451356323999414,100.0
5th Worst,-0.18863364535603241,-0.19947439710298312,56.599999999999994,-0.20142204352038942,57.99999999999999,-0.20678737274940465,64.0,-0.21584700408806726,71.0,-0.22835132643095793,79.60000000000001,-0.24316497370787665,86.2,-0.2605472822645986,92.30000000000001,-0.2796375979639007,96.1,-0.2999698646947494,98.5,-0.3213655743570545,99.2,-0.34364823733881567,99.7,-0.3670009278449515,100.0,-0.3911540336075648,100.0,-0.41585701436337114,100.0,-0.44025170436819805,100.0,-0.4649832397790078,100.0,-0.48993376695427854,100.0,-0.5150558841365946,100.0,-0.5407070252863564,100.0,-0.5666275979094906,100.0,-0.5927944018280723,100.0
6th Worst,-0.18711749583114787,-0.18618979517875414,47.9,-0.18815444473753773,50.0,-0.19281369961266717,52.900000000000006,-0.20114273683861916,59.8,-0.2132690993371004,71.39999999999999,-0.22678264761134906,80.10000000000001,-0.24176810712046598,86.9,-0.2589374823381608,92.80000000000001,-0.2778636152019049,96.39999999999999,-0.2981451299152603,98.5,-0.31877899583697866,99.4,-0.33987602786615345,99.7,-0.3619027680622628,100.0,-0.384282926079526,100.0,-0.4072358896870878,100.0,-0.4303907098718222,100.0,-0.4538687972466616,100.0,-0.477723405176312,100.0,-0.5015298424104259,100.0,-0.5254177011349807,100.0,-0.5494697621121265,100.0
7th Worst,-0.17474409379506745,-0.17519616493341403,48.5,-0.17651402482640904,50.5,-0.1814324240691619,54.50000000000001,-0.18944512137582148,62.8,-0.1999969149629644,70.89999999999999,-0.21246934360337075,78.5,-0.2267974313421757,87.4,-0.2429640578133746,94.1,-0.2605531450076201,97.0,-0.2794015916394304,98.3,-0.29894841547670375,99.2,-0.3189353527092876,99.8,-0.33901670908661813,100.0,-0.3596600909954834,100.0,-0.3813521906573766,100.0,-0.40346927600995314,100.0,-0.42543251351811057,100.0,-0.44736029455965254,100.0,-0.46977798812458754,100.0,-0.49254131711763044,100.0,-0.5154144065335211,100.0
8th Worst,-0.17015525396941206,-0.16546860828542523,43.9,-0.16729086313322608,45.5,-0.17160166767780294,49.2,-0.17913575768616655,58.5,-0.18864294054378372,66.2,-0.20090184422254131,74.3,-0.21481257159974798,85.3,-0.23023582037292248,91.2,-0.2472366437594452,95.89999999999999,-0.26462284352356313,97.89999999999999,-0.2828021629017885,99.0,-0.3012452025300082,99.8,-0.32031758523137127,100.0,-0.3400162689078759,100.0,-0.36012112027148907,100.0,-0.38059479480322556,100.0,-0.4014248326509543,100.0,-0.4227288321260265,100.0,-0.4439520322856091,100.0,-0.4651003787407125,100.0,-0.48640305297202835,100.0
9th Worst,-0.16794658174933894,-0.15719639437069588,39.300000000000004,-0.15844040818530178,39.800000000000004,-0.16264026513714844,43.7,-0.1700493355613574,52.400000000000006,-0.17922250072550355,60.9,-0.19078069740648948,70.1,-0.20364306873400953,78.8,-0.2184344099428611,86.9,-0.23432209254417188,93.30000000000001,-0.25093400929088305,96.5,-0.26837103132453516,98.3,-0.28620774465143095,99.6,-0.3043714012402629,99.9,-0.32342307363054107,100.0,-0.34253348309275394,100.0,-0.36169584376970804,100.0,-0.3812611577954571,100.0,-0.4010807669836683,100.0,-0.42094088569937366,100.0,-0.44091580641674766,100.0,-0.4610874607279449,100.0
10th Worst,-0.16131388035914712,-0.14924334796427344,37.8,-0.15041205519169987,38.0,-0.15464855847305015,41.699999999999996,-0.1615618944639943,48.9,-0.1705169331746851,59.199999999999996,-0.1814452488930279,67.30000000000001,-0.1942486079608656,77.5,-0.20823893886579878,85.7,-0.2230087703391245,92.10000000000001,-0.23913884655702702,96.39999999999999,-0.255539127696781,98.3,-0.27271579936096096,99.3,-0.2906289654686532,99.7,-0.3084836144265587,100.0,-0.32632925005105,100.0,-0.34456564441729565,100.0,-0.3631878388930721,100.0,-0.38185517780234307,100.0,-0.4010464406759752,100.0,-0.42040544150525233,100.0,-0.4399372264635892,100.0
