,Actual,Sim Avg (0.00),%<Act (0.00),Sim Avg (0.05),%<Act (0.05),Sim Avg (0.10),%<Act (0.10),Sim Avg (0.15),%<Act (0.15),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.25),%<Act (0.25),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.35),%<Act (0.35),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.45),%<Act (0.45),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.55),%<Act (0.55),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.65),%<Act (0.65),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.75),%<Act (0.75),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.85),%<Act (0.85),Sim Avg (0.90),%<Act (0.90),Sim Avg (0.95),%<Act (0.95),Sim Avg (1.00),%<Act (1.00)
Worst,-5.763010258161012,-3.706247985974748,2.3,-3.7471164582056935,2.3,-3.863506466356708,3.1,-4.045933770437166,4.1000000000000005,-4.298087765753164,7.3999999999999995,-4.603432414650077,11.5,-4.944561553436973,20.0,-5.321846122843687,31.1,-5.727307250576894,43.3,-6.152177828411601,57.199999999999996,-6.595285797665611,70.89999999999999,-7.051590953030089,82.19999999999999,-7.51769476827614,90.7,-7.99434587555728,95.19999999999999,-8.479981529329097,98.1,-8.972740811331077,99.2,-9.47111382949689,99.7,-9.973511028407685,99.9,-10.479286428913925,100.0,-10.9883439314896,100.0,-11.499580558934118,100.0
2nd Worst,-5.435577338743916,-3.214684749133238,0.7000000000000001,-3.254936673140528,0.8,-3.354547174760868,0.8999999999999999,-3.5151871737730134,1.3,-3.7284795533609514,2.3,-3.9795560748676846,4.3999999999999995,-4.2690654372299806,8.5,-4.587650294143683,16.3,-4.925437508074125,25.900000000000002,-5.28068233326114,39.2,-5.647317494102328,54.7,-6.026273234297272,69.8,-6.415940464853664,82.0,-6.81486911103959,89.8,-7.219471677278506,95.0,-7.628883855431853,97.7,-8.043102185170765,98.4,-8.464017157537572,99.4,-8.888272449593222,99.8,-9.315415228459521,100.0,-9.74651027479614,100.0
3rd Worst,-4.24790443087278,-2.9225304820901163,3.9,-2.9559962511238664,3.9,-3.0585497006028635,5.2,-3.214366486664264,7.199999999999999,-3.3999960685568804,11.5,-3.6255108903997333,17.7,-3.886837717046467,27.800000000000004,-4.1704118823967455,41.9,-4.4693809914720495,59.199999999999996,-4.7886820665319245,73.7,-5.124402523230126,84.0,-5.468112293429408,91.8,-5.8212929524466075,96.3,-6.17717558454643,98.3,-6.544308117402798,99.3,-6.918771335954525,99.7,-7.298091726828419,99.9,-7.679069267805378,100.0,-8.062628844011908,100.0,-8.45042005229174,100.0,-8.84099087077409,100.0
4th Worst,-3.2934418487813173,-2.7316095559853646,16.7,-2.757276585441019,17.4,-2.8436032433498,21.8,-2.9789715785122954,29.4,-3.156782095346818,39.1,-3.3719391241840997,53.0,-3.6162829470374365,67.10000000000001,-3.8741199178173273,79.60000000000001,-4.156618425519167,88.6,-4.452699274425771,93.8,-4.76330735390317,97.1,-5.086028650279939,99.1,-5.414582824581257,99.7,-5.7525321550223545,100.0,-6.095398704087181,100.0,-6.4422596986683125,100.0,-6.7919739874351075,100.0,-7.142386172379519,100.0,-7.499291184985741,100.0,-7.8596218136233205,100.0,-8.221799717876104,100.0
5th Worst,-3.0024251654025047,-2.5785328338252773,23.599999999999998,-2.6045927933890205,24.6,-2.6784007025306282,28.499999999999996,-2.803215989011035,34.9,-2.970884730970156,44.6,-3.172013365885253,60.199999999999996,-3.3901435942455955,72.6,-3.6385298146627982,83.1,-3.9089125263413935,90.10000000000001,-4.196014814459614,95.6,-4.4879372367149095,98.1,-4.788693915290407,99.4,-5.09947624335972,99.7,-5.417709973381671,99.8,-5.738392615880689,100.0,-6.062413555246851,100.0,-6.392607462666325,100.0,-6.728822677274537,100.0,-7.065161112996733,100.0,-7.399899417595463,100.0,-7.735767662668461,100.0
6th Worst,-2.733655592401219,-2.4470245457736604,28.999999999999996,-2.4743685574733116,29.7,-2.540722733129078,33.2,-2.659054039112716,42.4,-2.814454580497428,54.1,-2.9979361308910257,66.60000000000001,-3.208319709580798,78.0,-3.448723982583404,86.2,-3.7028107329222175,92.9,-3.9697835628166005,97.0,-4.247044336767143,99.0,-4.534357121654549,99.5,-4.830880790275984,99.8,-5.132963277504852,100.0,-5.437594924813166,100.0,-5.745286282614414,100.0,-6.056844867953954,100.0,-6.371657223008079,100.0,-6.688188779371491,100.0,-7.0088725520613355,100.0,-7.332729584787512,100.0
7th Worst,-2.6383690313536374,-2.3315912549421247,27.0,-2.353491955823058,27.800000000000004,-2.4251777321349928,32.6,-2.536244780753029,40.2,-2.685808087610245,52.0,-2.8596509243427155,63.800000000000004,-3.064808706814353,75.6,-3.2860586270947154,84.2,-3.5257925212140804,92.0,-3.7759927134973994,96.2,-4.04067030517439,98.8,-4.318569116714318,99.3,-4.601072469465006,99.7,-4.886889231712072,100.0,-5.176866501879792,100.0,-5.470218425625275,100.0,-5.766639682028151,100.0,-6.065760386948839,100.0,-6.3691663580244,100.0,-6.674030881595794,100.0,-6.978937542621625,100.0
8th Worst,-2.629089310916003,-2.230706460094177,22.7,-2.2564031726356206,23.1,-2.3214975571703116,27.0,-2.4241827476615354,32.9,-2.5618227584377546,43.3,-2.7349877084596397,55.900000000000006,-2.9301775353960853,68.10000000000001,-3.1398203297456906,79.80000000000001,-3.36838383839165,88.3,-3.607973275510453,94.0,-3.8584318914180584,96.89999999999999,-4.118046732586375,99.2,-4.3881302154989275,99.7,-4.657930525201046,99.9,-4.932737197661088,100.0,-5.213621807721263,100.0,-5.496711966281031,100.0,-5.782981559125349,100.0,-6.0697974904313305,100.0,-6.3622200350769464,100.0,-6.655430105027131,100.0
9th Worst,-2.558117423714878,-2.140314414558399,20.200000000000003,-2.163636471199727,21.9,-2.2270741872291264,25.3,-2.3242227476365716,31.4,-2.4619418071954593,41.5,-2.6230701367516813,53.400000000000006,-2.808560027871724,65.10000000000001,-3.011115757323088,78.60000000000001,-3.2243670841664036,86.5,-3.4595358678203847,92.4,-3.7020326670333907,95.7,-3.94997284481112,98.4,-4.195839555785133,99.6,-4.452648784855698,99.8,-4.717010651666223,99.9,-4.986038371228104,100.0,-5.255947566111232,100.0,-5.529029575758777,100.0,-5.8076278019436955,100.0,-6.085745436779711,100.0,-6.36689517134368,100.0
10th Worst,-2.5071010551347674,-2.0596477025209787,19.3,-2.080848581852928,19.1,-2.142322437716595,22.7,-2.2355341939442908,28.799999999999997,-2.360311210379845,38.7,-2.5181208810233864,49.4,-2.6931891445951917,61.8,-2.8931982109955383,74.6,-3.103813212438194,84.3,-3.3241968812277074,90.9,-3.5544135584571768,94.8,-3.7887416971965187,97.8,-4.032337504738274,99.5,-4.279611402082837,99.9,-4.532750537143563,99.9,-4.790249765189199,100.0,-5.050835192007062,100.0,-5.312194358255305,100.0,-5.578115449511463,100.0,-5.844379747864761,100.0,-6.113859665891101,100.0
