,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (ADVDX),-0.23795545005334603,-0.34855220978182394,87.3,-0.23795545005334603,-0.3625599635419875,90.0,-0.23795545005334603,-0.40271143367279955,96.2,-0.23795545005334603,-0.4602687257606596,99.1,-0.23795545005334603,-0.5308308500667825,100.0,-0.23795545005334603,-0.6090197579171859,100.0,-0.23795545005334603,-0.692757055514141,100.0,-0.23795545005334603,-0.7807006754255151,100.0,-0.23795545005334603,-0.8711854819448099,100.0,-0.23795545005334603,-0.9632225970410263,100.0,-0.23795545005334603,-1.0565897623481164,100.0,-0.23795545005334603,-1.1512546009596705,100.0,-0.23795545005334603,-1.2467351333968286,100.0,-0.23795545005334603,-1.3429135982609606,100.0,-0.23795545005334603,-1.4395293303427057,100.0,-0.23795545005334603,-1.5367025898469668,100.0
2nd Worst (ICVIX),-0.237627217031216,-0.27619457401483355,67.7,-0.237627217031216,-0.2884915718139143,73.5,-0.237627217031216,-0.3182920772150927,86.5,-0.237627217031216,-0.3649184612504927,95.89999999999999,-0.237627217031216,-0.41925576728135316,99.3,-0.237627217031216,-0.48127184214950053,100.0,-0.237627217031216,-0.5473940267389094,100.0,-0.237627217031216,-0.616212358429778,100.0,-0.237627217031216,-0.6866026472226131,100.0,-0.237627217031216,-0.7585847749186002,100.0,-0.237627217031216,-0.8320399947634629,100.0,-0.237627217031216,-0.9060957509634981,100.0,-0.237627217031216,-0.980877655530468,100.0,-0.237627217031216,-1.0560253585214197,100.0,-0.237627217031216,-1.1316442882048854,100.0,-0.237627217031216,-1.2073993958041724,100.0
3rd Worst (IVNCX),-0.2328953763100157,-0.24245812490944518,52.800000000000004,-0.2328953763100157,-0.25158162796289996,57.8,-0.2328953763100157,-0.2787931845713314,74.7,-0.2328953763100157,-0.31844656775711055,91.3,-0.2328953763100157,-0.3674735820699973,98.3,-0.2328953763100157,-0.42070861510860036,99.9,-0.2328953763100157,-0.4771311631925996,100.0,-0.2328953763100157,-0.5360441202072053,100.0,-0.2328953763100157,-0.5977464246094505,100.0,-0.2328953763100157,-0.6609851316080257,100.0,-0.2328953763100157,-0.7244405270141206,100.0,-0.2328953763100157,-0.7883359506127782,100.0,-0.2328953763100157,-0.8527919237233934,100.0,-0.2328953763100157,-0.9178253050005131,100.0,-0.2328953763100157,-0.9830941369791881,100.0,-0.2328953763100157,-1.048470867568116,100.0
4th Worst (SERNX),-0.1895109571859345,-0.21938837631737135,68.30000000000001,-0.1895109571859345,-0.2286129072151037,76.3,-0.1895109571859345,-0.25224263017017606,88.3,-0.1895109571859345,-0.28787449016090827,96.89999999999999,-0.1895109571859345,-0.32986560384639396,99.3,-0.1895109571859345,-0.37775168091548905,99.9,-0.1895109571859345,-0.42937419314295094,100.0,-0.1895109571859345,-0.48235563964671085,100.0,-0.1895109571859345,-0.5368176224405593,100.0,-0.1895109571859345,-0.5918426263926201,100.0,-0.1895109571859345,-0.6481295411283543,100.0,-0.1895109571859345,-0.7053508624629514,100.0,-0.1895109571859345,-0.7631049660952256,100.0,-0.1895109571859345,-0.8213154687444266,100.0,-0.1895109571859345,-0.8798042322782365,100.0,-0.1895109571859345,-0.9387369493289065,100.0
5th Worst (ATWAX),-0.1832954204741516,-0.2036598083969159,63.0,-0.1832954204741516,-0.21107915842691832,69.0,-0.1832954204741516,-0.23272114932718962,85.39999999999999,-0.1832954204741516,-0.26395054481656954,95.8,-0.1832954204741516,-0.303483509224028,98.6,-0.1832954204741516,-0.3480752281831046,99.8,-0.1832954204741516,-0.39456868895668445,100.0,-0.1832954204741516,-0.44356780924885747,100.0,-0.1832954204741516,-0.49329469982338353,100.0,-0.1832954204741516,-0.5444731020154439,100.0,-0.1832954204741516,-0.5967293741425148,100.0,-0.1832954204741516,-0.6497098952184238,100.0,-0.1832954204741516,-0.702752938534406,100.0,-0.1832954204741516,-0.7558746576130968,100.0,-0.1832954204741516,-0.8094193954346213,100.0,-0.1832954204741516,-0.8635330806241979,100.0
10%,-0.13633176028020488,-0.1317172897597445,43.8,-0.13633176028020488,-0.13645991656175602,47.099999999999994,-0.13633176028020488,-0.1505118710620132,63.1,-0.13633176028020488,-0.1704960043145971,81.0,-0.13633176028020488,-0.19486538987620527,93.8,-0.13633176028020488,-0.22280680202207134,98.8,-0.13633176028020488,-0.25289463467502726,99.7,-0.13633176028020488,-0.28423398166076697,100.0,-0.13633176028020488,-0.31637778835071717,100.0,-0.13633176028020488,-0.3495856658320231,100.0,-0.13633176028020488,-0.3834016935052504,100.0,-0.13633176028020488,-0.4175940319187927,100.0,-0.13633176028020488,-0.4519924181283804,100.0,-0.13633176028020488,-0.48656431941762146,100.0,-0.13633176028020488,-0.5210841758378074,100.0,-0.13633176028020488,-0.5557026403799268,100.0
20%,-0.08842161886704736,-0.08303032660297999,42.0,-0.08842161886704736,-0.08644794495787819,46.7,-0.08842161886704736,-0.09457500915630038,57.699999999999996,-0.08842161886704736,-0.10694534194145351,70.6,-0.08842161886704736,-0.12260506490901256,84.6,-0.08842161886704736,-0.13989885453912856,92.9,-0.08842161886704736,-0.15833197704857793,96.8,-0.08842161886704736,-0.1781150241992392,99.5,-0.08842161886704736,-0.1980064361282486,99.7,-0.08842161886704736,-0.21826019710722583,99.8,-0.08842161886704736,-0.23887633698937516,99.9,-0.08842161886704736,-0.259924861936644,100.0,-0.08842161886704736,-0.28115548749753044,100.0,-0.08842161886704736,-0.30249319307781114,100.0,-0.08842161886704736,-0.3237716079305626,100.0,-0.08842161886704736,-0.34524218044183347,100.0
30%,-0.053536299005593424,-0.052010568280001925,46.7,-0.053536299005593424,-0.05340766702172615,49.3,-0.053536299005593424,-0.05867894645917605,57.4,-0.053536299005593424,-0.06667275578636182,66.4,-0.053536299005593424,-0.07586640881466905,75.2,-0.053536299005593424,-0.08641396381685047,84.0,-0.053536299005593424,-0.09753500960172921,90.4,-0.053536299005593424,-0.10901853737633976,94.69999999999999,-0.053536299005593424,-0.12111749308254144,96.89999999999999,-0.053536299005593424,-0.1334653578359881,98.2,-0.053536299005593424,-0.14601127446258658,99.0,-0.053536299005593424,-0.15863736142349583,99.3,-0.053536299005593424,-0.17157963132138224,99.6,-0.053536299005593424,-0.1844632301985165,99.8,-0.053536299005593424,-0.1974471533479675,99.8,-0.053536299005593424,-0.21077574033850516,99.8
40%,-0.03283031717531325,-0.02689951033729072,41.3,-0.03283031717531325,-0.02759975023302328,42.6,-0.03283031717531325,-0.030086000626474808,44.3,-0.03283031717531325,-0.034001644510286165,50.3,-0.03283031717531325,-0.0387002742483041,56.699999999999996,-0.03283031717531325,-0.04363961804654343,62.0,-0.03283031717531325,-0.04872155732740434,67.2,-0.03283031717531325,-0.05410446785482814,72.6,-0.03283031717531325,-0.059776619877877024,77.8,-0.03283031717531325,-0.06564459084050883,80.7,-0.03283031717531325,-0.07172636488358086,83.8,-0.03283031717531325,-0.07747910765778977,85.1,-0.03283031717531325,-0.08350910628016527,87.5,-0.03283031717531325,-0.08944896419064585,89.2,-0.03283031717531325,-0.09552070948622796,90.10000000000001,-0.03283031717531325,-0.10176721613936363,91.5
50%,0.0060282951739562,-0.004384004567967439,64.2,0.0060282951739562,-0.004152908452295923,62.8,0.0060282951739562,-0.004303574408227848,63.0,0.0060282951739562,-0.004587343770094135,63.0,0.0060282951739562,-0.0046222626286231095,61.9,0.0060282951739562,-0.0045044300207259655,62.9,0.0060282951739562,-0.004563324657078569,61.9,0.0060282951739562,-0.004491270808653905,60.199999999999996,0.0060282951739562,-0.004395313268591305,59.8,0.0060282951739562,-0.004344974234326404,59.0,0.0060282951739562,-0.0043058348791219815,58.8,0.0060282951739562,-0.004360453196845159,58.5,0.0060282951739562,-0.004340218472725752,57.699999999999996,0.0060282951739562,-0.004417736989301256,58.5,0.0060282951739562,-0.0044283089330301615,57.99999999999999,0.0060282951739562,-0.004355147564450998,57.49999999999999
60%,0.04657495149069195,0.018693127863780565,84.0,0.04657495149069195,0.01959543888042587,83.2,0.04657495149069195,0.021582105823008877,81.2,0.04657495149069195,0.02536827839709153,76.8,0.04657495149069195,0.02984582157320785,71.1,0.04657495149069195,0.03466342323577244,64.3,0.04657495149069195,0.03996352743368701,56.699999999999996,0.04657495149069195,0.04529925843645813,50.0,0.04657495149069195,0.051158588006685886,43.4,0.04657495149069195,0.05683758196433709,37.8,0.04657495149069195,0.06283558178288608,34.2,0.04657495149069195,0.06902761083118736,28.799999999999997,0.04657495149069195,0.07537346044297329,24.6,0.04657495149069195,0.0816999909618331,21.9,0.04657495149069195,0.08788154137839682,19.6,0.04657495149069195,0.09418034685373679,17.9
70%,0.10545148216982764,0.04443262972275422,98.2,0.10545148216982764,0.04598389004833782,98.0,0.10545148216982764,0.05098482599491301,96.6,0.10545148216982764,0.05844252316016553,94.5,0.10545148216982764,0.06764630008160114,88.6,0.10545148216982764,0.07824658114595033,79.5,0.10545148216982764,0.08933035334671918,67.30000000000001,0.10545148216982764,0.10114605827743525,54.7,0.10545148216982764,0.1132999939079835,41.9,0.10545148216982764,0.125562224780284,30.7,0.10545148216982764,0.13833456683214343,21.5,0.10545148216982764,0.15118156720254472,15.8,0.10545148216982764,0.163915511826913,11.799999999999999,0.10545148216982764,0.1767558498070011,8.5,0.10545148216982764,0.18976128694780153,5.800000000000001,0.10545148216982764,0.202916081193052,4.5
80%,0.146265447135247,0.07583404448812575,98.7,0.146265447135247,0.07871644579098876,98.2,0.146265447135247,0.0871045046862111,96.39999999999999,0.146265447135247,0.0996493513577005,92.7,0.146265447135247,0.11504389717070239,82.5,0.146265447135247,0.13214161276153005,66.2,0.146265447135247,0.15065261419041487,45.7,0.146265447135247,0.1698005501954286,27.700000000000003,0.146265447135247,0.19007019886260854,14.6,0.146265447135247,0.21045588912511975,7.5,0.146265447135247,0.230922762396753,3.5999999999999996,0.146265447135247,0.25145251846259364,1.7999999999999998,0.146265447135247,0.27261097249221233,0.4,0.146265447135247,0.29367058317922057,0.0,0.146265447135247,0.31497601629752275,0.0,0.146265447135247,0.336649832359768,0.0
