,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (ATWAX),-3.5992724558464473,-2.5987127953551226,6.6000000000000005,-3.5992724558464473,-2.710029776253512,8.9,-3.5992724558464473,-3.014007728281293,17.4,-3.5992724558464473,-3.4546448715468614,37.0,-3.5992724558464473,-3.981985780202358,65.3,-3.5992724558464473,-4.568989133287335,88.2,-3.5992724558464473,-5.194090870463473,97.3,-3.5992724558464473,-5.844359212198733,99.6,-3.5992724558464473,-6.513254758413128,99.9,-3.5992724558464473,-7.196290729721786,100.0,-3.5992724558464473,-7.8892104298092525,100.0,-3.5992724558464473,-8.590702903872025,100.0,-3.5992724558464473,-9.297285667501358,100.0,-3.5992724558464473,-10.007953758231714,100.0,-3.5992724558464473,-10.723176267522707,100.0,-3.5992724558464473,-11.441223835977612,100.0
2nd Worst (AWAAX),-3.436382056710817,-2.2669794752057495,2.0,-3.436382056710817,-2.3554372479726453,2.7,-3.436382056710817,-2.6056057686311034,6.800000000000001,-3.436382056710817,-2.9781918300421992,18.7,-3.436382056710817,-3.4307532018851687,45.7,-3.436382056710817,-3.9260223172002235,76.8,-3.436382056710817,-4.45690336939302,92.60000000000001,-3.436382056710817,-5.01393657510843,98.6,-3.436382056710817,-5.589387601168253,99.8,-3.436382056710817,-6.175623747268015,99.9,-3.436382056710817,-6.772982315710695,100.0,-3.436382056710817,-7.375320448157259,100.0,-3.436382056710817,-7.9819999886263755,100.0,-3.436382056710817,-8.592616107304133,100.0,-3.436382056710817,-9.204753861432119,100.0,-3.436382056710817,-9.819899729975816,100.0
3rd Worst (Unnamed: 68),-2.9218158098754463,-2.0648037173328935,5.0,-2.9218158098754463,-2.1490633679021776,6.4,-2.9218158098754463,-2.384040353156115,13.4,-2.9218158098754463,-2.7178555684814487,33.4,-2.9218158098754463,-3.1265277319514584,63.3,-2.9218158098754463,-3.5816676062917487,87.3,-2.9218158098754463,-4.063657871623733,96.6,-2.9218158098754463,-4.56568694651869,99.6,-2.9218158098754463,-5.085895360371005,99.9,-2.9218158098754463,-5.617838316585431,100.0,-2.9218158098754463,-6.156480496256858,100.0,-2.9218158098754463,-6.701636137711596,100.0,-2.9218158098754463,-7.2535274087339525,100.0,-2.9218158098754463,-7.809821584988748,100.0,-2.9218158098754463,-8.370075463996399,100.0,-2.9218158098754463,-8.931034320350154,100.0
4th Worst (IVNCX),-2.432794105825711,-1.930977149770075,11.5,-2.432794105825711,-2.0056390159598454,15.4,-2.432794105825711,-2.2159195172416815,29.5,-2.432794105825711,-2.5334973194814494,57.8,-2.432794105825711,-2.9060170284911564,82.69999999999999,-2.432794105825711,-3.327507072249603,95.6,-2.432794105825711,-3.777755121070387,99.0,-2.432794105825711,-4.2488683916325485,99.9,-2.432794105825711,-4.733336781997418,100.0,-2.432794105825711,-5.227330845311971,100.0,-2.432794105825711,-5.729446036394797,100.0,-2.432794105825711,-6.237756844916008,100.0,-2.432794105825711,-6.752119333793513,100.0,-2.432794105825711,-7.2717418321548175,100.0,-2.432794105825711,-7.792732192325994,100.0,-2.432794105825711,-8.31593829005449,100.0
5th Worst (ADVDX),-2.1290935735157364,-1.832999016153606,22.3,-2.1290935735157364,-1.892143201379499,28.599999999999998,-2.1290935735157364,-2.093192407025091,43.9,-2.1290935735157364,-2.386664012051856,72.39999999999999,-2.1290935735157364,-2.733221399744012,90.8,-2.1290935735157364,-3.1267897276345265,98.0,-2.1290935735157364,-3.549141573292283,99.5,-2.1290935735157364,-3.997877337263263,100.0,-2.1290935735157364,-4.456592416668855,100.0,-2.1290935735157364,-4.926355717948591,100.0,-2.1290935735157364,-5.399737925380677,100.0,-2.1290935735157364,-5.8798142963356215,100.0,-2.1290935735157364,-6.36365356658909,100.0,-2.1290935735157364,-6.850141780444382,100.0,-2.1290935735157364,-7.339051055296122,100.0,-2.1290935735157364,-7.8305477005784265,100.0
10%,-1.6386160676645436,-1.3036111996718396,17.1,-1.6386160676645436,-1.3494180273163634,20.5,-1.6386160676645436,-1.4863545648898489,31.900000000000002,-1.6386160676645436,-1.682761453955517,53.300000000000004,-1.6386160676645436,-1.931933408049061,77.4,-1.6386160676645436,-2.2107833996249417,92.9,-1.6386160676645436,-2.5050912802562078,97.8,-1.6386160676645436,-2.8087863140517584,99.4,-1.6386160676645436,-3.122284218381809,100.0,-1.6386160676645436,-3.4437707610549007,100.0,-1.6386160676645436,-3.7713369307987104,100.0,-1.6386160676645436,-4.100367345980835,100.0,-1.6386160676645436,-4.432311962716212,100.0,-1.6386160676645436,-4.765128588729187,100.0,-1.6386160676645436,-5.100577357071442,100.0,-1.6386160676645436,-5.438376536985259,100.0
20%,-1.12858967385847,-0.8715404322811794,22.3,-1.12858967385847,-0.910445676839666,24.9,-1.12858967385847,-0.9955721322142312,34.1,-1.12858967385847,-1.1221950949330521,48.3,-1.12858967385847,-1.282309160352233,66.7,-1.12858967385847,-1.4615299099810295,81.69999999999999,-1.12858967385847,-1.6600997302323057,90.8,-1.12858967385847,-1.8639608693708438,96.89999999999999,-1.12858967385847,-2.072361140881314,98.5,-1.12858967385847,-2.28738596216894,99.7,-1.12858967385847,-2.503620416013664,99.9,-1.12858967385847,-2.721076021997762,100.0,-1.12858967385847,-2.9426599400650355,100.0,-1.12858967385847,-3.16542152337835,100.0,-1.12858967385847,-3.389279865859348,100.0,-1.12858967385847,-3.6146647704381256,100.0
30%,-0.5487539050177623,-0.5613228250883346,50.9,-0.5487539050177623,-0.581002603580753,53.2,-0.5487539050177623,-0.6383848511240308,61.0,-0.5487539050177623,-0.7195897483523483,69.0,-0.5487539050177623,-0.8176539897771521,78.2,-0.5487539050177623,-0.9310145971547056,86.2,-0.5487539050177623,-1.050938936049078,91.4,-0.5487539050177623,-1.1742545689746797,95.3,-0.5487539050177623,-1.3034185975021013,97.2,-0.5487539050177623,-1.4374943443252455,98.7,-0.5487539050177623,-1.5710395610449233,99.1,-0.5487539050177623,-1.7103111485075033,99.5,-0.5487539050177623,-1.848778905759244,99.6,-0.5487539050177623,-1.9885642145306044,99.7,-0.5487539050177623,-2.128067991827555,99.8,-0.5487539050177623,-2.270848807061033,99.8
40%,-0.323987556052699,-0.2955815803688298,44.4,-0.323987556052699,-0.3028906023455086,46.7,-0.323987556052699,-0.3321437989796455,50.7,-0.323987556052699,-0.37249032874548477,54.300000000000004,-0.323987556052699,-0.4210092758506595,60.6,-0.323987556052699,-0.47307492294910913,66.8,-0.323987556052699,-0.5315970050702834,71.89999999999999,-0.323987556052699,-0.5918001465897187,76.8,-0.323987556052699,-0.6533446921806256,81.0,-0.323987556052699,-0.7176283584387021,84.0,-0.323987556052699,-0.779508925529892,85.9,-0.323987556052699,-0.8444621696717366,87.7,-0.323987556052699,-0.9120498053293786,89.0,-0.323987556052699,-0.9795232907116451,89.9,-0.323987556052699,-1.0478277597713663,91.10000000000001,-0.323987556052699,-1.1130922665002771,92.30000000000001
50%,0.07874266325775627,-0.0487348606276432,65.10000000000001,0.07874266325775627,-0.04585587863355188,64.4,0.07874266325775627,-0.04763272872313084,64.8,0.07874266325775627,-0.05026365437524754,65.10000000000001,0.07874266325775627,-0.04906332540035059,63.3,0.07874266325775627,-0.051260524032658496,63.4,0.07874266325775627,-0.04980139383844324,62.3,0.07874266325775627,-0.04654585175783033,62.0,0.07874266325775627,-0.045714117605538715,61.4,0.07874266325775627,-0.04639975045736473,60.8,0.07874266325775627,-0.04790532806340175,59.599999999999994,0.07874266325775627,-0.04758693217949239,59.0,0.07874266325775627,-0.050472402530520814,58.699999999999996,0.07874266325775627,-0.04992587172281357,59.0,0.07874266325775627,-0.04706868328735229,57.99999999999999,0.07874266325775627,-0.04469833985507361,58.099999999999994
