,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (RYLCX),-1.4829804277796128,-1.2807908956581098,39.4,-1.3941722166713466,44.7,-1.5651290450211142,54.0,-1.7749855864660573,62.1,-2.016413514791628,72.89999999999999,-2.281825499018103,81.5,-2.5611593358452174,88.0,-2.851895135112015,92.9,-3.1513994737283157,95.6,-3.4567796628388603,97.0,-3.7681175272528655,98.1,-4.082628363231138,99.3,-4.399798131781072,99.6,-4.72025373510664,99.8,-5.043102894641153,99.8,-5.367815983303304,99.9
2nd Worst (RYLAX),-1.2270043375759851,-1.0578038775163214,39.900000000000006,-1.1492384087644665,44.9,-1.2756145169027595,52.1,-1.43447753160007,59.3,-1.6200066871344112,68.7,-1.8180652380738906,75.7,-2.0317727141640707,82.89999999999999,-2.2555596659955692,88.3,-2.4865365250314726,92.0,-2.724380173444917,94.5,-2.966221683974291,96.5,-3.2123423300977723,98.0,-3.461378165515036,98.8,-3.7108293262501886,99.1,-3.9630496052304824,99.5,-4.218164981652529,99.6
3rd Worst (RYLSX),-1.1157289841223952,-0.952611147409038,40.8,-1.0072972074582593,44.6,-1.09898186095465,49.0,-1.2159222773653413,53.5,-1.3549096690829978,61.9,-1.514884996769505,69.1,-1.6862854767916153,75.6,-1.8682876425276043,81.39999999999999,-2.059181800432275,87.0,-2.2546369208499337,90.8,-2.4538353890384004,93.7,-2.6563720651057237,95.1,-2.8617224553181355,96.8,-3.069729692626226,97.8,-3.2784330331950287,98.2,-3.4877214205425524,98.6
4th Worst (RYLIX),-0.986146926018015,-0.9022800371738231,46.2,-0.9175673817036918,46.1,-0.973599343330593,48.4,-1.0677373060352056,54.900000000000006,-1.1823350114563087,59.9,-1.3120931135136025,66.60000000000001,-1.4517685293157772,72.0,-1.602433948753688,77.9,-1.7627669500748862,82.89999999999999,-1.9299232545158034,87.1,-2.0995310438743715,90.5,-2.2722691907099346,92.2,-2.44993251201731,94.69999999999999,-2.630493680944949,96.2,-2.8118998360918788,97.1,-2.9934597285591917,98.0
5th Worst (RYRCX),-0.9208571317275933,-0.8303410887227328,45.300000000000004,-0.8245760354619401,44.4,-0.8609065235626009,46.300000000000004,-0.9306820183954768,50.3,-1.01908617383995,55.60000000000001,-1.1263315889154386,60.8,-1.2513780300770765,66.60000000000001,-1.382849047521611,71.6,-1.5175525152366411,76.9,-1.655511400994053,82.3,-1.7997053015696742,85.8,-1.9492924345931308,89.0,-2.0979615271134033,91.60000000000001,-2.2500709815006914,92.80000000000001,-2.4040253536653826,93.7,-2.5593937206874147,94.89999999999999
10%,-1.037979749259767,-0.9224124812679091,44.0,-0.9534593120055188,45.5,-1.0237523503802157,49.0,-1.12701129456726,54.400000000000006,-1.2513648745069843,60.6,-1.3932098668159634,67.7,-1.5455753083061121,73.9,-1.7087754262632548,79.3,-1.881332890217842,85.2,-2.059808721049455,89.0,-2.241252781939983,91.60000000000001,-2.42591034046825,94.69999999999999,-2.61464848933764,96.2,-2.8061880856174595,97.6,-2.998513114933138,97.89999999999999,-3.191164405352536,98.4
20%,-0.6600152173043144,-0.7349052445967709,52.400000000000006,-0.7141783282719104,51.7,-0.732789039608376,54.0,-0.782430214993825,56.699999999999996,-0.8580355289437527,60.4,-0.9480209067058037,65.4,-1.0481146297175512,69.1,-1.1558867973199154,73.6,-1.264518087797564,78.60000000000001,-1.3779377487817441,82.6,-1.4966050320643693,85.8,-1.6167805978286427,88.3,-1.7402767629761406,89.7,-1.8642022013928108,91.4,-1.9892711323610512,92.30000000000001,-2.1164591918308595,94.0
30%,-0.4656049597664481,-0.41786837476972716,47.4,-0.43730275514928973,47.8,-0.4642698541078144,49.9,-0.5014013878221727,51.9,-0.5480649892875645,55.2,-0.6036953026902613,58.699999999999996,-0.6646982451562516,61.6,-0.7313197184670209,63.800000000000004,-0.8021329440796687,66.9,-0.877112162521539,71.3,-0.9512464612055315,74.1,-1.0283765265738103,77.5,-1.106696792898547,79.3,-1.1853425399831359,80.5,-1.264416247180994,82.6,-1.3438039052716888,83.5
40%,-0.1842495413091193,-0.24716549276254948,53.7,-0.2415945500502217,52.800000000000004,-0.25032525512556136,52.400000000000006,-0.2641691020073699,54.2,-0.28136215564483064,55.300000000000004,-0.3024222175298764,56.599999999999994,-0.3317008907608082,58.099999999999994,-0.3646033570396737,60.0,-0.39849790060279916,60.5,-0.43306598983655414,63.5,-0.4685389504389984,65.7,-0.505261687096511,66.8,-0.5420953084567891,67.7,-0.5788117228552723,69.19999999999999,-0.6155235718802212,70.0,-0.6532149032963335,71.7
50%,0.013360176666293591,-0.04437865890805995,52.400000000000006,-0.035992309408012,51.2,-0.03325037890027648,51.6,-0.032795063691761966,52.1,-0.029937475481281294,52.5,-0.026446857126815552,52.1,-0.019193814237622172,51.2,-0.015504612624960902,50.7,-0.011066897350551436,49.9,-0.008747401856600827,50.6,-0.005391595300572764,50.4,-0.003401497941572156,50.5,-0.0029349703713171973,50.2,-0.0035699662811819657,51.1,-0.004709425199909353,51.800000000000004,-0.005305463116426596,51.0
