,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (ICRAX),0.5305370996757682,-0.6457694575404861,90.9,-0.7847594503006614,93.60000000000001,-0.9720512401966014,95.8,-1.1884950346383305,96.7,-1.4241070338782802,98.3,-1.6731576062607958,99.2,-1.9322798840022748,99.6,-2.198083036780119,99.9,-2.468267010560642,100.0,-2.7423514592401115,100.0,-3.0196746548636493,100.0,-3.2991875334320464,100.0,-3.579891909044105,100.0,-3.862275575357796,100.0,-4.145586711536697,100.0,-4.430036855046437,100.0
2nd Worst (ICLEX),0.6157947271012896,-0.5024547182392528,89.2,-0.5719790844204171,90.7,-0.679566900505308,92.5,-0.8181498023449586,94.5,-0.9770145125956204,95.7,-1.1475995336378495,96.7,-1.3266245533556484,97.7,-1.511236804457285,97.8,-1.7005421193752286,98.5,-1.8923138777777393,98.7,-2.0858737568418557,98.9,-2.281378388409709,99.2,-2.4781268560833625,99.2,-2.6757097768354696,99.3,-2.874148816037962,99.3,-3.0731340652482775,99.3
3rd Worst (RYCPX),0.8110158461041613,-0.33441526013781175,89.8,-0.38669123289529067,90.60000000000001,-0.46530060899629566,92.4,-0.5650399056143339,93.7,-0.6800056975134076,94.8,-0.8060049340202718,95.89999999999999,-0.9387957730124388,96.8,-1.0748987978654823,97.7,-1.214053285439119,97.89999999999999,-1.3563495470189828,98.0,-1.5000768408258862,98.2,-1.643916512912732,98.4,-1.788962205798689,98.5,-1.9346755618101124,98.6,-2.080966308537278,98.7,-2.226929903021787,98.7
4th Worst (FDCGX),1.0920040507424558,-0.2471930804834406,92.0,-0.27357292376066167,93.30000000000001,-0.32018468102046305,94.0,-0.3893339509328988,95.0,-0.47041500202051645,95.5,-0.5593970810401112,96.3,-0.651185137081503,96.3,-0.7489265274339499,97.1,-0.8485602452236903,97.1,-0.948159344563076,97.2,-1.048602789583378,97.7,-1.1505265173842585,98.0,-1.2533878818703796,98.1,-1.3567533683554385,98.2,-1.4602837309992376,98.2,-1.5638731567240958,98.1
5th Worst (RYCAX),1.1264778743488488,-0.17153119481767967,91.8,-0.170609358652624,92.0,-0.19559687984834712,92.80000000000001,-0.23499880577284102,93.2,-0.28372847656014494,93.60000000000001,-0.33885205604325086,93.7,-0.39912825284448633,93.60000000000001,-0.46108705014386836,94.39999999999999,-0.5257782025849022,94.8,-0.5911331329504401,94.89999999999999,-0.656854217706918,94.69999999999999,-0.7224119755674776,94.69999999999999,-0.7884938027239626,95.1,-0.8539067055700583,95.0,-0.920085431356,95.0,-0.9873198268210356,95.1
10%,0.654838950901864,-0.4688468266189645,89.8,-0.5349215141153919,90.9,-0.6367136422035056,92.4,-0.7675278229988337,94.39999999999999,-0.9176127495791778,95.6,-1.0792806137143338,96.89999999999999,-1.2490587972870066,97.7,-1.4239692031389246,97.8,-1.6032443525880067,98.4,-1.785121011625988,98.7,-1.9687143736386614,98.9,-2.1538860133103137,99.2,-2.3402939260264275,99.2,-2.5275029338303985,99.2,-2.715512314537825,99.2,-2.9038932328029796,99.5
20%,0.9234111279594792,-0.29952638827606326,91.0,-0.3414439092414391,92.2,-0.40725423780596254,93.0,-0.49475752374175985,94.3,-0.596169419316251,95.1,-0.7073617928282075,95.89999999999999,-0.8237515186400644,96.7,-0.9445098896928694,97.39999999999999,-1.0678560693529475,97.39999999999999,-1.1930734660366202,97.7,-1.3194872203288828,98.1,-1.4465605147013425,98.4,-1.5747324762273651,98.5,-1.7035066844282425,98.9,-1.8326932775220617,98.8,-1.9617072045027097,98.7
30%,1.1126883449062916,-0.20179594908398407,92.10000000000001,-0.21179478469583912,92.7,-0.24543200031719356,93.5,-0.2967328638368642,93.8,-0.35840308674429366,94.1,-0.42707006604199504,94.69999999999999,-0.4999510065392931,95.3,-0.5762228410599012,95.5,-0.6548910196404174,96.1,-0.7339436175954945,96.5,-0.8135536464575023,96.39999999999999,-0.8936577922941902,96.7,-0.9744514343825298,96.7,-1.0550453706842104,96.89999999999999,-1.1361647512132953,97.1,-1.2179411587822597,97.3
40%,1.2075070578011768,-0.11289818089008583,92.0,-0.09277802395802744,92.4,-0.10477884038433606,93.2,-0.1261390627325018,92.80000000000001,-0.15538028262006218,93.0,-0.18615115025146953,92.9,-0.2211520131900051,92.9,-0.2576904402231645,93.2,-0.29472817872444407,93.2,-0.3330127511775636,92.80000000000001,-0.37075681169899827,93.0,-0.4089725903063229,92.9,-0.4476583475617234,92.7,-0.4867924432605981,92.60000000000001,-0.5256862229339994,92.10000000000001,-0.5647206399373347,91.8
50%,1.3116022677687398,0.03077826091006706,93.7,0.03239954170427909,92.7,0.04261186352494444,92.60000000000001,0.04627483912842719,91.8,0.04688224758115941,92.10000000000001,0.04456092860565096,92.0,0.04540564185154873,91.10000000000001,0.04708116642230358,90.60000000000001,0.04933279971936617,89.60000000000001,0.051359494637630634,88.9,0.05300358737503078,88.0,0.054934892400758085,87.2,0.05755917100175278,85.8,0.0606392581323299,85.3,0.06354917696794052,84.2,0.06657981235427335,83.8
