,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (OEPSX),-2.2715157261693566,-0.8406664023927791,6.7,-0.888598413678439,7.9,-0.9579096224415689,8.9,-1.0402766275765134,9.9,-1.1332019826477384,11.899999999999999,-1.2350471883882341,14.299999999999999,-1.3448395404247333,17.599999999999998,-1.4616976162064836,20.4,-1.5829767791059939,23.400000000000002,-1.707945734763086,27.500000000000004,-1.8359550134668474,32.1,-1.9663825992868214,37.0,-2.0989477496841777,40.699999999999996,-2.233816498380854,46.0,-2.370393303263093,51.300000000000004,-2.508577675638602,55.800000000000004
2nd Worst (OEPIX),-2.1611645573150566,-0.7813477657862854,7.7,-0.8040518020532113,8.0,-0.8403964466361453,8.200000000000001,-0.892720381405999,8.6,-0.956246464775262,9.8,-1.0306296934282477,11.1,-1.112619653241335,13.900000000000002,-1.200785556647392,15.6,-1.2957671733746674,17.4,-1.3947901323116405,19.400000000000002,-1.4966536237573655,23.3,-1.6013874875030907,27.1,-1.7084768534520685,30.4,-1.8168857853884657,34.300000000000004,-1.9264986304284153,38.1,-2.0371721049073033,42.8
3rd Worst (IEYBX),-1.6724245827069655,-0.7318445001828682,14.299999999999999,-0.7332785269225203,14.299999999999999,-0.7524993112730163,15.299999999999999,-0.7880795299404413,16.6,-0.8387307491204905,17.7,-0.9008105524126355,18.9,-0.9717274086296046,20.7,-1.0465251818937478,22.7,-1.125008486130777,25.0,-1.2071934439656462,28.799999999999997,-1.2925720508045784,32.2,-1.3813815927324749,36.0,-1.4734503270026467,40.6,-1.5661680721367943,44.2,-1.6605241753647957,48.6,-1.7563329085387533,51.9
4th Worst (IEYCX),-1.640640077138489,-0.5636357045862023,11.600000000000001,-0.5883331928543866,12.3,-0.6263889825156864,13.100000000000001,-0.6746215827876224,14.499999999999998,-0.7304886592561824,16.5,-0.7911526553108466,17.4,-0.8561860602459087,18.5,-0.9258828705830124,20.3,-0.9964430930165235,21.6,-1.0707707234991573,24.2,-1.147780932181458,27.6,-1.2264326563817276,30.099999999999998,-1.3056895381102591,33.4,-1.3879973866531405,37.4,-1.4718434322200316,41.3,-1.5558903311431074,44.9
5th Worst (IYEFX),-1.5382814287322741,-0.5280212443813755,13.200000000000001,-0.5428041510353451,13.3,-0.5730503112277613,13.900000000000002,-0.6121206021723273,15.7,-0.6605543660759141,16.3,-0.7143863291904927,17.599999999999998,-0.7720742618427379,18.9,-0.8325865140745216,20.599999999999998,-0.8971498477050579,22.3,-0.9647849299265415,24.3,-1.033820537695334,26.700000000000003,-1.1048012696003562,29.299999999999997,-1.1765769166067308,32.5,-1.2493063529520227,35.8,-1.3230151582586775,39.2,-1.398564131425786,42.0
10%,-1.558753158413517,-0.535144136422341,12.8,-0.5519099593991534,13.100000000000001,-0.5837180454853463,13.600000000000001,-0.6246207982953864,15.1,-0.6745412247119679,16.1,-0.7297395944145635,17.299999999999997,-0.788896621523372,19.0,-0.8512457853762196,20.5,-0.9170084967673511,22.2,-0.9859820886410646,24.2,-1.0566126165925585,26.700000000000003,-1.1291275469566304,29.299999999999997,-1.2023994409074361,32.6,-1.2770445596922462,36.0,-1.3527808130509482,39.7,-1.4300293713692502,42.1
20%,-1.446835055652145,-0.40578948802614734,12.2,-0.40756411751964916,12.2,-0.4193672825117468,12.8,-0.438802239970533,13.200000000000001,-0.4652287123655442,13.3,-0.4977695564932349,14.799999999999999,-0.5351067778926651,15.299999999999999,-0.5765020402472014,16.3,-0.6206643455780806,17.1,-0.6671401178927195,18.2,-0.7145048219254152,19.8,-0.7623868671427417,21.2,-0.8124533815292891,22.7,-0.8633533722121698,24.099999999999998,-0.9153718443658615,25.6,-0.9672997485499885,27.900000000000002
30%,-0.9097003620110302,-0.2498678866738153,22.400000000000002,-0.2539984550980614,22.400000000000002,-0.2611307796155363,22.2,-0.2756269002674027,22.6,-0.29348724501146034,22.8,-0.31471247488513077,23.400000000000002,-0.3382328431952449,24.0,-0.36476923414013784,25.4,-0.39334564130114585,26.6,-0.42286136157019066,27.6,-0.45277540235941965,28.299999999999997,-0.4836225398148483,29.099999999999998,-0.5154888382948556,30.5,-0.5484216307616223,31.6,-0.5819089399398495,33.6,-0.6151489203019881,35.6
40%,-0.5952952493229603,-0.12153186816942999,28.499999999999996,-0.12307049416891404,28.499999999999996,-0.1300391441651247,28.599999999999998,-0.13863382104234076,28.799999999999997,-0.14953969111582993,29.2,-0.1628861815888328,28.799999999999997,-0.17418675464533676,29.7,-0.18690974151658088,30.099999999999998,-0.20115336712937826,30.5,-0.21552683057741737,31.0,-0.23005148420719482,31.7,-0.24615727213139804,32.2,-0.26242534078258906,32.9,-0.2770802556422747,33.6,-0.2924340711908972,34.1,-0.3088525586860882,34.599999999999994
50%,-0.3205728837007703,-0.02560337614037291,35.4,-0.025791643238014698,35.199999999999996,-0.026311661149795915,35.099999999999994,-0.02628093706288686,35.5,-0.025382222297764476,35.699999999999996,-0.024649726790152367,35.3,-0.02446514313244119,35.099999999999994,-0.024527610028240412,35.4,-0.023400465646556342,34.9,-0.02387003931449315,34.4,-0.024115989870616843,34.300000000000004,-0.023152044590531103,34.300000000000004,-0.022193475362992175,34.1,-0.02285100182314229,34.4,-0.02428437491138372,34.5,-0.024430871714651168,34.2
60%,0.13425723713873822,0.0652845886207974,51.7,0.06882938342254692,52.400000000000006,0.07674607391419172,52.400000000000006,0.08789576111119939,51.5,0.10010364729967532,50.7,0.11304617780838008,50.1,0.12807437804566407,50.0,0.14153828628281823,49.3,0.1556779582002561,48.9,0.17036738077827301,47.699999999999996,0.1847433473729093,47.199999999999996,0.19889185697581588,46.300000000000004,0.21364559490833196,45.9,0.22851060289900127,45.4,0.2440614854661169,45.0,0.2606799005860725,43.4
