,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (SFPCX),-3.7042459390622384,-1.4552469390632132,0.6,-1.592375135671836,0.8,-1.7996493500474782,1.7999999999999998,-2.0534857713561396,3.5999999999999996,-2.342760564107242,6.4,-2.6604955821122287,12.2,-2.996455550854071,23.200000000000003,-3.345694413207747,34.9,-3.7048668615745135,47.699999999999996,-4.073404237507169,61.6,-4.448290724520392,73.6,-4.827653203483518,82.0,-5.2100946160934125,87.8,-5.595646147053216,92.80000000000001,-5.984040443336675,95.5,-6.374540901324794,98.0
2nd Worst (SFPAX),-3.3269834485798953,-1.3355933903264254,1.5,-1.4125450003363966,1.9,-1.5549837547918879,2.6,-1.7526265115779511,3.5000000000000004,-1.9880747606032194,5.4,-2.2438658974028116,9.9,-2.5144458883509824,16.900000000000002,-2.798369697251577,24.9,-3.092459966764355,38.800000000000004,-3.392321218570309,51.5,-3.696918920289073,63.3,-4.007901529327898,72.6,-4.323056348546187,81.3,-4.640840129455208,88.1,-4.960453938822594,93.60000000000001,-5.282052962372932,96.1
3rd Worst (RYFCX),-3.150849282293232,-1.2670002004780623,1.7000000000000002,-1.3053613357728444,1.7999999999999998,-1.4158912377187625,2.1999999999999997,-1.5831268180886775,3.2,-1.7833452780360313,4.6,-2.007476770136494,7.8,-2.249556421224119,14.6,-2.5044970493678007,21.9,-2.767040725637319,32.4,-3.0328167108503234,42.3,-3.305312638352632,54.900000000000006,-3.5824300033345935,65.9,-3.8641649286158075,76.3,-4.147113901676837,81.8,-4.429862254279108,88.6,-4.713919825291867,93.0
4th Worst (SFPIX),-3.1037948400041744,-1.1660433086037896,1.2,-1.2006823864889844,1.5,-1.300383196122029,1.7999999999999998,-1.442320904605037,2.3,-1.6186711138622671,3.5999999999999996,-1.8224251304388182,5.6000000000000005,-2.044307895302126,9.1,-2.2757024997379847,15.0,-2.5146692601731746,23.7,-2.7622214899602375,33.1,-3.0134416131850785,44.800000000000004,-3.265993035181351,54.800000000000004,-3.5200801805053024,65.2,-3.778296194734824,74.4,-4.040230289339633,81.3,-4.304098890458099,87.0
5th Worst (RYFAX),-2.7839416398236696,-1.076964639704078,2.3,-1.111099539659452,2.5,-1.2039461665899922,2.9000000000000004,-1.3335887562872761,3.5999999999999996,-1.4950244023894177,5.3,-1.678955022223893,8.1,-1.8824519988283726,13.4,-2.094058996076163,19.0,-2.3148914275254544,27.1,-2.5433881710429325,37.6,-2.7749852298997335,47.8,-3.010513294330598,58.9,-3.2481321581851907,68.60000000000001,-3.4878518204971316,76.1,-3.7286792070504973,82.39999999999999,-3.9712570176879742,87.7
10%,-2.493791201185382,-0.9089895468266268,2.6,-0.93728286407568,2.5,-1.0099238476142083,2.5,-1.121324843865798,3.5000000000000004,-1.2559783668679145,5.6000000000000005,-1.411342475863306,8.0,-1.5813967815058165,12.4,-1.7612676388757036,16.3,-1.9474414282735932,24.2,-2.1378222628045798,31.900000000000002,-2.3308744943096174,39.900000000000006,-2.5268213052025477,50.3,-2.7244254084419044,59.3,-2.923582635334091,68.8,-3.1247797714289054,75.1,-3.3263353194897647,81.3
20%,-1.8730755068278837,-0.6159184701738897,5.4,-0.6315669784262242,5.2,-0.6797632042038505,6.0,-0.7505711894053879,7.1,-0.8424544645960143,8.5,-0.9459071625318132,10.9,-1.056042879062412,14.299999999999999,-1.1726512372319877,17.1,-1.298021500552258,21.9,-1.42292077482273,26.8,-1.5490661280193854,31.0,-1.6768112427917523,38.4,-1.807476703541751,46.400000000000006,-1.9400393519895514,53.400000000000006,-2.073911343365039,59.5,-2.2077891939856116,65.8
30%,-1.487165526648365,-0.3989359488640018,7.3999999999999995,-0.40898390068613344,6.9,-0.4355947259190543,7.5,-0.4793784522288279,8.6,-0.5312744390011194,9.5,-0.5965483529551011,11.0,-0.6669737007408574,13.600000000000001,-0.7395470429022987,15.2,-0.8166864189351698,18.099999999999998,-0.8955944597365778,20.8,-0.9754757547662507,24.2,-1.0567882421356258,27.500000000000004,-1.1371328917506207,31.900000000000002,-1.2181554884582133,36.4,-1.3012547647954327,40.5,-1.3854989538181648,44.800000000000004
40%,-1.11105774921393,-0.2071863243238541,11.200000000000001,-0.2145098510223124,11.5,-0.22632722671680391,11.4,-0.24740210893740255,11.799999999999999,-0.2734078277443367,12.1,-0.30419807392549786,13.200000000000001,-0.33733261618058064,14.799999999999999,-0.3704726115375744,15.8,-0.40728579957585326,17.5,-0.4421789160188628,18.9,-0.4792081712139685,20.8,-0.518837090150893,21.9,-0.5590761826536429,23.599999999999998,-0.5991900935044813,25.0,-0.6412007701818114,26.700000000000003,-0.6820341943993027,28.799999999999997
50%,-0.16213624112646893,-0.03359031047698919,42.5,-0.03292116946154707,42.5,-0.031565922260813124,42.3,-0.030798869043666983,42.1,-0.028409659348158093,41.8,-0.03031134910818772,42.1,-0.02887860357229349,41.5,-0.02951438034789553,41.699999999999996,-0.029800196713588564,42.1,-0.029107197067217875,42.199999999999996,-0.029383252078848877,41.699999999999996,-0.030198196867489542,42.199999999999996,-0.033083283021589555,42.1,-0.03421613733376791,42.9,-0.03410043444404659,43.8,-0.034448128029992864,43.4
60%,0.23903890547703616,0.14533448926562004,54.6,0.15216727639287647,54.300000000000004,0.16461507011027737,53.400000000000006,0.18407349916633198,52.400000000000006,0.2092908415688476,51.0,0.23855368823542103,49.1,0.2755387607912799,47.5,0.31086539715691786,46.0,0.3471720937048971,43.9,0.38561758008543745,42.199999999999996,0.4247457140762065,39.7,0.463449389203882,37.4,0.5031571585494949,36.3,0.5424470404464093,34.2,0.5830644584302742,32.1,0.6235714967300358,31.1
70%,0.4465546245847781,0.3296064345896782,55.400000000000006,0.33790203354426607,54.800000000000004,0.36587354816769635,53.300000000000004,0.4110889338449841,50.9,0.46663549751261213,47.599999999999994,0.5310316362438773,44.2,0.5992436493257628,41.0,0.6743851388667645,37.1,0.7498847780625634,34.300000000000004,0.8285641021392977,28.7,0.9089845712001661,25.3,0.9897252909271497,23.5,1.0701573448607546,20.9,1.149816841778318,19.2,1.233441466196717,15.9,1.3158561598954093,13.0
80%,0.6339717154356076,0.5379807513763003,53.7,0.5537926677698575,52.900000000000006,0.6021975920289483,51.4,0.6732954076525607,46.9,0.7651769678540513,42.1,0.8697969912409659,36.5,0.9798983688374041,30.8,1.0946474683175487,25.7,1.2148986472000602,21.0,1.3389000837106109,16.6,1.466342234403281,13.4,1.5950687223164695,10.6,1.7246921909815278,7.7,1.8558403505958863,5.5,1.9879481303237787,4.1000000000000005,2.121716987089952,3.2
90%,0.9372456886192109,0.8140888641952393,57.199999999999996,0.8417973049692855,55.400000000000006,0.918249762658173,49.7,1.0308073529216444,44.5,1.1704859995692394,37.0,1.325622647904214,28.799999999999997,1.4917459932223525,22.5,1.6665587539161724,16.6,1.8484987787950486,11.5,2.036925431546546,7.1,2.2288407399260572,3.9,2.4236858156096397,2.9000000000000004,2.621329374814196,1.7999999999999998,2.8214648892987935,0.8999999999999999,3.022181700425198,0.4,3.224887032429048,0.3
5th Best (HISFX),0.995631409287117,0.9776700525280266,51.4,1.0144515708702986,48.9,1.101379226219448,43.6,1.2340710416763754,37.8,1.397453903120801,28.7,1.5841010968815248,22.400000000000002,1.7869118289445063,15.5,2.001655325424625,10.2,2.226371334026739,6.0,2.4565230904460296,3.5000000000000004,2.689440214456689,1.9,2.926564470177811,1.0999999999999999,3.1631580578738516,0.6,3.40146369688662,0.2,3.6420230887619183,0.2,3.883681824388405,0.1
4th Best (FMFVX),1.0126955669672015,1.0826520307462433,46.400000000000006,1.1062025922622438,45.1,1.1972361920792427,40.1,1.3383389288458083,32.1,1.512937881142733,25.1,1.7135089448657927,19.2,1.9361271037660837,12.6,2.1716860324384664,7.199999999999999,2.414792346282971,3.6999999999999997,2.663170227440376,2.5,2.916389226644083,1.4000000000000001,3.171557634285061,0.8,3.4296488411592145,0.5,3.689212972768698,0.2,3.9496076034693486,0.1,4.21161872530805,0.1
3rd Best (RMBNX),2.132655631889499,1.189562512840229,89.3,1.2157545150406974,88.9,1.3105904330812423,86.3,1.4640914920263257,81.8,1.6602476539031232,74.2,1.883983983624993,62.3,2.126470755897901,51.6,2.381613242011145,37.3,2.6452063302861024,26.3,2.9138179030336233,18.7,3.1880771532050014,11.700000000000001,3.4667604644828214,6.7,3.749507930400316,3.6999999999999997,4.035173751178427,2.1999999999999997,4.322690608301791,1.0,4.6115625249878684,0.3
2nd Best (RMBKX),2.456368288486846,1.2452754337180205,93.7,1.3180514850196707,92.7,1.454122306628873,90.10000000000001,1.6401388884061916,85.5,1.8665208794151982,78.2,2.1220858419722757,65.7,2.396076433377153,53.300000000000004,2.6808984985258975,41.099999999999994,2.9776949494354334,27.800000000000004,3.2849138032594407,17.299999999999997,3.596694894196167,11.4,3.9150549961152827,7.199999999999999,4.237185366918151,3.5000000000000004,4.561523650507014,1.4000000000000001,4.887794757595973,0.8999999999999999,5.215566466151029,0.6
