,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (FBTCX),0.10682824964313516,-1.2965652342872525,96.89999999999999,-1.3651314107679131,97.3,-1.474022921008201,98.0,-1.6157571938969482,98.5,-1.7887423558121995,98.8,-1.9856858040444931,99.3,-2.2018232315946547,99.6,-2.431939183576894,99.8,-2.67171722052962,99.9,-2.9200926415697364,99.9,-3.174764680738912,99.9,-3.436261299251656,100.0,-3.7021527148265094,100.0,-3.9713552991612513,100.0,-4.243138636849145,100.0,-4.516881734962971,100.0
2nd Worst (PHSBX),0.14071592518527587,-1.0509250816168052,93.5,-1.1069108897874214,94.19999999999999,-1.1993161717029799,95.8,-1.319636050655818,97.0,-1.4637702254505074,97.3,-1.626418159746064,97.89999999999999,-1.8001642436006562,98.6,-1.9893354855877219,99.0,-2.188100882969645,99.4,-2.3938818386473266,99.7,-2.6066158591745006,99.9,-2.8205347177807925,99.9,-3.0375594967589388,99.9,-3.2561361911153015,100.0,-3.4762160738383647,100.0,-3.6985314717652984,100.0
3rd Worst (PCHSX),0.14398156577230575,-0.9700043576646435,91.8,-0.9945845550249923,92.10000000000001,-1.0621415833150376,93.4,-1.1642679860256788,95.39999999999999,-1.2889733853738907,96.2,-1.4310580421635641,97.2,-1.590523338971548,98.1,-1.757288571243188,98.6,-1.9344147131928182,98.8,-2.1173240137435294,99.2,-2.303114029380535,99.4,-2.4931623314495215,99.5,-2.6850337194522806,99.9,-2.878434468273957,99.9,-3.07463887298381,99.9,-3.2737037826287025,100.0
4th Worst (FBTTX),0.22719876237211742,-0.8690212648657518,91.10000000000001,-0.8941455167632637,92.30000000000001,-0.9547630311364405,93.8,-1.047578325582212,95.1,-1.160523242386646,95.8,-1.2947842247350403,96.6,-1.4387610187061983,97.39999999999999,-1.5935879188635844,98.3,-1.7547368208004552,98.7,-1.9217323958791188,99.1,-2.092169535453214,99.3,-2.2670997847596266,99.5,-2.4457360635252625,99.8,-2.627551305543055,99.9,-2.8100895869085436,99.9,-2.9923202764135275,100.0
5th Worst (PHLMX),0.2505383455521318,-0.7967306375078026,89.7,-0.8212215610790554,90.8,-0.8754857002147667,92.2,-0.9600765295212358,94.0,-1.068296967413488,95.19999999999999,-1.189046439625301,95.89999999999999,-1.3240176853257135,97.0,-1.4666375892570562,97.6,-1.6189403047505704,98.6,-1.7767458942677454,98.8,-1.9370935384506647,99.0,-2.097627394913148,99.4,-2.26116659057007,99.6,-2.42772782612614,99.8,-2.5962868635999676,99.8,-2.7657898350960575,99.9
10%,0.3567504740826896,-0.6415549056934908,89.0,-0.6631462977777299,89.5,-0.7125624437598864,91.0,-0.7813861047654187,92.7,-0.8731984372495506,93.89999999999999,-0.9773719259500945,94.89999999999999,-1.0907611267075508,95.8,-1.2103609518828782,96.6,-1.3351070624112558,97.7,-1.4624629509681109,98.4,-1.5933988246783577,98.6,-1.727717958330471,99.1,-1.8635625480646982,99.1,-2.001345939998014,99.6,-2.1406702072900883,99.6,-2.281793049444792,99.8
20%,0.6219699632511424,-0.4024346300644583,89.3,-0.4131434632614571,89.9,-0.44354546119409055,90.7,-0.492513130120931,91.5,-0.5509198257127538,92.30000000000001,-0.6150094699307334,93.2,-0.6889409906968841,94.39999999999999,-0.7664350332602383,95.1,-0.8500245425345004,95.89999999999999,-0.9357475691487858,96.89999999999999,-1.0252225796829308,97.8,-1.1165750172636808,98.1,-1.2079728233650235,98.6,-1.3000378588906916,98.8,-1.3923034984239901,98.8,-1.48529591544313,99.1
30%,0.958625902162199,-0.22388052816288506,92.4,-0.23001524604248183,92.60000000000001,-0.24981253958721658,92.7,-0.2782097907871644,93.4,-0.3129234428371209,93.5,-0.3554084719307275,94.3,-0.40205906954247933,94.69999999999999,-0.4502860590888462,95.39999999999999,-0.5002703994847215,95.8,-0.5509018604421896,96.5,-0.6037380308682219,96.7,-0.6580901365127174,97.1,-0.713921326986711,97.6,-0.7709482601173322,97.7,-0.83003312532258,98.1,-0.8898571022883212,98.4
40%,1.100705569850396,-0.06661201121988108,92.0,-0.06987926164110476,92.10000000000001,-0.0785740419934545,92.4,-0.0919482778310628,92.7,-0.11130329746951327,92.80000000000001,-0.13276939773064036,93.2,-0.15659629857971255,93.0,-0.1816412238950616,93.4,-0.20610635068258334,93.89999999999999,-0.2337748327675085,94.19999999999999,-0.259784919408168,94.19999999999999,-0.28589168237601276,94.3,-0.31256738284412494,94.6,-0.33938588649015755,95.3,-0.36698735138773586,95.5,-0.3954048602748298,95.8
50%,1.2113777195639621,0.07776470875828331,91.4,0.07762234207633759,91.2,0.07730743251323023,91.5,0.07776892051532104,91.4,0.07631884817457356,91.3,0.07564925188398121,91.4,0.0745623949732482,91.3,0.07458074212603132,91.60000000000001,0.07297902022056413,91.9,0.07166414259923348,91.8,0.06972275861068059,91.4,0.0693217918726652,91.5,0.06982143323099903,91.4,0.06975168111470756,91.2,0.07023604501674477,90.9,0.07141972653317046,90.60000000000001
