,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (ICIAX),-1.4955174564602327,-1.1061042041615397,31.0,-1.167881947573685,32.6,-1.2900819161174581,37.9,-1.45336604366638,45.2,-1.649612461531021,55.300000000000004,-1.867704205916206,64.1,-2.100760696904489,72.8,-2.345003822008813,79.3,-2.595443408666846,85.2,-2.8512252030464613,89.3,-3.111922200473265,92.5,-3.3765757269613186,93.89999999999999,-3.6438055496036155,95.19999999999999,-3.913094813582213,96.5,-4.183439788101883,97.5,-4.4549074036403775,97.7
2nd Worst (ICTRX),-1.3391540388227703,-0.7693667348444906,24.0,-0.8353255682363994,26.700000000000003,-0.9412692422228519,30.8,-1.0744745136759561,35.699999999999996,-1.223164070244797,42.3,-1.3841434294374466,49.7,-1.5540633678264517,58.099999999999994,-1.7297207036616162,65.4,-1.9134859159556945,72.3,-2.1043354119059705,77.8,-2.300502470085594,82.1,-2.4985806398550383,86.1,-2.6983516791952815,88.5,-2.900182797069204,90.4,-3.104201632469528,92.4,-3.309485320431211,94.39999999999999
3rd Worst (RYCNX),-1.144150533923832,-0.6198984872288991,25.900000000000002,-0.6745561313534182,27.400000000000002,-0.755043946835698,30.7,-0.8536708962016629,34.699999999999996,-0.9677708043415589,40.5,-1.095805174614093,46.2,-1.234371331546336,52.5,-1.3787193459606961,59.3,-1.5289899297277556,65.60000000000001,-1.678796942961914,70.0,-1.8299546763285017,74.7,-1.9826570341118388,78.3,-2.1379487149280223,82.19999999999999,-2.2943659449360547,85.1,-2.45232859033736,86.9,-2.611580419099882,88.7
4th Worst (RYPAX),-0.9566259054057362,-0.5415405513730616,29.799999999999997,-0.5689484108599684,31.900000000000002,-0.6216232213222967,33.1,-0.6915141699114747,35.6,-0.7748057580078164,38.9,-0.8670086901192327,43.3,-0.9668248994596345,48.6,-1.0768219726281896,53.7,-1.1892219298715023,59.0,-1.3059587492341804,63.7,-1.4244369877640735,68.2,-1.544638639487449,71.6,-1.6644615646692265,76.2,-1.7854375344261175,78.9,-1.9075327894752758,81.39999999999999,-2.030090800948383,83.3
5th Worst (RYTSX),-0.8621535360720312,-0.4693511243919193,32.300000000000004,-0.46919180869848215,31.1,-0.49175676670801605,31.2,-0.5347233939248262,34.5,-0.5950249614559489,37.3,-0.6635187212913864,40.400000000000006,-0.7418007354025824,43.3,-0.8231353220676305,47.0,-0.9103990509230475,50.1,-1.0019190842559957,53.400000000000006,-1.0932906121378643,57.49999999999999,-1.185169267796009,61.0,-1.2795720611797279,65.0,-1.3741812587063285,68.10000000000001,-1.4692534572946396,70.39999999999999,-1.564029733702307,72.0
10%,-1.2221519358834074,-0.6796857862751357,24.5,-0.7388639061066106,27.1,-0.8295340649905595,30.0,-0.94199234319138,34.2,-1.069928110702854,40.300000000000004,-1.2111404765434346,48.1,-1.3622481460583822,54.50000000000001,-1.5191198890410642,61.9,-1.6827883242189314,67.80000000000001,-1.8490123305395367,73.9,-2.0181737938313384,78.2,-2.189026476409119,82.6,-2.362109900634926,85.8,-2.536692685789314,88.4,-2.713077807190227,89.7,-2.890742379632414,91.7
20%,-0.9377314315389953,-0.5271026659768331,30.599999999999998,-0.5489970904276711,31.8,-0.5956499303994406,32.7,-0.660156014714145,35.3,-0.7388495986974428,38.4,-0.8263106963536633,43.0,-0.9218200666482239,47.699999999999996,-1.026084642516078,52.5,-1.1334573540818114,57.3,-1.2451508162385434,62.0,-1.3582077126388312,66.0,-1.4727447651491608,70.0,-1.5874836639713268,74.0,-1.7031862792821597,77.4,-1.8198769230391485,79.7,-1.9368785874991679,81.39999999999999
30%,-0.7883159711070633,-0.40062367195330806,31.3,-0.391404224630459,30.5,-0.39912836916689765,31.3,-0.42770418194645016,32.5,-0.47134849518433886,34.699999999999996,-0.5261572918833718,38.2,-0.5872038076215865,40.1,-0.6511787510896839,42.8,-0.7161759496129304,46.0,-0.7850657255945915,48.4,-0.8573401377562325,51.6,-0.9312605110003981,54.2,-1.0055286966013577,57.699999999999996,-1.0800713596081117,60.3,-1.1550305411636914,62.3,-1.2310359314174315,64.3
40%,-0.5601109273708893,-0.2220503643864677,32.800000000000004,-0.21028853371730705,32.2,-0.20903429923911693,32.4,-0.21847633877257885,33.6,-0.23727724024150643,34.2,-0.26219929705951517,36.1,-0.2901826348271029,37.3,-0.3203403056338512,38.2,-0.3526702350538304,40.400000000000006,-0.38573235549196616,42.6,-0.418473595562767,44.5,-0.4517783268241227,46.1,-0.48581425185349636,47.099999999999994,-0.5208941435679421,48.5,-0.5564947419050069,50.3,-0.5920672594860064,51.300000000000004
50%,0.8121092094603768,-0.025164929685992866,85.2,-0.02461170478766024,85.1,-0.02227166474222649,85.5,-0.018409957931866647,84.8,-0.014114310339616904,84.8,-0.017637788719226388,84.0,-0.01739590138549558,84.2,-0.01289085020166096,83.6,-0.007162260433195776,82.5,-0.0016236279554190495,82.1,0.002874720544488248,81.3,0.0076085081237617265,81.39999999999999,0.011487194029592456,80.60000000000001,0.01732553745447762,79.60000000000001,0.023164856172478706,78.3,0.02820900299074978,77.5
60%,1.1657764457803395,0.17234594153806876,88.2,0.1646837995556004,89.7,0.1675658921546264,89.3,0.1835639159089427,88.6,0.20815159966251748,88.2,0.24283262312991172,87.4,0.2784131000661889,86.6,0.3136477442161276,86.0,0.3509734465057852,84.5,0.39047687691390387,82.19999999999999,0.4292826680107107,79.9,0.467312005434512,77.8,0.5054866425180117,76.5,0.5440912660197641,75.0,0.5833697969127468,72.6,0.6229809548177712,71.0
70%,1.252315790277705,0.3422237346199255,85.5,0.338472875572871,85.9,0.35685537920695093,86.1,0.39041971145083754,86.1,0.4439686628694454,84.5,0.5057693340706699,82.8,0.569127283526001,79.80000000000001,0.6368474207902516,76.2,0.7072568266391318,73.5,0.7801309259467221,70.3,0.855749755608751,66.4,0.9328172793096534,63.1,1.0119470588272674,61.0,1.0909566036540363,57.099999999999994,1.1694001792798432,53.800000000000004,1.2477702324933997,50.7
80%,1.3865520248944674,0.47685469285417875,85.5,0.49865063608254845,85.2,0.546114878726474,84.39999999999999,0.6118537421344427,82.39999999999999,0.6915613199962003,80.30000000000001,0.7851922835951315,76.8,0.8905681289883823,71.8,1.000117700475621,66.8,1.1130686995045358,61.1,1.2273592143154526,55.300000000000004,1.3435947652981186,50.4,1.462159395412603,45.5,1.5821227016112844,41.099999999999994,1.7028364975982557,37.9,1.824981397774477,34.699999999999996,1.9483840533500922,31.0
90%,1.469216405441744,0.6392288041236684,83.89999999999999,0.700591266908335,81.8,0.7909598211805158,79.3,0.9041015199315318,75.3,1.0325464943988203,71.3,1.1721673630697538,66.0,1.3199774478592812,56.699999999999996,1.4766746715883072,49.3,1.6391633580513971,42.9,1.806265535646784,36.5,1.9761357756225506,30.2,2.148311964431428,25.2,2.32187836320987,20.200000000000003,2.49751735290356,17.2,2.6746207408946194,13.900000000000002,2.8527422597189616,11.4
5th Best (FCYIX),1.2601597135822302,0.4045386309937333,84.0,0.4147303507459831,83.89999999999999,0.4471498221006566,83.6,0.4991559377364602,82.89999999999999,0.5634766208062015,80.80000000000001,0.636832000658475,77.3,0.7229076411091659,74.2,0.8107848879730514,69.39999999999999,0.8999444806195331,65.3,0.9927113012754355,60.9,1.0893394138662749,56.8,1.1866725473158435,52.800000000000004,1.2835139157147766,49.6,1.380718388487365,45.5,1.478141303835458,41.9,1.5749245501656481,38.1
4th Best (FCLIX),1.4181501027225263,0.49493370831929007,85.1,0.5196307074166896,85.2,0.5708561428829282,84.39999999999999,0.640028193233938,82.1,0.7235824947936998,80.30000000000001,0.8222823543292954,76.4,0.9324832509581863,71.0,1.0474509036012631,65.60000000000001,1.1663497542257861,60.099999999999994,1.2860211925754568,54.0,1.4071586031560792,49.2,1.5310311074367928,43.8,1.6567748980854107,40.1,1.783366024875978,36.4,1.9116914212592315,33.1,2.0417489291462028,29.299999999999997
3rd Best (FIKEX),1.4197585841782903,0.5756033723762847,83.5,0.6333232009911226,82.6,0.714105327165426,79.7,0.8149011030547427,76.8,0.9295492520777128,72.89999999999999,1.0548402630790354,68.0,1.1870312095954896,61.199999999999996,1.3282947357418835,53.800000000000004,1.4763169148721678,47.9,1.628924859286558,40.6,1.7830551476734162,34.9,1.9385690592576152,29.7,2.0948375691153447,25.8,2.2521443723741594,22.400000000000002,2.411406932531858,19.400000000000002,2.5715993029844673,15.8
2nd Best (FSRFX),1.5434031373369241,0.7346669517447437,83.5,0.8014933657841539,80.5,0.90624156220315,78.0,1.037902145246715,73.6,1.1870423578804812,67.80000000000001,1.3481580130558308,60.199999999999996,1.5193968052549682,51.6,1.6992445753579428,45.4,1.883433022820241,37.1,2.0722765501871225,30.0,2.265756717546252,23.599999999999998,2.4629263221921476,19.5,2.662439554351658,15.6,2.8655768236976606,12.1,3.069441453438761,9.9,3.274456694820702,7.6
Best (FSDAX),2.334335853874143,1.0769917629434909,92.60000000000001,1.1452526920273367,90.9,1.2707044371031269,88.7,1.4347171523866298,84.1,1.6293105568502084,77.7,1.845425362154156,69.6,2.07748933613054,61.8,2.3202986305391144,53.1,2.5722322118779437,44.1,2.8300031240983676,35.199999999999996,3.0928121242980247,27.500000000000004,3.359266618297188,21.099999999999998,3.6291357316029353,16.2,3.9005773978326506,12.1,4.174555903428242,9.4,4.450251187820105,8.1
