,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (RYSYX),-7.719201851419831,-2.761351432384495,0.0,-3.276597079103754,0.0,-4.144242404960396,0.1,-5.205626572212314,0.8999999999999999,-6.384225085034736,7.6,-7.624830302062046,40.9,-8.903007318310944,83.2,-10.205914430563027,98.8,-11.525273052058504,100.0,-12.856750953451417,100.0,-14.19721130091527,100.0,-15.545973617976557,100.0,-16.899566772232696,100.0,-18.257280047870314,100.0,-19.618005165284398,100.0,-20.980767924581464,100.0
2nd Worst (PLICX),-7.243739681196821,-2.668513021141636,0.0,-3.031415262140484,0.0,-3.764680455092606,0.1,-4.716846810182764,0.3,-5.770435341799715,3.4000000000000004,-6.890170790989385,30.7,-8.042428629831765,79.5,-9.219133283526963,99.2,-10.411764583695122,100.0,-11.617436272581857,100.0,-12.83170601354244,100.0,-14.048596285123914,100.0,-15.269907834403607,100.0,-16.494487045098264,100.0,-17.7241333221689,100.0,-18.95804690599977,100.0
3rd Worst (Popular Core Equity C),-6.806871991363206,-2.5857018694770293,0.0,-2.8886942669670237,0.0,-3.55508581362665,0.0,-4.43552949258804,0.2,-5.432368252367497,2.4,-6.481098439768673,30.8,-7.5696807669438115,83.5,-8.67885348010429,99.6,-9.804749396527747,100.0,-10.939490196241676,100.0,-12.081296169918964,100.0,-13.231392654129653,100.0,-14.385886896759306,100.0,-15.54345956502504,100.0,-16.701699284246605,100.0,-17.860583410263484,100.0
4th Worst (MXVJX),-5.516425894467287,-2.5205262003939253,0.0,-2.787733862082725,0.0,-3.4169706214386135,0.2,-4.253184852498629,1.7999999999999998,-5.201063064903047,26.700000000000003,-6.205301350486003,85.7,-7.242067470050426,99.8,-8.303112035254877,100.0,-9.379307840699184,100.0,-10.46796009388609,100.0,-11.56647962202574,100.0,-12.671818814715925,100.0,-13.779097703317374,100.0,-14.888472349175,100.0,-15.999294794231703,100.0,-17.111067034831766,100.0
5th Worst (PLPIX),-5.304784379359428,-2.4566044812894123,0.0,-2.7010314912325226,0.1,-3.307130651128478,0.2,-4.110388178557408,2.3,-5.0211315904097775,28.000000000000004,-5.999371729068526,87.0,-7.011970254830152,99.9,-8.045647543639955,100.0,-9.090694186758311,100.0,-10.143139716616945,100.0,-11.201841074435594,100.0,-12.26621688783513,100.0,-13.33465253434518,100.0,-14.407925553246743,100.0,-15.483292364584727,100.0,-16.561257321608508,100.0
10%,-2.4917072748511884,-1.2238277532401596,1.3,-1.3352543568787059,1.3,-1.6205405568578763,2.9000000000000004,-2.00766757202886,12.9,-2.448002341743343,43.7,-2.9147132826826607,82.19999999999999,-3.4008657989129607,98.7,-3.8979214571582634,100.0,-4.400918378024404,100.0,-4.908527196125861,100.0,-5.420508633303669,100.0,-5.933137072755209,100.0,-6.449292259331263,100.0,-6.965265282255397,100.0,-7.483523818434147,100.0,-8.002371629337308,100.0
20%,-1.655293321243416,-0.8039908401603586,3.3000000000000003,-0.8775779839963878,4.3999999999999995,-1.0652480742558355,8.1,-1.3162063618348456,20.7,-1.6027984682972722,42.6,-1.909133011030186,72.6,-2.2272750491238513,90.7,-2.5506875776603324,98.4,-2.879531071513881,100.0,-3.2112708096331435,100.0,-3.5447552142161447,100.0,-3.8810773844301623,100.0,-4.218636226643148,100.0,-4.558129464300299,100.0,-4.900071537963866,100.0,-5.241556668164355,100.0
30%,-1.1281914757790303,-0.5042316985668689,7.1,-0.5506204625137527,8.6,-0.6659113701554732,13.700000000000001,-0.8243379040687985,22.400000000000002,-1.002847219748466,37.5,-1.1913946795346815,54.900000000000006,-1.3887358956978086,73.8,-1.5907352962894836,85.8,-1.7958442965291084,93.8,-2.0025584651720942,97.39999999999999,-2.2111672901736426,99.2,-2.419941683900762,100.0,-2.62830825093474,100.0,-2.838354788687464,100.0,-3.049379390800772,100.0,-3.260234386775522,100.0
40%,-0.6668932151033262,-0.2493768631900608,15.7,-0.27085861312067017,17.2,-0.3263961420001087,19.3,-0.40257278670326674,25.1,-0.49073346028874393,33.6,-0.5815686468656184,41.0,-0.6769438088801545,50.7,-0.77361043786614,59.3,-0.8727282589192552,69.8,-0.9737783698705931,76.8,-1.074944241792327,81.8,-1.1754648830834353,87.1,-1.2770129410662574,91.60000000000001,-1.377785404793481,93.5,-1.4789594905918941,95.6,-1.5815845136932993,96.2
50%,-0.253045325104628,-0.010264725469272257,27.700000000000003,-0.01023395176600614,27.200000000000003,-0.010889682680088886,27.6,-0.010079625260119077,27.800000000000004,-0.00985696838398448,27.700000000000003,-0.01193527259461666,28.799999999999997,-0.014049329340811762,29.2,-0.01574945959199718,28.9,-0.015287789475890129,29.299999999999997,-0.015506720787932561,29.799999999999997,-0.015966422072766186,29.599999999999998,-0.018254894908804654,29.9,-0.01884166447432099,30.7,-0.0182762404173554,30.9,-0.019749340876958375,32.5,-0.020744914247130784,32.9
