,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (LGPSX),-5.862889987741806,-2.6680682147508397,0.1,-2.9565038463000337,0.2,-3.4294550640801664,0.6,-4.036006803563425,1.2,-4.729748972962447,8.200000000000001,-5.480357457059739,31.6,-6.268889449262366,63.7,-7.081907986865242,88.8,-7.913004053720926,98.2,-8.759345875908627,99.7,-9.615812490983386,100.0,-10.480910480815664,100.0,-11.352337822625945,100.0,-12.228524502728499,100.0,-13.11003527399536,100.0,-13.994631279971491,100.0
2nd Worst (SITLX),-4.162313899948455,-2.558032969545481,1.3,-2.758448864113279,1.7999999999999998,-3.141595810263532,6.1,-3.6576577811871975,19.7,-4.274415708823631,54.900000000000006,-4.950340244971021,86.1,-5.658457532699587,98.1,-6.395682783775017,100.0,-7.155344844744214,100.0,-7.9273323001971105,100.0,-8.708653066238067,100.0,-9.49469013280435,100.0,-10.28557789877861,100.0,-11.080600266852736,100.0,-11.878299720492839,100.0,-12.679834783824804,100.0
3rd Worst (TLGCX),-4.058106747053292,-2.495078000431999,1.3,-2.6428901369225124,1.6,-2.9878306377970087,4.1000000000000005,-3.4699592118254063,16.2,-4.0416052148778,47.099999999999994,-4.667565748631164,81.69999999999999,-5.335828321217325,97.0,-6.033184915419164,99.9,-6.74936368053396,100.0,-7.479316719922736,100.0,-8.21945397776712,100.0,-8.965851441887365,100.0,-9.717141013953713,100.0,-10.47218940186544,100.0,-11.22964794407559,100.0,-11.98867322800816,100.0
4th Worst (EZTGX),-4.002624004345911,-2.4329119775210697,1.3,-2.5471785590507685,1.3,-2.8755414478969485,3.4000000000000004,-3.3314672876362525,12.6,-3.872295876699446,40.1,-4.477759281193357,75.7,-5.126087076498501,95.8,-5.801893159471248,99.8,-6.489628995650784,100.0,-7.186411398762263,100.0,-7.894437774503136,100.0,-8.608251783611333,100.0,-9.325674300117822,100.0,-10.046946263547925,100.0,-10.770551140258108,100.0,-11.495185698112548,100.0
5th Worst (EYTGX),-3.9328917200437967,-2.3705985600405164,1.2,-2.4733045087519923,1.2,-2.781798729744709,2.7,-3.2232960828381727,10.9,-3.7527756326162383,36.4,-4.336671329335774,73.0,-4.960160974357938,94.89999999999999,-5.608473102294694,99.8,-6.274667739455899,100.0,-6.95304809146269,100.0,-7.635572695094019,100.0,-8.321250555111742,100.0,-9.014098649929203,100.0,-9.711950434102043,100.0,-10.414906400675129,100.0,-11.12014568075931,100.0
10%,-1.439891032214442,-1.1580946207339946,29.2,-1.2094091639241478,32.1,-1.3537657229680122,42.699999999999996,-1.5651698365795501,57.99999999999999,-1.8186917665791007,75.9,-2.1002880273200106,90.0,-2.3996916244416506,97.0,-2.7123277609353242,99.1,-3.030266580867241,99.8,-3.3541070953554146,100.0,-3.6808766133306214,100.0,-4.013494493922629,100.0,-4.347928268765258,100.0,-4.683353153053914,100.0,-5.021623682752386,100.0,-5.360713091284047,100.0
20%,-1.0207854666269467,-0.7639639852740338,30.9,-0.800034142432738,32.4,-0.8958928665056033,40.5,-1.0325021258754936,50.0,-1.19917566078762,63.4,-1.3842091914453358,75.5,-1.5775435224242598,85.7,-1.7808428892835768,92.60000000000001,-1.988436388882777,97.7,-2.2011552129600505,98.9,-2.41746410088401,99.3,-2.634344750387112,99.8,-2.853485011905903,100.0,-3.073774876372565,100.0,-3.296100523774085,100.0,-3.5192417004093404,100.0
30%,-0.6272445175271093,-0.483451066622431,38.2,-0.5042551665099411,40.699999999999996,-0.5641223090531513,44.6,-0.6489578720405194,50.4,-0.7522285545296614,59.4,-0.8660586260262852,67.7,-0.9875307921698988,76.2,-1.1145288843351402,82.19999999999999,-1.2444488477071622,88.4,-1.3760807585005017,92.4,-1.5100763066823784,95.1,-1.6438125171727864,97.39999999999999,-1.7796541393822731,98.5,-1.9172915392480108,99.1,-2.055885617371781,99.4,-2.193533115707825,99.8
40%,-0.3591935499394619,-0.2401481820639916,40.5,-0.2507658466293902,41.5,-0.27932860114201785,43.9,-0.3210323800525814,46.6,-0.37073877451988796,49.6,-0.42637138891400367,54.7,-0.4835240191131185,60.4,-0.5461778169150577,64.7,-0.6094018033343552,68.30000000000001,-0.6733480555101387,72.8,-0.737622184336611,78.0,-0.8025212516100391,81.39999999999999,-0.8699049219952804,84.2,-0.9363808329275649,86.6,-1.0035252031615587,89.2,-1.069950990219278,91.4
50%,-0.08836905742019045,-0.012942525289547917,44.3,-0.013807847272616233,44.0,-0.014898034408029705,44.1,-0.015662994254014805,44.1,-0.015625631263099595,44.1,-0.016933466218528467,44.6,-0.016683924102632718,43.7,-0.017003546219098158,44.2,-0.016383927224648723,43.8,-0.01670797771239557,43.5,-0.01701454505776792,44.4,-0.01653924916885328,43.2,-0.017731893494524097,43.5,-0.019122535630305144,43.6,-0.018719912895156073,43.8,-0.018607387847016047,44.6
60%,0.12997524593157944,0.21234684862300332,44.5,0.2213809913936593,43.7,0.24856798648522957,41.4,0.2892171681720156,37.6,0.33752555410413665,33.6,0.39215184984120743,30.099999999999998,0.44999352512543145,26.0,0.510208076643869,23.400000000000002,0.5724589546800801,18.8,0.6336104358467777,16.6,0.6980063922558042,14.099999999999998,0.7632887776197627,11.5,0.827536187441452,8.6,0.8943456555592213,6.5,0.9584369149367105,5.4,1.023764370318407,4.3
70%,0.3905475740142587,0.4484523209286292,46.2,0.47140653919949305,44.4,0.5293350754152927,39.4,0.614405062598182,33.300000000000004,0.7170313832272502,25.5,0.8300432056380429,19.400000000000002,0.95070201366529,14.299999999999999,1.076788307221207,9.3,1.2050018115087942,5.6000000000000005,1.3352137594588185,3.3000000000000003,1.468598352637117,1.6,1.6036386081964933,0.8999999999999999,1.7398739275046977,0.2,1.8755772751445732,0.2,2.0122666114846717,0.1,2.1496739160519382,0.1
80%,0.8318024016265597,0.729212478869109,59.199999999999996,0.7624366398602165,56.99999999999999,0.8579228443317384,48.9,0.9958554691323498,38.1,1.161089556056575,25.5,1.343174936124353,16.6,1.538738927234621,9.1,1.741853774390442,3.6999999999999997,1.9496639865316956,0.8999999999999999,2.162603106614284,0.4,2.3772599649789714,0.1,2.5957629809429363,0.1,2.8139679828797717,0.0,3.03520232673719,0.0,3.256360981054367,0.0,3.47744501712049,0.0
90%,1.3188428402158994,1.1126794786727183,67.5,1.1657377548334702,64.2,1.3117923701343943,52.5,1.5227591428411738,35.3,1.7757070270253708,18.2,2.056340605370149,7.3,2.3540720500984866,2.0,2.665540742053281,0.5,2.9850195822245893,0.0,3.309194243023876,0.0,3.638059447324575,0.0,3.9705095390933667,0.0,4.303924588618139,0.0,4.640931703941509,0.0,4.978462210596187,0.0,5.318141827826325,0.0
5th Best (CEYIX),2.5303475881210296,2.248731458508916,69.89999999999999,2.363711960959046,64.9,2.6795393730549404,42.3,3.1317689831578392,13.600000000000001,3.6642887572718306,2.1999999999999997,4.2464682619741785,0.2,4.875340249650626,0.0,5.526524891225816,0.0,6.191915239573,0.0,6.8665850208672445,0.0,7.551179064315559,0.0,8.242675168734419,0.0,8.9385648212089,0.0,9.637384325569343,0.0,10.337610026923922,0.0,11.04000786480154,0.0
4th Best (VPMCX),2.627436338432699,2.3057657362235697,74.2,2.4386542652311,66.2,2.768656180684291,43.1,3.235590610132965,15.5,3.7876720181194523,2.4,4.396048304914311,0.1,5.041693760459717,0.0,5.7079437899121785,0.0,6.39918497511743,0.0,7.102019984173228,0.0,7.8083547948328365,0.0,8.521385365908166,0.0,9.239108008344585,0.0,9.961092618766697,0.0,10.686375936945824,0.0,11.413811898807685,0.0
3rd Best (VPMAX),2.7111676889059386,2.369068586120151,75.0,2.5287187891834964,65.10000000000001,2.880364742517986,41.3,3.372833224994247,13.4,3.9554355214486643,2.1,4.590391500216045,0.1,5.258439025011459,0.0,5.952720371936441,0.0,6.664671044164084,0.0,7.393114299960413,0.0,8.131758872730668,0.0,8.87563357600068,0.0,9.624788564355763,0.0,10.379721750593287,0.0,11.139106609805646,0.0,11.901053048470718,0.0
2nd Best (VHCOX),2.948003519115978,2.43671411337377,81.39999999999999,2.6418585596977153,72.2,3.041239061374655,47.599999999999994,3.5683164936311114,16.400000000000002,4.189669054433737,1.9,4.864173060785602,0.2,5.577144159260617,0.0,6.31737195042411,0.0,7.071087266090768,0.0,7.837629504110978,0.0,8.617931748138933,0.0,9.407317946445463,0.0,10.202365779329876,0.0,11.000964646716241,0.0,11.803213823701107,0.0,12.609114066294133,0.0
Best (VHCAX),2.9897892002412023,2.5171635376009007,79.10000000000001,2.8198496749604596,63.4,3.3106249404111665,33.1,3.9210225850669254,8.1,4.61160303538796,0.7000000000000001,5.362659295925131,0.0,6.150350841757116,0.0,6.964782188993502,0.0,7.801098345711955,0.0,8.651943624993931,0.0,9.51197223619519,0.0,10.379458912412202,0.0,11.25372002782393,0.0,12.133091952200346,0.0,13.016252613924221,0.0,13.902385753112954,0.0
