,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (LVPSX),-7.109885610907026,-2.540323852715359,0.0,-2.926114233873868,0.0,-3.566439299663629,0.0,-4.356022561551217,0.3,-5.242435558503823,2.1999999999999997,-6.191676447909471,16.8,-7.177247434321589,49.3,-8.187479531857793,81.6,-9.213647338891224,96.89999999999999,-10.251823864921864,99.8,-11.29834919099361,100.0,-12.351227089986223,100.0,-13.409204795259727,100.0,-14.47182455515414,100.0,-15.53759201616039,100.0,-16.605454086929306,100.0
2nd Worst (LVPIX),-5.165183270565357,-2.4435319580698605,0.0,-2.7162183257864707,0.0,-3.2418649051931627,0.5,-3.9337391814659175,4.7,-4.72577760309262,25.0,-5.5742172200188875,69.69999999999999,-6.4627847390706705,94.8,-7.375955751179243,99.6,-8.308273735657796,100.0,-9.25187392628351,100.0,-10.20449324316816,100.0,-11.161854252306403,100.0,-12.12578774078054,100.0,-13.090739137286056,100.0,-14.05786994547127,100.0,-15.027761714396838,100.0
3rd Worst (ABVCX),-4.003786917110211,-2.3726101843474496,1.0,-2.587956112395239,1.5,-3.0686211299843773,6.7,-3.718176387466905,30.4,-4.4646631495816305,74.4,-5.2640170078582615,97.3,-6.104695437275605,99.8,-6.967802092769458,100.0,-7.841198887033219,100.0,-8.724287038116822,100.0,-9.614973089461902,100.0,-10.516978847862363,100.0,-11.422201195064899,100.0,-12.332696953124305,100.0,-13.24423197736544,100.0,-14.156430925175457,100.0
4th Worst (OCLVX),-3.9916578801725118,-2.308659809122426,1.0,-2.4873299223250602,1.0999999999999999,-2.9435939351047886,4.6,-3.564058933044353,21.3,-4.275890225481508,64.60000000000001,-5.051444649013292,95.1,-5.853284763573823,99.8,-6.673478057571028,100.0,-7.508018602538599,100.0,-8.357280795196354,100.0,-9.213064648236484,100.0,-10.072208522640121,100.0,-10.935168558183923,100.0,-11.804691193333753,100.0,-12.679418714668088,100.0,-13.556976556778457,100.0
5th Worst (FVLCX),-3.967957554610352,-2.232453098296828,0.8,-2.410828336698562,0.7000000000000001,-2.8474352702985732,3.9,-3.4460325130025784,18.3,-4.139943643136314,58.4,-4.8815403488132,92.0,-5.650649522390523,99.5,-6.44820698562096,100.0,-7.259193287265776,100.0,-8.078986311580339,100.0,-8.908410999268119,100.0,-9.743292038810406,100.0,-10.58101971430426,100.0,-11.418522558037198,100.0,-12.258122740690569,100.0,-13.102764102813602,100.0
10%,-1.797083855886669,-1.1067352323225643,9.2,-1.1871490553732647,12.3,-1.4002574925480487,20.4,-1.6915766072085794,38.2,-2.0290644345602473,65.5,-2.3961844022485717,87.0,-2.77804757809778,97.3,-3.170906564102318,99.8,-3.5717646992827032,100.0,-3.9776036672689017,100.0,-4.386330447566807,100.0,-4.799318779934688,100.0,-5.215420123098422,100.0,-5.6331588332209,100.0,-6.049459438024535,100.0,-6.465644297650057,100.0
20%,-1.1075383606128508,-0.7213093726803641,21.5,-0.773561474948541,23.9,-0.9123022505893478,32.4,-1.1052166962299144,46.6,-1.3272082131448946,64.9,-1.5695094443882864,81.10000000000001,-1.8208001038445254,91.9,-2.0798144003970807,97.2,-2.3429038732662937,99.2,-2.609272056916541,100.0,-2.8773684231184853,100.0,-3.146928154621891,100.0,-3.4182498370272913,100.0,-3.6907867505122134,100.0,-3.9645427535632245,100.0,-4.238800565513593,100.0
30%,-0.5377659083643915,-0.44274945689524553,39.900000000000006,-0.4755602196542027,42.9,-0.5612962311226484,49.4,-0.681767672625376,59.699999999999996,-0.8204976522764448,69.5,-0.9709644508013593,79.60000000000001,-1.1281352698025886,87.5,-1.289326806528958,93.0,-1.4540659614085476,96.39999999999999,-1.6193955091980516,98.1,-1.7873606225880936,99.3,-1.9559949008945003,99.9,-2.124811063989802,100.0,-2.293579848229395,100.0,-2.464431559619259,100.0,-2.6369269737217715,100.0
40%,-0.11306116218318067,-0.2063185298122202,55.900000000000006,-0.22321277721452912,58.099999999999994,-0.26403158605555566,60.9,-0.3218646214705415,64.2,-0.39060406369708556,68.8,-0.4629390399363831,75.2,-0.5385710277881639,80.2,-0.6167412353121006,84.1,-0.6963428717326413,87.7,-0.7764386132660153,89.9,-0.8557540509898192,92.5,-0.9373716884848027,93.7,-1.0197966786281278,95.8,-1.1011756705178313,96.6,-1.182494127111557,97.5,-1.2630973073904515,98.2
50%,0.3409909741921265,0.013132054188467033,73.0,0.01167283840808625,73.1,0.011877036272984786,73.6,0.011545644135745724,74.3,0.012591409530576076,73.6,0.011344391659864774,74.1,0.011365749395381451,73.9,0.012671039557907087,73.4,0.011028623074459978,73.1,0.01043404717645383,73.6,0.009230188107218075,73.7,0.008935006815822422,73.6,0.008975508011028858,73.1,0.009755658865631116,72.2,0.00941647069146673,72.6,0.007885710125690275,72.39999999999999
