,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (PMVCX),-3.385478203269033,-2.1476645772846608,4.6,-2.3978774973469625,8.200000000000001,-2.7836443533143482,17.7,-3.2567581889504718,41.0,-3.7948066905838407,66.2,-4.382595386468147,88.4,-5.001062714158161,97.2,-5.639551369019606,99.4,-6.293872893012025,99.8,-6.960240433378518,100.0,-7.635885173499921,100.0,-8.319418566065881,100.0,-9.00958597682641,100.0,-9.703862307533564,100.0,-10.401609759588581,100.0,-11.1027517712531,100.0
2nd Worst (PAMVX),-3.0370771917107704,-2.055424921199343,6.9,-2.2167175996271817,11.700000000000001,-2.5050669651461823,18.5,-2.8894040018932956,36.0,-3.3438121954413007,64.7,-3.8486169391704856,88.3,-4.3926113141802805,96.89999999999999,-4.958143803942825,99.3,-5.540316198821806,99.9,-6.133894765844359,99.9,-6.734372387156279,99.9,-7.3399756068236,100.0,-7.949067423996902,100.0,-8.563406768839881,100.0,-9.181126073984025,100.0,-9.800368449574988,100.0
3rd Worst (MDPSX),-2.8661319154795524,-1.966223528973017,9.5,-2.084508419392254,11.700000000000001,-2.3336446806203077,18.4,-2.6858932106523414,36.3,-3.1041357354125387,62.2,-3.5736492026270463,85.6,-4.0758729574973565,96.1,-4.601816224292925,99.1,-5.140626745668895,99.8,-5.688695719167872,99.9,-6.2460706752904205,100.0,-6.809891902719175,100.0,-7.37944147108732,100.0,-7.9515459378489295,100.0,-8.526792971393949,100.0,-9.103924971412493,100.0
4th Worst (GWSCX),-2.519938333015195,-1.9102637129181792,16.6,-1.9879002369543133,18.2,-2.2149337402378584,27.500000000000004,-2.5375453379261934,48.4,-2.9411448791845816,72.39999999999999,-3.385908214839227,91.10000000000001,-3.857861555678915,97.6,-4.352772129410463,99.5,-4.862949079676354,99.8,-5.381557887577561,99.9,-5.907740044430263,100.0,-6.440452008214195,100.0,-6.976455790869053,100.0,-7.514379616515742,100.0,-8.052184715119916,100.0,-8.593207944446108,100.0
5th Worst (GWSVX),-2.129213772868237,-1.8267438543579273,29.7,-1.903081194453624,31.8,-2.1147563098279853,46.300000000000004,-2.429172724151631,67.0,-2.811971579276861,86.9,-3.23500314287457,95.6,-3.6827307153265196,98.8,-4.148567454810978,99.8,-4.6340353874765645,99.9,-5.1327886878868245,100.0,-5.637614394069604,100.0,-6.144897260321669,100.0,-6.655989216884993,100.0,-7.1704329423319155,100.0,-7.689390355726102,100.0,-8.209455464657932,100.0
10%,-0.6461365121425622,-1.0684915051653587,77.2,-1.1150577614095327,80.10000000000001,-1.2415903663619139,85.9,-1.4297193718944012,91.3,-1.6554233644797574,95.89999999999999,-1.9051389401835372,98.7,-2.1679044755587555,99.5,-2.443798199692012,99.9,-2.7297089081107315,99.9,-3.0186199915162315,100.0,-3.3143578270441894,100.0,-3.6106874136746856,100.0,-3.906580035516832,100.0,-4.206870048172427,100.0,-4.510152720378474,100.0,-4.814364487432371,100.0
20%,-0.3070185913382038,-0.695839540826756,75.7,-0.7271600595295722,77.10000000000001,-0.8133271365981427,81.8,-0.9363426227443735,86.4,-1.0848001285022932,91.10000000000001,-1.2475674150369667,94.3,-1.4221549606999502,96.7,-1.6044100391327898,98.5,-1.7926686653981365,99.4,-1.9846985828622374,99.8,-2.1775553420533407,99.9,-2.3720688031404724,99.9,-2.5687702408641324,100.0,-2.767707391080151,100.0,-2.968820798789586,100.0,-3.1686596558651607,100.0
30%,-0.007075058067727022,-0.4319750706325095,77.2,-0.45115261249477834,78.2,-0.5055549431853985,81.8,-0.582053391982383,84.8,-0.673677855264964,88.1,-0.7774210120349418,90.4,-0.8858517867533867,92.80000000000001,-0.9988896175262794,95.1,-1.1138075918851755,96.8,-1.2316074123149587,97.39999999999999,-1.3524300353495404,99.1,-1.4753178680201606,99.5,-1.5981926146820737,99.6,-1.719586128055967,99.6,-1.8429376688812316,99.8,-1.969058767785713,99.9
40%,0.1885740658858578,-0.206494218118646,75.2,-0.21744429017191408,76.4,-0.24352683595091695,77.7,-0.2807017659005046,80.10000000000001,-0.32477728603059947,82.1,-0.37294006002827496,85.0,-0.42854746822280254,86.3,-0.48314439808689585,87.8,-0.5392291350447351,89.0,-0.5969500735313684,90.3,-0.654777585025413,91.10000000000001,-0.712405683711504,92.5,-0.7715857745266714,93.10000000000001,-0.8300643774334162,94.39999999999999,-0.8896770329828481,95.0,-0.9504001871358737,95.8
50%,0.5515630593495562,0.003411780903267866,81.5,0.0018739092286775443,82.19999999999999,0.0023796068238438207,82.19999999999999,0.0011553743828439482,83.1,0.0007303113280934905,84.8,0.00010823729105451462,84.5,0.0013157311118166025,83.89999999999999,0.0020295471802533084,84.39999999999999,0.00173985890809805,83.5,0.002871748706609689,83.3,0.0038660304953468633,82.6,0.004940686174118149,82.1,0.004163128270416336,81.89999999999999,0.003380946408144269,81.2,0.0024497519223337623,81.3,0.0022841337346335556,81.2
