,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (TCAGX),-4.355572194773008,-2.319697647277959,0.3,-2.538271683437836,0.8999999999999999,-2.8848199320461614,2.5,-3.329224096933034,8.6,-3.8417485501199007,23.9,-4.402547019633484,49.4,-4.998537445675309,74.8,-5.619355859293959,91.0,-6.26260737455193,98.6,-6.918703429015479,99.8,-7.582475431823218,99.8,-8.252508685966593,100.0,-8.927700824054332,100.0,-9.60768572042458,100.0,-10.292395843615616,100.0,-10.979546750568959,100.0
2nd Worst (TAAGX),-3.81591060139949,-2.2007752434049936,1.7000000000000002,-2.338247921171764,2.1,-2.6103476034172743,4.0,-2.9783775034781637,10.4,-3.4178158295078243,25.3,-3.9134221598343766,53.400000000000006,-4.441993111899663,79.7,-4.993781172044501,94.69999999999999,-5.559372618110348,99.1,-6.135120034153566,99.8,-6.722088454073444,100.0,-7.315241657603767,100.0,-7.913110412229802,100.0,-8.51611445886928,100.0,-9.121641210365372,100.0,-9.729990894706969,100.0
3rd Worst (TIAGX),-3.762902503891587,-2.1132510250574326,1.6,-2.2201894003137728,2.0,-2.4601750998121146,3.0,-2.8010927062924136,7.5,-3.212350291152905,18.7,-3.667803887579715,42.1,-4.1589622202493945,71.39999999999999,-4.671457280692193,89.5,-5.192991827040045,97.8,-5.7261469863222505,99.8,-6.268146109980778,100.0,-6.820128820537054,100.0,-7.379618421628611,100.0,-7.940195581934368,100.0,-8.50404819044637,100.0,-9.069563885966218,100.0
4th Worst (IOLCX),-2.5346448031488977,-2.037962276277531,20.0,-2.128095796404229,23.5,-2.352444387515292,33.900000000000006,-2.6711300316297266,58.699999999999996,-3.0623997638728175,79.5,-3.4958937287759393,93.30000000000001,-3.958167529993065,98.8,-4.438522838674623,99.9,-4.937535761867139,100.0,-5.448433287319924,100.0,-5.9663436283452205,100.0,-6.489748560436438,100.0,-7.0183685693149105,100.0,-7.551175994066053,100.0,-8.087523429605259,100.0,-8.627259636531402,100.0
5th Worst (BWAFX),-2.5002350130077176,-1.9737877878520538,19.2,-2.053476796354425,21.8,-2.265362339182604,31.0,-2.5705105754012822,53.1,-2.9386986427341295,75.5,-3.352559588078565,90.7,-3.797243710264182,98.1,-4.261616269629538,99.9,-4.738891816119605,100.0,-5.232453328091886,100.0,-5.734910964759257,100.0,-6.241681338945541,100.0,-6.7477474176270595,100.0,-7.256764124093242,100.0,-7.7686893245742485,100.0,-8.282433360545848,100.0
10%,-1.0248460582621934,-1.0878617699100293,53.2,-1.126289989884843,54.900000000000006,-1.234271668513712,62.0,-1.3964475202260573,74.0,-1.5957616861639,84.3,-1.819078862471314,92.10000000000001,-2.05740903847511,96.1,-2.306414465015832,98.4,-2.568619646905494,99.9,-2.8342742964401477,100.0,-3.104391052715953,100.0,-3.3775120744584246,100.0,-3.6533621213258316,100.0,-3.931976382532383,100.0,-4.212668605058461,100.0,-4.493882354080316,100.0
20%,-0.5313954536506672,-0.7097415690112118,61.1,-0.7352372161349274,62.5,-0.8079566384212931,66.9,-0.9140803617603743,74.7,-1.0435142154590604,81.39999999999999,-1.1898325763338138,88.1,-1.3485045890930825,92.30000000000001,-1.512138064503356,94.89999999999999,-1.6830401455225223,97.39999999999999,-1.858398787209192,98.5,-2.0376697194414906,99.4,-2.2150477108741624,100.0,-2.3976248995042746,100.0,-2.5770071849613188,100.0,-2.7598231584937816,100.0,-2.9443833541401556,100.0
30%,-0.24498762932532278,-0.4419608851559352,63.1,-0.4593814960542333,63.7,-0.5046393359856659,67.0,-0.5704703014548557,71.39999999999999,-0.6517688772022305,75.6,-0.7408425149164289,80.5,-0.8393874423868242,85.39999999999999,-0.9419748222641079,89.2,-1.0487402025433443,92.10000000000001,-1.157624753349622,94.39999999999999,-1.268301250051811,96.0,-1.3796398862348265,96.7,-1.4942727514570753,97.8,-1.6081693911656398,98.3,-1.7217185460376199,98.9,-1.836094378981282,99.4
40%,0.07761140893130017,-0.21691233656459644,69.8,-0.22449872903294552,70.39999999999999,-0.24653538997874233,71.3,-0.27843993225381974,73.1,-0.31829045421234026,74.9,-0.36350765456895295,77.60000000000001,-0.41102990816053514,79.7,-0.4609377454775698,82.69999999999999,-0.5120620351114601,84.8,-0.5638609062809153,86.6,-0.6164724915529348,88.7,-0.6668049298626718,90.5,-0.7211758200828492,91.60000000000001,-0.774563254904007,92.7,-0.8289585789105849,93.60000000000001,-0.8836366693348211,94.5
50%,0.2822847626358644,-0.0046999292093232465,69.6,-0.004917024842560176,69.6,-0.005523002409147777,69.1,-0.0066701653428925456,69.19999999999999,-0.008788717601500273,69.6,-0.00866281946108424,70.0,-0.008392085373543757,69.19999999999999,-0.0070737991632616026,69.19999999999999,-0.008837264659170344,68.8,-0.008380084179727174,68.4,-0.009333295491572137,67.7,-0.009890521908294935,67.4,-0.007526007172788795,67.2,-0.007571616863990017,67.30000000000001,-0.007310007335392535,67.5,-0.008620759740272679,67.2
60%,0.582302464302427,0.2061115363677643,73.7,0.21414882493854356,74.1,0.23449087052018036,72.89999999999999,0.2640481280892923,71.6,0.30243705684114847,69.19999999999999,0.3449287623324349,66.2,0.3927710863057355,63.0,0.44225161002281377,59.599999999999994,0.49251661043939693,56.00000000000001,0.5445630300589828,52.0,0.5970547302074811,48.9,0.6492960184926019,44.5,0.7038325129917844,41.4,0.7579483003732717,38.1,0.8133457244621447,34.5,0.8690489557715293,31.8
