,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (SMDLX),-3.4348208527596866,-2.07962332205879,3.4000000000000004,-2.3545396658486775,7.7,-2.770736438836605,17.299999999999997,-3.28055070349226,39.800000000000004,-3.865002605265753,68.0,-4.494598275161826,89.3,-5.158833801078063,97.6,-5.848407520510662,99.7,-6.553861929387105,99.9,-7.267328824272172,100.0,-7.986769614151316,100.0,-8.713435869281508,100.0,-9.445870307458662,100.0,-10.183612798730142,100.0,-10.924343525963875,100.0,-11.667729435823858,100.0
2nd Worst (LBDAX),-3.020317059906298,-1.983787828383718,7.8,-2.163398176578805,10.5,-2.491738752755072,20.0,-2.923779314612605,40.2,-3.421655551470974,70.19999999999999,-3.9729862939723835,90.10000000000001,-4.554772285578683,97.7,-5.1526251565449055,99.7,-5.763323207846259,100.0,-6.388663616153539,100.0,-7.024309576997762,100.0,-7.667422990998628,100.0,-8.314268827609903,100.0,-8.962376938886429,100.0,-9.612900655037619,100.0,-10.265592282405686,100.0
3rd Worst (CFLGX),-2.9977240064469854,-1.9258069078187132,6.9,-2.056282552844496,8.1,-2.3333145470407444,14.6,-2.72086887231333,30.3,-3.175869054883185,59.199999999999996,-3.677446265829568,83.5,-4.2115676790180485,95.5,-4.763169012196385,99.2,-5.330184534765737,99.8,-5.909173212688533,100.0,-6.495906632304832,100.0,-7.0849416006014785,100.0,-7.676096230657923,100.0,-8.270627504853307,100.0,-8.868019988323919,100.0,-9.467393115314156,100.0
4th Worst (LCBDX),-2.93661644324009,-1.8856702063181872,7.000000000000001,-1.9682615774507275,7.6,-2.213142826155401,12.2,-2.575954538826012,26.3,-3.0026116387914055,52.800000000000004,-3.474697703070034,77.8,-3.970010315330982,93.5,-4.487920116776075,98.5,-5.022593607814239,99.6,-5.56430358462289,100.0,-6.114205047435668,100.0,-6.668848137633693,100.0,-7.227919830987305,100.0,-7.790067216923729,100.0,-8.35518122310902,100.0,-8.9238358621892,100.0
5th Worst (LADIX),-2.8896669868968226,-1.8256703591051238,6.6000000000000005,-1.89093371744054,6.4,-2.1226253734224008,10.6,-2.4619474816705944,23.400000000000002,-2.869344898600465,46.2,-3.3115586859895503,73.1,-3.785328711886679,91.5,-4.2816781200691665,98.1,-4.796288644474253,99.6,-5.314922244099318,99.9,-5.834566142246127,100.0,-6.35887877040528,100.0,-6.887347966126675,100.0,-7.4217806902209595,100.0,-7.9601398361132905,100.0,-8.498784665026813,100.0
10%,-1.07981431154877,-1.0804987978472755,48.4,-1.132664469776418,52.7,-1.268568094904318,61.199999999999996,-1.4686782622548848,73.7,-1.7100558529855168,85.7,-1.9749515848818766,94.3,-2.260349759091586,98.0,-2.5529644866182566,99.5,-2.855184689031776,99.6,-3.1634128694351813,100.0,-3.4765421381465496,100.0,-3.7920245224569613,100.0,-4.110763649000446,100.0,-4.43052033851002,100.0,-4.7528075975997925,100.0,-5.076101145578128,100.0
20%,-0.5525126838645992,-0.7077995806016074,60.4,-0.7388636258038289,62.5,-0.8284841520766826,67.7,-0.9602352527885555,75.9,-1.1180647437066986,83.8,-1.2905891372133602,90.0,-1.4765958812557127,94.3,-1.6714214341535432,97.8,-1.8703674530905179,99.0,-2.071757975801937,99.4,-2.2768386567546295,99.8,-2.4848018498903373,99.9,-2.6933122810148493,99.9,-2.903379467789009,100.0,-3.1151884367167466,100.0,-3.3274019979619025,100.0
30%,-0.08033662513134947,-0.4346084818132843,71.7,-0.4512767930797035,73.0,-0.5094540078837665,77.5,-0.5905997751204297,82.1,-0.6908680566949421,85.6,-0.8017845310849727,89.2,-0.9184711553022774,93.60000000000001,-1.0382122221464647,95.19999999999999,-1.1625566660552626,97.1,-1.2898410878044955,98.5,-1.4197897059169524,98.8,-1.550054078444371,99.3,-1.6789181710745908,99.5,-1.810756523726246,99.6,-1.941897990974334,99.9,-2.072964959288008,99.9
40%,0.27219223596641584,-0.19680320904515627,78.10000000000001,-0.20982678665101676,78.9,-0.23961429714616173,80.80000000000001,-0.28111677521681816,82.5,-0.329746313888075,84.39999999999999,-0.3822379106940125,86.2,-0.4380716830939665,89.1,-0.4963661329323604,91.0,-0.5572186343718432,92.2,-0.6185809229687996,93.60000000000001,-0.6787411125790652,95.5,-0.7416318470061654,96.3,-0.8057844716712744,96.6,-0.868457464853352,97.5,-0.9323126426377446,97.5,-0.9962967982554953,98.1
50%,0.5334541395625761,0.01504037462959447,80.7,0.013947304676101328,80.9,0.011957298789749831,81.5,0.010292013989186033,81.6,0.008554200858572199,81.89999999999999,0.007703726392711425,81.3,0.006946920334033567,81.10000000000001,0.006331735384213219,81.10000000000001,0.0072711106560330195,80.9,0.008707266456156463,80.7,0.008388953924682132,80.30000000000001,0.008288285348468743,80.10000000000001,0.007263713303133593,80.30000000000001,0.006749077663665997,80.10000000000001,0.006098957309640937,80.30000000000001,0.007010882691614386,79.4
