,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (RYBCX),-0.5039199423743996,-0.8716749873679696,67.0,-0.9519434222262114,70.0,-1.056956241168427,72.39999999999999,-1.1794284590278414,75.9,-1.3166704710560877,80.10000000000001,-1.4663751486918786,84.89999999999999,-1.6251452154190345,88.6,-1.791148844997972,91.5,-1.9627615591567833,93.8,-2.1391573784359488,94.89999999999999,-2.3186158744614445,96.3,-2.5012706592096605,97.5,-2.6865843094310087,98.2,-2.8745161453343657,99.0,-3.06407434527242,99.2,-3.2546812886148606,99.3
2nd Worst (ICBCX),-0.4634659377343924,-0.7625776739274578,63.2,-0.8184026600846069,65.7,-0.8934662331323145,67.9,-0.9875453540927199,70.5,-1.093495145238182,73.7,-1.2092334971402114,78.60000000000001,-1.3333299318466216,83.0,-1.4630919504074205,86.8,-1.5984624573153405,89.0,-1.7388773493406469,91.0,-1.8835602576636703,93.4,-2.030187852600241,95.3,-2.1784419210421415,96.39999999999999,-2.3272478193292936,97.39999999999999,-2.4772782532525817,98.0,-2.6293786632318,98.4
3rd Worst (VMIAX),-0.46134803251820955,-0.7439439371042217,62.8,-0.7612370938850087,63.5,-0.8075082332662002,65.10000000000001,-0.875529593457004,67.60000000000001,-0.9575164338791144,70.0,-1.0538996025290166,72.6,-1.1594349047756038,77.2,-1.2706781486040417,81.10000000000001,-1.3872977010907734,85.9,-1.5068684906881098,87.7,-1.6283410588949248,89.8,-1.7527655477042698,91.9,-1.8789202113360903,93.2,-2.0070449596915547,94.89999999999999,-2.136554123544007,96.3,-2.26737285840095,97.0
4th Worst (SEPCX),-0.44289957925982953,-0.6815388568765522,60.5,-0.6904011272734861,61.1,-0.7277070265508228,62.4,-0.7852293508003286,65.0,-0.8586764925231235,66.7,-0.9419668584147731,70.39999999999999,-1.0343349125859653,73.5,-1.1338434207138266,76.9,-1.2383030474444423,81.5,-1.343987407214122,84.7,-1.4528961678335301,86.9,-1.5623841679888926,89.3,-1.673228716408281,90.8,-1.7861790387390442,92.4,-1.9007812195891844,93.89999999999999,-2.0164861235673426,95.19999999999999
5th Worst (DLDCX),-0.43828718605455963,-0.5985469235785698,57.199999999999996,-0.6196633668377772,58.5,-0.6574742421689834,60.0,-0.7084262435969801,62.0,-0.7744340790037941,64.3,-0.8480668499726091,66.7,-0.9286330983021155,69.6,-1.0170246654922868,73.3,-1.1101774059415255,76.7,-1.2064995958039595,80.60000000000001,-1.304904567819675,82.69999999999999,-1.4053691961170545,86.0,-1.5079304342419544,88.1,-1.6116228211396397,89.8,-1.7171131099297299,91.3,-1.8229393264768812,93.2
10%,-0.43828718605455963,-0.5985469235785698,57.199999999999996,-0.6196633668377772,58.5,-0.6574742421689834,60.0,-0.7084262435969801,62.0,-0.7744340790037941,64.3,-0.8480668499726091,66.7,-0.9286330983021155,69.6,-1.0170246654922868,73.3,-1.1101774059415255,76.7,-1.2064995958039595,80.60000000000001,-1.304904567819675,82.69999999999999,-1.4053691961170545,86.0,-1.5079304342419544,88.1,-1.6116228211396397,89.8,-1.7171131099297299,91.3,-1.8229393264768812,93.2
20%,-0.2723878009878886,-0.42507082360610443,57.099999999999994,-0.43314817326340643,57.4,-0.4521711294192314,57.99999999999999,-0.483276985325391,60.199999999999996,-0.5242711442616782,60.9,-0.570865504717357,63.0,-0.6232953998744122,65.4,-0.6806262747192158,66.60000000000001,-0.7439374546263848,69.19999999999999,-0.8088500354570917,72.3,-0.8756583425008381,74.3,-0.944166774254582,76.9,-1.0119714320747268,79.4,-1.0811508810806274,82.0,-1.1512993266906149,83.8,-1.2222627793865226,85.6
30%,-0.20006416412176167,-0.27788335435617867,53.900000000000006,-0.2788692063222221,53.400000000000006,-0.29132076737042895,54.2,-0.3099552900336314,55.400000000000006,-0.333705614659002,56.49999999999999,-0.36339889735702297,58.099999999999994,-0.39608259140728147,59.3,-0.43185911256099013,60.4,-0.46850487387589573,61.4,-0.5073466992619454,62.9,-0.5490085210070513,64.9,-0.5930458430952504,66.60000000000001,-0.6374784734299209,68.10000000000001,-0.6811026033974265,69.69999999999999,-0.7247166746173349,70.89999999999999,-0.7684668051031378,72.1
40%,0.0689096290373908,-0.12453559472994917,59.599999999999994,-0.1271069752364229,59.4,-0.13588730121485032,59.9,-0.1477352045122175,60.0,-0.16072069393580388,60.5,-0.17551616346189808,61.3,-0.19015774789945436,61.3,-0.20926182386412834,62.4,-0.22566004371908344,63.5,-0.2454258674991666,63.9,-0.2651403233852545,64.2,-0.28632958582812534,65.2,-0.30583786151679976,66.2,-0.32562138404855273,66.3,-0.34596841243225007,66.7,-0.3662567094505678,67.5
50%,0.3983790315379905,-0.00628984503694818,66.5,-0.00404670290603962,66.5,-0.002679741676205677,66.8,-0.0032468503642291272,66.8,-0.005269758635351465,67.4,-0.0027472112492119205,67.4,-0.0020574621632444626,66.5,-0.0010626119046068183,67.10000000000001,-0.00022325900966814238,67.7,0.0003072428125022384,67.2,0.001984933640555345,67.60000000000001,0.0026170816352949107,67.5,0.0027654065574638917,67.60000000000001,0.00263531059651217,67.7,0.0017136896148792218,67.5,0.00033908879086356336,67.30000000000001
60%,0.4664762957000144,0.11338847086283561,64.0,0.12012010888792438,64.3,0.12872542745484963,64.3,0.14088518487339666,64.0,0.1565080845609922,63.0,0.17124184272792697,62.8,0.18767705543418362,62.5,0.20555033445696178,61.7,0.22468634158798795,61.1,0.24339035612232743,60.5,0.26384486955012043,59.599999999999994,0.28418633298385587,59.3,0.30466803969794626,58.4,0.3249818284024173,57.49999999999999,0.34539813411456943,56.699999999999996,0.3660281307358979,55.50000000000001
