,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (SLPSX),-8.30348348904008,-2.4561822089837855,0.0,-2.748816270486895,0.0,-3.2085745129086334,0.0,-3.778068835662732,0.0,-4.428649865299705,0.1,-5.133739965364281,0.2,-5.870998305832391,2.1999999999999997,-6.634288118772259,8.200000000000001,-7.415223760941701,21.9,-8.208399222282962,42.3,-9.013127965697423,66.2,-9.825409613432539,83.7,-10.643854293075526,93.10000000000001,-11.46737017018261,98.1,-12.294519524659925,99.8,-13.12512840563199,100.0
2nd Worst (RYROX),-6.632661149452741,-2.333767593469753,0.0,-2.5293620726229102,0.0,-2.8923761764739577,0.0,-3.3791104726354044,0.0,-3.9402485967456857,0.0,-4.5523166023154245,0.8,-5.205490435814705,5.4,-5.878807660312813,17.9,-6.566209103479544,44.9,-7.267237893406798,72.89999999999999,-7.974333743894875,90.2,-8.685811962571613,98.0,-9.40022699349358,99.8,-10.119896782288844,100.0,-10.844770259427388,100.0,-11.57247081087597,100.0
3rd Worst (SLPIX),-6.348223350898386,-2.2587958883519317,0.0,-2.406000633276075,0.0,-2.719593100850204,0.0,-3.162072681952819,0.0,-3.677159099716799,0.0,-4.246934077233273,0.8,-4.849425042018915,3.3000000000000003,-5.478740517661385,13.4,-6.122195403597993,36.5,-6.775125831956641,65.0,-7.435420204569569,87.4,-8.103862759190397,96.8,-8.781194142778343,99.4,-9.46107778092613,99.9,-10.143422746403994,100.0,-10.826628066967002,100.0
4th Worst (RYRHX),-5.073572309123309,-2.203492969555984,0.0,-2.309079806473095,0.0,-2.5980529946714106,0.2,-3.009453639554199,0.5,-3.5000206524270085,1.5,-4.038100101177382,6.4,-4.611643720504865,25.0,-5.204468402957053,54.300000000000004,-5.81326794157648,83.3,-6.4322054108857,96.8,-7.0611529118303755,99.2,-7.696690234146474,100.0,-8.336644547667808,100.0,-8.978458782174366,100.0,-9.622498540180892,100.0,-10.269445620585218,100.0
5th Worst (RYRRX),-5.053605070494344,-2.115967420081382,0.0,-2.2228040373165494,0.0,-2.49691441227999,0.0,-2.8882721532552282,0.2,-3.352936656449713,1.0999999999999999,-3.8687266503357303,4.5,-4.417287811644772,16.900000000000002,-4.990250356957117,43.3,-5.576818219268678,75.4,-6.172930742731371,93.8,-6.775762276996618,98.5,-7.38397808388916,99.7,-7.995745922421859,100.0,-8.614706833990525,100.0,-9.236697339998441,100.0,-9.86073311510007,100.0
10%,-1.8312576102192297,-1.1644198959036811,9.9,-1.2179048973222044,11.4,-1.3639354603065525,16.7,-1.571508198742085,28.199999999999996,-1.8217842068565764,47.199999999999996,-2.0975968809563486,66.7,-2.3921028050482844,85.3,-2.700146119372485,94.89999999999999,-3.015241583230194,98.6,-3.335403620888453,99.9,-3.6590962359643364,100.0,-3.9866769101638466,100.0,-4.319186304141742,100.0,-4.652152613297883,100.0,-4.986954958160156,100.0,-5.321063651266448,100.0
20%,-1.2998904350502263,-0.7692063242143301,14.499999999999998,-0.8039970294877422,16.1,-0.8976022984438279,21.0,-1.0349692998065976,28.799999999999997,-1.2001545067645487,41.199999999999996,-1.382397887597454,56.8,-1.5771697479965459,68.60000000000001,-1.7793205319497019,82.3,-1.9853280767166286,89.7,-2.19483513192205,95.6,-2.410704757119887,97.8,-2.6262504355538994,99.1,-2.843169753740668,99.7,-3.0626613280722537,100.0,-3.280381797625548,100.0,-3.498529872490254,100.0
30%,-0.9876553104000478,-0.482146357823248,16.2,-0.5038924156494221,16.5,-0.5643154188178837,20.7,-0.6510398644608851,24.8,-0.751443760453749,30.8,-0.8648004962076365,40.400000000000006,-0.9848691437572418,49.0,-1.1103722300929328,58.4,-1.2374770883590223,67.9,-1.3671589023805555,76.9,-1.499000868955734,83.6,-1.6329122077072102,87.9,-1.7695777376105761,92.9,-1.9063919501690358,94.89999999999999,-2.04185326854594,96.7,-2.1786817463343864,98.2
40%,-0.4175247308142255,-0.24377240311448709,36.1,-0.25273934920608065,36.7,-0.2816489917049703,38.800000000000004,-0.32230772014197745,42.199999999999996,-0.37161557835489556,45.9,-0.4265207647426998,50.6,-0.48441922352110306,54.7,-0.5448501404291561,59.099999999999994,-0.6072215057193696,63.800000000000004,-0.6692889237403998,69.19999999999999,-0.7303422806258484,73.5,-0.7930095825312234,77.0,-0.8577388926203913,80.0,-0.9233850046745342,83.5,-0.9882767362868298,85.2,-1.054724168434903,87.6
50%,-0.06526716670655033,-0.019919702590614725,46.800000000000004,-0.020559924879120957,47.3,-0.020178745003999438,46.9,-0.020181820774682644,46.400000000000006,-0.020209607730669755,45.800000000000004,-0.02028927466473677,46.0,-0.02115297670224753,47.199999999999996,-0.019966085415624595,46.800000000000004,-0.02120540144993808,46.6,-0.022103806941984033,47.0,-0.024013752157812766,46.5,-0.024110682357364608,47.4,-0.02324443860632265,47.0,-0.02274915461391037,46.800000000000004,-0.024030834141731922,47.4,-0.024725282843387646,47.3
