,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (SSDCX),-3.494347364213575,-2.451518291783681,5.4,-2.6818513245209132,10.7,-3.0299359106636756,22.6,-3.4618702779619936,45.9,-3.9585896132545177,71.8,-4.502173768368339,89.2,-5.078645632721488,97.7,-5.682949025361362,99.7,-6.31002428042465,99.9,-6.952462409593278,100.0,-7.602955993349597,100.0,-8.260294298427217,100.0,-8.924680086067594,100.0,-9.594814646843215,100.0,-10.267832673944065,100.0,-10.944148154121466,100.0
2nd Worst (OCSGX),-3.2389404356128337,-2.38340357434455,9.2,-2.5067242667303242,12.2,-2.7617819110988924,21.099999999999998,-3.10933277450729,40.0,-3.530495881356414,66.0,-4.012509943584002,87.4,-4.531521367577954,97.1,-5.071783528179629,99.6,-5.6259756528929,100.0,-6.189738300370103,100.0,-6.762529481325583,100.0,-7.344290029166951,100.0,-7.930542299492622,100.0,-8.521459544050046,100.0,-9.116457633839424,100.0,-9.71566233015237,100.0
3rd Worst (SSDGX),-3.1744990373026263,-2.2951715925450777,8.1,-2.384971462573339,10.0,-2.6033661174648475,16.7,-2.923142062040434,32.4,-3.312797447304339,56.10000000000001,-3.755413424528537,81.3,-4.230979243833901,95.39999999999999,-4.730841760203559,99.3,-5.247215720925631,100.0,-5.7757034722700356,100.0,-6.316474722079313,100.0,-6.863297046187267,100.0,-7.415412697602739,100.0,-7.970863416986454,100.0,-8.52969874001885,100.0,-9.089721723223384,100.0
4th Worst (SSDAX),-2.9981746576664157,-2.2279678422891838,11.700000000000001,-2.29399863798086,12.3,-2.4876149223630155,19.2,-2.7912908683084954,35.0,-3.1644472996635233,60.699999999999996,-3.5850778158468186,83.2,-4.037310506671097,95.8,-4.511007332136061,99.3,-4.997000455716937,100.0,-5.50182272117406,100.0,-6.012576570789052,100.0,-6.532077779697426,100.0,-7.056669102902974,100.0,-7.58412094129792,100.0,-8.1141201206075,100.0,-8.648999224239931,100.0
5th Worst (SSDZX),-2.951739899060415,-2.148683445575446,10.6,-2.2112163371277305,11.600000000000001,-2.3971391795773096,17.599999999999998,-2.683228563344296,31.3,-3.0451975935881648,55.2,-3.4468306407213563,79.3,-3.8815138927160278,94.6,-4.334693057461977,98.5,-4.807903377943329,100.0,-5.290113590111561,100.0,-5.782747944682251,100.0,-6.278833698913335,100.0,-6.778809557719698,100.0,-7.286881111586922,100.0,-7.801054932281561,100.0,-8.317056179169429,100.0
10%,-1.6474739418568636,-1.1582409759992638,17.0,-1.1942609619339881,18.0,-1.2934789057065368,24.8,-1.444149888554395,33.7,-1.6292869468528675,48.4,-1.8421389675292323,63.6,-2.072983232132478,78.7,-2.313293911849319,89.8,-2.5623918450589898,96.39999999999999,-2.8199151210101654,98.5,-3.0795438482110784,99.8,-3.34393266534516,100.0,-3.612009939955579,100.0,-3.881315809015128,100.0,-4.152418884833895,100.0,-4.425727360919764,100.0
20%,-0.8525817699063013,-0.7652137982079215,42.9,-0.7877644589333861,46.0,-0.8546768270947015,49.0,-0.9519950291922974,57.49999999999999,-1.0736572430208988,66.2,-1.214150821442006,76.1,-1.3655593300762918,84.5,-1.5221527779790514,91.3,-1.6843369530779173,94.6,-1.8534226163052923,97.6,-2.024317581973042,99.0,-2.19882846141274,99.6,-2.373454064935802,99.8,-2.551271928507055,100.0,-2.7294793649938924,100.0,-2.907450746094704,100.0
30%,-0.5007464460957848,-0.48075315962176984,48.3,-0.4960483185105245,49.6,-0.536936475510412,53.0,-0.5986681052611953,56.99999999999999,-0.6733834840303808,63.4,-0.7598655996888192,69.8,-0.8519519997898635,75.9,-0.9499218930703572,82.1,-1.0528755658737277,87.2,-1.1575980165469064,89.8,-1.2634433130583107,92.9,-1.370419176137893,95.1,-1.4795189046534305,96.6,-1.5891444753201567,97.8,-1.6996226202953757,98.9,-1.8110879386454763,99.7
40%,-0.2903443897062251,-0.24013354595216907,45.4,-0.24739640098935156,46.1,-0.26631863718485543,47.9,-0.29642918271466057,51.0,-0.33316995545851863,53.7,-0.3745908244672419,56.8,-0.4194674867707118,60.6,-0.4681857325585802,64.0,-0.5161923130441337,67.2,-0.5660800513017806,72.6,-0.6173798791640839,75.6,-0.6686045955370907,78.9,-0.7213575605397743,81.39999999999999,-0.774123822933524,83.0,-0.8272352100915558,85.1,-0.8798810098745926,87.5
50%,-0.06499035669370506,-0.012818334621595347,44.9,-0.013533861052410024,45.5,-0.013738224570046274,45.7,-0.014311898866355373,46.0,-0.014423190502598602,45.800000000000004,-0.015218264630961976,46.7,-0.015976623292995713,45.9,-0.016575066628061713,46.800000000000004,-0.016017343025089798,47.099999999999994,-0.017112648923090737,47.0,-0.017716010226496173,47.5,-0.01894764614824448,46.7,-0.01819538128745283,46.9,-0.018803438001019322,47.9,-0.019396052070662705,48.1,-0.020680140421619222,48.3
