,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (SCCCX),-4.851045763187134,-2.280886486316046,0.0,-2.569883470801602,0.0,-3.001770100778831,1.3,-3.5369718443910863,4.3999999999999995,-4.148343265907277,19.7,-4.810792997118408,45.4,-5.507853762563467,72.2,-6.22476320804442,92.10000000000001,-6.9584559733922235,98.1,-7.704897856366656,99.4,-8.460358516172105,99.9,-9.222375950204492,100.0,-9.989801537540725,100.0,-10.762119968228628,100.0,-11.537825321989622,100.0,-12.316762507430193,100.0
2nd Worst (TCCRX),-4.297670277157877,-2.185730692931119,0.0,-2.3732085538302194,0.2,-2.708968029415024,1.4000000000000001,-3.158335383248871,4.8,-3.6841362009774388,18.8,-4.25720421453894,45.0,-4.862873454155342,75.3,-5.493978589531888,94.39999999999999,-6.141452205928035,98.7,-6.801630827961709,99.8,-7.469791793637052,99.9,-8.145681992653799,100.0,-8.825775406999405,100.0,-9.50901980199306,100.0,-10.19401287552245,100.0,-10.881974675942157,100.0
3rd Worst (ISMQX),-4.014686474242093,-2.1185981452533977,0.5,-2.248889947931229,0.6,-2.538527152744139,1.7000000000000002,-2.948121707332837,5.2,-3.4329419108823633,17.1,-3.967105233318908,43.9,-4.529720792742471,76.4,-5.112552124445421,93.8,-5.709723549237644,98.7,-6.318685258304418,99.7,-6.936948471785624,99.9,-7.559902448811357,100.0,-8.187554703949107,100.0,-8.817383567706639,100.0,-9.452066656942842,100.0,-10.089424378654689,100.0
4th Worst (TASOX),-4.013649815257047,-2.043375615046236,0.3,-2.142484878241219,0.3,-2.4156277332707847,1.0,-2.7969794014675844,2.8000000000000003,-3.252347785522976,11.1,-3.758070270583924,33.5,-4.2926131381335635,64.3,-4.844073449528333,89.0,-5.405938941679222,97.2,-5.979385919305576,99.2,-6.562416145981136,99.9,-7.1522411772739085,100.0,-7.746260892816941,100.0,-8.344834756225788,100.0,-8.947243319388363,100.0,-9.550881736480976,100.0
5th Worst (TCCFX),-4.0120126668014375,-1.9778123887180552,0.3,-2.060811554577938,0.1,-2.3184509702540153,0.6,-2.683224506070821,2.0,-3.116191677011378,8.0,-3.5933602877896234,23.7,-4.097742986170285,53.6,-4.625352723913797,81.8,-5.1681073298550455,95.6,-5.716210104357602,98.8,-6.269488375703995,99.9,-6.8316405012671515,99.9,-7.39900369400517,100.0,-7.971173330901413,100.0,-8.545987836052547,100.0,-9.122482300783677,100.0
10%,-1.9717652148981064,-1.171240688262429,7.3999999999999995,-1.225117149858577,8.6,-1.3666322890401932,12.9,-1.5761356638882413,21.6,-1.8304372461115836,37.9,-2.107972060146364,58.199999999999996,-2.4035413242043875,78.3,-2.710928726849531,90.8,-3.0256315162864773,97.0,-3.346532078051852,99.1,-3.6688558247491945,99.6,-3.9956789117762828,100.0,-4.323949801503063,100.0,-4.65477882406846,100.0,-4.988110528015907,100.0,-5.323241862320414,100.0
20%,-1.245272575571968,-0.7792967492437647,18.9,-0.8151307285261917,20.5,-0.9101567886325503,25.5,-1.0452146128532462,32.6,-1.2077816902600524,44.3,-1.3908493069070325,59.5,-1.5840296847175086,73.2,-1.785463706344352,85.39999999999999,-1.992358184385264,91.60000000000001,-2.2032068547431383,96.3,-2.41492973502997,98.2,-2.630665113315372,99.0,-2.847467890428138,99.7,-3.0662165123280314,99.7,-3.2853528251166066,100.0,-3.503830064715393,100.0
30%,-0.6660921152397588,-0.5006968386126385,36.6,-0.5238064435624292,38.4,-0.5812349809709524,42.3,-0.665923845403117,48.1,-0.7684555832135629,54.900000000000006,-0.8813859712033655,65.10000000000001,-0.997853193933844,73.7,-1.1201324951104943,81.2,-1.2474370154043637,87.3,-1.377503226240001,91.7,-1.5098220122235866,94.1,-1.643314822355614,96.0,-1.7781876867290953,97.5,-1.9142707292093686,98.2,-2.0493831968832064,98.8,-2.1857691879430976,99.3
40%,-0.14047691940173518,-0.26618053736015396,57.99999999999999,-0.27449429285648275,58.9,-0.3010940414668794,61.199999999999996,-0.3414775632903303,63.800000000000004,-0.3885552725443448,67.60000000000001,-0.44448203666929176,72.7,-0.5009004690162935,75.9,-0.5624369102745129,79.4,-0.6220735248195369,82.8,-0.6848668388439134,84.8,-0.746372526760518,88.0,-0.808946893251552,90.10000000000001,-0.8725406600767884,91.60000000000001,-0.9392717058787046,92.60000000000001,-1.005278654207552,93.89999999999999,-1.0706277656462269,94.5
50%,0.35724219896729265,-0.04491058291682764,76.8,-0.039922073310029886,77.7,-0.03981750334770273,77.9,-0.037687544174770105,78.2,-0.03714315692432936,78.5,-0.036792502063506816,78.4,-0.03527196032782392,77.9,-0.03474653390905105,77.8,-0.03504691695661133,77.7,-0.03372671440431861,77.4,-0.03188413452415886,77.3,-0.03052293378704726,76.5,-0.030394917707197044,75.7,-0.031079550886799895,75.7,-0.032548013809407035,75.8,-0.03281539415713541,75.7
