,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (BOGSX),-2.225405651227921,-1.5938620140616926,20.9,-1.7101397204684012,25.5,-1.8749467583595194,32.7,-2.0767793595203567,41.6,-2.30893213142736,53.300000000000004,-2.562690325242087,65.2,-2.8347110159004707,75.8,-3.1205092778471104,82.69999999999999,-3.4180144993852957,90.3,-3.723978174963046,94.3,-4.037808540335431,97.8,-4.357512731292905,98.5,-4.681822616131553,99.2,-5.009549555722562,99.8,-5.339697249812815,99.9,-5.67242522975962,100.0
2nd Worst (WIREX),-1.548060650756131,-1.4401317427106806,43.0,-1.5256198362430649,47.4,-1.657043454757886,54.400000000000006,-1.8169454435764127,63.4,-2.0050949446696906,70.6,-2.2151059744144366,78.9,-2.442989856156419,86.7,-2.681978157308899,91.0,-2.931889870884416,95.89999999999999,-3.189559775558093,98.2,-3.45292934085612,98.7,-3.7208969597559145,99.3,-3.9914111639248375,99.7,-4.265723058288296,99.9,-4.543458485699783,100.0,-4.823033320622775,100.0
3rd Worst (IFOCX),-1.4599089387733992,-1.3741858525864081,44.3,-1.4311407738420634,47.699999999999996,-1.5314091328028234,53.0,-1.6680629201523924,59.599999999999994,-1.8289838591837342,67.4,-2.0136399381800745,75.5,-2.216098308702141,81.2,-2.436570919100676,87.8,-2.6644426065654634,92.5,-2.8983715878518805,96.39999999999999,-3.1371279205223055,98.3,-3.3803223904432205,99.0,-3.6271953545228874,99.7,-3.8767002159219683,99.8,-4.129437333086314,99.9,-4.385087308420749,100.0
4th Worst (FDMCX),-1.351790291726109,-1.3324147939382494,48.0,-1.3658832949476816,49.7,-1.4472582445607745,53.1,-1.5640919622762877,59.0,-1.7089400264895935,65.7,-1.873686441671114,73.8,-2.057731750660415,81.3,-2.2551676558852676,86.6,-2.461277719287747,91.4,-2.6770397876225704,95.5,-2.898279171516493,97.8,-3.125003598012496,98.6,-3.356663300873658,99.7,-3.591297570236573,99.8,-3.8282257301313627,99.9,-4.066648798051296,100.0
5th Worst (RYICX),-1.2415464305661743,-1.2731052658335509,50.3,-1.2995476395480918,52.1,-1.368823296814699,54.800000000000004,-1.4749482401798641,59.599999999999994,-1.6070435677494512,66.0,-1.7630467613009992,73.7,-1.934417226203702,80.9,-2.1156757190151185,86.6,-2.310948078035279,90.9,-2.512109530121778,95.19999999999999,-2.720293824632891,97.2,-2.932381834295489,98.1,-3.149727774339724,99.5,-3.370494949597082,99.7,-3.5927938433809707,100.0,-3.8165355910538565,100.0
10%,-0.9939943531120039,-0.9126344014859569,45.800000000000004,-0.9287636467268274,46.800000000000004,-0.9751552550065701,49.1,-1.0491977049070156,53.300000000000004,-1.144853572360129,57.49999999999999,-1.2604591864545505,61.5,-1.386617528126767,68.4,-1.5237685994083126,74.3,-1.6664085282050773,80.30000000000001,-1.813061078736283,86.0,-1.965172813141493,89.9,-2.1181649780100957,92.80000000000001,-2.273799043503309,95.1,-2.4314390289420302,96.7,-2.5910883700457807,98.4,-2.7527408692021207,98.8
20%,-0.5629096016648425,-0.6042231883341822,51.800000000000004,-0.6113136359346304,51.9,-0.6439150162532403,54.0,-0.6987043778443894,56.8,-0.7642546871208795,60.5,-0.8403499363027847,63.9,-0.9237298439439998,68.30000000000001,-1.0126664847379734,71.89999999999999,-1.1045714547218963,75.7,-1.1986148103371583,79.60000000000001,-1.296276696426485,83.3,-1.3981543333750501,86.5,-1.5016288241937847,89.4,-1.6057899855899327,91.7,-1.7119132693443184,93.7,-1.818065766136257,95.1
30%,-0.43478634500049607,-0.38213718645217964,47.199999999999996,-0.39001126253369506,47.199999999999996,-0.4125837609527115,48.4,-0.4439736419457039,50.1,-0.4838485321901901,52.2,-0.5288930883831807,54.300000000000004,-0.5789726007708483,56.00000000000001,-0.6346996020542952,60.0,-0.6916419681030861,62.9,-0.7521253925385973,65.9,-0.8128828709106841,69.19999999999999,-0.8750427009308186,71.8,-0.9385149356199542,73.5,-1.0030573641864826,76.1,-1.0678133340082172,78.4,-1.134286930460002,81.6
40%,-0.12077072676870364,-0.19858947304942232,53.5,-0.2041634810050964,53.300000000000004,-0.21329711846176563,54.300000000000004,-0.22842047166033816,54.7,-0.24684095466727735,55.900000000000006,-0.26883598556745264,57.49999999999999,-0.2942272270809325,58.599999999999994,-0.32261254465980416,59.599999999999994,-0.34945755442717064,61.6,-0.377669717566041,63.4,-0.4100096833672156,65.3,-0.44133031282878254,66.2,-0.47160411668584745,67.60000000000001,-0.5018789815297499,68.7,-0.5345588504512692,70.19999999999999,-0.567470256831105,71.5
50%,0.28083477706016857,-0.033154183841180955,66.3,-0.029454839934110254,65.9,-0.029727770205341755,65.5,-0.028585367289383722,66.5,-0.02920005523902631,66.3,-0.028675155138374996,66.10000000000001,-0.027351097141031025,65.8,-0.027026357432188567,65.8,-0.027224633455217914,65.5,-0.026062397875404514,65.60000000000001,-0.02654994549236701,64.9,-0.02832076151805982,65.2,-0.030887773591132192,65.3,-0.032953172635606647,64.8,-0.03371369361254279,64.60000000000001,-0.03320102922926424,65.0
