,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (PUTBX),-0.25225996371524884,-0.81624987358625,74.1,-0.9441840151777783,78.3,-1.137534355470485,84.2,-1.37182525607137,90.10000000000001,-1.6320035092918734,93.60000000000001,-1.9069164840374795,96.5,-2.1937094432342885,98.2,-2.489638093820934,99.7,-2.7920983114747946,99.8,-3.1001384278270603,99.9,-3.4118516988660392,100.0,-3.726175632939333,100.0,-4.042981006337462,100.0,-4.361071761010287,100.0,-4.680132736106929,100.0,-5.000303349559536,100.0
2nd Worst (PUTCX),-0.24917389699995418,-0.7299995830956297,71.0,-0.8159174970393654,74.4,-0.9605704269605224,78.10000000000001,-1.140446108545664,84.2,-1.342644712940226,89.1,-1.5628644106432943,92.7,-1.7963436586041495,95.5,-2.039880498651029,97.7,-2.2897121875866158,98.7,-2.542877311366947,99.4,-2.7999883111439092,99.9,-3.0581273329406695,99.9,-3.3183896913977224,100.0,-3.580652959270274,100.0,-3.845793890677317,100.0,-4.1121411660075795,100.0
3rd Worst (PUTMX),-0.14460442152893807,-0.6692953997785154,72.39999999999999,-0.7326276887773566,75.0,-0.845956701920667,77.5,-0.999367259078884,82.69999999999999,-1.1749405931069923,87.3,-1.3694396557417745,91.2,-1.572172862127521,94.69999999999999,-1.7809134246382687,96.8,-1.9957351506682843,98.1,-2.216937280767558,98.9,-2.4410654962458866,99.3,-2.6676732767393543,99.5,-2.8963528933661356,99.8,-3.127252747351392,99.9,-3.3583331484859174,100.0,-3.590580782560688,100.0
4th Worst (PULRX),-0.03654167397167063,-0.6503102821641217,75.2,-0.6732515342693447,76.7,-0.7624120262756614,78.60000000000001,-0.8936982098746923,83.1,-1.053005024731194,86.8,-1.227086362610163,90.7,-1.411999516000732,93.60000000000001,-1.6040995093259596,96.3,-1.8030507875157478,97.3,-2.0035775802138893,98.5,-2.2063064282043086,98.9,-2.4125522727992146,99.5,-2.620522102124945,99.7,-2.8293995202412865,99.9,-3.039042330686189,100.0,-3.2499173365936875,100.0
5th Worst (PUGIX),0.06944406329705355,-0.5893960817324642,77.10000000000001,-0.6134898997321587,77.8,-0.696766414123287,81.0,-0.8084833191173812,83.6,-0.9504190049592242,87.4,-1.1106841872373352,91.10000000000001,-1.2828740233081248,93.7,-1.4615678018735512,96.1,-1.6405191254497493,97.0,-1.8219095485783063,98.1,-2.006341613798613,98.9,-2.1930622494684067,99.4,-2.380196561632722,99.7,-2.5698668062775147,99.8,-2.7610047434549885,99.9,-2.9517513638354034,100.0
10%,0.1430924507864547,-0.5445694376424665,78.4,-0.5623198755195749,78.60000000000001,-0.6324511611348785,81.3,-0.737973462429354,83.89999999999999,-0.8677094343951034,86.8,-1.0120112739432519,90.10000000000001,-1.1672128096192613,93.7,-1.3265883640887415,95.39999999999999,-1.4914746894092983,96.6,-1.6591595422459502,97.3,-1.828948642566454,98.4,-2.0020721045092804,99.1,-2.177157320845072,99.5,-2.352563832189078,99.7,-2.5292172461174958,99.9,-2.7066652310794397,100.0
20%,0.4654840616378995,-0.31565041709195996,80.60000000000001,-0.3450801229611646,81.8,-0.39608503196462597,84.0,-0.4654718962893332,86.0,-0.5515005027392983,87.9,-0.6453627642883629,89.4,-0.7426971927653019,91.5,-0.8484765496209856,93.4,-0.9578402472653117,95.0,-1.0683288286823445,96.2,-1.1809481197240943,96.7,-1.2949677065402934,97.2,-1.4100129410730557,98.0,-1.5263882034545342,98.6,-1.6432218185260188,99.1,-1.7613850565438303,99.3
30%,0.774469301588227,-0.1771974432066933,87.1,-0.19001418055914227,87.6,-0.2164931276514518,87.4,-0.25965083360292196,88.7,-0.3125511192182138,89.9,-0.3665792079065252,90.9,-0.428719592015198,92.0,-0.494476273233783,93.0,-0.5642345835001867,94.1,-0.6329056645575312,94.89999999999999,-0.7035918652287392,95.1,-0.7737008930523074,95.5,-0.8453594081102404,96.0,-0.9178088889741162,96.1,-0.9897608705488464,96.39999999999999,-1.0619449605948172,96.89999999999999
40%,1.1333567179101767,-0.048957219956625705,91.8,-0.04965557029635504,91.8,-0.060567411192083115,91.7,-0.08032690657514514,92.30000000000001,-0.10185746199579694,92.80000000000001,-0.1320314175837273,93.5,-0.166347567533183,93.5,-0.19717141534544977,93.7,-0.23175538626820016,93.89999999999999,-0.2656581854064864,94.0,-0.2989525915780907,94.39999999999999,-0.3347323771992332,95.3,-0.371845245429576,95.0,-0.40853067489170736,95.19999999999999,-0.4451286641493513,95.19999999999999,-0.48183207021379115,95.39999999999999
50%,1.2299447481306733,0.08618377950324438,90.9,0.08317936672137943,91.10000000000001,0.08487252622478919,90.8,0.0864931481116348,90.8,0.08505136761246186,90.9,0.08335907473476559,90.8,0.08089952110480748,90.10000000000001,0.08139009963999082,90.10000000000001,0.07986605229663926,89.8,0.07968759020930191,89.7,0.0793895111020018,89.5,0.07946751271369953,89.1,0.07798746658717066,88.8,0.07822690238458475,88.8,0.07844182833919769,88.6,0.07801342211147935,88.8
