,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (RYLCX),-0.2471397233518474,-0.24895462839907387,47.699999999999996,-0.2471397233518474,-0.2673202736183546,52.900000000000006,-0.2471397233518474,-0.29564318298548076,60.199999999999996,-0.2471397233518474,-0.331088254859361,67.30000000000001,-0.2471397233518474,-0.37191897869492097,76.2,-0.2471397233518474,-0.416129725713502,84.39999999999999,-0.2471397233518474,-0.46381700573262197,90.0,-0.2471397233518474,-0.5135626521898632,93.5,-0.2471397233518474,-0.5650964062716698,96.39999999999999,-0.2471397233518474,-0.6179336461815492,97.8,-0.2471397233518474,-0.671925094011264,98.4,-0.2471397233518474,-0.726483076242457,99.4,-0.2471397233518474,-0.7817229642190193,99.6,-0.2471397233518474,-0.8374305578355251,99.7,-0.2471397233518474,-0.8937463196646497,99.9,-0.2471397233518474,-0.9505146450825536,100.0
2nd Worst (RYLAX),-0.20378107245125407,-0.1882269224785905,44.1,-0.20378107245125407,-0.20241482406444544,47.0,-0.20378107245125407,-0.2246831797504782,53.6,-0.20378107245125407,-0.252082853228688,61.6,-0.20378107245125407,-0.28337515037639444,71.2,-0.20378107245125407,-0.31850045238326047,79.4,-0.20378107245125407,-0.3551524102284815,84.89999999999999,-0.20378107245125407,-0.3934447079652135,88.8,-0.20378107245125407,-0.43334560516669035,93.0,-0.20378107245125407,-0.47438767575945495,95.39999999999999,-0.20378107245125407,-0.5162202746648477,97.1,-0.20378107245125407,-0.558993066408492,98.2,-0.20378107245125407,-0.6023621716093988,98.7,-0.20378107245125407,-0.6461244246573122,99.1,-0.20378107245125407,-0.6901194129309498,99.2,-0.20378107245125407,-0.7343518430040283,99.5
3rd Worst (RYRCX),-0.19153319833125382,-0.1662689406478494,40.400000000000006,-0.19153319833125382,-0.17544347973498237,44.2,-0.19153319833125382,-0.1904931083265139,48.6,-0.19153319833125382,-0.21016534865532094,54.6,-0.19153319833125382,-0.23420678418920762,61.1,-0.19153319833125382,-0.26065345172746557,67.9,-0.19153319833125382,-0.29035110408123843,76.3,-0.19153319833125382,-0.32201379467770114,81.69999999999999,-0.19153319833125382,-0.3545990723603168,87.0,-0.19153319833125382,-0.3880564168315799,91.0,-0.19153319833125382,-0.42218683451281774,93.8,-0.19153319833125382,-0.45698366781864797,95.1,-0.19153319833125382,-0.4920324303412606,96.7,-0.19153319833125382,-0.5274286766340415,97.39999999999999,-0.19153319833125382,-0.5630595768421361,98.2,-0.19153319833125382,-0.5990823757636606,98.7
4th Worst (RYLSX),-0.1856417487520917,-0.15552296830632303,39.900000000000006,-0.1856417487520917,-0.1580069882074474,40.5,-0.1856417487520917,-0.16711685500853643,43.2,-0.1856417487520917,-0.18149780574676236,47.5,-0.1856417487520917,-0.20018019227552733,53.5,-0.1856417487520917,-0.2219370992854101,60.5,-0.1856417487520917,-0.24562562649343922,67.60000000000001,-0.1856417487520917,-0.27138808536011505,73.7,-0.1856417487520917,-0.2983430162336869,78.10000000000001,-0.1856417487520917,-0.3261341442718015,83.3,-0.1856417487520917,-0.3544754037293259,87.5,-0.1856417487520917,-0.3835456189263828,90.9,-0.1856417487520917,-0.41338930898814713,92.7,-0.1856417487520917,-0.4438942713711846,94.39999999999999,-0.1856417487520917,-0.4746251192391997,95.89999999999999,-0.1856417487520917,-0.5053983593695338,96.8
5th Worst (RYLIX),-0.16413090796612118,-0.1410061902263675,42.4,-0.16413090796612118,-0.14083334220037472,41.4,-0.16413090796612118,-0.14582934285784208,42.6,-0.16413090796612118,-0.15721966045210303,47.199999999999996,-0.16413090796612118,-0.17196642855894764,52.900000000000006,-0.16413090796612118,-0.18985261502906645,57.9,-0.16413090796612118,-0.21004082837092847,63.6,-0.16413090796612118,-0.23137926250414387,68.89999999999999,-0.16413090796612118,-0.2536356438928606,73.0,-0.16413090796612118,-0.2770514559744053,79.5,-0.16413090796612118,-0.3010947635632849,84.39999999999999,-0.16413090796612118,-0.32551325929137104,87.4,-0.16413090796612118,-0.3501957745314446,89.7,-0.16413090796612118,-0.3750821231339058,91.8,-0.16413090796612118,-0.4004334045883619,93.30000000000001,-0.16413090796612118,-0.42596863045584366,94.0
10%,-0.18799832858375654,-0.15982135724293361,40.2,-0.18799832858375654,-0.1649815848184614,42.1,-0.18799832858375654,-0.1764673563357274,46.0,-0.18799832858375654,-0.19296482291018577,50.6,-0.18799832858375654,-0.21379082904099944,56.99999999999999,-0.18799832858375654,-0.23742364026223226,63.5,-0.18799832858375654,-0.2635158175285589,70.8,-0.18799832858375654,-0.29163836908714946,77.60000000000001,-0.18799832858375654,-0.3208454386843389,82.69999999999999,-0.18799832858375654,-0.3509030532957128,87.4,-0.18799832858375654,-0.3815599760427226,91.2,-0.18799832858375654,-0.41292083848328887,93.4,-0.18799832858375654,-0.44484655752939256,94.6,-0.18799832858375654,-0.47730803347632733,96.6,-0.18799832858375654,-0.5099989022803743,97.6,-0.18799832858375654,-0.5428719659271847,98.1
20%,-0.13744592450119641,-0.12233330175322125,44.800000000000004,-0.13744592450119641,-0.11987194155192404,44.0,-0.13744592450119641,-0.12293459132826101,44.4,-0.13744592450119641,-0.13085069756435616,47.699999999999996,-0.13744592450119641,-0.1428310629071563,51.300000000000004,-0.13744592450119641,-0.15810940612969782,56.49999999999999,-0.13744592450119641,-0.17466115998798346,61.199999999999996,-0.13744592450119641,-0.1919121729615081,66.3,-0.13744592450119641,-0.21028556833464443,70.5,-0.13744592450119641,-0.2292958499187736,76.1,-0.13744592450119641,-0.2489950380953098,80.7,-0.13744592450119641,-0.2689950582091696,83.3,-0.13744592450119641,-0.28935994817533744,85.9,-0.13744592450119641,-0.3100129084821668,88.7,-0.13744592450119641,-0.33073198783390717,89.60000000000001,-0.13744592450119641,-0.35171088279837354,90.60000000000001
30%,-0.07604871297292642,-0.0683505265695608,47.5,-0.07604871297292642,-0.07124035775360976,48.1,-0.07604871297292642,-0.07599933933591953,49.4,-0.07604871297292642,-0.08240099374121425,51.5,-0.07604871297292642,-0.09072389301221152,55.1,-0.07604871297292642,-0.0998246625453016,58.699999999999996,-0.07604871297292642,-0.10951613929765242,61.6,-0.07604871297292642,-0.12088829498333875,64.3,-0.07604871297292642,-0.13281123976775913,67.7,-0.07604871297292642,-0.14504692882650635,71.39999999999999,-0.07604871297292642,-0.15766978521298453,75.1,-0.07604871297292642,-0.17058771411020712,77.0,-0.07604871297292642,-0.18370810395546647,79.80000000000001,-0.07604871297292642,-0.1970435052127694,81.3,-0.07604871297292642,-0.2104143829436497,82.69999999999999,-0.07604871297292642,-0.2237353831289002,83.5
40%,-0.04668769022971312,-0.040298669652270205,47.5,-0.04668769022971312,-0.03874928398323069,47.4,-0.04668769022971312,-0.0400064549613683,47.4,-0.04668769022971312,-0.04254782899110667,47.5,-0.04668769022971312,-0.04538320271884423,49.2,-0.04668769022971312,-0.048994391248355335,50.4,-0.04668769022971312,-0.05453350199132804,51.7,-0.04668769022971312,-0.06028011317881253,53.900000000000006,-0.04668769022971312,-0.06582395380729286,56.2,-0.04668769022971312,-0.07154506193109199,57.9,-0.04668769022971312,-0.07742192515470499,59.699999999999996,-0.04668769022971312,-0.08340406522149607,62.3,-0.04668769022971312,-0.08929330919378785,63.6,-0.04668769022971312,-0.09540541378143928,64.60000000000001,-0.04668769022971312,-0.10161438383617909,65.5,-0.04668769022971312,-0.10774745503911498,67.2
50%,0.0017857834602962863,-0.006839275390037153,52.300000000000004,0.0017857834602962863,-0.0056040398881028715,51.2,0.0017857834602962863,-0.004969316354224328,51.5,0.0017857834602962863,-0.004458666210209797,52.1,0.0017857834602962863,-0.0040568096535818984,52.400000000000006,0.0017857834602962863,-0.0032804390395505855,51.9,0.0017857834602962863,-0.0028326263531388714,51.0,0.0017857834602962863,-0.002174894695736488,50.6,0.0017857834602962863,-0.0019912926667414992,49.9,0.0017857834602962863,-0.0017527762596243855,50.6,0.0017857834602962863,-0.0015313693400890295,50.1,0.0017857834602962863,-0.0011859617011455556,50.5,0.0017857834602962863,-0.0012055067054830488,50.2,0.0017857834602962863,-0.001241124931595247,50.9,0.0017857834602962863,-0.0011290643225893324,51.7,0.0017857834602962863,-0.0010756953938690765,50.9
