,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (RYLCX),-2.035839759922786,-1.825980655883277,41.8,-2.035839759922786,-1.9885199870532997,46.800000000000004,-2.035839759922786,-2.231939586055927,56.10000000000001,-2.035839759922786,-2.532645102358855,64.9,-2.035839759922786,-2.8785119422508747,74.4,-2.035839759922786,-3.2576494412867265,82.8,-2.035839759922786,-3.6562222721666604,89.4,-2.035839759922786,-4.070711056309698,93.2,-2.035839759922786,-4.498733422951625,95.89999999999999,-2.035839759922786,-4.936264506476808,97.39999999999999,-2.035839759922786,-5.381289972446454,98.5,-2.035839759922786,-5.831014777997914,99.4,-2.035839759922786,-6.284912271803139,99.6,-2.035839759922786,-6.7430774079110245,99.8,-2.035839759922786,-7.204214666018704,99.9,-2.035839759922786,-7.66794134916029,99.9
2nd Worst (RYLAX),-1.6859365493143543,-1.506895141677881,41.699999999999996,-1.6859365493143543,-1.6363518257396397,47.3,-1.6859365493143543,-1.8192389157232183,54.0,-1.6859365493143543,-2.045772898201884,61.7,-1.6859365493143543,-2.3096434162160455,70.0,-1.6859365493143543,-2.5930389703473775,77.2,-1.6859365493143543,-2.900225890247563,84.39999999999999,-1.6859365493143543,-3.221427515854816,88.9,-1.6859365493143543,-3.549960590854021,92.7,-1.6859365493143543,-3.8880365046606724,94.6,-1.6859365493143543,-4.234681448524461,96.89999999999999,-1.6859365493143543,-4.5865263230704425,98.1,-1.6859365493143543,-4.9419090604632565,98.9,-1.6859365493143543,-5.298891289512123,99.1,-1.6859365493143543,-5.659783778760185,99.5,-1.6859365493143543,-6.024357515074783,99.6
3rd Worst (RYLSX),-1.5342073511792458,-1.3576405581700037,43.4,-1.5342073511792458,-1.4360836839348394,46.400000000000006,-1.5342073511792458,-1.5668374096761113,51.300000000000004,-1.5342073511792458,-1.7326803899007401,55.900000000000006,-1.5342073511792458,-1.9302556149919388,63.4,-1.5342073511792458,-2.1573796238205296,71.2,-1.5342073511792458,-2.400588757295699,77.3,-1.5342073511792458,-2.659927167770466,82.1,-1.5342073511792458,-2.9348220615401996,87.9,-1.5342073511792458,-3.2143321004019856,91.7,-1.5342073511792458,-3.4965253611200073,94.0,-1.5342073511792458,-3.784482194640853,95.3,-1.5342073511792458,-4.077528632525165,97.0,-1.5342073511792458,-4.373421610064914,97.89999999999999,-1.5342073511792458,-4.669891919463779,98.3,-1.5342073511792458,-4.966535654960622,98.6
4th Worst (RYLIX),-1.3545887628022326,-1.284974460360962,47.199999999999996,-1.3545887628022326,-1.3072161080023492,47.4,-1.3545887628022326,-1.386891722109422,50.5,-1.3545887628022326,-1.5212997763786515,56.49999999999999,-1.3545887628022326,-1.6830895976361366,61.4,-1.3545887628022326,-1.8670640510088001,68.10000000000001,-1.3545887628022326,-2.065162902610033,74.2,-1.3545887628022326,-2.277436157629046,79.0,-1.3545887628022326,-2.5044437869782294,84.39999999999999,-1.3545887628022326,-2.741416407179403,88.0,-1.3545887628022326,-2.9824336371988136,90.7,-1.3545887628022326,-3.22809484252082,93.10000000000001,-1.3545887628022326,-3.479692674752645,95.19999999999999,-1.3545887628022326,-3.7352163719379097,96.6,-1.3545887628022326,-3.9921970820565122,97.39999999999999,-1.3545887628022326,-4.2502906495558,98.1
5th Worst (RYRCX),-1.296429183522733,-1.1805660904069126,46.1,-1.296429183522733,-1.1728067667032593,44.7,-1.296429183522733,-1.2234833326383783,46.6,-1.296429183522733,-1.3214226070795636,51.2,-1.296429183522733,-1.448123741924553,56.00000000000001,-1.296429183522733,-1.601653073192127,60.9,-1.296429183522733,-1.7799899611315095,66.9,-1.296429183522733,-1.9664921101087076,72.3,-1.296429183522733,-2.1572921147224777,77.4,-1.296429183522733,-2.3539626161724048,82.1,-1.296429183522733,-2.559216398872955,85.9,-1.296429183522733,-2.7712495925472154,89.1,-1.296429183522733,-2.984862154888537,91.7,-1.296429183522733,-3.202077261650689,93.0,-1.296429183522733,-3.4211261665720047,93.60000000000001,-1.296429183522733,-3.6435344837130907,94.8
10%,-1.4264361981530378,-1.3140408994845785,45.6,-1.4264361981530378,-1.3587631383753453,47.0,-1.4264361981530378,-1.4588699971360974,50.7,-1.4264361981530378,-1.605852021787487,56.3,-1.4264361981530378,-1.7819560045784575,62.5,-1.4264361981530378,-1.983190280133492,69.1,-1.4264361981530378,-2.1993332444842992,75.4,-1.4264361981530378,-2.430432561685614,80.7,-1.4264361981530378,-2.6765950968030174,86.6,-1.4264361981530378,-2.9305826844684355,89.60000000000001,-1.4264361981530378,-3.1880703267672916,92.0,-1.4264361981530378,-3.450649783368833,95.1,-1.4264361981530378,-3.718827057861653,96.39999999999999,-1.4264361981530378,-3.990498467188711,97.6,-1.4264361981530378,-4.263275017019419,98.1,-1.4264361981530378,-4.536788651717728,98.5
20%,-0.9285731750162367,-1.045696012653119,52.400000000000006,-0.9285731750162367,-1.0158581644173665,52.1,-0.9285731750162367,-1.0412571400425008,54.50000000000001,-0.9285731750162367,-1.1125336990019357,57.3,-0.9285731750162367,-1.2199220624145277,61.3,-0.9285731750162367,-1.3469429456665396,65.8,-0.9285731750162367,-1.488347973086309,69.1,-0.9285731750162367,-1.6415265829897745,73.9,-0.9285731750162367,-1.7970394585614922,78.8,-0.9285731750162367,-1.9584453679376466,82.6,-0.9285731750162367,-2.1266440078321374,86.1,-0.9285731750162367,-2.2973105452461207,88.3,-0.9285731750162367,-2.4714717061429528,89.8,-0.9285731750162367,-2.647533474986992,91.2,-0.9285731750162367,-2.826804144094471,92.5,-0.9285731750162367,-3.0080302914499644,94.0
30%,-0.6445809125951756,-0.5936818354421638,47.8,-0.6445809125951756,-0.6212375126175654,47.9,-0.6445809125951756,-0.6593971038564992,50.4,-0.6445809125951756,-0.7120862165983446,52.6,-0.6445809125951756,-0.7783643320871302,55.900000000000006,-0.6445809125951756,-0.8575795009419209,59.3,-0.6445809125951756,-0.9445310521577553,61.9,-0.6445809125951756,-1.039992505689224,64.4,-0.6445809125951756,-1.139883266609808,67.5,-0.6445809125951756,-1.2467780376894173,71.39999999999999,-0.6445809125951756,-1.3517418160626253,74.7,-0.6445809125951756,-1.4622209075840502,77.8,-0.6445809125951756,-1.5736012770182297,80.10000000000001,-0.6445809125951756,-1.6849887832433301,81.0,-0.6445809125951756,-1.79776765529577,82.8,-0.6445809125951756,-1.910377308653782,83.7
40%,-0.2614348888377368,-0.35142462318657375,53.6,-0.2614348888377368,-0.34232710335377037,52.900000000000006,-0.2614348888377368,-0.3551495886471601,52.5,-0.2614348888377368,-0.37457274366616583,53.900000000000006,-0.2614348888377368,-0.39880309268085384,55.00000000000001,-0.2614348888377368,-0.4291554417408997,56.49999999999999,-0.2614348888377368,-0.47071444633464354,58.099999999999994,-0.2614348888377368,-0.5184653904838772,59.8,-0.2614348888377368,-0.5658147681436266,60.699999999999996,-0.2614348888377368,-0.6148033055540825,63.3,-0.2614348888377368,-0.6660162011691045,65.5,-0.2614348888377368,-0.7181368523351406,66.7,-0.2614348888377368,-0.7708970954251386,67.7,-0.2614348888377368,-0.8234705001894962,69.1,-0.2614348888377368,-0.8762164406497179,70.1,-0.2614348888377368,-0.929961148213652,71.3
50%,0.018394757274284718,-0.0627856265184572,52.400000000000006,0.018394757274284718,-0.05099110206775382,51.2,0.018394757274284718,-0.046764937112866604,51.6,0.018394757274284718,-0.04565530821742175,52.1,0.018394757274284718,-0.0433176496078498,52.300000000000004,0.018394757274284718,-0.03877401531591434,52.1,0.018394757274284718,-0.02786562882749623,51.2,0.018394757274284718,-0.022837061054768692,50.7,0.018394757274284718,-0.016803078332259153,49.9,0.018394757274284718,-0.013647617856767935,50.6,0.018394757274284718,-0.008426027763480903,50.4,0.018394757274284718,-0.005358385762424904,50.5,0.018394757274284718,-0.004443107949819021,50.2,0.018394757274284718,-0.00428173901944932,51.1,0.018394757274284718,-0.006393390516123701,51.800000000000004,0.018394757274284718,-0.007777402708942237,51.0
