,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (ICRAX),0.1001335873079427,-0.10735040770730678,93.0,-0.13095163986111136,95.6,-0.1622693941044352,96.39999999999999,-0.19854899069386175,97.6,-0.23792475295654258,98.9,-0.27966789014790167,99.3,-0.3229879444608389,99.6,-0.36757303474763797,99.9,-0.4129811571518694,100.0,-0.4589617853988758,100.0,-0.5053375008386584,100.0,-0.5520743927950945,100.0,-0.5991222289629148,100.0,-0.6463732582062515,100.0,-0.6938262490663151,100.0,-0.7413797664071056,100.0
2nd Worst (ICLEX),0.11601601490453248,-0.08620022875349412,91.4,-0.09693042622765671,92.7,-0.11448056889257907,93.8,-0.13703345376490786,95.3,-0.16281794615916886,96.6,-0.19097681911708025,97.6,-0.22063269970754618,98.1,-0.25113140601990736,98.4,-0.2823894492392644,98.8,-0.31396890700272134,98.9,-0.3460042080554844,99.0,-0.37844587644774047,99.2,-0.4110184212814966,99.4,-0.44380307994054236,99.4,-0.47672777299849006,99.5,-0.5098563931568412,99.4
3rd Worst (RYCPX),0.12182711587971488,-0.055680028968402524,89.0,-0.06486327615883913,90.2,-0.0779451668331916,90.9,-0.09437559866514464,92.80000000000001,-0.1138808067410367,93.8,-0.13463575615462597,94.69999999999999,-0.15651759249936856,96.1,-0.17899749788368444,97.0,-0.20194044875972716,97.3,-0.22544791045868953,97.5,-0.24929747041855513,97.89999999999999,-0.27311076608442114,98.1,-0.29718649765869426,98.2,-0.32127146037002363,98.3,-0.345398550000736,98.2,-0.369548377079872,98.5
4th Worst (RYCAX),0.16972073896996448,-0.04109466537283856,91.0,-0.046318605708556455,92.5,-0.054156210559973904,93.2,-0.0654474099738861,94.19999999999999,-0.07883774869638459,95.0,-0.09348885097276374,95.5,-0.10852898959915629,95.8,-0.124783673068098,96.1,-0.14135815121798978,96.7,-0.15810310309802453,97.1,-0.17483219699245178,97.39999999999999,-0.19179338801451015,97.5,-0.208722598669073,97.8,-0.2258438161882302,97.89999999999999,-0.24302410985545192,98.0,-0.2603023592139321,98.1
5th Worst (RYPDX),0.1848456058880753,-0.029949308738865994,91.4,-0.029348255845186404,91.9,-0.03310894264250568,92.7,-0.03949820728457002,93.0,-0.04762232078538816,93.0,-0.056430747639276545,93.30000000000001,-0.06630038770513802,93.8,-0.07665992485276975,94.1,-0.087295443621911,94.69999999999999,-0.09807539067385432,94.6,-0.1091732449047673,94.69999999999999,-0.12033437409007629,94.8,-0.13147607802914604,94.89999999999999,-0.1425693926251293,95.19999999999999,-0.15378412548875553,94.89999999999999,-0.16500022378403298,94.6
10%,0.11717823509956896,-0.08009618879647579,91.0,-0.09051699621389321,92.10000000000001,-0.10717348848070156,93.60000000000001,-0.1285018827449552,95.1,-0.15303051827554243,96.5,-0.17970860652458942,97.3,-0.20780967826591062,98.1,-0.23670462439266277,98.2,-0.2662996491433569,98.7,-0.29626470769391494,98.7,-0.3266628605280985,98.9,-0.35737885437507655,99.2,-0.38825203655693613,99.2,-0.4192967560264387,99.3,-0.4504619283989392,99.5,-0.4817947899414472,99.4
20%,0.14098456511581475,-0.04984588353017693,90.0,-0.057445407978726055,91.0,-0.06842958432390452,92.0,-0.0828043231886412,93.30000000000001,-0.09986358352317584,94.19999999999999,-0.11817699408188106,94.89999999999999,-0.13732215133928363,95.6,-0.15731196795744987,96.6,-0.1777075297430322,97.3,-0.1985099875144235,97.39999999999999,-0.21951136104811378,97.89999999999999,-0.2405838148564567,98.2,-0.2618009380628457,98.2,-0.2831004026973062,98.3,-0.3044487739426223,98.5,-0.32584996993349596,98.5
30%,0.17879565912083095,-0.034407451392455025,91.5,-0.03613639579053443,92.30000000000001,-0.04152784980949298,92.9,-0.049877888360296455,93.7,-0.06010849194978674,93.89999999999999,-0.07125398897267143,94.1,-0.08319182846274535,94.8,-0.09590942413890106,95.39999999999999,-0.10892052666034253,95.89999999999999,-0.1220864756435224,96.0,-0.1354368257398411,96.1,-0.14891797965984988,96.5,-0.16237468628511686,96.89999999999999,-0.17587916205036971,97.0,-0.18948011923543412,97.1,-0.20312107795599263,97.2
40%,0.1965859757570103,-0.019953649506722657,91.2,-0.01619668941301523,92.10000000000001,-0.01761922504494119,92.60000000000001,-0.021247332006352267,93.0,-0.02565379162077788,92.4,-0.031019364041175397,92.60000000000001,-0.03687748234545609,92.9,-0.04274495170477707,93.30000000000001,-0.04879311095765496,93.30000000000001,-0.05503912692693764,93.2,-0.061370122155574316,93.2,-0.0676370562843382,92.9,-0.0741074520157837,92.5,-0.08067537990134234,92.4,-0.0872139030233012,91.9,-0.09369091441934085,91.7
50%,0.20548912039995118,0.0054771101472369365,91.2,0.005728047020187699,90.7,0.007045447729493258,90.7,0.008136559938191198,90.2,0.00790658275465385,90.5,0.00725925921675357,90.0,0.0070072220750125565,90.3,0.007249233897971548,89.7,0.007364783162921915,88.8,0.007796219129165914,87.5,0.00838777756516819,86.9,0.008850617368434654,85.8,0.009350561556872168,84.7,0.00992077502701708,84.0,0.010529249874915617,83.2,0.011090930595209016,82.8
