,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (ICRAX),0.7448964113257791,-0.9219037659191909,90.60000000000001,0.7448964113257791,-1.120265918324912,93.2,0.7448964113257791,-1.3875271284751525,95.6,0.7448964113257791,-1.6963128456312142,96.6,0.7448964113257791,-2.032680382913564,98.3,0.7448964113257791,-2.3873497345185606,99.2,0.7448964113257791,-2.7573464785586963,99.6,0.7448964113257791,-3.137201146094413,99.9,0.7448964113257791,-3.5231580161244205,100.0,0.7448964113257791,-3.9145977841503434,100.0,0.7448964113257791,-4.310092311363909,100.0,0.7448964113257791,-4.708821690442226,100.0,0.7448964113257791,-5.10977192283382,100.0,0.7448964113257791,-5.512851398234414,100.0,0.7448964113257791,-5.917142229550852,100.0,0.7448964113257791,-6.32216585476627,100.0
2nd Worst (ICLEX),0.8645701978361545,-0.716576970242058,89.3,0.8645701978361545,-0.8162201676981895,90.5,0.8645701978361545,-0.9679748186361807,92.30000000000001,0.8645701978361545,-1.1656564015884232,94.19999999999999,0.8645701978361545,-1.391400821010536,95.5,0.8645701978361545,-1.6347208910218751,96.5,0.8645701978361545,-1.8891436311255247,97.7,0.8645701978361545,-2.1518072058217483,97.8,0.8645701978361545,-2.4216545143708452,98.5,0.8645701978361545,-2.69434062199625,98.7,0.8645701978361545,-2.971377892406734,98.9,0.8645701978361545,-3.250204554765993,99.2,0.8645701978361545,-3.5305669164417766,99.2,0.8645701978361545,-3.8116542126659687,99.3,0.8645701978361545,-4.094519982850565,99.3,0.8645701978361545,-4.378759270599592,99.4
3rd Worst (RYCPX),1.1426303125512376,-0.47650371343640063,89.7,1.1426303125512376,-0.5503277467738342,90.60000000000001,1.1426303125512376,-0.663181226217658,92.0,1.1426303125512376,-0.8057284522393868,93.60000000000001,1.1426303125512376,-0.9692925878720955,94.69999999999999,1.1426303125512376,-1.1495796441483859,96.0,1.1426303125512376,-1.3391235521630702,96.89999999999999,1.1426303125512376,-1.5324760559687043,97.7,1.1426303125512376,-1.728966778551356,97.7,1.1426303125512376,-1.9306283629400292,98.0,1.1426303125512376,-2.133405875785228,98.3,1.1426303125512376,-2.337684753501264,98.4,1.1426303125512376,-2.5435359438535707,98.4,1.1426303125512376,-2.750915017289355,98.6,1.1426303125512376,-2.9585390288357,98.7,1.1426303125512376,-3.16588523956539,98.7
4th Worst (FDCGX),1.5023322117826698,-0.35311498698598565,91.10000000000001,1.5023322117826698,-0.3896332197883447,92.4,1.5023322117826698,-0.45747257101280375,93.60000000000001,1.5023322117826698,-0.5552629927959045,94.6,1.5023322117826698,-0.6721238540909525,95.39999999999999,1.5023322117826698,-0.797201640896367,95.8,1.5023322117826698,-0.9272418240143652,96.39999999999999,1.5023322117826698,-1.0662040844999716,96.7,1.5023322117826698,-1.2088267893205042,97.0,1.5023322117826698,-1.351588314522292,97.2,1.5023322117826698,-1.4956682547032443,97.5,1.5023322117826698,-1.6411463959631267,97.8,1.5023322117826698,-1.7873847998622663,97.7,1.5023322117826698,-1.9345453562602433,97.89999999999999,1.5023322117826698,-2.081777968980112,97.89999999999999,1.5023322117826698,-2.2296745605472448,98.1
5th Worst (RYCAX),1.5882288573265613,-0.24553039282575015,91.2,1.5882288573265613,-0.24376775345578858,91.9,1.5882288573265613,-0.2784239412611644,92.60000000000001,1.5882288573265613,-0.3338032240145097,92.9,1.5882288573265613,-0.4028048265474905,93.4,1.5882288573265613,-0.48162161309941814,93.5,1.5882288573265613,-0.5675840339079724,93.5,1.5882288573265613,-0.6561860370889441,94.19999999999999,1.5882288573265613,-0.748310535071123,94.39999999999999,1.5882288573265613,-0.8410126829125406,94.8,1.5882288573265613,-0.9341098975410973,94.69999999999999,1.5882288573265613,-1.0275301068657712,94.6,1.5882288573265613,-1.1217392063483362,94.89999999999999,1.5882288573265613,-1.2146937508154318,94.8,1.5882288573265613,-1.3089115814361854,94.89999999999999,1.5882288573265613,-1.404244835576038,94.89999999999999
10%,0.9201822207791712,-0.6685623188809264,89.60000000000001,0.9201822207791712,-0.7630416835133185,90.60000000000001,0.9201822207791712,-0.9070161001524761,92.60000000000001,0.9201822207791712,-1.0936708117186158,94.3,0.9201822207791712,-1.3069791743828478,95.19999999999999,0.9201822207791712,-1.537692641647177,96.7,0.9201822207791712,-1.7791396153330339,97.7,0.9201822207791712,-2.0279409758511395,97.8,0.9201822207791712,-2.283116967206947,98.3,0.9201822207791712,-2.5415981701850057,98.7,0.9201822207791712,-2.8037834890824325,98.9,0.9201822207791712,-3.067700594513047,99.2,0.9201822207791712,-3.3331607219241355,99.2,0.9201822207791712,-3.599506373590646,99.2,0.9201822207791712,-3.8673237920475922,99.2,0.9201822207791712,-4.136184464392751,99.5
20%,1.2865110722438107,-0.4271482228562346,91.0,1.2865110722438107,-0.4860499359796384,91.8,1.2865110722438107,-0.5808977641357163,92.7,1.2865110722438107,-0.7055422684619937,94.19999999999999,1.2865110722438107,-0.8504250943596382,94.89999999999999,1.2865110722438107,-1.0086284428475782,95.8,1.2865110722438107,-1.1743708609035879,96.39999999999999,1.2865110722438107,-1.345967267381211,97.3,1.2865110722438107,-1.5209107828590154,97.6,1.2865110722438107,-1.6990123435729343,97.7,1.2865110722438107,-1.8783108273524345,98.1,1.2865110722438107,-2.0590694104860088,98.3,1.2865110722438107,-2.2410754862570488,98.5,1.2865110722438107,-2.4243671528777093,98.8,1.2865110722438107,-2.6078346048934646,98.8,1.2865110722438107,-2.7914009679581313,98.7
30%,1.5538701991090047,-0.2885642304898444,91.4,1.5538701991090047,-0.3021139399888111,92.4,1.5538701991090047,-0.3500433931618202,93.4,1.5538701991090047,-0.4223871315270677,93.8,1.5538701991090047,-0.5105324375648754,93.89999999999999,1.5538701991090047,-0.6078536242181978,94.6,1.5538701991090047,-0.7114471499505296,95.0,1.5538701991090047,-0.8201932560533552,95.3,1.5538701991090047,-0.9325170367708756,95.8,1.5538701991090047,-1.0452429355564414,96.39999999999999,1.5538701991090047,-1.1587332404059563,96.39999999999999,1.5538701991090047,-1.2729766225047137,96.39999999999999,1.5538701991090047,-1.3879974437539087,96.6,1.5538701991090047,-1.5026343929933568,96.6,1.5538701991090047,-1.618058136453756,96.8,1.5538701991090047,-1.734416725564521,97.2
40%,1.7010394895061267,-0.16130007640706276,91.9,1.7010394895061267,-0.13266563476796586,92.4,1.7010394895061267,-0.14921750632272648,92.7,1.7010394895061267,-0.17916241342865288,93.0,1.7010394895061267,-0.21969816155405694,93.0,1.7010394895061267,-0.26424589460660963,92.7,1.7010394895061267,-0.31392220485131184,92.80000000000001,1.7010394895061267,-0.36547103191046176,93.2,1.7010394895061267,-0.4181446940293484,92.80000000000001,1.7010394895061267,-0.47272126438182954,92.60000000000001,1.7010394895061267,-0.5264569584177009,92.9,1.7010394895061267,-0.580558983282961,93.0,1.7010394895061267,-0.6353763268336197,92.80000000000001,1.7010394895061267,-0.6907502778500173,92.60000000000001,1.7010394895061267,-0.7461461457832004,91.9,1.7010394895061267,-0.8014286573715942,91.60000000000001
50%,1.8044172120773982,0.042838845170449655,92.7,1.8044172120773982,0.046403049443237324,91.5,1.8044172120773982,0.060703519072344676,91.60000000000001,1.8044172120773982,0.0653325523861432,90.8,1.8044172120773982,0.06657235831201302,91.3,1.8044172120773982,0.06386270400828237,90.8,1.8044172120773982,0.06499942216044594,90.2,1.8044172120773982,0.06734580608522578,89.60000000000001,1.8044172120773982,0.07097032004201184,88.7,1.8044172120773982,0.07377293486682208,87.8,1.8044172120773982,0.07609966884527035,87.2,1.8044172120773982,0.07862223900440789,86.5,1.8044172120773982,0.08228395239518257,85.39999999999999,1.8044172120773982,0.08633542239405308,84.39999999999999,1.8044172120773982,0.09039933767327102,83.7,1.8044172120773982,0.09422496604255912,83.1
