,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (OEPSX),-1.7357978104216292,-0.40494518741966257,1.4000000000000001,-0.4259911460280956,1.7999999999999998,-0.45645420258115826,1.7999999999999998,-0.49260313803284045,2.1,-0.5324193005659149,2.6,-0.5763787495392311,2.8000000000000003,-0.623616266541434,3.0,-0.6737243151406879,3.5000000000000004,-0.7262583465901296,4.2,-0.7808234904680377,4.8,-0.8372341774738906,5.0,-0.8952219271007895,6.1,-0.9542276172084129,7.6,-1.014302907503595,8.9,-1.0753422625713698,10.5,-1.1371882443767614,13.3
2nd Worst (OEPIX),-1.6527013139752862,-0.3845368404285647,1.7000000000000002,-0.3865920830826951,1.6,-0.39514630014105934,1.5,-0.41002735864721745,1.3,-0.4316763933246866,1.3,-0.457691152902651,1.0999999999999999,-0.48770249941674465,1.0999999999999999,-0.5212610027313483,1.0999999999999999,-0.5577314719157328,1.5,-0.5966899806963272,1.7000000000000002,-0.6373177573283791,1.7000000000000002,-0.6800957764697763,2.0,-0.7245140953978757,2.3,-0.7698420374410686,2.9000000000000004,-0.8154729323181201,3.5999999999999996,-0.8616115327164702,4.3
3rd Worst (IEYBX),-0.734288012161659,-0.28832539592849116,10.8,-0.2940307446394015,11.3,-0.3073200859619457,12.6,-0.3262689122040264,14.000000000000002,-0.34963287336972004,15.9,-0.37628005035981676,17.0,-0.40579156098140595,18.8,-0.43656016310511087,20.7,-0.46878657101459204,23.1,-0.5019802294543256,25.4,-0.5369986861405118,28.7,-0.5726873285218742,32.0,-0.6092142538628025,36.1,-0.6464608838946745,39.4,-0.6848586361510833,43.4,-0.7239145834111703,46.9
4th Worst (IEYCX),-0.7204720478680832,-0.237610266423205,10.100000000000001,-0.24857964351048442,10.299999999999999,-0.2638341058779346,11.600000000000001,-0.2835135729704612,12.4,-0.30508534354827804,13.4,-0.328676524107962,14.799999999999999,-0.3543967270836716,16.2,-0.3819536233612017,17.599999999999998,-0.41064864855970107,19.5,-0.44083826847914204,21.6,-0.4718953514012572,23.7,-0.5037353569989689,26.1,-0.5362145395825637,29.2,-0.5692023738229861,32.300000000000004,-0.6026003507656426,36.4,-0.6362117331401875,40.400000000000006
5th Worst (IYEFX),-0.6762982769818854,-0.22329971970128737,11.899999999999999,-0.2291987761282613,12.2,-0.23983182603772707,12.3,-0.25469441498426454,12.7,-0.27272604673746265,14.399999999999999,-0.29365537529998714,15.7,-0.3168111396710451,16.900000000000002,-0.34100160296888704,17.7,-0.3662366512049091,19.400000000000002,-0.3922719564193522,21.099999999999998,-0.4196848532401923,23.400000000000002,-0.4480232765191832,25.1,-0.4765451303712145,27.6,-0.5061373857564978,30.8,-0.5362095207403959,34.5,-0.5668378464476976,36.6
10%,-0.6851330311591249,-0.22616182904567092,11.4,-0.23307494960470593,11.899999999999999,-0.2446322820057686,12.2,-0.26045824658150385,12.5,-0.2791979060996257,14.399999999999999,-0.3006596050615821,15.4,-0.32432825715357044,16.7,-0.34919200704734993,18.0,-0.3751190506758675,19.5,-0.4019852188313101,21.2,-0.4301269528724053,23.400000000000002,-0.4591656926151403,25.1,-0.48847901221348433,27.6,-0.5187503833697955,31.4,-0.5494876867454452,34.699999999999996,-0.5807126237861955,37.1
20%,-0.636062861087302,-0.16716951703461005,10.5,-0.16718288260481443,10.2,-0.1703872163841476,10.299999999999999,-0.1766968928397884,10.4,-0.18673723567371506,11.0,-0.19891080860493804,11.5,-0.21283187591543884,11.799999999999999,-0.2284118338221525,12.6,-0.24572132707294245,13.5,-0.2637646523470493,14.6,-0.28266957388637254,15.6,-0.30191646851023657,16.8,-0.3214223607610218,18.5,-0.3413694181723844,19.3,-0.36168190909897124,20.1,-0.38213020795413527,21.8
30%,-0.32032087510476126,-0.09496846596015354,25.4,-0.09652082579326345,25.1,-0.10007384959629204,25.3,-0.10628294918438622,25.0,-0.11374972253911506,26.1,-0.1228532260658404,26.6,-0.132976374861341,27.900000000000002,-0.14359687408048644,29.2,-0.15477485254167447,30.5,-0.1666360632586453,31.6,-0.1789467573640569,33.0,-0.1911645692998684,34.300000000000004,-0.2036558083624003,35.6,-0.21628105709917053,37.1,-0.2290378967280264,38.5,-0.24203631571339654,39.900000000000006
40%,-0.251381322159577,-0.042341368302052096,26.700000000000003,-0.043825175016002034,26.5,-0.047067110906417096,27.3,-0.05075398933575113,27.3,-0.05536140779891257,27.3,-0.0605657086127028,27.3,-0.06595423288284263,27.900000000000002,-0.0718693180196497,28.799999999999997,-0.07717957394517574,29.099999999999998,-0.08262131382911647,30.2,-0.08857428929586339,30.5,-0.0950834101400987,31.0,-0.10148038922720064,31.6,-0.10770885047507583,31.900000000000002,-0.11360019691323939,32.7,-0.11963738199550332,33.2
50%,-0.11194107607638659,-0.007158435593307589,36.199999999999996,-0.006218224953969346,36.7,-0.006416628255109263,36.7,-0.006304011622437846,36.9,-0.007184280044814961,37.2,-0.007031408835497066,36.8,-0.007111373216591646,36.199999999999996,-0.00716293262009609,36.8,-0.007334536977159077,36.0,-0.0074547430640799685,36.1,-0.007839434543656381,36.3,-0.007743227534651874,35.8,-0.007125892686824258,36.1,-0.006901295330084588,36.199999999999996,-0.006894161090156766,36.0,-0.006903407880194832,36.4
