,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (OEPSX),-3.254104297827068,-1.2010784725423698,6.5,-3.254104297827068,-1.2694948483618451,7.6,-3.254104297827068,-1.367978431833837,8.5,-3.254104297827068,-1.485657360297082,9.9,-3.254104297827068,-1.618825596879638,12.0,-3.254104297827068,-1.7642206810272874,14.099999999999998,-3.254104297827068,-1.9208484322052997,16.5,-3.254104297827068,-2.087304431152767,19.7,-3.254104297827068,-2.2603303286730942,23.3,-3.254104297827068,-2.4380733918939206,27.400000000000002,-3.254104297827068,-2.620309520735865,31.900000000000002,-3.254104297827068,-2.80614662609021,36.199999999999996,-3.254104297827068,-2.9945981685792975,40.5,-3.254104297827068,-3.186198722037216,45.6,-3.254104297827068,-3.380479682546345,50.2,-3.254104297827068,-3.577113026007164,55.00000000000001
2nd Worst (OEPIX),-3.096650956208783,-1.1156923494536886,7.3999999999999995,-3.096650956208783,-1.1482926081784004,7.6,-3.096650956208783,-1.2010436378683857,7.9,-3.096650956208783,-1.2750269042314801,8.6,-3.096650956208783,-1.3647832565988798,9.9,-3.096650956208783,-1.47019808517685,11.1,-3.096650956208783,-1.5868886890921674,13.200000000000001,-3.096650956208783,-1.7116601861680565,15.299999999999999,-3.096650956208783,-1.8456838160937723,17.599999999999998,-3.096650956208783,-1.9866892627119674,19.3,-3.096650956208783,-2.131719592864123,22.400000000000002,-3.096650956208783,-2.2808166470330558,26.3,-3.096650956208783,-2.4341925967936495,29.599999999999998,-3.096650956208783,-2.5895297640936192,33.800000000000004,-3.096650956208783,-2.745908722378067,38.3,-3.096650956208783,-2.9038104695491147,42.3
3rd Worst (IEYBX),-2.379775291386734,-1.0441139621388558,14.499999999999998,-2.379775291386734,-1.0464586703220966,14.299999999999999,-2.379775291386734,-1.0736207355050162,15.4,-2.379775291386734,-1.1248749185582643,16.6,-2.379775291386734,-1.1975891940770083,17.7,-2.379775291386734,-1.2852611203930207,19.1,-2.379775291386734,-1.3844333607965444,20.599999999999998,-2.379775291386734,-1.492149876684477,23.0,-2.379775291386734,-1.6042500415677248,25.6,-2.379775291386734,-1.7212126639276062,28.7,-2.379775291386734,-1.8428014741643723,31.900000000000002,-2.379775291386734,-1.968528375406095,36.1,-2.379775291386734,-2.098828717773591,40.400000000000006,-2.379775291386734,-2.230889621642021,44.3,-2.379775291386734,-2.3652783199805687,48.4,-2.379775291386734,-2.5010128110257464,52.7
4th Worst (IEYCX),-2.332211962971882,-0.8047386743410512,11.799999999999999,-2.332211962971882,-0.8401766606633687,12.3,-2.332211962971882,-0.8952310129645195,12.8,-2.332211962971882,-0.9636874375432438,15.0,-2.332211962971882,-1.0422121583772996,16.8,-2.332211962971882,-1.1279750682283103,17.599999999999998,-2.332211962971882,-1.221388053793523,18.8,-2.332211962971882,-1.3198251975667576,20.599999999999998,-2.332211962971882,-1.421338367818067,22.2,-2.332211962971882,-1.5276969872331183,24.2,-2.332211962971882,-1.6373510759789416,26.8,-2.332211962971882,-1.7505518207329078,30.4,-2.332211962971882,-1.863054175563395,33.900000000000006,-2.332211962971882,-1.9792828102412845,38.2,-2.332211962971882,-2.097318115880526,41.0,-2.332211962971882,-2.2172999350072105,45.2
5th Worst (IYEFX),-2.1867901644938383,-0.7539091460485259,13.200000000000001,-2.1867901644938383,-0.7753701763929922,13.600000000000001,-2.1867901644938383,-0.8186256610058513,14.399999999999999,-2.1867901644938383,-0.8727491497016167,15.9,-2.1867901644938383,-0.9423103698890412,16.7,-2.1867901644938383,-1.0188009878569775,18.0,-2.1867901644938383,-1.101039426973708,19.0,-2.1867901644938383,-1.1877659633715565,20.7,-2.1867901644938383,-1.2792569444537476,22.7,-2.1867901644938383,-1.3751048956112721,24.3,-2.1867901644938383,-1.4730782939503595,27.1,-2.1867901644938383,-1.5738171465098805,29.7,-2.1867901644938383,-1.6759189295722634,32.5,-2.1867901644938383,-1.7789887745287978,35.699999999999996,-2.1867901644938383,-1.8842355596860245,38.6,-2.1867901644938383,-1.9915426145512014,41.699999999999996
10%,-2.215874524189447,-0.7640750517070309,13.0,-2.215874524189447,-0.7883314732470676,13.4,-2.215874524189447,-0.8339467313975849,14.099999999999998,-2.215874524189447,-0.8909368072699421,15.6,-2.215874524189447,-0.9622907275866928,16.8,-2.215874524189447,-1.040635803931244,18.0,-2.215874524189447,-1.1251091523376708,18.9,-2.215874524189447,-1.2141778102105967,20.599999999999998,-2.215874524189447,-1.307673229126611,22.6,-2.215874524189447,-1.4056233139356418,24.2,-2.215874524189447,-1.505932850356076,27.1,-2.215874524189447,-1.6091640813544859,29.799999999999997,-2.215874524189447,-1.7133459787704897,32.4,-2.215874524189447,-1.8190475816712957,36.0,-2.215874524189447,-1.926852070924925,39.2,-2.215874524189447,-2.036694078642403,42.199999999999996
20%,-2.0585414925690264,-0.5797623820603653,12.2,-2.0585414925690264,-0.5817724928876914,12.4,-2.0585414925690264,-0.5977807562897784,12.5,-2.0585414925690264,-0.6258772211999715,13.200000000000001,-2.0585414925690264,-0.6636456436818198,13.600000000000001,-2.0585414925690264,-0.7096703195712368,14.7,-2.0585414925690264,-0.7629254367724007,15.7,-2.0585414925690264,-0.8214652759298487,16.8,-2.0585414925690264,-0.8840430611325567,17.1,-2.0585414925690264,-0.9495106416141582,18.0,-2.0585414925690264,-1.017021902081791,19.400000000000002,-2.0585414925690264,-1.0848917830653837,21.5,-2.0585414925690264,-1.1551423617195857,22.7,-2.0585414925690264,-1.2274382172038623,24.0,-2.0585414925690264,-1.3011861842659422,25.3,-2.0585414925690264,-1.375150212967606,27.1
30%,-1.2409733326460626,-0.35765823912628314,23.400000000000002,-1.2409733326460626,-0.3630784291552415,23.3,-1.2409733326460626,-0.37316050064553574,23.0,-1.2409733326460626,-0.3939092680210278,23.200000000000003,-1.2409733326460626,-0.4185733840206002,23.799999999999997,-1.2409733326460626,-0.4488170044917658,24.8,-1.2409733326460626,-0.48294697296030337,25.8,-1.2409733326460626,-0.5200864517669723,26.700000000000003,-1.2409733326460626,-0.5605304986189967,28.000000000000004,-1.2409733326460626,-0.6020449976607195,28.499999999999996,-1.2409733326460626,-0.6444444199522357,29.299999999999997,-1.2409733326460626,-0.6886320597462,30.5,-1.2409733326460626,-0.734245689608952,31.7,-1.2409733326460626,-0.7806577326927132,33.0,-1.2409733326460626,-0.8280953374808857,35.3,-1.2409733326460626,-0.8756980948873049,37.3
40%,-0.8453249046576878,-0.17391239591221794,28.599999999999998,-0.8453249046576878,-0.17642027210380143,28.7,-0.8453249046576878,-0.18691578984973967,28.599999999999998,-0.8453249046576878,-0.198384152709954,28.799999999999997,-0.8453249046576878,-0.21395879741622797,28.9,-0.8453249046576878,-0.233244686834601,28.9,-0.8453249046576878,-0.2479945286862384,29.4,-0.8453249046576878,-0.2662060620322377,30.5,-0.8453249046576878,-0.28693105569007654,30.7,-0.8453249046576878,-0.30687189435462625,31.1,-0.8453249046576878,-0.3283460390771268,31.7,-0.8453249046576878,-0.35176315172377015,32.0,-0.8453249046576878,-0.374392398081355,33.0,-0.8453249046576878,-0.3956475880459813,33.6,-0.8453249046576878,-0.4172862068422392,33.800000000000004,-0.8453249046576878,-0.4400192954153771,34.8
50%,-0.4644280063524165,-0.037876439023287675,34.699999999999996,-0.4644280063524165,-0.03855213843252575,34.8,-0.4644280063524165,-0.03865871538315701,35.099999999999994,-0.4644280063524165,-0.03783446427195866,35.5,-0.4644280063524165,-0.03701933039199222,35.4,-0.4644280063524165,-0.03608073563257271,35.199999999999996,-0.4644280063524165,-0.036630397211599615,34.8,-0.4644280063524165,-0.03670267035084499,34.8,-0.4644280063524165,-0.034474685711400846,34.4,-0.4644280063524165,-0.03431213808507029,33.800000000000004,-0.4644280063524165,-0.03527677987359752,34.1,-0.4644280063524165,-0.03366704328525997,33.7,-0.4644280063524165,-0.032701878607672964,33.6,-0.4644280063524165,-0.03419987507471581,33.900000000000006,-0.4644280063524165,-0.03537876022282511,33.900000000000006,-0.4644280063524165,-0.03560148068230673,33.800000000000004
