,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (RYKCX),-0.5395052711508164,-0.25845439006553633,3.6999999999999997,-0.5395052711508164,-0.2821729640912634,5.0,-0.5395052711508164,-0.31896329678504637,7.3,-0.5395052711508164,-0.36494914792733685,13.200000000000001,-0.5395052711508164,-0.41771452310861773,23.599999999999998,-0.5395052711508164,-0.47537916807305003,34.300000000000004,-0.5395052711508164,-0.5362082261266119,46.6,-0.5395052711508164,-0.5996467119051249,61.5,-0.5395052711508164,-0.6649371061194064,72.1,-0.5395052711508164,-0.7317442942513608,81.0,-0.5395052711508164,-0.7996572939430902,88.6,-0.5395052711508164,-0.8683035805209349,93.30000000000001,-0.5395052711508164,-0.9374120291817114,96.3,-0.5395052711508164,-1.0069602896476566,98.4,-0.5395052711508164,-1.0769856529932926,99.2,-0.5395052711508164,-1.1475248385068046,99.7
2nd Worst (RYKAX),-0.49916672582757354,-0.23138406053641597,4.2,-0.49916672582757354,-0.24729450692321714,4.8,-0.49916672582757354,-0.2741100611687552,6.4,-0.49916672582757354,-0.30903781521588103,10.299999999999999,-0.49916672582757354,-0.3503848258808133,15.6,-0.49916672582757354,-0.3951821772253778,23.3,-0.49916672582757354,-0.44276374408812624,34.2,-0.49916672582757354,-0.4923197873524249,45.2,-0.49916672582757354,-0.542989659834126,58.099999999999994,-0.49916672582757354,-0.5948204266886528,69.89999999999999,-0.49916672582757354,-0.6474949128556583,79.10000000000001,-0.49916672582757354,-0.7010570773595418,85.0,-0.49916672582757354,-0.7556565390050084,90.5,-0.49916672582757354,-0.8110842788753299,94.8,-0.49916672582757354,-0.8669747994372479,97.2,-0.49916672582757354,-0.9231782406371916,98.5
3rd Worst (SFPCX),-0.4878774757411808,-0.21853392285100318,4.1000000000000005,-0.4878774757411808,-0.22837250046146637,4.1000000000000005,-0.4878774757411808,-0.24897592449712352,5.2,-0.4878774757411808,-0.27807115641036495,7.3,-0.4878774757411808,-0.31175250300946106,11.1,-0.4878774757411808,-0.34952767930240886,16.6,-0.4878774757411808,-0.39062146707479417,24.9,-0.4878774757411808,-0.4339640459731339,34.1,-0.4878774757411808,-0.4793982186027577,45.800000000000004,-0.4878774757411808,-0.5258036382438878,57.599999999999994,-0.4878774757411808,-0.573264350312686,68.30000000000001,-0.4878774757411808,-0.6215818672505788,78.0,-0.4878774757411808,-0.6701637371400917,85.0,-0.4878774757411808,-0.7191709063043832,90.3,-0.4878774757411808,-0.7682524711741552,93.4,-0.4878774757411808,-0.8175422742566805,97.2
4th Worst (RYBKX),-0.47877303116290676,-0.20558723177369534,3.9,-0.47877303116290676,-0.21151402604409042,3.5000000000000004,-0.47877303116290676,-0.22806136829136647,4.1000000000000005,-0.47877303116290676,-0.2523594730002258,5.7,-0.47877303116290676,-0.2824032692197974,8.1,-0.47877303116290676,-0.3167043956042575,12.9,-0.47877303116290676,-0.3540393238758162,19.900000000000002,-0.47877303116290676,-0.3935600886318483,25.6,-0.47877303116290676,-0.4345892593361984,36.3,-0.47877303116290676,-0.47668633261713805,47.5,-0.47877303116290676,-0.5198164909166967,59.699999999999996,-0.47877303116290676,-0.5635548571142672,69.8,-0.47877303116290676,-0.6078353603150781,77.5,-0.47877303116290676,-0.6520969118850471,84.39999999999999,-0.47877303116290676,-0.6966942322479988,89.0,-0.47877303116290676,-0.741534693124249,93.30000000000001
5th Worst (RYKIX),-0.45692905294859515,-0.19100941464147828,3.9,-0.45692905294859515,-0.19573479015683204,4.0,-0.45692905294859515,-0.2107540939485193,4.7,-0.45692905294859515,-0.23275007833582023,5.6000000000000005,-0.45692905294859515,-0.25971701854576873,7.3,-0.45692905294859515,-0.29093158420121357,11.5,-0.45692905294859515,-0.32461340791152954,17.4,-0.45692905294859515,-0.36000468837967003,23.799999999999997,-0.45692905294859515,-0.397502897933961,32.300000000000004,-0.45692905294859515,-0.43656985020719935,42.4,-0.45692905294859515,-0.4762574411744874,54.6,-0.45692905294859515,-0.516414224457567,65.3,-0.45692905294859515,-0.5569184130128181,73.1,-0.45692905294859515,-0.5975802824034265,79.80000000000001,-0.45692905294859515,-0.6385327505636287,85.8,-0.45692905294859515,-0.6799747549385543,90.5
10%,-0.40133658100899955,-0.15782158992807657,4.1000000000000005,-0.40133658100899955,-0.1620186632331551,3.9,-0.40133658100899955,-0.17370627364557428,4.5,-0.40133658100899955,-0.19130797632992516,5.7,-0.40133658100899955,-0.2147050613287268,7.7,-0.40133658100899955,-0.24099854692417744,11.600000000000001,-0.40133658100899955,-0.2692645624468267,15.4,-0.40133658100899955,-0.2991133126324014,22.1,-0.40133658100899955,-0.3302714300232411,28.9,-0.40133658100899955,-0.3625291311394715,37.5,-0.40133658100899955,-0.3951160510044858,46.400000000000006,-0.40133658100899955,-0.42802510842546815,58.4,-0.40133658100899955,-0.4615426754212356,67.4,-0.40133658100899955,-0.4955272897200684,74.3,-0.40133658100899955,-0.5299301905814447,80.9,-0.40133658100899955,-0.5646088325705968,86.1
20%,-0.3022092236676056,-0.10357796272748995,6.7,-0.3022092236676056,-0.10614304303727191,6.4,-0.3022092236676056,-0.11371106590197985,6.5,-0.3022092236676056,-0.12576682620417895,7.5,-0.3022092236676056,-0.140330224408001,9.5,-0.3022092236676056,-0.15737738825854053,11.5,-0.3022092236676056,-0.17575073220095272,15.1,-0.3022092236676056,-0.1957840495709828,19.1,-0.3022092236676056,-0.21629926966812016,23.7,-0.3022092236676056,-0.23755883897082067,29.2,-0.3022092236676056,-0.25883741444171754,36.0,-0.3022092236676056,-0.2802304601465363,42.9,-0.3022092236676056,-0.3022718006587269,49.7,-0.3022092236676056,-0.32457309072792984,57.3,-0.3022092236676056,-0.3471101451924707,62.8,-0.3022092236676056,-0.36990256100520574,68.89999999999999
30%,-0.23261616683938235,-0.06543333690844225,8.799999999999999,-0.23261616683938235,-0.06678684019364838,9.1,-0.23261616683938235,-0.07163432206871564,9.2,-0.23261616683938235,-0.07855061386171754,10.100000000000001,-0.23261616683938235,-0.08750851698917335,11.3,-0.23261616683938235,-0.09815222879972157,13.700000000000001,-0.23261616683938235,-0.10993188868873068,15.4,-0.23261616683938235,-0.12209451849594509,18.4,-0.23261616683938235,-0.13515049711136903,21.099999999999998,-0.23261616683938235,-0.14819842651265952,24.8,-0.23261616683938235,-0.16119594034764206,27.3,-0.23261616683938235,-0.17456105232702077,31.6,-0.23261616683938235,-0.187782837696192,35.699999999999996,-0.23261616683938235,-0.20138337949908444,40.300000000000004,-0.23261616683938235,-0.2152178904195373,45.300000000000004,-0.23261616683938235,-0.22923177230933203,48.8
40%,-0.18197106130729174,-0.03280473496782353,10.7,-0.18197106130729174,-0.033980457575055883,10.8,-0.18197106130729174,-0.035772620955453575,11.5,-0.18197106130729174,-0.039269214591762504,12.1,-0.18197106130729174,-0.04351071058676443,12.8,-0.18197106130729174,-0.048922248843009254,13.700000000000001,-0.18197106130729174,-0.05418663665015953,14.6,-0.18197106130729174,-0.05982281113574858,15.2,-0.18197106130729174,-0.06553828750829109,17.4,-0.18197106130729174,-0.07178972117670876,19.0,-0.18197106130729174,-0.0782156294300389,21.0,-0.18197106130729174,-0.08472028470124837,22.0,-0.18197106130729174,-0.09142664437787647,24.099999999999998,-0.18197106130729174,-0.09826971054208544,25.7,-0.18197106130729174,-0.10540140488832482,27.800000000000004,-0.18197106130729174,-0.11257219923295528,30.099999999999998
50%,-0.019820582578857937,-0.0036974971452926556,44.5,-0.019820582578857937,-0.0036593693030270327,44.1,-0.019820582578857937,-0.003559318429302038,44.7,-0.019820582578857937,-0.0037683446944665254,44.3,-0.019820582578857937,-0.0032436422905815477,44.1,-0.019820582578857937,-0.0035271693152187167,44.1,-0.019820582578857937,-0.00347323943156791,44.1,-0.019820582578857937,-0.003451057299555503,43.1,-0.019820582578857937,-0.0032890760063703085,43.9,-0.019820582578857937,-0.0034946134753068565,44.6,-0.019820582578857937,-0.0037744938984924895,45.0,-0.019820582578857937,-0.00409087541208143,44.5,-0.019820582578857937,-0.00424830926745504,44.4,-0.019820582578857937,-0.004285719301916865,44.9,-0.019820582578857937,-0.0043989513920711844,45.2,-0.019820582578857937,-0.004478897267187559,45.6
60%,0.043829059155348835,0.026093218169763524,55.7,0.043829059155348835,0.0271329929622106,55.300000000000004,0.043829059155348835,0.02914665735793291,55.00000000000001,0.043829059155348835,0.03247808003483134,54.50000000000001,0.043829059155348835,0.03657253218030837,51.5,0.043829059155348835,0.04158143864246857,50.2,0.043829059155348835,0.04733859127288295,48.699999999999996,0.043829059155348835,0.05290697908208308,47.099999999999994,0.043829059155348835,0.05882515663252928,44.800000000000004,0.043829059155348835,0.065263179976669,42.9,0.043829059155348835,0.07159861481292858,41.099999999999994,0.043829059155348835,0.07805230814933398,39.5,0.043829059155348835,0.08434942702464132,36.7,0.043829059155348835,0.09062863327942497,36.1,0.043829059155348835,0.09719978815259221,33.800000000000004,0.043829059155348835,0.10369534125950701,32.2
70%,0.07380681517855103,0.05685618686863216,55.900000000000006,0.07380681517855103,0.05856148582762899,54.800000000000004,0.07380681517855103,0.06328284759876898,54.0,0.07380681517855103,0.07058837492236743,50.8,0.07380681517855103,0.07965366322325554,47.0,0.07380681517855103,0.08998282132513648,43.9,0.07380681517855103,0.10133207510925586,41.199999999999996,0.07380681517855103,0.11364417371497441,37.8,0.07380681517855103,0.12622259193853008,33.5,0.07380681517855103,0.13942000358860007,29.5,0.07380681517855103,0.15243943950276884,26.0,0.07380681517855103,0.16550516366372572,23.0,0.07380681517855103,0.1782158087790259,21.2,0.07380681517855103,0.19144614379807615,19.2,0.07380681517855103,0.20504665136651243,16.5,0.07380681517855103,0.21899356297854417,13.100000000000001
80%,0.12406243817648537,0.09403019031525148,59.599999999999994,0.12406243817648537,0.09615320968484109,58.9,0.12406243817648537,0.10409298308907727,56.39999999999999,0.12406243817648537,0.1157085451571094,52.400000000000006,0.12406243817648537,0.13057796529807592,47.3,0.12406243817648537,0.14758223390108371,41.199999999999996,0.12406243817648537,0.16577165767277718,36.3,0.12406243817648537,0.18494568054118,30.8,0.12406243817648537,0.20468523520002843,25.7,0.12406243817648537,0.2257076505144745,20.9,0.12406243817648537,0.24706898747030553,16.3,0.12406243817648537,0.26846782193491014,13.700000000000001,0.12406243817648537,0.28996397110307737,11.200000000000001,0.12406243817648537,0.31172154978718003,8.200000000000001,0.12406243817648537,0.3340253030849786,5.7,0.12406243817648537,0.3562124217113337,4.7
90%,0.16511116711967555,0.1459663093135319,57.199999999999996,0.16511116711967555,0.1497969226281706,56.39999999999999,0.16511116711967555,0.16176245929890662,51.800000000000004,0.16511116711967555,0.18028668155199265,45.9,0.16511116711967555,0.20346020019465472,38.0,0.16511116711967555,0.2294376673514245,31.1,0.16511116711967555,0.2583604430200123,23.799999999999997,0.16511116711967555,0.28842021278993024,17.4,0.16511116711967555,0.3195309929277316,11.799999999999999,0.16511116711967555,0.35167984609611364,8.4,0.16511116711967555,0.3846412499961617,5.5,0.16511116711967555,0.41820163785373876,3.5999999999999996,0.16511116711967555,0.45220352567171845,1.7999999999999998,0.16511116711967555,0.4863296085289453,1.5,0.16511116711967555,0.520697267345374,0.7000000000000001,0.16511116711967555,0.5551683826645699,0.4
5th Best (HSFNX),0.1845984362406916,0.1808248896940201,52.6,0.1845984362406916,0.18455577963710168,51.9,0.1845984362406916,0.1975958049815324,47.0,0.1845984362406916,0.21890685941986637,39.6,0.1845984362406916,0.24572981875582992,32.4,0.1845984362406916,0.2774370959446218,24.4,0.1845984362406916,0.3116444729088237,18.2,0.1845984362406916,0.3482305215111467,12.6,0.1845984362406916,0.38611968352913695,7.199999999999999,0.1845984362406916,0.42471716268700105,4.5,0.1845984362406916,0.4644485366083746,2.7,0.1845984362406916,0.5049586413899553,1.4000000000000001,0.1845984362406916,0.5455937555534135,0.6,0.1845984362406916,0.586204090774668,0.4,0.1845984362406916,0.6273288963774947,0.2,0.1845984362406916,0.6688335975423085,0.2
4th Best (HISFX),0.19966825057376025,0.1976232722045962,52.800000000000004,0.19966825057376025,0.20083436636691818,51.800000000000004,0.19966825057376025,0.21573740370243216,45.9,0.19966825057376025,0.23907532777111465,39.300000000000004,0.19966825057376025,0.26840686114001416,31.3,0.19966825057376025,0.30258199966052096,23.400000000000002,0.19966825057376025,0.3401579878334353,16.8,0.19966825057376025,0.37883891917689355,10.9,0.19966825057376025,0.41975056422612295,6.800000000000001,0.19966825057376025,0.462008517625454,4.1000000000000005,0.19966825057376025,0.5049178433224419,2.5,0.19966825057376025,0.5485231952342833,1.3,0.19966825057376025,0.5925688312514442,0.6,0.19966825057376025,0.637163950756613,0.4,0.19966825057376025,0.682024537053108,0.1,0.19966825057376025,0.7273790395411847,0.1
3rd Best (RMBNX),0.4044037592705083,0.21211579473114098,90.3,0.4044037592705083,0.2195397530402767,89.3,0.4044037592705083,0.23707068247004984,87.7,0.4044037592705083,0.26322993855337434,84.2,0.4044037592705083,0.2966748128712521,77.9,0.4044037592705083,0.3346192189334231,70.0,0.4044037592705083,0.3759687027215431,59.099999999999994,0.4044037592705083,0.4204746801210092,47.199999999999996,0.4044037592705083,0.4660164514166374,35.0,0.4044037592705083,0.5125224948908472,26.1,0.4044037592705083,0.5595511888737373,17.7,0.4044037592705083,0.6071200186225578,11.5,0.4044037592705083,0.6556567313889423,7.199999999999999,0.4044037592705083,0.7046042957958053,4.3,0.4044037592705083,0.7537411690708761,2.1999999999999997,0.4044037592705083,0.8028474830391379,1.2
2nd Best (RMBKX),0.4663342668016127,0.22198171796521537,96.1,0.4663342668016127,0.2377020412063962,93.7,0.4663342668016127,0.2628982865503224,91.10000000000001,0.4663342668016127,0.29552975930738046,87.7,0.4663342668016127,0.3346958856104637,81.69999999999999,0.4663342668016127,0.3788959003275188,72.6,0.4663342668016127,0.42622374088063875,61.9,0.4663342668016127,0.47591847100365736,48.1,0.4663342668016127,0.5276607763397361,35.9,0.4663342668016127,0.5811784967518503,26.1,0.4663342668016127,0.6363746951058009,18.099999999999998,0.4663342668016127,0.6926040935884185,11.4,0.4663342668016127,0.7491668076901116,5.8999999999999995,0.4663342668016127,0.8063083494276971,3.3000000000000003,0.4663342668016127,0.8637349097259853,2.3,0.4663342668016127,0.9215481682626269,1.0
Best (RMBLX),0.4684217977387932,0.25375847697391823,92.7,0.4684217977387932,0.27603910139794646,88.8,0.4684217977387932,0.31169439908107627,83.8,0.4684217977387932,0.35633680742381124,77.4,0.4684217977387932,0.4073568717977953,65.5,0.4684217977387932,0.462802525682027,53.5,0.4684217977387932,0.521842955580141,40.0,0.4684217977387932,0.5833934592572608,29.4,0.4684217977387932,0.6470148259345492,19.1,0.4684217977387932,0.7120032699067751,12.1,0.4684217977387932,0.7778786090329088,6.2,0.4684217977387932,0.8446288205635701,3.0,0.4684217977387932,0.9121035726263074,1.2,0.4684217977387932,0.9800483906719498,0.6,0.4684217977387932,1.0486464560249373,0.3,0.4684217977387932,1.1176340412098589,0.3
