,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (SFPCX),-5.337907684587248,-2.0856102894227844,0.7000000000000001,-5.337907684587248,-2.283297793907747,0.8999999999999999,-5.337907684587248,-2.5782015637720805,2.3,-5.337907684587248,-2.9421674486131377,3.8,-5.337907684587248,-3.3568921680871515,6.7,-5.337907684587248,-3.8116983423750326,12.4,-5.337907684587248,-4.2901299439984575,22.2,-5.337907684587248,-4.789168681065652,33.7,-5.337907684587248,-5.304754880648216,46.5,-5.337907684587248,-5.83271306877511,60.6,-5.337907684587248,-6.3691588939944275,72.6,-5.337907684587248,-6.9113137769919195,80.4,-5.337907684587248,-7.457931387218881,86.7,-5.337907684587248,-8.009272001049286,92.30000000000001,-5.337907684587248,-8.563911146653735,95.39999999999999,-5.337907684587248,-9.120899331027921,97.3
2nd Worst (RYFCX),-5.020044878495677,-1.9111677833624314,0.8,-5.020044878495677,-2.019166814761591,1.2,-5.020044878495677,-2.223856916755233,1.9,-5.020044878495677,-2.503521430416924,2.9000000000000004,-5.020044878495677,-2.8379726469264286,4.1000000000000005,-5.020044878495677,-3.2043391400419967,7.9,-5.020044878495677,-3.592748546145066,12.2,-5.020044878495677,-3.9982656592081076,20.599999999999998,-5.020044878495677,-4.417252001497639,29.4,-5.020044878495677,-4.843434901113619,43.2,-5.020044878495677,-5.2778003942741085,55.7,-5.020044878495677,-5.722740025855079,65.8,-5.020044878495677,-6.173783417823709,74.6,-5.020044878495677,-6.628020230355593,83.8,-5.020044878495677,-7.086214874774783,89.8,-5.020044878495677,-7.547179189675235,94.1
3rd Worst (SFPAX),-4.793641921799545,-1.812010228974033,1.0,-4.793641921799545,-1.867536641641765,1.0999999999999999,-4.793641921799545,-2.024471962142597,1.6,-4.793641921799545,-2.261216357937519,2.6,-4.793641921799545,-2.545954555268694,3.5000000000000004,-4.793641921799545,-2.863332768705009,5.3,-4.793641921799545,-3.2093143334530585,9.2,-4.793641921799545,-3.574752906900804,15.7,-4.793641921799545,-3.9506049664361544,24.0,-4.793641921799545,-4.335443189634896,34.8,-4.793641921799545,-4.725818505928337,46.2,-4.793641921799545,-5.1209318838120215,57.699999999999996,-4.793641921799545,-5.521578544266326,68.2,-4.793641921799545,-5.924283034792587,76.8,-4.793641921799545,-6.327378437263577,82.6,-4.793641921799545,-6.734482803268533,88.3
4th Worst (SFPIX),-4.474486838191532,-1.6662831082444518,1.2,-4.474486838191532,-1.7142316150625851,1.4000000000000001,-4.474486838191532,-1.8557903055624343,1.7000000000000002,-4.474486838191532,-2.057980286620331,2.1,-4.474486838191532,-2.310891586152783,3.3000000000000003,-4.474486838191532,-2.603095978285139,5.6000000000000005,-4.474486838191532,-2.916329314720012,8.799999999999999,-4.474486838191532,-3.245141832556009,14.299999999999999,-4.474486838191532,-3.5832665857667427,23.200000000000003,-4.474486838191532,-3.932894945049623,31.900000000000002,-4.474486838191532,-4.290897391862234,43.1,-4.474486838191532,-4.650960419558955,54.0,-4.474486838191532,-5.013311752466038,63.6,-4.474486838191532,-5.380102709509788,73.4,-4.474486838191532,-5.752281533132318,79.80000000000001,-4.474486838191532,-6.1274873076660645,86.1
5th Worst (RYFAX),-4.41588216700128,-1.5382342455443663,1.0,-4.41588216700128,-1.587140846378926,1.4000000000000001,-4.41588216700128,-1.7187885113244306,1.5,-4.41588216700128,-1.9027167131575056,1.9,-4.41588216700128,-2.1301360098702777,2.4,-4.41588216700128,-2.3944158993031097,3.8,-4.41588216700128,-2.6850525828732215,6.9,-4.41588216700128,-2.9863881669978682,10.9,-4.41588216700128,-3.3028537310871378,17.0,-4.41588216700128,-3.625927224386907,24.6,-4.41588216700128,-3.9556488807569776,34.0,-4.41588216700128,-4.2892640094380505,44.5,-4.41588216700128,-4.626129289482704,55.1,-4.41588216700128,-4.9694240883045016,64.9,-4.41588216700128,-5.316044413698814,73.2,-4.41588216700128,-5.661901681021235,79.7
10%,-3.801369392486961,-1.2971238692412408,1.7999999999999998,-3.801369392486961,-1.336782899044281,2.0,-3.801369392486961,-1.439719551225644,2.3,-3.801369392486961,-1.5993126719442825,2.6,-3.801369392486961,-1.789777258439049,3.4000000000000004,-3.801369392486961,-2.0105744620971495,5.800000000000001,-3.801369392486961,-2.251348162170667,8.1,-3.801369392486961,-2.5063106137149456,12.8,-3.801369392486961,-2.7706224782519437,16.8,-3.801369392486961,-3.0425820095273237,25.4,-3.801369392486961,-3.31791083545892,32.9,-3.801369392486961,-3.597881347913658,41.6,-3.801369392486961,-3.8804100280088685,51.6,-3.801369392486961,-4.164599777121628,60.8,-3.801369392486961,-4.450139841485305,68.89999999999999,-3.801369392486961,-4.73689867174518,74.2
20%,-2.680580659010811,-0.8773029746858519,5.6000000000000005,-2.680580659010811,-0.8998746455807131,5.0,-2.680580659010811,-0.9686315293578691,5.8999999999999995,-2.680580659010811,-1.0687971665130467,7.1,-2.680580659010811,-1.2003387498538771,8.5,-2.680580659010811,-1.3481172463712048,10.8,-2.680580659010811,-1.504312003695347,13.900000000000002,-2.680580659010811,-1.6694978840536545,16.6,-2.680580659010811,-1.847944494463014,21.5,-2.680580659010811,-2.0250947688981347,25.900000000000002,-2.680580659010811,-2.2037398227140623,31.1,-2.680580659010811,-2.3864358801210965,37.6,-2.680580659010811,-2.572265114031038,45.300000000000004,-2.680580659010811,-2.7613233132141244,52.0,-2.680580659010811,-2.9504720245807747,59.8,-2.680580659010811,-3.1418463194389323,65.10000000000001
30%,-2.1905328180637977,-0.5676726139180951,6.3,-2.1905328180637977,-0.58229169509079,6.4,-2.1905328180637977,-0.6202025261239017,6.9,-2.1905328180637977,-0.6814086745727193,7.8,-2.1905328180637977,-0.7559269860080726,8.4,-2.1905328180637977,-0.84794455122766,9.6,-2.1905328180637977,-0.947985432067456,11.3,-2.1905328180637977,-1.0526213870531929,14.000000000000002,-2.1905328180637977,-1.1621883586216186,15.4,-2.1905328180637977,-1.2735757216943193,18.4,-2.1905328180637977,-1.3870209345736786,21.7,-2.1905328180637977,-1.503369924577743,25.2,-2.1905328180637977,-1.6168078178096494,29.7,-2.1905328180637977,-1.7321602284153763,33.5,-2.1905328180637977,-1.8493845313614796,38.5,-2.1905328180637977,-1.9683548112874576,43.1
40%,-1.606436343748311,-0.2947933982198363,10.9,-1.606436343748311,-0.3055495957788795,10.9,-1.606436343748311,-0.32253136385133313,10.8,-1.606436343748311,-0.3504763993179276,11.3,-1.606436343748311,-0.388778937927985,12.1,-1.606436343748311,-0.4317159842917383,12.5,-1.606436343748311,-0.47895842415391743,14.099999999999998,-1.606436343748311,-0.5257221850789331,15.2,-1.606436343748311,-0.5782034239531179,16.8,-1.606436343748311,-0.6272031890077859,18.2,-1.606436343748311,-0.6803148360457976,19.8,-1.606436343748311,-0.7368826712643507,21.4,-1.606436343748311,-0.7945182934654857,22.400000000000002,-1.606436343748311,-0.8522257079886879,24.2,-1.606436343748311,-0.9117223799702528,26.3,-1.606436343748311,-0.9689825453435663,28.199999999999996
50%,-0.22543703709185062,-0.048245489511526234,42.699999999999996,-0.22543703709185062,-0.04565086220353102,42.6,-0.22543703709185062,-0.044038594408723715,42.3,-0.22543703709185062,-0.044150087810463104,42.3,-0.22543703709185062,-0.04022172976044578,42.199999999999996,-0.22543703709185062,-0.043374798813508746,42.5,-0.22543703709185062,-0.04090059247199495,41.699999999999996,-0.22543703709185062,-0.041240649940777134,41.8,-0.22543703709185062,-0.04171217373821118,42.1,-0.22543703709185062,-0.04049896752683799,42.3,-0.22543703709185062,-0.04155029010257626,42.199999999999996,-0.22543703709185062,-0.043790425036462084,42.3,-0.22543703709185062,-0.04775679677102692,42.6,-0.22543703709185062,-0.04798689160300526,43.0,-0.22543703709185062,-0.04718347696460455,43.9,-0.22543703709185062,-0.04750057981238685,43.5
