,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (PHSBX),0.027321011344884707,-0.3357235278575363,97.0,0.027321011344884707,-0.3577211086672729,97.5,0.027321011344884707,-0.39006662611396475,98.1,0.027321011344884707,-0.43059593727252976,98.5,0.027321011344884707,-0.47843718370459987,98.9,0.027321011344884707,-0.5314843149414279,99.3,0.027321011344884707,-0.5896934384946215,99.6,0.027321011344884707,-0.6521558922780286,99.7,0.027321011344884707,-0.7174274984819045,99.9,0.027321011344884707,-0.7848944871954256,99.9,0.027321011344884707,-0.8542040003607013,99.9,0.027321011344884707,-0.9249256193733438,100.0,0.027321011344884707,-0.9967053422104212,100.0,0.027321011344884707,-1.0694103544959495,100.0,0.027321011344884707,-1.1427140912537417,100.0,0.027321011344884707,-1.2166345345281264,100.0
2nd Worst (PCHSX),0.027953843184334085,-0.2744719089232602,93.0,0.027953843184334085,-0.2904928725668478,93.89999999999999,0.027953843184334085,-0.3154738630564641,95.5,0.027953843184334085,-0.34846004800621677,96.7,0.027953843184334085,-0.38741984120473283,97.1,0.027953843184334085,-0.43139086359647083,97.8,0.027953843184334085,-0.47767833754817457,98.6,0.027953843184334085,-0.5262133203366288,98.9,0.027953843184334085,-0.5772349163310043,99.3,0.027953843184334085,-0.6301208433281635,99.7,0.027953843184334085,-0.6844609589571241,99.9,0.027953843184334085,-0.7402392350135617,99.9,0.027953843184334085,-0.7969411502562452,99.9,0.027953843184334085,-0.854193836757393,100.0,0.027953843184334085,-0.9122978486493274,100.0,0.027953843184334085,-0.9705950208196307,100.0
3rd Worst (FBTCX),0.03478689089272702,-0.25781320951952547,91.3,0.03478689089272702,-0.26260527754624285,92.2,0.03478689089272702,-0.2795966107679136,93.7,0.03478689089272702,-0.3057098091735986,95.39999999999999,0.03478689089272702,-0.33704616425253553,96.2,0.03478689089272702,-0.37304097646492784,97.1,0.03478689089272702,-0.4133417629308869,98.1,0.03478689089272702,-0.45585176594968196,98.6,0.03478689089272702,-0.5001503368039718,98.8,0.03478689089272702,-0.5462379365758679,99.1,0.03478689089272702,-0.593703491474477,99.4,0.03478689089272702,-0.6419558306428755,99.6,0.03478689089272702,-0.6909524276778959,99.9,0.03478689089272702,-0.7405169128370861,99.9,0.03478689089272702,-0.7903751326761701,99.9,0.03478689089272702,-0.8406678462907118,100.0
4th Worst (PHLMX),0.04864279888674991,-0.23188885176848553,91.10000000000001,0.04864279888674991,-0.23566076589660198,91.5,0.04864279888674991,-0.25024404005250345,92.9,0.04864279888674991,-0.2726063254394646,94.6,0.04864279888674991,-0.300923967936002,95.8,0.04864279888674991,-0.33354252000120715,96.5,0.04864279888674991,-0.36950381282470984,97.5,0.04864279888674991,-0.40801192966324273,98.3,0.04864279888674991,-0.44857502629780127,98.7,0.04864279888674991,-0.49022744148891134,99.0,0.04864279888674991,-0.5325306406932605,99.3,0.04864279888674991,-0.5753763403725574,99.5,0.04864279888674991,-0.6191080949386812,99.8,0.04864279888674991,-0.6634882780506958,99.9,0.04864279888674991,-0.7084635743155676,99.9,0.04864279888674991,-0.754313737699027,100.0
5th Worst (PHSRX),0.06907969039623779,-0.2116234904328856,91.2,0.06907969039623779,-0.21476156538146404,91.60000000000001,0.06907969039623779,-0.2274035211051511,92.9,0.06907969039623779,-0.2479570388106623,94.39999999999999,0.06907969039623779,-0.27337746691138526,95.3,0.06907969039623779,-0.30276952164876114,96.39999999999999,0.06907969039623779,-0.33457489120196726,97.3,0.06907969039623779,-0.3696406485212533,97.7,0.06907969039623779,-0.4064318128211182,98.6,0.06907969039623779,-0.44442604787309997,98.9,0.06907969039623779,-0.483492213124388,99.2,0.06907969039623779,-0.5231052067443581,99.5,0.06907969039623779,-0.5628258937583666,99.7,0.06907969039623779,-0.6032715132799178,99.8,0.06907969039623779,-0.6442651703096649,99.8,0.06907969039623779,-0.6859162851282654,100.0
10%,0.09519214076633488,-0.16598223966248826,89.60000000000001,0.09519214076633488,-0.1713401500542904,90.60000000000001,0.09519214076633488,-0.18274932207318606,91.9,0.09519214076633488,-0.19803099688147932,93.30000000000001,0.09519214076633488,-0.21890674735975485,94.39999999999999,0.09519214076633488,-0.24302113370900452,95.6,0.09519214076633488,-0.2694991471570813,96.6,0.09519214076633488,-0.29773182542285975,97.39999999999999,0.09519214076633488,-0.3269889890168356,97.89999999999999,0.09519214076633488,-0.3572332791645795,98.5,0.09519214076633488,-0.38824053352574256,98.8,0.09519214076633488,-0.420289003458207,99.0,0.09519214076633488,-0.4527657127206916,99.1,0.09519214076633488,-0.48553955462036336,99.5,0.09519214076633488,-0.5189148848515979,99.7,0.09519214076633488,-0.552770895164378,99.7
20%,0.15121005692976852,-0.10278452705095682,90.10000000000001,0.15121005692976852,-0.10406592609342638,90.5,0.15121005692976852,-0.11028437034499072,91.5,0.15121005692976852,-0.12030154128913916,92.2,0.15121005692976852,-0.13302641520858624,92.60000000000001,0.15121005692976852,-0.14829460730285005,93.7,0.15121005692976852,-0.1644524236009642,95.0,0.15121005692976852,-0.18246780823392142,95.8,0.15121005692976852,-0.20144148154593536,96.6,0.15121005692976852,-0.22122230894177444,97.39999999999999,0.15121005692976852,-0.24143990854345718,98.0,0.15121005692976852,-0.2623997067656803,98.3,0.15121005692976852,-0.2837759633847771,98.8,0.15121005692976852,-0.30495775457069857,98.8,0.15121005692976852,-0.326243773637598,98.9,0.15121005692976852,-0.34798326848661154,99.1
30%,0.20836814886006716,-0.053610411411771704,92.0,0.20836814886006716,-0.055340271022439165,91.9,0.20836814886006716,-0.059662085315339175,92.30000000000001,0.20836814886006716,-0.06602664588848893,92.80000000000001,0.20836814886006716,-0.0738515803077291,93.5,0.20836814886006716,-0.0834276215343238,93.7,0.20836814886006716,-0.09438418721545712,94.3,0.20836814886006716,-0.1055174814250334,95.1,0.20836814886006716,-0.11645438182187186,95.5,0.20836814886006716,-0.1282386321431985,96.0,0.20836814886006716,-0.14051297380913258,96.3,0.20836814886006716,-0.15312152253923586,96.8,0.20836814886006716,-0.1661593210101218,97.3,0.20836814886006716,-0.17908069867939058,97.6,0.20836814886006716,-0.1924579535316406,98.0,0.20836814886006716,-0.20598251700363085,98.1
40%,0.27659238869417596,-0.016969916194908327,94.39999999999999,0.27659238869417596,-0.01742284787099496,94.19999999999999,0.27659238869417596,-0.019049694707931566,94.3,0.27659238869417596,-0.022141209390710556,94.39999999999999,0.27659238869417596,-0.026388198854784904,94.6,0.27659238869417596,-0.031159763424294218,94.89999999999999,0.27659238869417596,-0.0357973454678685,95.3,0.27659238869417596,-0.04149926653160952,95.3,0.27659238869417596,-0.04737340479475116,95.39999999999999,0.27659238869417596,-0.05394579344392046,95.39999999999999,0.27659238869417596,-0.059998184525463814,95.8,0.27659238869417596,-0.06612082654226623,95.89999999999999,0.27659238869417596,-0.0723573369824244,96.39999999999999,0.27659238869417596,-0.078555471276661,96.6,0.27659238869417596,-0.08460479763467514,96.6,0.27659238869417596,-0.09098840523596662,96.6
50%,0.3265970636217262,0.01766105355309402,94.8,0.3265970636217262,0.016729414568661147,94.8,0.3265970636217262,0.016504233601946753,94.8,0.3265970636217262,0.016955610349097556,95.1,0.3265970636217262,0.01667956836162721,95.0,0.3265970636217262,0.016540284230818027,95.1,0.3265970636217262,0.01630422236593604,94.8,0.3265970636217262,0.016254995864885727,94.8,0.3265970636217262,0.016089661471564525,94.69999999999999,0.3265970636217262,0.015909201199879257,95.0,0.3265970636217262,0.015827043168068634,94.6,0.3265970636217262,0.015538034122661764,94.39999999999999,0.3265970636217262,0.015358299158343185,94.39999999999999,0.3265970636217262,0.015478305551810177,94.5,0.3265970636217262,0.015706847669546647,94.39999999999999,0.3265970636217262,0.01582606227530496,94.5
