,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (FBTCX),0.16089629607325026,-1.85422866537863,97.0,0.16089629607325026,-1.9539008257235868,97.3,0.16089629607325026,-2.1096338134651624,98.1,0.16089629607325026,-2.3117842218066107,98.5,0.16089629607325026,-2.559838262227749,98.9,0.16089629607325026,-2.8401212693522355,99.3,0.16089629607325026,-3.14846132262902,99.6,0.16089629607325026,-3.477521586337707,99.8,0.16089629607325026,-3.8208894112304135,99.9,0.16089629607325026,-4.175970201766884,99.9,0.16089629607325026,-4.540581906007797,99.9,0.16089629607325026,-4.913565153930272,100.0,0.16089629607325026,-5.293046755496574,100.0,0.16089629607325026,-5.677481432632732,100.0,0.16089629607325026,-6.065727224728096,100.0,0.16089629607325026,-6.456615514215968,100.0
2nd Worst (PHSBX),0.20357533999280344,-1.5026013730012733,93.60000000000001,0.20357533999280344,-1.5822822453218028,94.19999999999999,0.20357533999280344,-1.7148443026532756,95.8,0.20357533999280344,-1.8869473887845438,97.0,0.20357533999280344,-2.0901613003101676,97.3,0.20357533999280344,-2.322732721535907,97.89999999999999,0.20357533999280344,-2.5711101713206346,98.6,0.20357533999280344,-2.841396406102883,99.0,0.20357533999280344,-3.1248613381049033,99.4,0.20357533999280344,-3.4192866515550078,99.7,0.20357533999280344,-3.7215373246943644,99.9,0.20357533999280344,-4.027974309543864,99.9,0.20357533999280344,-4.338289726540807,99.9,0.20357533999280344,-4.65066950924451,100.0,0.20357533999280344,-4.9661063413775235,100.0,0.20357533999280344,-5.284248935254068,100.0
3rd Worst (PCHSX),0.20822932324526333,-1.3872718694005675,91.8,0.20822932324526333,-1.4219305262031907,92.2,0.20822932324526333,-1.5201477129224499,93.5,0.20822932324526333,-1.6667779106148055,95.39999999999999,0.20822932324526333,-1.845818972798449,96.3,0.20822932324526333,-2.047549683807105,97.2,0.20822932324526333,-2.2731520552200775,98.1,0.20822932324526333,-2.509152279611515,98.6,0.20822932324526333,-2.7603983742185276,98.8,0.20822932324526333,-3.019130415728474,99.2,0.20822932324526333,-3.283426672422227,99.4,0.20822932324526333,-3.553871972863817,99.5,0.20822932324526333,-3.828103517962297,99.9,0.20822932324526333,-4.105097781625469,99.9,0.20822932324526333,-4.3839623568133215,99.9,0.20822932324526333,-4.668652588338709,100.0
4th Worst (FBTTX),0.34236202653348186,-1.2441144763086003,91.4,0.34236202653348186,-1.2797691769399269,92.5,0.34236202653348186,-1.3651876611165839,94.19999999999999,0.34236202653348186,-1.495027643791443,95.1,0.34236202653348186,-1.6552455816074116,95.8,0.34236202653348186,-1.84877882336618,96.8,0.34236202653348186,-2.0559522351584563,97.6,0.34236202653348186,-2.2750154962795595,98.4,0.34236202653348186,-2.5056080655533948,98.7,0.34236202653348186,-2.74278305388516,99.1,0.34236202653348186,-2.9868183652524016,99.4,0.34236202653348186,-3.2364968376805354,99.5,0.34236202653348186,-3.4916624739062634,99.8,0.34236202653348186,-3.7503846577910327,99.9,0.34236202653348186,-4.01081972537495,99.9,0.34236202653348186,-4.26935564123473,100.0
5th Worst (PHLMX),0.3625353585370315,-1.1401933323205589,90.0,0.3625353585370315,-1.174917345982321,90.8,0.3625353585370315,-1.2499195540663728,92.30000000000001,0.3625353585370315,-1.3705055060147382,94.0,0.3625353585370315,-1.5258694041430034,95.1,0.3625353585370315,-1.6968419846702751,95.89999999999999,0.3625353585370315,-1.8901995077663183,97.0,0.3625353585370315,-2.0946705583819987,97.6,0.3625353585370315,-2.3086989572291365,98.7,0.3625353585370315,-2.5345804907986045,98.8,0.3625353585370315,-2.7641542866507565,99.0,0.3625353585370315,-2.9944952483537355,99.4,0.3625353585370315,-3.2279006286467045,99.7,0.3625353585370315,-3.4644723625261906,99.8,0.3625353585370315,-3.7047951553264364,99.8,0.3625353585370315,-3.946661763638939,99.9
10%,0.5337922551226941,-0.9164446268645213,89.5,0.5337922551226941,-0.946657036220062,90.0,0.5337922551226941,-1.0175064856918996,91.10000000000001,0.5337922551226941,-1.1157826007682792,92.80000000000001,0.5337922551226941,-1.245708374095862,94.3,0.5337922551226941,-1.3938146757999479,95.19999999999999,0.5337922551226941,-1.5550140867698075,95.89999999999999,0.5337922551226941,-1.7267772131195531,96.6,0.5337922551226941,-1.9048269658667218,97.89999999999999,0.5337922551226941,-2.085930133103487,98.5,0.5337922551226941,-2.272692000095986,98.7,0.5337922551226941,-2.465428259918871,99.1,0.5337922551226941,-2.6596793384361797,99.2,0.5337922551226941,-2.8560025193318705,99.6,0.5337922551226941,-3.0543181879349053,99.6,0.5337922551226941,-3.2545001571179917,99.8
20%,0.9233935584279578,-0.5737788782940098,89.8,0.9233935584279578,-0.5896715917290104,90.7,0.9233935584279578,-0.6340308607921298,91.0,0.9233935584279578,-0.7025968247509109,91.7,0.9233935584279578,-0.7855133609283558,92.9,0.9233935584279578,-0.8767535506813513,93.60000000000001,0.9233935584279578,-0.9819663321146739,94.6,0.9233935584279578,-1.0926670525245583,95.19999999999999,0.9233935584279578,-1.2102904394441798,96.2,0.9233935584279578,-1.3321068716577953,96.89999999999999,0.9233935584279578,-1.4608664202176218,97.7,0.9233935584279578,-1.5902493961945143,98.2,0.9233935584279578,-1.7189362669882453,98.6,0.9233935584279578,-1.8496569751750387,98.8,0.9233935584279578,-1.981626598737082,98.9,0.9233935584279578,-2.1139819635402053,99.1
30%,1.3594946146704683,-0.3194853749265661,92.5,1.3594946146704683,-0.3292322905159034,92.60000000000001,1.3594946146704683,-0.3561509255502041,93.0,1.3594946146704683,-0.39598710449854585,93.2,1.3594946146704683,-0.4456360313717431,93.7,1.3594946146704683,-0.507389348157171,94.19999999999999,1.3594946146704683,-0.5732395353152417,94.5,1.3594946146704683,-0.6422981265906494,95.39999999999999,1.3594946146704683,-0.7122521231766821,95.89999999999999,1.3594946146704683,-0.7839325313303971,96.39999999999999,1.3594946146704683,-0.8598520886514146,96.5,1.3594946146704683,-0.9375775049829311,96.7,1.3594946146704683,-1.0176295872127026,97.5,1.3594946146704683,-1.0988109896922733,97.89999999999999,1.3594946146704683,-1.1831185746042765,98.1,1.3594946146704683,-1.267288249805145,98.4
40%,1.577702577620704,-0.09573019139744385,92.2,1.577702577620704,-0.10008146154860639,92.2,1.577702577620704,-0.11215094979192074,92.80000000000001,1.577702577620704,-0.13099851590630454,93.0,1.577702577620704,-0.15839635514741457,93.10000000000001,1.577702577620704,-0.18935224467222844,93.10000000000001,1.577702577620704,-0.22332308938831938,93.10000000000001,1.577702577620704,-0.25866458978868834,93.5,1.577702577620704,-0.29326236016311213,94.39999999999999,1.577702577620704,-0.33301876634179384,94.39999999999999,1.577702577620704,-0.37013191612010293,94.39999999999999,1.577702577620704,-0.4072674968343152,94.5,1.577702577620704,-0.4442207967647054,94.8,1.577702577620704,-0.4827784352917961,95.19999999999999,1.577702577620704,-0.5225136043757823,95.7,1.577702577620704,-0.5626394376881398,96.1
50%,1.7558320345154355,0.11142222172186678,91.60000000000001,1.7558320345154355,0.11075303068858515,91.60000000000001,1.7558320345154355,0.11106944672876375,91.9,1.7558320345154355,0.11053356847849181,91.9,1.7558320345154355,0.10872794015371928,91.9,1.7558320345154355,0.10872847894109426,91.8,1.7558320345154355,0.10715289501614815,91.8,1.7558320345154355,0.10631931571118226,92.0,1.7558320345154355,0.10395266721150903,92.10000000000001,1.7558320345154355,0.10200018233172972,91.9,1.7558320345154355,0.09952036353803274,92.0,1.7558320345154355,0.0986806488077749,92.0,1.7558320345154355,0.09916374443019266,92.0,1.7558320345154355,0.0994327153394291,91.8,1.7558320345154355,0.09993186808405409,91.5,1.7558320345154355,0.10174137340664945,91.10000000000001
