,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (ICIAX),-0.254018584074316,-0.21975372481364616,38.9,-0.254018584074316,-0.22977945673609848,42.199999999999996,-0.254018584074316,-0.2517576826205358,47.5,-0.254018584074316,-0.2819365389597531,53.300000000000004,-0.254018584074316,-0.3173058546023284,60.9,-0.254018584074316,-0.3571447149395949,68.89999999999999,-0.254018584074316,-0.400169289345457,75.7,-0.254018584074316,-0.4455140940648748,82.19999999999999,-0.254018584074316,-0.49242951923200146,86.7,-0.254018584074316,-0.5405518835645656,90.60000000000001,-0.254018584074316,-0.5896124233427626,93.5,-0.254018584074316,-0.6396491945563813,94.69999999999999,-0.254018584074316,-0.690342191028217,95.5,-0.254018584074316,-0.7415917851922927,96.39999999999999,-0.254018584074316,-0.7931333382983453,97.39999999999999,-0.254018584074316,-0.844908425674392,98.2
2nd Worst (RYCNX),-0.24484516668895667,-0.1452301524131928,24.8,-0.24484516668895667,-0.15666388371815912,27.200000000000003,-0.24484516668895667,-0.17466596202695142,31.0,-0.24484516668895667,-0.1980010339093227,36.4,-0.24484516668895667,-0.22504371370580184,42.0,-0.24484516668895667,-0.25443361463388775,49.6,-0.24484516668895667,-0.2854719649620804,56.49999999999999,-0.24484516668895667,-0.31800593516563513,63.0,-0.24484516668895667,-0.35140207606961177,71.2,-0.24484516668895667,-0.38557839689336676,76.5,-0.24484516668895667,-0.4200999743918451,81.0,-0.24484516668895667,-0.4551266898640661,85.0,-0.24484516668895667,-0.4906969006347207,88.1,-0.24484516668895667,-0.5267553905978585,90.60000000000001,-0.24484516668895667,-0.5630972719727176,91.7,-0.24484516668895667,-0.5996584921189899,93.4
3rd Worst (ICTRX),-0.2271284285643971,-0.11401837696032657,22.900000000000002,-0.2271284285643971,-0.12347468880736935,24.099999999999998,-0.2271284285643971,-0.13809579124724128,26.6,-0.2271284285643971,-0.15505103376215576,30.4,-0.2271284285643971,-0.17511285984157396,34.4,-0.2271284285643971,-0.19720645445539878,41.699999999999996,-0.2271284285643971,-0.22140121172772678,47.0,-0.2271284285643971,-0.24678703091534782,54.0,-0.2271284285643971,-0.27289730638068294,59.4,-0.2271284285643971,-0.2994280470233473,65.2,-0.2271284285643971,-0.3265857359900546,69.19999999999999,-0.2271284285643971,-0.35365038400938875,74.2,-0.2271284285643971,-0.38054631705685255,77.7,-0.2271284285643971,-0.4076036514550924,81.69999999999999,-0.2271284285643971,-0.43511053858417326,84.2,-0.2271284285643971,-0.46299738140834484,85.9
4th Worst (RYPAX),-0.20468927519458974,-0.09934937019841879,24.5,-0.20468927519458974,-0.1030033005674544,24.7,-0.20468927519458974,-0.11170952056372468,26.1,-0.20468927519458974,-0.12386265950904027,27.800000000000004,-0.20468927519458974,-0.13767479209414346,31.7,-0.20468927519458974,-0.153669084805938,35.9,-0.20468927519458974,-0.17074335789060485,39.900000000000006,-0.20468927519458974,-0.18906615676017896,43.6,-0.20468927519458974,-0.20845628746490802,48.5,-0.20468927519458974,-0.22871217530896298,54.1,-0.20468927519458974,-0.2493798763035835,58.5,-0.20468927519458974,-0.2701474543070631,63.3,-0.20468927519458974,-0.29138964691898595,67.5,-0.20468927519458974,-0.3128430233905583,72.2,-0.20468927519458974,-0.33448910116984887,75.4,-0.20468927519458974,-0.35632118461149426,77.9
5th Worst (RYTSX),-0.18463002940000078,-0.08522409477023281,27.6,-0.18463002940000078,-0.0845848564551856,24.9,-0.18463002940000078,-0.0872184458139352,24.8,-0.18463002940000078,-0.09374213653572591,25.3,-0.18463002940000078,-0.10399889561750915,28.7,-0.18463002940000078,-0.1156651381624685,31.5,-0.18463002940000078,-0.12888692475630598,35.3,-0.18463002940000078,-0.1434401737589507,38.4,-0.18463002940000078,-0.15860596959935924,41.699999999999996,-0.18463002940000078,-0.17394484705862762,45.9,-0.18463002940000078,-0.18990492998478947,50.7,-0.18463002940000078,-0.20649490034720738,54.400000000000006,-0.18463002940000078,-0.22330751282170883,57.49999999999999,-0.18463002940000078,-0.24019352635397054,61.1,-0.18463002940000078,-0.25707453397610935,64.60000000000001,-0.18463002940000078,-0.2738148300888024,66.4
10%,-0.23421512381422094,-0.12650308714147307,23.5,-0.23421512381422094,-0.13675036677168523,24.8,-0.23421512381422094,-0.15272385955912535,28.199999999999996,-0.23421512381422094,-0.17223103382102256,32.300000000000004,-0.23421512381422094,-0.19508520138726512,37.3,-0.23421512381422094,-0.22009731852679437,44.9,-0.23421512381422094,-0.24702951302146822,50.8,-0.23421512381422094,-0.2752745926154628,56.8,-0.23421512381422094,-0.30429921425625445,63.5,-0.23421512381422094,-0.3338881869713551,70.5,-0.23421512381422094,-0.3639914313507708,75.3,-0.23421512381422094,-0.3942409063512597,79.9,-0.23421512381422094,-0.42460655048799983,83.2,-0.23421512381422094,-0.4552643471121988,86.5,-0.23421512381422094,-0.486305231939591,88.3,-0.23421512381422094,-0.5176618256926029,90.4
20%,-0.20067742603567196,-0.09652431511278158,25.3,-0.20067742603567196,-0.09931961174500063,24.8,-0.20067742603567196,-0.1068113056137668,26.1,-0.20067742603567196,-0.11783855491437736,27.700000000000003,-0.20067742603567196,-0.1309396127988166,30.9,-0.20067742603567196,-0.14606829547724406,35.699999999999996,-0.20067742603567196,-0.16237207126374503,39.2,-0.20067742603567196,-0.17994096015993333,42.5,-0.20067742603567196,-0.19848622389179826,47.4,-0.20067742603567196,-0.21775870965889593,53.2,-0.20067742603567196,-0.23748488703982465,57.099999999999994,-0.20067742603567196,-0.257416943515092,61.8,-0.20067742603567196,-0.2777732200995305,65.60000000000001,-0.20067742603567196,-0.2983131239832408,70.3,-0.20067742603567196,-0.319006187731101,73.8,-0.20067742603567196,-0.33981991370695586,76.2
30%,-0.16884934849226543,-0.07003798388067604,25.900000000000002,-0.16884934849226543,-0.06836829596235973,24.4,-0.16884934849226543,-0.06909828780223147,24.3,-0.16884934849226543,-0.07341813002386578,23.9,-0.16884934849226543,-0.08108163635892633,27.1,-0.16884934849226543,-0.09074363123086125,29.9,-0.16884934849226543,-0.10140336931954223,32.300000000000004,-0.16884934849226543,-0.1119207573698419,34.9,-0.16884934849226543,-0.12303633435111384,37.0,-0.16884934849226543,-0.13495565494807282,40.8,-0.16884934849226543,-0.14729069839861716,44.2,-0.16884934849226543,-0.1599630382553174,48.5,-0.16884934849226543,-0.1730821994158141,51.800000000000004,-0.16884934849226543,-0.18627078707973255,54.300000000000004,-0.16884934849226543,-0.19945700304529668,56.699999999999996,-0.16884934849226543,-0.2126401211553304,58.599999999999994
40%,-0.10831100412939416,-0.037275170976374145,29.099999999999998,-0.10831100412939416,-0.035243851281265205,28.4,-0.10831100412939416,-0.03515552317885872,29.299999999999997,-0.10831100412939416,-0.03729007168733259,29.7,-0.10831100412939416,-0.04067688238368126,30.8,-0.10831100412939416,-0.0450538343734766,33.1,-0.10831100412939416,-0.05003101455826547,35.6,-0.10831100412939416,-0.05547642804988863,35.699999999999996,-0.10831100412939416,-0.061193393372983365,36.8,-0.10831100412939416,-0.06708101980440943,38.800000000000004,-0.10831100412939416,-0.07305349049219069,40.8,-0.10831100412939416,-0.07911596098606767,42.8,-0.10831100412939416,-0.08494308444030414,45.1,-0.10831100412939416,-0.09087710430953162,46.5,-0.10831100412939416,-0.09687981384591518,48.199999999999996,-0.10831100412939416,-0.10290832053847507,49.9
50%,0.11637743424001412,-0.00436053736740954,80.80000000000001,0.11637743424001412,-0.004412752668119444,82.0,0.11637743424001412,-0.003921735030561682,80.60000000000001,0.11637743424001412,-0.003581592369882635,80.7,0.11637743424001412,-0.0030060160311109435,80.4,0.11637743424001412,-0.0025005787322201246,80.60000000000001,0.11637743424001412,-0.0017276194589268114,79.80000000000001,0.11637743424001412,-0.0007563761009281192,78.8,0.11637743424001412,0.00031670853801756715,78.2,0.11637743424001412,0.0005573572282277106,78.0,0.11637743424001412,0.0011130904388690134,77.4,0.11637743424001412,0.001744247728573598,76.3,0.11637743424001412,0.0021927305628724417,75.0,0.11637743424001412,0.0029533664428775977,74.2,0.11637743424001412,0.003725831494209573,73.9,0.11637743424001412,0.004254020625304962,73.4
