,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (ICIAX),-2.149622233716374,-1.5801493619576854,31.1,-2.149622233716374,-1.668220763301422,32.800000000000004,-2.149622233716374,-1.84406436466718,38.3,-2.149622233716374,-2.077128152318227,45.1,-2.149622233716374,-2.3567059377763804,54.7,-2.149622233716374,-2.668841170133893,63.5,-2.149622233716374,-3.001956986846113,71.8,-2.149622233716374,-3.3500231006248673,78.9,-2.149622233716374,-3.7084737257982234,84.8,-2.149622233716374,-4.074514802534019,88.8,-2.149622233716374,-4.446848817891439,92.10000000000001,-2.149622233716374,-4.824605654852513,93.7,-2.149622233716374,-5.207306159711043,95.19999999999999,-2.149622233716374,-5.592803751011026,96.3,-2.149622233716374,-5.981321330834074,97.39999999999999,-2.149622233716374,-6.371341868708202,97.7
2nd Worst (ICTRX),-1.927061449495328,-1.097722461097113,23.5,-1.927061449495328,-1.1925401098827455,26.1,-1.927061449495328,-1.3416431641230964,29.9,-1.927061449495328,-1.531758954533875,35.4,-1.927061449495328,-1.744985224389468,42.1,-1.927061449495328,-1.9749862807751073,49.1,-1.927061449495328,-2.2174006646566835,57.4,-1.927061449495328,-2.4692999630377535,64.9,-1.927061449495328,-2.7324370779458786,71.1,-1.927061449495328,-3.004295407941505,76.8,-1.927061449495328,-3.284637839488749,82.3,-1.927061449495328,-3.567484209202086,85.2,-1.927061449495328,-3.852114513089605,88.2,-1.927061449495328,-4.140038226867577,90.10000000000001,-1.927061449495328,-4.42960639533672,92.2,-1.927061449495328,-4.7209354663062815,94.0
3rd Worst (RYCNX),-1.6993341247845952,-0.8852895821588369,24.6,-1.6993341247845952,-0.9633547151264982,25.6,-1.6993341247845952,-1.078521346487284,28.999999999999996,-1.6993341247845952,-1.2198552213152143,32.800000000000004,-1.6993341247845952,-1.3810107666071738,37.9,-1.6993341247845952,-1.5632001465748642,43.5,-1.6993341247845952,-1.7609655615521649,50.7,-1.6993341247845952,-1.9674433868803654,56.699999999999996,-1.6993341247845952,-2.1803839209890468,63.2,-1.6993341247845952,-2.3945083773072553,68.4,-1.6993341247845952,-2.609818828304503,72.7,-1.6993341247845952,-2.8283129043316895,76.0,-1.6993341247845952,-3.049573769087997,80.2,-1.6993341247845952,-3.272139233375945,83.8,-1.6993341247845952,-3.4961111106145384,86.3,-1.6993341247845952,-3.722139196029096,87.8
4th Worst (RYPAX),-1.4217680431114663,-0.7734263312580626,28.7,-1.4217680431114663,-0.8121723392490319,30.2,-1.4217680431114663,-0.8872998277897375,32.1,-1.4217680431114663,-0.9856797737207064,33.4,-1.4217680431114663,-1.10505357781675,37.7,-1.4217680431114663,-1.2347536221995434,41.699999999999996,-1.4217680431114663,-1.3760502769437395,46.9,-1.4217680431114663,-1.532587423029012,52.6,-1.4217680431114663,-1.693499215134093,57.199999999999996,-1.4217680431114663,-1.8597964323273388,62.2,-1.4217680431114663,-2.02837611152078,65.7,-1.4217680431114663,-2.1992381668716354,70.19999999999999,-1.4217680431114663,-2.3699062528994608,74.2,-1.4217680431114663,-2.542012343239307,77.3,-1.4217680431114663,-2.716057640309285,79.9,-1.4217680431114663,-2.89120049152156,82.5
5th Worst (RYTSX),-1.2810903737387584,-0.6714400895076195,30.0,-1.2810903737387584,-0.669808900246279,29.9,-1.2810903737387584,-0.7014010187929989,30.099999999999998,-1.2810903737387584,-0.7624940051387005,32.2,-1.2810903737387584,-0.8470472578301182,35.099999999999994,-1.2810903737387584,-0.9446477376967366,37.8,-1.2810903737387584,-1.0557308455245074,41.8,-1.2810903737387584,-1.1705657801995677,44.9,-1.2810903737387584,-1.2925479100329904,48.9,-1.2810903737387584,-1.4215985510837985,52.300000000000004,-1.2810903737387584,-1.5517212079891238,55.7,-1.2810903737387584,-1.6825806280417728,59.699999999999996,-1.2810903737387584,-1.8176342864974162,63.1,-1.2810903737387584,-1.9530896304164507,66.60000000000001,-1.2810903737387584,-2.088831213284069,69.1,-1.2810903737387584,-2.22366700126615,70.89999999999999
10%,-1.7904250546688882,-0.9702627337341472,23.7,-1.7904250546688882,-1.0550288730289972,25.900000000000002,-1.7904250546688882,-1.1837700735416088,28.9,-1.7904250546688882,-1.3446167146026786,33.2,-1.7904250546688882,-1.5266005497200916,38.7,-1.7904250546688882,-1.7279146002549615,46.5,-1.7904250546688882,-1.9435396027939724,52.900000000000006,-1.7904250546688882,-2.1681860173433205,60.4,-1.7904250546688882,-2.4012051837717796,66.60000000000001,-1.7904250546688882,-2.638423189560955,72.2,-1.7904250546688882,-2.879746432778201,77.60000000000001,-1.7904250546688882,-3.1239814262798475,81.8,-1.7904250546688882,-3.37059006668864,85.0,-1.7904250546688882,-3.619298830772598,87.4,-1.7904250546688882,-3.8695092245034113,89.1,-1.7904250546688882,-4.121657704139969,90.8
20%,-1.3936325092369248,-0.753029082907974,28.999999999999996,-1.3936325092369248,-0.7836996514484813,29.9,-1.3936325092369248,-0.8501200659903898,31.8,-1.3936325092369248,-0.9410426200043053,33.1,-1.3936325092369248,-1.0534523138194236,36.9,-1.3936325092369248,-1.176732445298982,40.8,-1.3936325092369248,-1.311986390659893,45.4,-1.3936325092369248,-1.4601830944631229,51.1,-1.3936325092369248,-1.6133089541138723,55.300000000000004,-1.3936325092369248,-1.772156856078631,60.3,-1.3936325092369248,-1.9330451308144485,64.0,-1.3936325092369248,-2.0959066591056628,68.30000000000001,-1.3936325092369248,-2.2594518596190523,72.39999999999999,-1.3936325092369248,-2.4242278006747355,75.7,-1.3936325092369248,-2.5906123549042417,78.10000000000001,-1.3936325092369248,-2.7576937934704784,80.80000000000001
30%,-1.1710134824138088,-0.5723890339710734,29.5,-1.1710134824138088,-0.5579252582681192,29.299999999999997,-1.1710134824138088,-0.5682042043336963,29.9,-1.1710134824138088,-0.6095026112869714,31.0,-1.1710134824138088,-0.6720372538644002,33.5,-1.1710134824138088,-0.7503168367354524,36.1,-1.1710134824138088,-0.8366447841626469,38.6,-1.1710134824138088,-0.9272341098955434,41.3,-1.1710134824138088,-1.0195310794875796,44.3,-1.1710134824138088,-1.117524321137465,47.699999999999996,-1.1710134824138088,-1.2205377648964808,49.5,-1.1710134824138088,-1.3250072012542948,52.7,-1.1710134824138088,-1.4302413674759136,56.00000000000001,-1.1710134824138088,-1.5362225101553713,58.9,-1.1710134824138088,-1.6429395551177655,61.5,-1.1710134824138088,-1.7511927041449402,63.4
40%,-0.7621541638787944,-0.31712213619241264,34.0,-0.7621541638787944,-0.3009882482054062,33.300000000000004,-0.7621541638787944,-0.2994970796630521,33.0,-0.7621541638787944,-0.3121913214055122,34.8,-0.7621541638787944,-0.3390593573112103,35.4,-0.7621541638787944,-0.3741235757202278,36.6,-0.7621541638787944,-0.4140398217759816,37.7,-0.7621541638787944,-0.4562531643595738,38.9,-0.7621541638787944,-0.5020892726855358,41.6,-0.7621541638787944,-0.54921684056402,43.5,-0.7621541638787944,-0.5952659661661992,45.5,-0.7621541638787944,-0.6428525984366786,47.099999999999994,-0.7621541638787944,-0.6908619968056026,47.8,-0.7621541638787944,-0.7400503941673985,49.4,-0.7621541638787944,-0.7906532204185271,51.6,-0.7621541638787944,-0.8410137818544012,53.0
50%,1.1925577561545238,-0.03555472632417522,85.9,1.1925577561545238,-0.03576078423056575,85.7,1.1925577561545238,-0.031899779328011656,85.9,1.1925577561545238,-0.02631385009584611,86.0,1.1925577561545238,-0.021001737141848723,85.3,1.1925577561545238,-0.025000888841132832,85.0,1.1925577561545238,-0.024367493588428147,85.2,1.1925577561545238,-0.01884616837576252,84.1,1.1925577561545238,-0.011740026380519476,83.39999999999999,1.1925577561545238,-0.0035423214685814594,82.89999999999999,1.1925577561545238,0.0018189804139244145,82.39999999999999,1.1925577561545238,0.008306229935088477,81.8,1.1925577561545238,0.013976920090935334,81.5,1.1925577561545238,0.022173048324294873,80.60000000000001,1.1925577561545238,0.03129236892886142,79.10000000000001,1.1925577561545238,0.03813602212867107,78.10000000000001
