,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (MAWCX),-0.337211622061413,-0.3645300357124421,47.699999999999996,-0.4205233401225644,69.1,-0.5251945954240189,93.10000000000001,-0.6564204448868682,99.7,-0.8035029788369636,100.0,-0.9591329519449032,100.0,-1.119855552895424,100.0,-1.2842552760760182,100.0,-1.4513175772851006,100.0,-1.6200016515982993,100.0,-1.7901088961906986,100.0,-1.9610194710672395,100.0,-2.1325714111003973,100.0,-2.3045574460772738,100.0,-2.4769520397802123,100.0,-2.649625716396786,100.0
2nd Worst (MAWBX),-0.3371560270923256,-0.2914250653034314,24.7,-0.3370110771121426,45.0,-0.4196302026447577,82.89999999999999,-0.5231602325061676,98.8,-0.6399597111600903,100.0,-0.7631778336951379,100.0,-0.890522630575837,100.0,-1.0203983899552507,100.0,-1.151972834159649,100.0,-1.2848089789697588,100.0,-1.4183919424183054,100.0,-1.5527617444369275,100.0,-1.6874799754660523,100.0,-1.8227451051540602,100.0,-1.9585086802928964,100.0,-2.094693685112966,100.0
3rd Worst (GBTFX),-0.32548816820733756,-0.273480246808729,21.7,-0.30835072984951695,35.5,-0.37776882027887004,74.2,-0.46938782554020936,98.1,-0.5720173504500893,100.0,-0.6819746661435474,100.0,-0.7957221750010158,100.0,-0.9123526103440097,100.0,-1.0297813584950168,100.0,-1.1485770336238037,100.0,-1.2685141591933458,100.0,-1.389101266223457,100.0,-1.5098429730394078,100.0,-1.6308231079725444,100.0,-1.7521617840868624,100.0,-1.8737542303944756,100.0
4th Worst (SLVCX),-0.32302249979164277,-0.26029693495693723,17.599999999999998,-0.28761218251058823,27.200000000000003,-0.35046815571929485,62.9,-0.43536976407144506,96.39999999999999,-0.5298922473393944,100.0,-0.6311517501131437,100.0,-0.7368134507007115,100.0,-0.8442272542206345,100.0,-0.9527501903999731,100.0,-1.062287275480312,100.0,-1.1726919576472232,100.0,-1.2838970186210081,100.0,-1.3958053857179051,100.0,-1.5080841904771942,100.0,-1.6203879090996287,100.0,-1.7328408416971697,100.0
5th Worst (OWACX),-0.31634246134393146,-0.2503408236436084,15.9,-0.27300282665335235,22.6,-0.3318769280787358,54.50000000000001,-0.41090177002301415,94.39999999999999,-0.5004311149793989,99.9,-0.5950676886763414,100.0,-0.6938525989215325,100.0,-0.7947512719469841,100.0,-0.8974303883327703,100.0,-1.001364208207556,100.0,-1.105640993909679,100.0,-1.2095746119771111,100.0,-1.3141448839093126,100.0,-1.419130620372275,100.0,-1.5242594938819338,100.0,-1.6295026955280911,100.0
10%,-0.15396758314329567,-0.08724397161159922,3.1,-0.09500720375119207,4.6,-0.11492444800461211,11.1,-0.1420691224992688,34.300000000000004,-0.17289515963444177,71.3,-0.20614009067081013,96.3,-0.2403774939421526,99.8,-0.27534700404889023,100.0,-0.31084429181789186,100.0,-0.3466998755275147,100.0,-0.38284270541565235,100.0,-0.4191671953211509,100.0,-0.45564035631347316,100.0,-0.49226707234070544,100.0,-0.5291438228777168,100.0,-0.5660803632938897,100.0
20%,-0.09535396805731067,-0.0508418746980083,6.800000000000001,-0.05517530417718407,8.4,-0.06658947966351603,15.0,-0.08191966270773454,30.5,-0.099444826824188,54.400000000000006,-0.11838819382201109,79.2,-0.1379960433929114,94.5,-0.1578912668436007,98.9,-0.178298046859539,100.0,-0.19897014682990688,100.0,-0.21968550099167022,100.0,-0.24047204354788976,100.0,-0.26142232611859756,100.0,-0.2823962810974103,100.0,-0.30352503742539794,100.0,-0.32455138386406507,100.0
30%,-0.05896541632158569,-0.02897474819244284,13.100000000000001,-0.03133621327372859,14.6,-0.03746953523441742,18.8,-0.04589206897978219,28.199999999999996,-0.05569282866197109,43.7,-0.0659903175682805,60.4,-0.0768148389841981,77.2,-0.08779768018838852,88.4,-0.09890060404849063,94.89999999999999,-0.1101605441137693,97.8,-0.12169558008705939,99.3,-0.13327961558344031,100.0,-0.1447869949689065,100.0,-0.15628642944678534,100.0,-0.16795438025683268,100.0,-0.17965285787286056,100.0
40%,-0.029867104185764035,-0.013047368482206452,21.7,-0.014192825671494177,22.6,-0.016912616900153315,26.6,-0.020663435275937246,31.8,-0.024903269607126195,39.0,-0.02942726159149018,47.699999999999996,-0.03416941873065094,58.099999999999994,-0.03917803809316504,66.8,-0.04423708169732183,75.4,-0.0492664119190587,80.2,-0.05433614500283241,86.6,-0.059387866116407256,90.5,-0.06447376842527024,93.30000000000001,-0.06955885158885448,94.89999999999999,-0.07468489443412679,97.0,-0.07991389111920064,98.0
50%,-0.011775000835108712,-0.00027677419830694907,28.999999999999996,-0.0002966281451242868,28.199999999999996,-0.00027068079806243117,28.1,-0.0002713989488767254,27.900000000000002,-0.00034604441310378094,28.599999999999998,-0.00038360589361533757,29.7,-0.0004146976731673831,29.299999999999997,-0.000507286694002162,30.2,-0.0005128074325308404,29.9,-0.0005058418096058667,29.4,-0.0005758064600583778,30.099999999999998,-0.0005537652502257575,31.0,-0.0006137178540667023,30.8,-0.0006339182768626602,31.1,-0.0006992843956114647,32.5,-0.0007825122612896742,33.300000000000004
