,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (RYSYX),-10.742609922998978,-3.9837968365413228,0.0,-10.742609922998978,-4.7269355943292615,0.0,-10.742609922998978,-5.982910815661808,0.1,-10.742609922998978,-7.5144124104136205,1.6,-10.742609922998978,-9.223375389746085,12.8,-10.742609922998978,-11.017719085166403,50.9,-10.742609922998978,-12.865085681282197,88.4,-10.742609922998978,-14.75025830604879,99.3,-10.742609922998978,-16.66040954053839,100.0,-10.742609922998978,-18.58711092807966,100.0,-10.742609922998978,-20.529934015714577,100.0,-10.742609922998978,-22.48043440537319,100.0,-10.742609922998978,-24.438598633567704,100.0,-10.742609922998978,-26.40393086593485,100.0,-10.742609922998978,-28.37339137650481,100.0,-10.742609922998978,-30.345721086029553,100.0
2nd Worst (PLICX),-9.65979550192417,-3.8445875445473234,0.0,-9.65979550192417,-4.366830561899096,0.1,-9.65979550192417,-5.42719103937812,0.2,-9.65979550192417,-6.801645029587823,0.6,-9.65979550192417,-8.32362932357857,11.4,-9.65979550192417,-9.938963316003065,56.8,-9.65979550192417,-11.610419868377816,94.0,-9.65979550192417,-13.313763112493355,99.9,-9.65979550192417,-15.040830301387953,100.0,-9.65979550192417,-16.78325186066454,100.0,-9.65979550192417,-18.532067363519875,100.0,-9.65979550192417,-20.290781194120125,100.0,-9.65979550192417,-22.056574586189615,100.0,-9.65979550192417,-23.82557371741199,100.0,-9.65979550192417,-25.599411178955744,100.0,-9.65979550192417,-27.378664336931156,100.0
3rd Worst (Popular Core Equity C),-9.410910348677806,-3.718302569823414,0.0,-9.410910348677806,-4.153098170593262,0.0,-9.410910348677806,-5.114846883882626,0.1,-9.410910348677806,-6.385814514893253,0.2,-9.410910348677806,-7.82276329500975,6.5,-9.410910348677806,-9.346093002104258,43.4,-9.410910348677806,-10.91240960613245,91.4,-9.410910348677806,-12.510629157520881,99.9,-9.410910348677806,-14.124992193258203,100.0,-9.410910348677806,-15.759921198630815,100.0,-9.410910348677806,-17.40907439344532,100.0,-9.410910348677806,-19.06550517390863,100.0,-9.410910348677806,-20.725724139134236,100.0,-9.410910348677806,-22.39087815266914,100.0,-9.410910348677806,-24.06023274822867,100.0,-9.410910348677806,-25.73034928570218,100.0
4th Worst (MXVJX),-7.278336670101106,-3.6251852041532353,0.1,-7.278336670101106,-4.0041876246343575,0.1,-7.278336670101106,-4.916454020368771,0.3,-7.278336670101106,-6.115968412170707,9.1,-7.278336670101106,-7.476938927342608,54.7,-7.278336670101106,-8.91889909941082,96.89999999999999,-7.278336670101106,-10.405885838619845,100.0,-7.278336670101106,-11.924301796524588,100.0,-7.278336670101106,-13.471585048946887,100.0,-7.278336670101106,-15.034079234654076,100.0,-7.278336670101106,-16.607593998151362,100.0,-7.278336670101106,-18.19110036901654,100.0,-7.278336670101106,-19.78251782012637,100.0,-7.278336670101106,-21.379736129088975,100.0,-7.278336670101106,-22.979374276030864,100.0,-7.278336670101106,-24.582333864430662,100.0
5th Worst (RYSOX),-7.1953873419226335,-3.5296300060920003,0.1,-7.1953873419226335,-3.880019891131482,0.1,-7.1953873419226335,-4.751248238532884,0.3,-7.1953873419226335,-5.90630907478486,7.3999999999999995,-7.1953873419226335,-7.216714140914247,46.2,-7.1953873419226335,-8.610634664589464,95.1,-7.1953873419226335,-10.059195893453053,100.0,-7.1953873419226335,-11.539093952758412,100.0,-7.1953873419226335,-13.039534702805588,100.0,-7.1953873419226335,-14.553993396274672,100.0,-7.1953873419226335,-16.07443533184612,100.0,-7.1953873419226335,-17.602846380462328,100.0,-7.1953873419226335,-19.138772570916043,100.0,-7.1953873419226335,-20.67922254516286,100.0,-7.1953873419226335,-22.224152126691607,100.0,-7.1953873419226335,-23.770744662073383,100.0
10%,-3.389466132483209,-1.7427991227039685,1.5,-3.389466132483209,-1.9000906474650574,1.7999999999999998,-3.389466132483209,-2.3056680694117304,5.1,-3.389466132483209,-2.8579282246145823,19.2,-3.389466132483209,-3.483785115200205,53.400000000000006,-3.389466132483209,-4.1489494134549965,87.9,-3.389466132483209,-4.842631545463944,99.5,-3.389466132483209,-5.548957859028598,100.0,-3.389466132483209,-6.265453024554371,100.0,-3.389466132483209,-6.984651865814971,100.0,-3.389466132483209,-7.7129529022402945,100.0,-3.389466132483209,-8.445964401347455,100.0,-3.389466132483209,-9.178766003704537,100.0,-3.389466132483209,-9.916653435967463,100.0,-3.389466132483209,-10.653967604295515,100.0,-3.389466132483209,-11.392740538484446,100.0
20%,-2.295754390512444,-1.1425638551031803,4.0,-2.295754390512444,-1.2465347323827105,5.2,-2.295754390512444,-1.513295582154078,9.4,-2.295754390512444,-1.8715252746090554,23.3,-2.295754390512444,-2.277473471197372,45.7,-2.295754390512444,-2.712182714201059,75.5,-2.295754390512444,-3.163318154483531,92.10000000000001,-2.295754390512444,-3.624233794055216,98.6,-2.295754390512444,-4.093914420933107,100.0,-2.295754390512444,-4.563808879033692,100.0,-2.295754390512444,-5.037932421703461,100.0,-2.295754390512444,-5.5166203618434375,100.0,-2.295754390512444,-5.995988342375219,100.0,-2.295754390512444,-6.480610104380245,100.0,-2.295754390512444,-6.96430275563808,100.0,-2.295754390512444,-7.449887998269687,100.0
30%,-1.5633373788287057,-0.7164552324163196,7.9,-1.5633373788287057,-0.7815111244979417,9.700000000000001,-1.5633373788287057,-0.9461000195524502,15.1,-1.5633373788287057,-1.1700541500203674,23.7,-1.5633373788287057,-1.4232708789920394,39.6,-1.5633373788287057,-1.691754030556626,57.49999999999999,-1.5633373788287057,-1.9716465171099349,75.8,-1.5633373788287057,-2.2590472327574913,87.3,-1.5633373788287057,-2.5490623818846396,94.5,-1.5633373788287057,-2.8438017230258676,97.89999999999999,-1.5633373788287057,-3.139844307204609,99.2,-1.5633373788287057,-3.436910351387654,100.0,-1.5633373788287057,-3.734961821713912,100.0,-1.5633373788287057,-4.031664859906255,100.0,-1.5633373788287057,-4.329854481014325,100.0,-1.5633373788287057,-4.630474182059403,100.0
40%,-0.9082414859393836,-0.3535722382653731,17.2,-0.9082414859393836,-0.38434340893148167,19.0,-0.9082414859393836,-0.46340070753443663,20.9,-0.9082414859393836,-0.57158844664977,27.800000000000004,-0.9082414859393836,-0.6960451129353025,35.699999999999996,-0.9082414859393836,-0.8249646720029693,43.7,-0.9082414859393836,-0.9613951679995235,53.300000000000004,-0.9082414859393836,-1.098128946022026,62.5,-0.9082414859393836,-1.2393470518830019,71.6,-0.9082414859393836,-1.3829526951679136,77.9,-0.9082414859393836,-1.5257316059808057,83.5,-0.9082414859393836,-1.6697073890088132,88.9,-0.9082414859393836,-1.814245423880044,92.2,-0.9082414859393836,-1.9572527334509986,94.3,-0.9082414859393836,-2.1007910988660043,95.89999999999999,-0.9082414859393836,-2.2450721028446288,96.89999999999999
50%,-0.3450009674486467,-0.014478292782733002,28.4,-0.3450009674486467,-0.014472204634817512,28.499999999999996,-0.3450009674486467,-0.015524785013826996,28.499999999999996,-0.3450009674486467,-0.014320380677698733,28.9,-0.3450009674486467,-0.01424149504395561,28.599999999999998,-0.3450009674486467,-0.016434107198563728,29.4,-0.3450009674486467,-0.019395290662713307,30.3,-0.3450009674486467,-0.021757535989108255,29.7,-0.3450009674486467,-0.021384806353263695,29.9,-0.3450009674486467,-0.021854114142723986,30.3,-0.3450009674486467,-0.022129071943570403,30.3,-0.3450009674486467,-0.025954157361745882,30.8,-0.3450009674486467,-0.025959960694183753,31.2,-0.3450009674486467,-0.025079572113637424,31.1,-0.3450009674486467,-0.027851257203682356,33.0,-0.3450009674486467,-0.029611896695797963,33.900000000000006
