,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (AMRBX),-0.6522606714578872,-0.3739809405344755,2.1999999999999997,-0.6522606714578872,-0.4227192180407067,5.0,-0.6522606714578872,-0.495249141122015,11.600000000000001,-0.6522606714578872,-0.5834796255008992,27.700000000000003,-0.6522606714578872,-0.6836855102992356,50.6,-0.6522606714578872,-0.7916302065655607,77.4,-0.6522606714578872,-0.9050005456867561,93.8,-0.6522606714578872,-1.0227489465678483,99.0,-0.6522606714578872,-1.1434669911601605,99.9,-0.6522606714578872,-1.266135575778887,100.0,-0.6522606714578872,-1.3906109985368333,100.0,-0.6522606714578872,-1.5161984606113033,100.0,-0.6522606714578872,-1.6426942048215423,100.0,-0.6522606714578872,-1.7698655098144058,100.0,-0.6522606714578872,-1.897628115140901,100.0,-0.6522606714578872,-2.025843294360197,100.0
2nd Worst (AMRCX),-0.6488488423414196,-0.3616615449471566,2.1,-0.6488488423414196,-0.38699753830240335,2.7,-0.6488488423414196,-0.43869380961305204,4.3,-0.6488488423414196,-0.5078292097206308,10.100000000000001,-0.6488488423414196,-0.5888992926973674,25.900000000000002,-0.6488488423414196,-0.678260152722329,54.900000000000006,-0.6488488423414196,-0.7728125406858033,83.3,-0.6488488423414196,-0.8711299415058776,96.3,-0.6488488423414196,-0.9716545176358856,99.9,-0.6488488423414196,-1.0746754493402677,100.0,-0.6488488423414196,-1.1790344572624238,100.0,-0.6488488423414196,-1.2847861973286305,100.0,-0.6488488423414196,-1.3913070018136577,100.0,-0.6488488423414196,-1.4987012633300452,100.0,-0.6488488423414196,-1.6064019351685659,100.0,-0.6488488423414196,-1.7147235516757355,100.0
3rd Worst (AMRAX),-0.5902155986399823,-0.3529126239252842,3.8,-0.5902155986399823,-0.3629658069946007,3.2,-0.5902155986399823,-0.40357083594787635,3.8,-0.5902155986399823,-0.4641400650543636,9.9,-0.5902155986399823,-0.5377501090652945,26.6,-0.5902155986399823,-0.6191486883775651,58.4,-0.5902155986399823,-0.7059832257297215,87.6,-0.5902155986399823,-0.7965561648716583,97.6,-0.5902155986399823,-0.890242875123311,99.9,-0.5902155986399823,-0.985156962881916,100.0,-0.5902155986399823,-1.0814105153799614,100.0,-0.5902155986399823,-1.1786770969683757,100.0,-0.5902155986399823,-1.2767224253080154,100.0,-0.5902155986399823,-1.3752384279898102,100.0,-0.5902155986399823,-1.4744119195363141,100.0,-0.5902155986399823,-1.5739887573796087,100.0
4th Worst (AMRGX),-0.5638959575115917,-0.32382286725793813,1.7999999999999998,-0.5638959575115917,-0.33927342471269756,2.1999999999999997,-0.5638959575115917,-0.3776687593373552,2.8000000000000003,-0.5638959575115917,-0.436390534397468,7.6,-0.5638959575115917,-0.5054355273336799,23.5,-0.5638959575115917,-0.5835333403644989,54.7,-0.5638959575115917,-0.6662039469241318,86.7,-0.5638959575115917,-0.7508194909427912,97.0,-0.5638959575115917,-0.837850006415244,99.8,-0.5638959575115917,-0.92684619637821,100.0,-0.5638959575115917,-1.017480707132443,100.0,-0.5638959575115917,-1.108919572681837,100.0,-0.5638959575115917,-1.2012466720325528,100.0,-0.5638959575115917,-1.2942250123031247,100.0,-0.5638959575115917,-1.3877453984581094,100.0,-0.5638959575115917,-1.481344844190565,100.0
5th Worst (MCFOX),-0.40503965032480527,-0.3097211372228066,12.8,-0.40503965032480527,-0.32394682599485614,15.7,-0.40503965032480527,-0.3610115815767784,26.3,-0.40503965032480527,-0.415892074788075,52.400000000000006,-0.40503965032480527,-0.48200361305362394,81.39999999999999,-0.40503965032480527,-0.5550287315079825,96.89999999999999,-0.40503965032480527,-0.6329400581191124,99.9,-0.40503965032480527,-0.7145539761064054,100.0,-0.40503965032480527,-0.7982861154538939,100.0,-0.40503965032480527,-0.8839059574274611,100.0,-0.40503965032480527,-0.9704301035421229,100.0,-0.40503965032480527,-1.058313786169229,100.0,-0.40503965032480527,-1.1465303073862176,100.0,-0.40503965032480527,-1.234918899866365,100.0,-0.40503965032480527,-1.3236253125440836,100.0,-0.40503965032480527,-1.4132423087793056,100.0
10%,-0.14044627717368074,-0.12163463407623737,36.0,-0.14044627717368074,-0.1271133184193786,38.3,-0.14044627717368074,-0.14202877218315682,49.0,-0.14044627717368074,-0.16402546119647718,66.10000000000001,-0.14044627717368074,-0.19050959812806179,81.69999999999999,-0.14044627717368074,-0.21989603457299103,92.60000000000001,-0.14044627717368074,-0.2513405896692078,98.3,-0.14044627717368074,-0.2838209419799508,99.6,-0.14044627717368074,-0.3170844938858279,100.0,-0.14044627717368074,-0.35090117077373123,100.0,-0.14044627717368074,-0.3854353170796501,100.0,-0.14044627717368074,-0.4204111249788327,100.0,-0.14044627717368074,-0.4554882686885505,100.0,-0.14044627717368074,-0.4905538578509537,100.0,-0.14044627717368074,-0.5257624383383771,100.0,-0.14044627717368074,-0.5613315980630719,100.0
20%,-0.09733871139647174,-0.07630259308823276,33.2,-0.09733871139647174,-0.07981435268364619,36.3,-0.09733871139647174,-0.08922461985337947,42.3,-0.09733871139647174,-0.10286047152162493,52.7,-0.09733871139647174,-0.11945194641274426,65.5,-0.09733871139647174,-0.13781830818886248,77.60000000000001,-0.09733871139647174,-0.15714926886410183,87.8,-0.09733871139647174,-0.17715451895518838,93.2,-0.09733871139647174,-0.19802024818173458,97.1,-0.09733871139647174,-0.21925969212702484,98.9,-0.09733871139647174,-0.24075833209570652,99.4,-0.09733871139647174,-0.26263064354955873,99.7,-0.09733871139647174,-0.28437663431476107,100.0,-0.09733871139647174,-0.3064738566747111,100.0,-0.09733871139647174,-0.32868710440360405,100.0,-0.09733871139647174,-0.35105351674271196,100.0
30%,-0.06409950809834147,-0.046982747652962634,36.4,-0.06409950809834147,-0.04907002584337729,37.7,-0.06409950809834147,-0.05483728913997062,42.0,-0.06409950809834147,-0.0632231277050391,48.0,-0.06409950809834147,-0.07315283541366421,56.2,-0.06409950809834147,-0.08420326567137976,65.7,-0.06409950809834147,-0.09608557187654544,74.1,-0.06409950809834147,-0.10842272843287247,80.7,-0.06409950809834147,-0.12109491115282071,87.4,-0.06409950809834147,-0.13383100383586555,91.60000000000001,-0.06409950809834147,-0.14681503421377226,94.3,-0.06409950809834147,-0.15989214670049798,96.5,-0.06409950809834147,-0.1731111432579416,98.4,-0.06409950809834147,-0.18629089159207424,99.0,-0.06409950809834147,-0.19959164309388255,99.4,-0.06409950809834147,-0.21297811581328846,99.7
40%,-0.038550510054304904,-0.022926737726261574,37.1,-0.038550510054304904,-0.023968432544265113,37.6,-0.038550510054304904,-0.02677141442780814,40.6,-0.038550510054304904,-0.03077586534442121,43.7,-0.038550510054304904,-0.03554274580785968,46.7,-0.038550510054304904,-0.040821848361621706,51.0,-0.038550510054304904,-0.04644298714315379,56.00000000000001,-0.038550510054304904,-0.05238836625808166,62.0,-0.038550510054304904,-0.05838759995095681,65.8,-0.038550510054304904,-0.06452348899078113,70.3,-0.038550510054304904,-0.07077385693497165,74.9,-0.038550510054304904,-0.07701601509473535,79.2,-0.038550510054304904,-0.08333424412392815,82.39999999999999,-0.038550510054304904,-0.08965483047900497,84.8,-0.038550510054304904,-0.09611033716870475,87.7,-0.038550510054304904,-0.10257527845228648,89.7
50%,-0.009923552644149528,-0.000985319682371725,43.3,-0.009923552644149528,-0.0010516467509672077,43.1,-0.009923552644149528,-0.0011888464486092523,42.9,-0.009923552644149528,-0.0012420704979532534,42.9,-0.009923552644149528,-0.0012766789580403197,42.9,-0.009923552644149528,-0.0014080269714397114,43.1,-0.009923552644149528,-0.0014194412588296283,42.8,-0.009923552644149528,-0.0013035938895361273,42.8,-0.009923552644149528,-0.0013219195417302093,42.8,-0.009923552644149528,-0.0013902675524216528,43.0,-0.009923552644149528,-0.0013877004165001058,42.699999999999996,-0.009923552644149528,-0.0014420347580734675,42.5,-0.009923552644149528,-0.0015294204030081224,42.3,-0.009923552644149528,-0.0016593259190769507,42.5,-0.009923552644149528,-0.001596697050459476,42.4,-0.009923552644149528,-0.001736150094579472,43.1
