,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (NQCCX),-0.4140165642058119,-0.3078434752215077,12.3,-0.35248073399681057,22.5,-0.42782228841192865,47.5,-0.5225369228480861,78.8,-0.6280253716283765,97.1,-0.7402653894021901,99.9,-0.8573780842328427,100.0,-0.9772872424773261,100.0,-1.098955958538976,100.0,-1.221941024454055,100.0,-1.3459646217410413,100.0,-1.4707086994948138,100.0,-1.5961042462481367,100.0,-1.721972468540146,100.0,-1.8482275940673154,100.0,-1.9747701971081906,100.0
2nd Worst (NQCQX),-0.3737099555556324,-0.27238795258031534,12.2,-0.30628116077874734,18.4,-0.3649346960656919,40.1,-0.4394258976742222,75.3,-0.5256284387278994,96.3,-0.6188067004180856,99.7,-0.7160386657952146,100.0,-0.8165070406252325,100.0,-0.91937413931959,100.0,-1.0237044613736725,100.0,-1.1292013861228603,100.0,-1.2355024398328576,100.0,-1.3421626316202824,100.0,-1.4494722923907262,100.0,-1.5571785417956139,100.0,-1.6651872335263975,100.0
3rd Worst (NQCAX),-0.35272688626094556,-0.2617322751450081,14.099999999999998,-0.2844746011662223,16.2,-0.3334749297555741,34.4,-0.4002843993130721,70.1,-0.47765625600038925,95.6,-0.5619614234868049,99.8,-0.6508655498749945,100.0,-0.7420036929811513,100.0,-0.8347705783991028,100.0,-0.9289260952669586,100.0,-1.023600766002146,100.0,-1.118938628047276,100.0,-1.2154213715647757,100.0,-1.312131485318869,100.0,-1.409169111266601,100.0,-1.506447784404574,100.0
4th Worst (NQCRX),-0.3304682815795642,-0.25322495461034744,15.9,-0.26759435404735465,17.599999999999998,-0.31206894332738844,36.5,-0.37352273290244004,70.89999999999999,-0.44577009191490585,95.8,-0.5246292764096498,99.7,-0.6066908928755387,100.0,-0.6919898199559646,100.0,-0.7787269825519634,100.0,-0.8662197160811327,100.0,-0.9548138078742299,100.0,-1.0439443879416859,100.0,-1.1331658678813012,100.0,-1.2228611339399718,100.0,-1.31296166586142,100.0,-1.4034966825932738,100.0
5th Worst (FVLCX),-0.32275050307786446,-0.23430544955606036,10.6,-0.2512113481226367,13.100000000000001,-0.29381386586541874,30.2,-0.3540897672741024,65.10000000000001,-0.4226359213850287,94.3,-0.49687017833551694,99.7,-0.5753489917969664,100.0,-0.6554095193756031,100.0,-0.73795866849099,100.0,-0.8215388490675245,100.0,-0.9060926454871858,100.0,-0.99131961782526,100.0,-1.0770941440804709,100.0,-1.1629728092374585,100.0,-1.2491670379885762,100.0,-1.3353620832269961,100.0
10%,-0.13470183334793856,-0.09417190376297017,17.5,-0.10096411038954148,20.5,-0.11901653675441141,32.9,-0.143835011798989,55.60000000000001,-0.17265458619309004,80.9,-0.2038022833336015,95.0,-0.23649829821597443,99.5,-0.27008110215312536,100.0,-0.30430638524078607,100.0,-0.3387726815801101,100.0,-0.37370363410763857,100.0,-0.40890142832896115,100.0,-0.44423687411108076,100.0,-0.4798133714606973,100.0,-0.5153543647781408,100.0,-0.5510415930885216,100.0
20%,-0.08387347537602219,-0.05900765714650626,25.900000000000002,-0.06342374685316848,28.799999999999997,-0.0750072424256674,39.2,-0.09101981996524851,53.900000000000006,-0.10949583788008678,72.39999999999999,-0.12949859051803136,86.0,-0.15022501101067023,94.3,-0.17162196239100863,98.4,-0.1933121111229595,99.7,-0.21525985448214796,100.0,-0.23735688224903634,100.0,-0.2598126495801216,100.0,-0.2822636855446672,100.0,-0.30487362126154266,100.0,-0.32753063174327673,100.0,-0.3502404340088725,100.0
30%,-0.04451435411152993,-0.03581790090984685,39.300000000000004,-0.03847722733028936,42.199999999999996,-0.045549466587029803,48.699999999999996,-0.05523489510661554,59.099999999999994,-0.06663384589974529,68.7,-0.07885303189455055,79.60000000000001,-0.09175598024324222,87.6,-0.10480534065469771,93.10000000000001,-0.11823371761079289,96.1,-0.13176149642563997,98.3,-0.14546955204803164,99.2,-0.15922230138031282,100.0,-0.1730649342432158,100.0,-0.1869099379203547,100.0,-0.2008124246334844,100.0,-0.2147661951344701,100.0
40%,-0.010014773532119048,-0.016400339673558455,55.00000000000001,-0.017843089206560234,57.49999999999999,-0.021101003983003633,60.6,-0.025837579105030498,63.9,-0.03123108640831006,68.30000000000001,-0.0371470358164918,74.3,-0.043239122960062,79.5,-0.049563097490577565,83.89999999999999,-0.056062258234196125,87.1,-0.06251108287643181,89.60000000000001,-0.06888658690986779,92.30000000000001,-0.07558351980395024,93.7,-0.08227722902890981,95.6,-0.0887977543111586,96.3,-0.09549614243279192,97.39999999999999,-0.10215697392839553,98.2
50%,0.02924345471995292,0.0014433358157227257,74.2,0.001258807090638153,74.2,0.0012961443290413796,75.1,0.0013153618453664148,75.4,0.0013164973170097583,75.3,0.0013399935232662904,75.6,0.0013471703246249504,75.1,0.0014501858064245158,75.2,0.0013435297888709557,74.2,0.0012743988892855126,74.5,0.001240226469319206,74.5,0.0011516837493011213,74.4,0.0011411535025346528,74.5,0.001012326194211377,74.1,0.0010508468503029281,73.9,0.0009716692933472008,73.3
60%,0.06304673923310902,0.019029214115763856,85.1,0.02029106202574623,83.89999999999999,0.02382584053744179,82.1,0.028431994905378517,79.9,0.033826005420763874,76.7,0.03956291726864769,70.3,0.04565621631836861,66.60000000000001,0.051945194925034924,60.6,0.05830903666136436,54.6,0.0646864258825862,48.4,0.07124058247758154,39.900000000000006,0.07776127558032433,34.5,0.08429866149959615,28.999999999999996,0.09093359066275158,25.2,0.09750130536389376,21.3,0.10412086790651759,18.2
70%,0.08960882303114999,0.03815676134138718,88.5,0.04091698224342275,87.4,0.04807862527986583,83.39999999999999,0.05789256726798234,78.4,0.0690976151002823,68.7,0.0812448992936477,58.199999999999996,0.09393623400141521,45.9,0.10684431421571333,32.800000000000004,0.12022010382361628,22.8,0.1337239128565774,16.0,0.14733939789379286,10.0,0.16109011873195642,5.6000000000000005,0.1749146890721434,2.9000000000000004,0.18875676054055004,1.4000000000000001,0.2026615343732396,0.6,0.21656571972461836,0.3
80%,0.12089098003075324,0.06131836152440321,90.9,0.06596663527048573,89.3,0.07746631618446563,84.1,0.09338957498627226,74.5,0.11186213085081612,59.5,0.1318488700365382,39.300000000000004,0.15268392816589688,22.5,0.1739628874145386,12.0,0.1957459458896921,5.0,0.21760493442599943,1.5,0.23974908471615128,0.4,0.2620171863906268,0.1,0.28448444400890105,0.0,0.30697835155592496,0.0,0.3294312896936926,0.0,0.35220905266984537,0.0
90%,0.1666447247250808,0.09700971193038353,93.2,0.1036104216759731,91.0,0.1213308360314831,83.6,0.14631681711947625,69.1,0.1750137655600341,43.6,0.20618915138687038,18.9,0.238850245675255,5.6000000000000005,0.272554086429491,1.0999999999999999,0.3066326689053071,0.1,0.3412312084665213,0.0,0.3761958992994288,0.0,0.4112242334178061,0.0,0.446384265080981,0.0,0.48185861137310976,0.0,0.5174353093800472,0.0,0.5530139631784308,0.0
5th Best (TWEIX),0.3096914008046943,0.24180399670339597,83.0,0.2572670880870586,78.9,0.2984849863613822,60.099999999999994,0.35661255779548773,25.8,0.42487626286444935,3.6999999999999997,0.4995514598010313,0.1,0.5768543717437731,0.1,0.6569597327738853,0.0,0.7393125963281787,0.0,0.822013634691189,0.0,0.9053124040544019,0.0,0.9893223642464404,0.0,1.0735089680524592,0.0,1.157982472311121,0.0,1.2429438175368888,0.0,1.328022856370357,0.0
4th Best (AEIUX),0.31168387622425797,0.2607177508487744,76.5,0.2723716880048189,73.8,0.315485566247183,51.9,0.37647847269942053,18.099999999999998,0.4484013362709852,1.6,0.5264860509671972,0.1,0.6085447931757608,0.0,0.6930291777442105,0.0,0.7794086501790051,0.0,0.8667003127685209,0.0,0.9547077188998159,0.0,1.0433392180161543,0.0,1.13274059617879,0.0,1.2224031289811015,0.0,1.3121346515804817,0.0,1.4023403660895615,0.0
