,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (LVPSX),-10.307859136290064,-3.6670487655060207,0.0,-10.307859136290064,-4.229269982904201,0.0,-10.307859136290064,-5.156419967843556,0.0,-10.307859136290064,-6.298507636409864,0.3,-10.307859136290064,-7.574061899831956,3.0,-10.307859136290064,-8.939686494755577,16.900000000000002,-10.307859136290064,-10.361414526008506,47.4,-10.307859136290064,-11.822700824679702,80.4,-10.307859136290064,-13.305847664402243,96.3,-10.307859136290064,-14.804846140472938,99.8,-10.307859136290064,-16.316184776194135,100.0,-10.307859136290064,-17.837011835004727,100.0,-10.307859136290064,-19.364890621373117,100.0,-10.307859136290064,-20.898394585163224,100.0,-10.307859136290064,-22.437258338814914,100.0,-10.307859136290064,-23.980594868097096,100.0
2nd Worst (LVPIX),-7.48890477983967,-3.5197329847720638,0.0,-7.48890477983967,-3.911703109164721,0.0,-7.48890477983967,-4.666135811413041,0.5,-7.48890477983967,-5.654354156484513,4.3999999999999995,-7.48890477983967,-6.797334048667662,23.1,-7.48890477983967,-8.021823155974147,66.5,-7.48890477983967,-9.303445025217147,94.0,-7.48890477983967,-10.624059738211828,99.3,-7.48890477983967,-11.96476240161639,100.0,-7.48890477983967,-13.322189165216772,100.0,-7.48890477983967,-14.68869563946965,100.0,-7.48890477983967,-16.061735815722678,100.0,-7.48890477983967,-17.44444728872099,100.0,-7.48890477983967,-18.833710680821305,100.0,-7.48890477983967,-20.226004243092273,100.0,-7.48890477983967,-21.62110708487086,100.0
3rd Worst (OCLVX),-5.713202573449537,-3.4140692923406584,1.2,-5.713202573449537,-3.719946016638521,1.7000000000000002,-5.713202573449537,-4.409671408779468,7.000000000000001,-5.713202573449537,-5.342311381192667,30.7,-5.713202573449537,-6.413981631226807,76.1,-5.713202573449537,-7.567086882205689,97.5,-5.713202573449537,-8.765448266115724,99.8,-5.713202573449537,-9.994208156492968,100.0,-5.713202573449537,-11.251981641285656,100.0,-5.713202573449537,-12.524245985782901,100.0,-5.713202573449537,-13.809758207912436,100.0,-5.713202573449537,-15.105902052483987,100.0,-5.713202573449537,-16.40617954864811,100.0,-5.713202573449537,-17.7090614843631,100.0,-5.713202573449537,-19.016747517004035,100.0,-5.713202573449537,-20.326921848412603,100.0
4th Worst (NQCCX),-5.544955396240498,-3.31850388239904,1.4000000000000001,-5.544955396240498,-3.5756079649430705,1.7999999999999998,-5.544955396240498,-4.226926217092898,6.3,-5.544955396240498,-5.1164891932731935,29.4,-5.544955396240498,-6.139679204645673,73.0,-5.544955396240498,-7.245379959545621,96.39999999999999,-5.544955396240498,-8.399807885242009,99.8,-5.544955396240498,-9.581967700351099,100.0,-5.544955396240498,-10.779226854481475,100.0,-5.544955396240498,-11.991110109231697,100.0,-5.544955396240498,-13.220109610610162,100.0,-5.544955396240498,-14.458671744820283,100.0,-5.544955396240498,-15.705055777778018,100.0,-5.544955396240498,-16.957988909326087,100.0,-5.544955396240498,-18.210600328874673,100.0,-5.544955396240498,-19.46463379357461,100.0
5th Worst (ABVCX),-5.488103471305368,-3.2093612961419526,1.3,-5.488103471305368,-3.4590913931319647,1.6,-5.488103471305368,-4.088960978608799,4.9,-5.488103471305368,-4.943145412653383,24.7,-5.488103471305368,-5.932048874510928,66.2,-5.488103471305368,-7.000932842295274,94.5,-5.488103471305368,-8.109131230276082,99.8,-5.488103471305368,-9.241921890535622,100.0,-5.488103471305368,-10.396947854741573,100.0,-5.488103471305368,-11.573020409846563,100.0,-5.488103471305368,-12.760510613702424,100.0,-5.488103471305368,-13.95629865566213,100.0,-5.488103471305368,-15.155159869433579,100.0,-5.488103471305368,-16.356044688046367,100.0,-5.488103471305368,-17.565819441730426,100.0,-5.488103471305368,-18.77967431885315,100.0
10%,-2.5434933953010055,-1.5755244858165387,9.700000000000001,-2.5434933953010055,-1.6911854086538214,13.0,-2.5434933953010055,-1.993993146900062,21.4,-2.5434933953010055,-2.4076085495589763,38.7,-2.5434933953010055,-2.8899044896095982,67.2,-2.5434933953010055,-3.411289868760735,87.5,-2.5434933953010055,-3.9525778215377696,97.39999999999999,-2.5434933953010055,-4.511113482291955,99.8,-2.5434933953010055,-5.082149825148659,100.0,-2.5434933953010055,-5.6586021497387335,100.0,-2.5434933953010055,-6.238477092536487,100.0,-2.5434933953010055,-6.825742160028048,100.0,-2.5434933953010055,-7.417465141504521,100.0,-2.5434933953010055,-8.010181430239772,100.0,-2.5434933953010055,-8.603650532522366,100.0,-2.5434933953010055,-9.19954154640222,100.0
20%,-1.5276016138519686,-1.0255591447413004,23.0,-1.5276016138519686,-1.0989008515864918,25.6,-1.5276016138519686,-1.2953908449691998,34.4,-1.5276016138519686,-1.5691757691313375,49.5,-1.5276016138519686,-1.885860656174746,67.30000000000001,-1.5276016138519686,-2.2292358061709368,82.5,-1.5276016138519686,-2.5873171507649895,92.9,-1.5276016138519686,-2.95390629097961,97.5,-1.5276016138519686,-3.3284688434209824,99.4,-1.5276016138519686,-3.707850644256534,100.0,-1.5276016138519686,-4.090474852197607,100.0,-1.5276016138519686,-4.473374420752905,100.0,-1.5276016138519686,-4.857005378515052,100.0,-1.5276016138519686,-5.243350312302116,100.0,-1.5276016138519686,-5.632324700400579,100.0,-1.5276016138519686,-6.02253331182044,100.0
30%,-0.7548947538219247,-0.6287653352639733,40.5,-0.7548947538219247,-0.6748377770314555,42.8,-0.7548947538219247,-0.7966381184541232,49.7,-0.7548947538219247,-0.9678303101031331,60.4,-0.7548947538219247,-1.1646203529817631,69.69999999999999,-0.7548947538219247,-1.3788597604815822,80.10000000000001,-0.7548947538219247,-1.6023838368566248,87.9,-0.7548947538219247,-1.831469198509745,93.0,-0.7548947538219247,-2.064578920599748,96.3,-0.7548947538219247,-2.2989456315606294,98.1,-0.7548947538219247,-2.5380577925126437,99.4,-0.7548947538219247,-2.7782652461116144,99.9,-0.7548947538219247,-3.0186399444585046,100.0,-0.7548947538219247,-3.2585875300397147,100.0,-0.7548947538219247,-3.4995612793770543,100.0,-0.7548947538219247,-3.743194939248814,100.0
40%,-0.1611803506527504,-0.2920738528805184,55.900000000000006,-0.1611803506527504,-0.31656254650866433,58.099999999999994,-0.1611803506527504,-0.3749318538368534,61.0,-0.1611803506527504,-0.45649195063732145,64.2,-0.1611803506527504,-0.5538891656289981,68.7,-0.1611803506527504,-0.6567745809640396,75.3,-0.1611803506527504,-0.7645004648018668,80.30000000000001,-0.1611803506527504,-0.8754904510830729,84.1,-0.1611803506527504,-0.9882021605579948,87.7,-0.1611803506527504,-1.1013974415715753,89.9,-0.1611803506527504,-1.214040176437335,92.60000000000001,-0.1611803506527504,-1.3291695230442264,93.7,-0.1611803506527504,-1.4466641243538132,95.7,-0.1611803506527504,-1.5626821733143261,96.8,-0.1611803506527504,-1.6779860235235988,97.39999999999999,-0.1611803506527504,-1.7931747607867392,98.2
50%,0.46119540783102175,0.019077839628376125,72.39999999999999,0.46119540783102175,0.016962313744029435,71.5,0.46119540783102175,0.01761433183766688,72.6,0.46119540783102175,0.016737696870712256,72.8,0.46119540783102175,0.01812623217155862,72.2,0.46119540783102175,0.016445671393657012,72.7,0.46119540783102175,0.01686257165701715,71.7,0.46119540783102175,0.01874039260527229,72.7,0.46119540783102175,0.016284464497010407,72.0,0.46119540783102175,0.01545296702903269,72.89999999999999,0.46119540783102175,0.013536408504190706,72.6,0.46119540783102175,0.013213277866279221,72.1,0.46119540783102175,0.013864629514084374,72.0,0.46119540783102175,0.014521920903743496,71.7,0.46119540783102175,0.013965070206847528,71.8,0.46119540783102175,0.011870337955367927,71.3
