,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (PMVCX),-0.6352416253225222,-0.3601790697182731,6.7,-0.6352416253225222,-0.393509094056761,8.200000000000001,-0.6352416253225222,-0.4489736298219417,11.200000000000001,-0.6352416253225222,-0.5193903829654221,21.0,-0.6352416253225222,-0.6015889137507142,33.800000000000004,-0.6352416253225222,-0.6924368110092077,53.800000000000004,-0.6352416253225222,-0.7885608585832795,74.5,-0.6352416253225222,-0.888116583117672,89.1,-0.6352416253225222,-0.9900467331710734,95.8,-0.6352416253225222,-1.0932842350863545,98.4,-0.6352416253225222,-1.1980771154316654,99.5,-0.6352416253225222,-1.3040389591066752,99.9,-0.6352416253225222,-1.4109903260314705,100.0,-0.6352416253225222,-1.5185873749531988,100.0,-0.6352416253225222,-1.6266526816609224,100.0,-0.6352416253225222,-1.7351841077701173,100.0
2nd Worst (PAMVX),-0.5695908688588317,-0.30310154777471987,2.6,-0.5695908688588317,-0.3289639432489974,3.8,-0.5695908688588317,-0.3727144505032283,7.3,-0.5695908688588317,-0.42838879275807207,13.4,-0.5695908688588317,-0.4921154412510407,24.2,-0.5695908688588317,-0.5623052182023571,42.3,-0.5695908688588317,-0.6365154349099367,65.3,-0.5695908688588317,-0.7142471530159835,82.69999999999999,-0.5695908688588317,-0.7939748550709183,93.0,-0.5695908688588317,-0.8758242811439655,97.5,-0.5695908688588317,-0.9586507877226368,99.4,-0.5695908688588317,-1.042635560610379,99.9,-0.5695908688588317,-1.1271898563709928,100.0,-0.5695908688588317,-1.2121749321351587,100.0,-0.5695908688588317,-1.2976383311665423,100.0,-0.5695908688588317,-1.3837298228056394,100.0
3rd Worst (GWSCX),-0.3887587701659794,-0.2863913969872759,15.8,-0.3887587701659794,-0.3031647332887728,19.400000000000002,-0.3887587701659794,-0.3374700316338259,27.900000000000002,-0.3887587701659794,-0.3843657721964311,43.2,-0.3887587701659794,-0.43969451019012973,63.9,-0.3887587701659794,-0.500662694163038,83.1,-0.3887587701659794,-0.566637020297301,95.39999999999999,-0.3887587701659794,-0.6349072932505235,98.7,-0.3887587701659794,-0.7054189683478896,99.4,-0.3887587701659794,-0.778307124990135,100.0,-0.3887587701659794,-0.8526687593574919,100.0,-0.3887587701659794,-0.9275517338838288,100.0,-0.3887587701659794,-1.0033589718835871,100.0,-0.3887587701659794,-1.0799282347254866,100.0,-0.3887587701659794,-1.1570172106242709,100.0,-0.3887587701659794,-1.2343057134033883,100.0
4th Worst (GWSVX),-0.32929601314739165,-0.2750032918063374,27.3,-0.32929601314739165,-0.2850979060786226,29.799999999999997,-0.32929601314739165,-0.31252827875048955,39.0,-0.32929601314739165,-0.3538631010093128,55.00000000000001,-0.32929601314739165,-0.4039386841306022,74.9,-0.32929601314739165,-0.4599278427724731,89.5,-0.32929601314739165,-0.5203155763665129,97.2,-0.32929601314739165,-0.583241259800484,99.1,-0.32929601314739165,-0.6488765502360516,99.7,-0.32929601314739165,-0.7161328092350487,99.9,-0.32929601314739165,-0.7845369277547288,100.0,-0.32929601314739165,-0.8536567152201864,100.0,-0.32929601314739165,-0.9230888890838596,100.0,-0.32929601314739165,-0.9932926647839124,100.0,-0.32929601314739165,-1.063966139113559,100.0,-0.32929601314739165,-1.1349317302914894,100.0
5th Worst (GWSAX),-0.32870569201431377,-0.26188414252046915,22.8,-0.32870569201431377,-0.2683827654484469,25.0,-0.32870569201431377,-0.29254902122407866,31.6,-0.32870569201431377,-0.33017588984655255,47.5,-0.32870569201431377,-0.3770420568045557,65.8,-0.32870569201431377,-0.43080426935902266,83.6,-0.32870569201431377,-0.4875491767372714,94.6,-0.32870569201431377,-0.5475496227951335,98.5,-0.32870569201431377,-0.6095677752134238,99.7,-0.32870569201431377,-0.6723445193834214,99.9,-0.32870569201431377,-0.7362530002787351,100.0,-0.32870569201431377,-0.8009528004148806,100.0,-0.32870569201431377,-0.8663888071534853,100.0,-0.32870569201431377,-0.9320809326932117,100.0,-0.32870569201431377,-0.9981549822092382,100.0,-0.32870569201431377,-1.064814597989102,100.0
10%,-0.08776204754204717,-0.12471518697764136,70.19999999999999,-0.08776204754204717,-0.12977593178385646,73.0,-0.08776204754204717,-0.14389436598762098,80.2,-0.08776204754204717,-0.16451881173614952,87.8,-0.08776204754204717,-0.18988514541640938,94.1,-0.08776204754204717,-0.2184345832433912,97.5,-0.08776204754204717,-0.24822409746575838,99.3,-0.08776204754204717,-0.27951421763803525,99.9,-0.08776204754204717,-0.31186554985323073,99.9,-0.08776204754204717,-0.3447002228202875,100.0,-0.08776204754204717,-0.3783568156964913,100.0,-0.08776204754204717,-0.41254751847270643,100.0,-0.08776204754204717,-0.4467526790798328,100.0,-0.08776204754204717,-0.48119223725833044,100.0,-0.08776204754204717,-0.5160878168817531,100.0,-0.08776204754204717,-0.5509965608986542,100.0
20%,-0.029872047010563556,-0.07557478644320086,77.60000000000001,-0.029872047010563556,-0.07930905072644259,79.3,-0.029872047010563556,-0.08902575601182107,83.5,-0.029872047010563556,-0.10277451606740726,87.9,-0.029872047010563556,-0.1193616146737227,91.8,-0.029872047010563556,-0.13744474536173112,94.69999999999999,-0.029872047010563556,-0.15681436146978953,97.5,-0.029872047010563556,-0.17697432956262174,98.8,-0.029872047010563556,-0.19750316354785644,99.6,-0.029872047010563556,-0.21886315061442269,99.8,-0.029872047010563556,-0.24047556858866018,99.9,-0.029872047010563556,-0.2619781506285468,99.9,-0.029872047010563556,-0.2837149163355172,100.0,-0.029872047010563556,-0.3056983620883596,100.0,-0.029872047010563556,-0.3278554462379133,100.0,-0.029872047010563556,-0.34983806793433736,100.0
30%,-0.0006526124796201082,-0.045256110379195864,77.10000000000001,-0.0006526124796201082,-0.047675058443134605,78.3,-0.0006526124796201082,-0.053834409915341414,81.89999999999999,-0.0006526124796201082,-0.06235079183519333,84.8,-0.0006526124796201082,-0.0723591371793766,88.1,-0.0006526124796201082,-0.083477784527516,90.4,-0.0006526124796201082,-0.09555362409211732,92.80000000000001,-0.0006526124796201082,-0.10779867957004671,95.1,-0.0006526124796201082,-0.1205483867699025,96.8,-0.0006526124796201082,-0.13353404208205794,97.5,-0.0006526124796201082,-0.14665482911719865,99.1,-0.0006526124796201082,-0.15971629657330627,99.5,-0.0006526124796201082,-0.1732344488258745,99.6,-0.0006526124796201082,-0.1866094364556066,99.6,-0.0006526124796201082,-0.19997530943131972,99.8,-0.0006526124796201082,-0.21342162573959478,99.9
40%,0.024813497336333788,-0.021295502955606335,77.8,0.024813497336333788,-0.022534165316599995,78.7,0.024813497336333788,-0.025437991128719823,80.2,0.024813497336333788,-0.02955153699800222,82.6,0.024813497336333788,-0.03435738504830859,84.0,0.024813497336333788,-0.03982146751271287,86.0,0.024813497336333788,-0.04567468457280251,87.4,0.024813497336333788,-0.05161914689168437,89.1,0.024813497336333788,-0.05770655539968275,90.4,0.024813497336333788,-0.06383859648480983,91.4,0.024813497336333788,-0.07009116126131862,92.5,0.024813497336333788,-0.07643003740916951,93.2,0.024813497336333788,-0.08281337704942988,94.0,0.024813497336333788,-0.08914542464480993,95.0,0.024813497336333788,-0.09553919942857778,95.7,0.024813497336333788,-0.10197158677789295,96.7
50%,0.058359789359347505,0.0005380029510733772,82.39999999999999,0.058359789359347505,0.0003097029268323845,82.5,0.058359789359347505,0.00035085302885735946,82.89999999999999,0.058359789359347505,0.0004486878572025489,83.0,0.058359789359347505,0.0004694856793240765,83.7,0.058359789359347505,0.00048087294807501425,84.2,0.058359789359347505,0.0006724588152951462,83.7,0.058359789359347505,0.00062824739230867,83.0,0.058359789359347505,0.0006984409445206563,82.6,0.058359789359347505,0.0008869129302302248,82.5,0.058359789359347505,0.0008883186682960269,81.89999999999999,0.058359789359347505,0.0010224764209782226,81.10000000000001,0.058359789359347505,0.0010535783227034188,81.0,0.058359789359347505,0.0007909212744715899,80.5,0.058359789359347505,0.0007829046738391708,80.7,0.058359789359347505,0.0006598779037833663,80.5
