,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (PMVCX),-4.656124193257499,-3.0879407425266012,6.1,-4.656124193257499,-3.4476877510682,11.700000000000001,-4.656124193257499,-3.9999130394910187,23.200000000000003,-4.656124193257499,-4.681478251183414,47.599999999999994,-4.656124193257499,-5.457183238245062,72.6,-4.656124193257499,-6.300487792385093,91.3,-4.656124193257499,-7.189838474248019,98.2,-4.656124193257499,-8.10783364240783,99.7,-4.656124193257499,-9.049709478737455,100.0,-4.656124193257499,-10.010595381540812,100.0,-4.656124193257499,-10.985843787119329,100.0,-4.656124193257499,-11.97257411477193,100.0,-4.656124193257499,-12.966243141056445,100.0,-4.656124193257499,-13.965333717611516,100.0,-4.656124193257499,-14.970241185278537,100.0,-4.656124193257499,-15.980321882313085,100.0
2nd Worst (PAMVX),-4.1824884354667455,-2.9475063077730503,10.6,-4.1824884354667455,-3.1754241192772406,13.8,-4.1824884354667455,-3.5872285542868303,23.599999999999998,-4.1824884354667455,-4.140147382596009,44.2,-4.1824884354667455,-4.793576205687865,70.89999999999999,-4.1824884354667455,-5.523176300979521,91.0,-4.1824884354667455,-6.298267756568736,97.89999999999999,-4.1824884354667455,-7.105455791895856,99.4,-4.1824884354667455,-7.938831939265865,99.9,-4.1824884354667455,-8.78591345032602,99.9,-4.1824884354667455,-9.6437203437356,100.0,-4.1824884354667455,-10.50945445503281,100.0,-4.1824884354667455,-11.384699689473624,100.0,-4.1824884354667455,-12.26667487233978,100.0,-4.1824884354667455,-13.15144856378633,100.0,-4.1824884354667455,-14.039383656316936,100.0
3rd Worst (MDPSX),-3.8891910479723,-2.8170736296296366,12.9,-3.8891910479723,-2.9832087108508922,15.299999999999999,-3.8891910479723,-3.3420649684034363,24.5,-3.8891910479723,-3.8431970199951904,44.4,-3.8891910479723,-4.442357678718199,70.8,-3.8891910479723,-5.112451000962254,90.10000000000001,-3.8891910479723,-5.837083700445527,97.7,-3.8891910479723,-6.594779853301516,99.5,-3.8891910479723,-7.365689693406946,99.8,-3.8891910479723,-8.152345033474862,99.9,-3.8891910479723,-8.95114890842184,100.0,-3.8891910479723,-9.758049199259688,100.0,-3.8891910479723,-10.572509405863824,100.0,-3.8891910479723,-11.392486722981536,100.0,-3.8891910479723,-12.218451747710281,100.0,-3.8891910479723,-13.046311919043895,100.0
4th Worst (GWSCX),-3.466525804684579,-2.7357697175581133,20.1,-3.466525804684579,-2.8464365059364036,21.4,-3.466525804684579,-3.1661242550385174,31.4,-3.466525804684579,-3.6300953613377365,54.1,-3.466525804684579,-4.2047518491654685,77.2,-3.466525804684579,-4.842841340726416,92.80000000000001,-3.466525804684579,-5.517458560015432,98.0,-3.466525804684579,-6.22204475486265,99.8,-3.466525804684579,-6.947878423983957,99.9,-3.466525804684579,-7.688753439255013,99.9,-3.466525804684579,-8.441771036128115,100.0,-3.466525804684579,-9.201904225627807,100.0,-3.466525804684579,-9.968499300461204,100.0,-3.466525804684579,-10.737606867284839,100.0,-3.466525804684579,-11.507810039129552,100.0,-3.466525804684579,-12.280332695680926,100.0
5th Worst (GWSVX),-2.9270279703000814,-2.6150442314182856,34.0,-2.9270279703000814,-2.7224124577776436,37.0,-2.9270279703000814,-3.0281068378912916,51.5,-2.9270279703000814,-3.4762536775651323,71.89999999999999,-2.9270279703000814,-4.021479091638062,89.0,-2.9270279703000814,-4.625702941092218,97.2,-2.9270279703000814,-5.264911890743852,99.1,-2.9270279703000814,-5.932942756669598,99.8,-2.9270279703000814,-6.629827201131871,99.9,-2.9270279703000814,-7.345525535881521,100.0,-2.9270279703000814,-8.065791074241906,100.0,-2.9270279703000814,-8.790496725476753,100.0,-2.9270279703000814,-9.517852885509436,100.0,-2.9270279703000814,-10.250532066885567,100.0,-2.9270279703000814,-10.989121215833253,100.0,-2.9270279703000814,-11.732837125765764,100.0
10%,-0.890153154318149,-1.5202621908163085,78.3,-0.890153154318149,-1.5887290568869894,81.39999999999999,-0.890153154318149,-1.7680874068386037,87.0,-0.890153154318149,-2.03446233681861,92.2,-0.890153154318149,-2.356200867938067,96.39999999999999,-0.890153154318149,-2.71346686703865,98.9,-0.890153154318149,-3.0868335147729313,99.5,-0.890153154318149,-3.481268805576583,99.9,-0.890153154318149,-3.8858128305265836,99.9,-0.890153154318149,-4.300127863280474,100.0,-0.890153154318149,-4.717654788478526,100.0,-0.890153154318149,-5.138258554433234,100.0,-0.890153154318149,-5.562733837616126,100.0,-0.890153154318149,-5.9899979929591884,100.0,-0.890153154318149,-6.420087396310918,100.0,-0.890153154318149,-6.853599860240989,100.0
20%,-0.42193588920370906,-0.9895762752319711,76.3,-0.42193588920370906,-1.0354586836487347,77.5,-0.42193588920370906,-1.1566013423317016,82.1,-0.42193588920370906,-1.332573368737415,87.1,-0.42193588920370906,-1.542307456647474,91.5,-0.42193588920370906,-1.7750884297651108,94.5,-0.42193588920370906,-2.0234964582970787,97.2,-0.42193588920370906,-2.2803539744184245,98.6,-0.42193588920370906,-2.5470600920821815,99.5,-0.42193588920370906,-2.821383194362895,99.8,-0.42193588920370906,-3.0937790108711787,99.9,-0.42193588920370906,-3.367991042827708,99.9,-0.42193588920370906,-3.64815373930584,100.0,-0.42193588920370906,-3.9303781355763197,100.0,-0.42193588920370906,-4.216482071414222,100.0,-0.42193588920370906,-4.504585568053192,100.0
30%,-0.00975343650115562,-0.6147730802425954,77.2,-0.00975343650115562,-0.641330364658143,78.2,-0.00975343650115562,-0.7188494385325687,81.8,-0.00975343650115562,-0.8273797169209497,84.8,-0.00975343650115562,-0.9568369658362332,88.1,-0.00975343650115562,-1.1028063906488557,90.4,-0.00975343650115562,-1.258511815553246,92.80000000000001,-0.00975343650115562,-1.4200101453964278,95.1,-0.00975343650115562,-1.5825667465549398,96.8,-0.00975343650115562,-1.749834521790853,97.39999999999999,-0.00975343650115562,-1.9223589953070044,99.1,-0.00975343650115562,-2.0947544675043392,99.5,-0.00975343650115562,-2.2690638486471393,99.6,-0.00975343650115562,-2.44300884123624,99.6,-0.00975343650115562,-2.61737938132235,99.8,-0.00975343650115562,-2.7953176653161638,99.9
40%,0.2646615140103147,-0.29338804265849205,75.3,0.2646615140103147,-0.3091718927987312,76.2,0.2646615140103147,-0.34541747761068986,77.60000000000001,0.2646615140103147,-0.3981010788740374,80.0,0.2646615140103147,-0.4608777589898064,82.1,0.2646615140103147,-0.5305111573583795,84.89999999999999,0.2646615140103147,-0.608789015727728,86.2,0.2646615140103147,-0.685943529986592,87.8,0.2646615140103147,-0.7660244160709003,88.9,0.2646615140103147,-0.8475258552439902,90.3,0.2646615140103147,-0.9293220099972089,91.2,0.2646615140103147,-1.0115552080967547,92.60000000000001,0.2646615140103147,-1.094893160193398,93.0,0.2646615140103147,-1.1786797933536417,94.39999999999999,0.2646615140103147,-1.2626796437587418,94.89999999999999,0.2646615140103147,-1.3492475859944884,95.8
50%,0.7471683285263904,0.0035902737413584405,80.7,0.7471683285263904,0.0020629210529596706,80.9,0.7471683285263904,0.002276958623794815,81.3,0.7471683285263904,0.0025690016146765215,82.6,0.7471683285263904,0.0007727931272932898,83.5,0.7471683285263904,0.0005307791780441366,83.39999999999999,0.7471683285263904,0.0021642281918257647,82.69999999999999,0.7471683285263904,0.0031827374245939773,82.8,0.7471683285263904,0.0035557125739378126,82.1,0.7471683285263904,0.004710732463935056,82.19999999999999,0.7471683285263904,0.00520423734222487,81.6,0.7471683285263904,0.006123332486002027,80.80000000000001,0.7471683285263904,0.0054879288126315,80.5,0.7471683285263904,0.004587572080190917,80.60000000000001,0.7471683285263904,0.0036941937848316907,80.30000000000001,0.7471683285263904,0.0038454339272905712,80.0
