,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (TCAGX),-0.5045141858623394,-0.3194890911498431,4.1000000000000005,-0.5045141858623394,-0.349501159838871,6.4,-0.5045141858623394,-0.39721354294688,13.8,-0.5045141858623394,-0.4575903835631103,29.299999999999997,-0.5045141858623394,-0.5269387168571624,53.7,-0.5045141858623394,-0.6029110731426818,78.9,-0.5045141858623394,-0.6831842230680413,93.30000000000001,-0.5045141858623394,-0.7672129327982532,98.9,-0.5045141858623394,-0.8536709471784003,99.9,-0.5045141858623394,-0.9419647404324458,99.9,-0.5045141858623394,-1.031630975958497,99.9,-0.5045141858623394,-1.1225543289709592,100.0,-0.5045141858623394,-1.214385978738925,100.0,-0.5045141858623394,-1.3070015158192627,100.0,-0.5045141858623394,-1.4001757841955653,100.0,-0.5045141858623394,-1.4937505345010773,100.0
2nd Worst (TAAGX),-0.44269053180153495,-0.30051376213825925,7.000000000000001,-0.44269053180153495,-0.32082719455314335,9.3,-0.44269053180153495,-0.3587408306964793,16.0,-0.44269053180153495,-0.409301252681165,32.4,-0.44269053180153495,-0.46902342963953164,58.599999999999994,-0.44269053180153495,-0.5348052089049997,82.6,-0.44269053180153495,-0.60570798643529,95.0,-0.44269053180153495,-0.6793333222564932,99.6,-0.44269053180153495,-0.7555866863079456,99.9,-0.44269053180153495,-0.833579518754984,99.9,-0.44269053180153495,-0.9132215177474984,99.9,-0.44269053180153495,-0.9939623942338093,100.0,-0.44269053180153495,-1.07557922346661,100.0,-0.44269053180153495,-1.157765350850937,100.0,-0.44269053180153495,-1.240488439956175,100.0,-0.44269053180153495,-1.3237355913511364,100.0
3rd Worst (TIAGX),-0.4362152724282419,-0.28676834404078855,6.1,-0.4362152724282419,-0.3018747152403755,7.3999999999999995,-0.4362152724282419,-0.33412797939913363,11.899999999999999,-0.4362152724282419,-0.3794655225461123,24.0,-0.4362152724282419,-0.4340427109664194,47.199999999999996,-0.4362152724282419,-0.49487288177509264,72.8,-0.4362152724282419,-0.5602921192303503,91.3,-0.4362152724282419,-0.628817589198678,97.7,-0.4362152724282419,-0.6998037846788263,99.5,-0.4362152724282419,-0.7725478774536604,99.9,-0.4362152724282419,-0.8460159632759842,99.9,-0.4362152724282419,-0.9199279989283907,100.0,-0.4362152724282419,-0.994301523145911,100.0,-0.4362152724282419,-1.0694014144883581,100.0,-0.4362152724282419,-1.1449256477424783,100.0,-0.4362152724282419,-1.220950038825186,100.0
4th Worst (BWAFX),-0.4022492498956201,-0.27631560587727805,8.7,-0.4022492498956201,-0.28792053069099394,9.6,-0.4022492498956201,-0.317139592806865,14.399999999999999,-0.4022492498956201,-0.35852776168790684,28.799999999999997,-0.4022492498956201,-0.4095952595915324,49.8,-0.4022492498956201,-0.46699089081670636,75.6,-0.4022492498956201,-0.5291691880924334,92.10000000000001,-0.4022492498956201,-0.5944107374139204,97.89999999999999,-0.4022492498956201,-0.6611198493853229,99.7,-0.4022492498956201,-0.72943367295982,99.9,-0.4022492498956201,-0.7988670580790258,99.9,-0.4022492498956201,-0.8695422784785838,100.0,-0.4022492498956201,-0.9410006249369374,100.0,-0.4022492498956201,-1.0127013686185644,100.0,-0.4022492498956201,-1.084904276944704,100.0,-0.4022492498956201,-1.1572198473974877,100.0
5th Worst (ICNCX),-0.3430191919191644,-0.2671979829591703,18.099999999999998,-0.3430191919191644,-0.2764919168127705,20.4,-0.3430191919191644,-0.30335876653283883,28.7,-0.3430191919191644,-0.342904788114951,47.9,-0.3430191919191644,-0.39132247706008705,69.8,-0.3430191919191644,-0.4463168248835986,88.2,-0.3430191919191644,-0.505257683035717,96.6,-0.3430191919191644,-0.5668383645716861,99.5,-0.3430191919191644,-0.6311234752031414,99.9,-0.3430191919191644,-0.6962732826504666,99.9,-0.3430191919191644,-0.7627743341315482,100.0,-0.3430191919191644,-0.8302765259966696,100.0,-0.3430191919191644,-0.8987598953097488,100.0,-0.3430191919191644,-0.9677419656022244,100.0,-0.3430191919191644,-1.0369474898862125,100.0,-0.3430191919191644,-1.1062603721280753,100.0
10%,-0.1315144064571363,-0.13741612587148835,52.300000000000004,-0.1315144064571363,-0.14197859273199492,54.0,-0.1315144064571363,-0.1554827841587154,61.199999999999996,-0.1315144064571363,-0.1755730705966818,71.3,-0.1315144064571363,-0.20043226276075962,83.5,-0.1315144064571363,-0.22853803021819222,91.7,-0.1315144064571363,-0.2586804012832698,95.39999999999999,-0.1315144064571363,-0.2904571206968949,98.5,-0.1315144064571363,-0.32324846460956047,99.6,-0.1315144064571363,-0.35691816652723285,100.0,-0.1315144064571363,-0.391085307579831,100.0,-0.1315144064571363,-0.4254788474791717,100.0,-0.1315144064571363,-0.4603213099929749,100.0,-0.1315144064571363,-0.4955286777992078,100.0,-0.1315144064571363,-0.5308237192944216,100.0,-0.1315144064571363,-0.566344239445391,100.0
20%,-0.07069409443796915,-0.08792566513248715,57.599999999999994,-0.07069409443796915,-0.0911340286194534,60.699999999999996,-0.07069409443796915,-0.10006164406778988,64.7,-0.07069409443796915,-0.11323152060647376,72.39999999999999,-0.07069409443796915,-0.12923761664486666,79.2,-0.07069409443796915,-0.14736232137851787,86.4,-0.07069409443796915,-0.16723097467082723,91.4,-0.07069409443796915,-0.1876673428516504,94.39999999999999,-0.07069409443796915,-0.20862636213740707,97.0,-0.07069409443796915,-0.23009233689120961,98.2,-0.07069409443796915,-0.25214947074460836,99.3,-0.07069409443796915,-0.2743653935398044,99.8,-0.07069409443796915,-0.2970111554564479,100.0,-0.07069409443796915,-0.31970981899171474,100.0,-0.07069409443796915,-0.34245984244141203,100.0,-0.07069409443796915,-0.3652944206475959,100.0
30%,-0.031515227812358895,-0.05401265070297628,62.2,-0.031515227812358895,-0.056438861276984234,63.3,-0.031515227812358895,-0.06214807326755752,66.10000000000001,-0.031515227812358895,-0.07024795285339365,71.0,-0.031515227812358895,-0.0802716610484796,75.0,-0.031515227812358895,-0.09131528714275113,80.10000000000001,-0.031515227812358895,-0.10334748391088854,84.5,-0.031515227812358895,-0.11604148414410553,88.7,-0.031515227812358895,-0.12917269471600032,92.0,-0.031515227812358895,-0.14252037719310903,94.0,-0.031515227812358895,-0.15640703239118914,95.8,-0.031515227812358895,-0.17038108066467272,96.7,-0.031515227812358895,-0.18444402164483692,97.7,-0.031515227812358895,-0.19838525409603278,98.4,-0.031515227812358895,-0.21242667635662305,98.8,-0.031515227812358895,-0.2264555783958036,99.3
40%,0.011266481412287368,-0.026653259937443663,70.39999999999999,0.011266481412287368,-0.027415250938056666,71.1,0.011266481412287368,-0.030146263022934192,72.5,0.011266481412287368,-0.03420292032896484,73.6,0.011266481412287368,-0.0391023610274391,76.2,0.011266481412287368,-0.04454539375794805,78.5,0.011266481412287368,-0.05067148855101554,80.60000000000001,0.011266481412287368,-0.05667662308526289,83.39999999999999,0.011266481412287368,-0.06297797788474158,85.6,0.011266481412287368,-0.0694750298241282,87.3,0.011266481412287368,-0.07589636703965204,88.8,0.011266481412287368,-0.08237449990957785,91.10000000000001,0.011266481412287368,-0.08895281861216373,91.7,0.011266481412287368,-0.0955232545891005,93.0,0.011266481412287368,-0.10218700133071229,93.8,0.011266481412287368,-0.10899982080918051,94.6
50%,0.04372668989651969,-0.0006009452621545107,73.3,0.04372668989651969,-0.000419743388951921,73.6,0.04372668989651969,-0.0005126475967250752,73.8,0.04372668989651969,-0.0006365194247796714,73.6,0.04372668989651969,-0.0009068514646378285,74.0,0.04372668989651969,-0.0009537114345364697,73.5,0.04372668989651969,-0.0007999339734619203,73.0,0.04372668989651969,-0.0006815305354218335,73.0,0.04372668989651969,-0.0009505331586567296,73.1,0.04372668989651969,-0.0008114601990533035,72.39999999999999,0.04372668989651969,-0.0008927845680114919,72.5,0.04372668989651969,-0.0010431336601895449,72.7,0.04372668989651969,-0.0008809559879265405,72.39999999999999,0.04372668989651969,-0.0009068186908598139,71.7,0.04372668989651969,-0.0008715825898981935,71.8,0.04372668989651969,-0.0009264493439658459,71.3
