,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (TCAGX),-6.986340240005555,-3.338232991916145,0.0,-6.986340240005555,-3.6571888692520695,0.3,-6.986340240005555,-4.161953702470133,0.7000000000000001,-6.986340240005555,-4.802017331973512,3.1,-6.986340240005555,-5.542706271341906,11.600000000000001,-6.986340240005555,-6.352319441236998,27.3,-6.986340240005555,-7.2091369846799775,54.400000000000006,-6.986340240005555,-8.10503412300485,76.7,-6.986340240005555,-9.030706649085287,91.10000000000001,-6.986340240005555,-9.976163691300936,98.2,-6.986340240005555,-10.935411873073809,99.7,-6.986340240005555,-11.903897209338986,99.9,-6.986340240005555,-12.879570836203163,100.0,-6.986340240005555,-13.861303321266936,100.0,-6.986340240005555,-14.848358096443688,100.0,-6.986340240005555,-15.839464635031895,100.0
2nd Worst (TAAGX),-6.122454919891562,-3.164370707628965,0.4,-6.122454919891562,-3.359608879719861,0.5,-6.122454919891562,-3.7522434395441513,1.3,-6.122454919891562,-4.285011281884106,3.5000000000000004,-6.122454919891562,-4.916201218272356,12.3,-6.122454919891562,-5.621997974239481,29.599999999999998,-6.122454919891562,-6.379099246004989,58.4,-6.122454919891562,-7.176709935711529,81.39999999999999,-6.122454919891562,-7.995599184514323,94.89999999999999,-6.122454919891562,-8.826241816834138,99.1,-6.122454919891562,-9.666057269790508,99.9,-6.122454919891562,-10.515836586625667,100.0,-6.122454919891562,-11.370992592764393,100.0,-6.122454919891562,-12.231873955889139,100.0,-6.122454919891562,-13.095800701795692,100.0,-6.122454919891562,-13.964796490001202,100.0
3rd Worst (TIAGX),-6.045907159390662,-3.0333076034061524,0.4,-6.045907159390662,-3.186600440954367,0.4,-6.045907159390662,-3.5284512031149613,0.5,-6.045907159390662,-4.021192112153364,2.4,-6.045907159390662,-4.6078807721239246,7.5,-6.045907159390662,-5.268603432936418,20.1,-6.045907159390662,-5.9787622972664085,46.7,-6.045907159390662,-6.707845897284142,72.7,-6.045907159390662,-7.452441424597573,89.7,-6.045907159390662,-8.217362945259229,97.39999999999999,-6.045907159390662,-8.997699604509554,99.8,-6.045907159390662,-9.788406484396434,100.0,-6.045907159390662,-10.587640688931824,100.0,-6.045907159390662,-11.393235463839359,100.0,-6.045907159390662,-12.206746943908442,100.0,-6.045907159390662,-13.024599290561433,100.0
4th Worst (IOLCX),-3.5270775896546347,-2.921868275479017,23.3,-3.5270775896546347,-3.047836609115793,27.0,-3.5270775896546347,-3.3675271219740797,37.9,-3.5270775896546347,-3.8241034545764347,61.8,-3.5270775896546347,-4.39199617042482,82.39999999999999,-3.5270775896546347,-5.01233581036941,94.89999999999999,-3.5270775896546347,-5.675552695143553,99.4,-3.5270775896546347,-6.368279405595878,100.0,-3.5270775896546347,-7.081693362794416,100.0,-3.5270775896546347,-7.807420693295871,100.0,-3.5270775896546347,-8.545789834693645,100.0,-3.5270775896546347,-9.296400562197974,100.0,-3.5270775896546347,-10.058722510385563,100.0,-3.5270775896546347,-10.82704540477724,100.0,-3.5270775896546347,-11.598344773030371,100.0,-3.5270775896546347,-12.370082120901161,100.0
5th Worst (PHASX),-3.447666298270302,-2.826192803795012,22.900000000000002,-3.447666298270302,-2.9401082732865578,26.200000000000003,-3.447666298270302,-3.2420022871329675,35.8,-3.447666298270302,-3.6809246922185057,59.699999999999996,-3.447666298270302,-4.208372853261498,80.2,-3.447666298270302,-4.800742198707349,93.8,-3.447666298270302,-5.436393203130811,98.6,-3.447666298270302,-6.101629723602793,99.9,-3.447666298270302,-6.790094117982458,100.0,-3.447666298270302,-7.495553347578782,100.0,-3.447666298270302,-8.211969061748892,100.0,-3.447666298270302,-8.935464599177052,100.0,-3.447666298270302,-9.661903588025519,100.0,-3.447666298270302,-10.391732086413224,100.0,-3.447666298270302,-11.125643503851002,100.0,-3.447666298270302,-11.864828521434347,100.0
10%,-1.4152592009270193,-1.5492754574712562,55.300000000000004,-1.4152592009270193,-1.6040915788269416,56.49999999999999,-1.4152592009270193,-1.758535903938849,63.4,-1.4152592009270193,-1.9885471705501843,75.0,-1.4152592009270193,-2.273200732239309,85.8,-1.4152592009270193,-2.59041834017683,92.7,-1.4152592009270193,-2.9300495369575863,96.5,-1.4152592009270193,-3.287167453810954,98.5,-1.4152592009270193,-3.65866691217921,99.9,-1.4152592009270193,-4.036689434787335,100.0,-1.4152592009270193,-4.41868115574284,100.0,-1.4152592009270193,-4.809179592625666,100.0,-1.4152592009270193,-5.2027185330522405,100.0,-1.4152592009270193,-5.598339274100564,100.0,-1.4152592009270193,-5.996342812852239,100.0,-1.4152592009270193,-6.394879366718918,100.0
20%,-0.7194976308685027,-1.0102217389521078,62.6,-0.7194976308685027,-1.0456691484356475,64.1,-0.7194976308685027,-1.149464578697892,68.5,-0.7194976308685027,-1.3009221221014415,76.3,-0.7194976308685027,-1.484536462523258,82.69999999999999,-0.7194976308685027,-1.6926791929535543,89.2,-0.7194976308685027,-1.9170786066382075,92.9,-0.7194976308685027,-2.1499797867193546,95.6,-0.7194976308685027,-2.3939376466337263,97.6,-0.7194976308685027,-2.6417174425427947,98.6,-0.7194976308685027,-2.89392177862516,99.5,-0.7194976308685027,-3.1484774666940805,100.0,-0.7194976308685027,-3.4063997296722923,100.0,-0.7194976308685027,-3.664594208960066,100.0,-0.7194976308685027,-3.9250173958362273,100.0,-0.7194976308685027,-4.187118650385338,100.0
30%,-0.33754196112130297,-0.629652197733114,63.7,-0.33754196112130297,-0.6536272214559945,64.1,-0.33754196112130297,-0.7175039170839493,67.7,-0.33754196112130297,-0.8115641937417816,72.0,-0.33754196112130297,-0.9265056787681849,76.1,-0.33754196112130297,-1.0526642199547191,80.7,-0.33754196112130297,-1.1927651041391383,85.8,-0.33754196112130297,-1.3381133866759418,89.5,-0.33754196112130297,-1.4897547990342892,92.4,-0.33754196112130297,-1.6440245126501745,94.5,-0.33754196112130297,-1.8027262563278696,96.0,-0.33754196112130297,-1.961083650832803,96.8,-0.33754196112130297,-2.123221543915105,97.89999999999999,-0.33754196112130297,-2.2843135007650015,98.5,-0.33754196112130297,-2.4459630654930806,98.9,-0.33754196112130297,-2.6093605782532903,99.5
40%,0.10328289388686249,-0.308680027958261,69.6,0.10328289388686249,-0.31928675468329915,70.1,0.10328289388686249,-0.35023416407430935,71.3,0.10328289388686249,-0.3953581753052123,73.0,0.10328289388686249,-0.45170623541366145,74.8,0.10328289388686249,-0.5174167603257696,77.3,0.10328289388686249,-0.5843717400787279,79.60000000000001,0.10328289388686249,-0.6546975769906704,82.5,0.10328289388686249,-0.7269997514083072,84.6,0.10328289388686249,-0.8007206513646784,86.4,0.10328289388686249,-0.8762192326271949,88.5,0.10328289388686249,-0.9478930364942679,90.5,0.10328289388686249,-1.0242981542044949,91.5,0.10328289388686249,-1.099401011783641,92.7,0.10328289388686249,-1.1772691362799412,93.5,0.10328289388686249,-1.2540485442384657,94.39999999999999
50%,0.396339626727397,-0.006441129815287292,69.39999999999999,0.396339626727397,-0.00726174798234858,69.5,0.396339626727397,-0.00804862944718955,69.3,0.396339626727397,-0.009865608155621547,69.1,0.396339626727397,-0.012812937028522587,69.39999999999999,0.396339626727397,-0.012694181137658635,69.6,0.396339626727397,-0.012589708744627275,69.0,0.396339626727397,-0.010464561957873344,68.8,0.396339626727397,-0.011833077422385818,68.7,0.396339626727397,-0.013372369056530801,68.4,0.396339626727397,-0.012700123870129278,67.60000000000001,0.396339626727397,-0.013430678496666168,67.10000000000001,0.396339626727397,-0.01052322991383124,67.0,0.396339626727397,-0.010948893529911227,67.2,0.396339626727397,-0.010747663818647956,67.2,0.396339626727397,-0.01335828600078948,67.10000000000001
