,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (SMDLX),-0.3604712153706615,-0.26197228675210055,13.600000000000001,-0.2932747968859256,20.9,-0.34284188140842586,38.800000000000004,-0.40595654645166573,64.4,-0.4787871091475006,83.89999999999999,-0.5577886062734776,95.8,-0.6409036431664609,99.2,-0.7271420512719126,99.9,-0.815567453418852,100.0,-0.905300725972083,100.0,-0.9961116107670474,100.0,-1.0878054504708052,100.0,-1.1800954534008736,100.0,-1.272910441514922,100.0,-1.3662631392745326,100.0,-1.4599443824822425,100.0
2nd Worst (LBDAX),-0.31433185867985236,-0.24182351397946553,19.3,-0.2620674454367411,25.2,-0.30123954053733576,41.9,-0.35283091518408344,63.4,-0.4118646105211622,85.5,-0.47694548593723324,95.5,-0.5463750445008604,99.7,-0.6184061037514637,100.0,-0.6923382043774304,100.0,-0.7677428288356594,100.0,-0.8437916793543478,100.0,-0.9202989565213566,100.0,-0.9974705790834878,100.0,-1.0750933570708643,100.0,-1.1531567928077286,100.0,-1.2313946976219905,100.0
3rd Worst (JAMDX),-0.3123956505542813,-0.23008716298009887,15.299999999999999,-0.24564934787828957,18.5,-0.27912186820458085,33.2,-0.32437977292615267,52.5,-0.37793854643733094,77.60000000000001,-0.43719512513028075,91.5,-0.5002717589491646,98.5,-0.5656384336168145,99.9,-0.6326480971913596,100.0,-0.7009999108245766,100.0,-0.7705561228956276,100.0,-0.8408448212786059,100.0,-0.9113422761672145,100.0,-0.982226575526801,100.0,-1.0531733237165182,100.0,-1.1244936953624198,100.0
4th Worst (CFLGX),-0.3115781621963487,-0.2235039622618079,14.299999999999999,-0.23355703282428908,15.0,-0.2629216395260706,25.8,-0.30482064325269953,43.2,-0.35481819730847586,68.7,-0.41009523714634705,86.8,-0.4687633317089518,96.89999999999999,-0.5300472049644722,99.5,-0.5929266549422699,99.9,-0.6566884875112005,100.0,-0.721179209728079,100.0,-0.7864354968116005,100.0,-0.852592565059521,100.0,-0.9190824318124226,100.0,-0.9860972428815671,100.0,-1.0531905252721028,100.0
5th Worst (LCBDX),-0.30513354867915377,-0.2149805401603505,12.6,-0.2232636476729163,14.399999999999999,-0.24990346020507456,22.900000000000002,-0.28910135717951335,38.7,-0.3362597239552975,63.0,-0.3888147532529313,83.7,-0.4447177248724297,94.89999999999999,-0.5026152920609188,99.2,-0.5620701927883497,99.8,-0.6225294670079652,100.0,-0.6837340634425291,100.0,-0.7456042347406314,100.0,-0.8078888059841747,100.0,-0.8705767871195871,100.0,-0.933386650557111,100.0,-0.996505478370568,100.0
10%,-0.11366457783468426,-0.12026986976090316,51.4,-0.12541720025668282,54.6,-0.13998637627716665,65.0,-0.16169342593843952,76.1,-0.1882473903259529,87.7,-0.2172077948143056,94.3,-0.24810287081501714,98.3,-0.2802511016381844,99.5,-0.31365662787122467,99.8,-0.3473681265629957,100.0,-0.3813091587627552,100.0,-0.41570346362414096,100.0,-0.4502698455806489,100.0,-0.4851844570738046,100.0,-0.5203585881907251,100.0,-0.555542228914481,100.0
20%,-0.05812318169157373,-0.07688718010623392,60.0,-0.07989513124284824,62.4,-0.08959407516408657,68.2,-0.10348460808038931,76.7,-0.12057469049406407,83.8,-0.13920583168915246,90.10000000000001,-0.15876798893038893,95.1,-0.1797293067861333,98.2,-0.20078423314642568,99.1,-0.22237527778480573,99.4,-0.2443907314994372,99.8,-0.26657155838381486,99.9,-0.2888922198221289,99.9,-0.31126413507760187,99.9,-0.33385927121020076,100.0,-0.3565524614549078,100.0
30%,-0.007634678001902278,-0.04667454754775827,72.6,-0.04860896448160056,73.4,-0.05441908398730479,77.9,-0.06289409791714246,82.0,-0.07326757620732215,85.8,-0.08504909823059492,89.7,-0.09730437079084708,93.8,-0.11014140177698593,95.39999999999999,-0.12351506276369634,97.5,-0.13700169536785434,98.4,-0.15041010269229305,98.9,-0.16392902180406924,99.3,-0.17773062216394334,99.5,-0.19158141783854885,99.7,-0.20552722063984546,99.9,-0.21963836643404971,99.9
40%,0.029757970362543608,-0.020893537194929927,78.5,-0.02202035291499024,79.4,-0.025126571023501253,80.80000000000001,-0.029222853301525895,82.8,-0.03456183392405583,84.6,-0.03997393127224813,86.7,-0.04606484371108706,88.8,-0.052329104048397745,91.10000000000001,-0.05857376031947074,92.10000000000001,-0.06492504375723254,93.60000000000001,-0.0715116750382053,95.3,-0.0781223914130747,96.5,-0.08487491538938419,96.89999999999999,-0.09131638699855196,97.5,-0.09800594825359146,97.7,-0.10464815518364906,98.1
50%,0.06562681909561874,0.002031629792471504,84.7,0.0019813036190143487,84.39999999999999,0.0016815028026521454,84.6,0.0012337051050221191,85.0,0.0011718713707998983,84.89999999999999,0.0011625200901450002,84.5,0.001065737447640621,84.6,0.0009540152381015141,84.89999999999999,0.0011131569749881728,84.6,0.0014457443738897994,84.5,0.0014142940091383682,84.2,0.0013167198277726888,84.2,0.0013227529272205807,83.8,0.0012546279341127272,83.7,0.0010765512903326102,83.7,0.0010502888259754312,83.2
