,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (SMDLX),-4.868116294401708,-2.984934538832301,3.4000000000000004,-4.868116294401708,-3.382740322572242,8.5,-4.868116294401708,-3.9782324664308293,18.9,-4.868116294401708,-4.714449991397046,41.8,-4.868116294401708,-5.555413725369122,70.39999999999999,-4.868116294401708,-6.46590634051258,89.9,-4.868116294401708,-7.422932304075897,97.7,-4.868116294401708,-8.41273960849371,99.9,-4.868116294401708,-9.424630505278571,100.0,-4.868116294401708,-10.450666766512754,100.0,-4.868116294401708,-11.489936077509146,100.0,-4.868116294401708,-12.539099334532295,100.0,-4.868116294401708,-13.59631195061224,100.0,-4.868116294401708,-14.659401777592544,100.0,-4.868116294401708,-15.726626719319887,100.0,-4.868116294401708,-16.796913665688454,100.0
2nd Worst (LBDAX),-4.262410773107179,-2.847342215553118,9.0,-4.262410773107179,-3.1035614570278196,12.0,-4.262410773107179,-3.5722070210521477,21.2,-4.262410773107179,-4.191418179296695,42.1,-4.262410773107179,-4.906085508353108,73.0,-4.262410773107179,-5.693229163179237,91.60000000000001,-4.262410773107179,-6.5284967044835005,98.2,-4.262410773107179,-7.389354994024148,99.7,-4.262410773107179,-8.27010249169566,100.0,-4.262410773107179,-9.166431829222097,100.0,-4.262410773107179,-10.07759445288442,100.0,-4.262410773107179,-10.996895533738838,100.0,-4.262410773107179,-11.91908878593255,100.0,-4.262410773107179,-12.84615467523651,100.0,-4.262410773107179,-13.776595236264582,100.0,-4.262410773107179,-14.711842959266228,100.0
3rd Worst (CFLGX),-4.231266109540244,-2.761098879871838,8.0,-4.231266109540244,-2.944740798222286,9.4,-4.231266109540244,-3.3451396607606294,15.8,-4.231266109540244,-3.8987482252733123,33.0,-4.231266109540244,-4.551502011946587,62.5,-4.231266109540244,-5.2711046270796205,84.89999999999999,-4.231266109540244,-6.034649712231779,95.5,-4.231266109540244,-6.83213109626062,99.2,-4.231266109540244,-7.648584438571694,100.0,-4.231266109540244,-8.47810779699399,100.0,-4.231266109540244,-9.312397632552127,100.0,-4.231266109540244,-10.152615555175544,100.0,-4.231266109540244,-11.00041446836397,100.0,-4.231266109540244,-11.852083960607567,100.0,-4.231266109540244,-12.70880765575955,100.0,-4.231266109540244,-13.567994975453443,100.0
4th Worst (LCBDX),-4.14951171333139,-2.7028022204624795,7.7,-4.14951171333139,-2.8206045124062236,8.7,-4.14951171333139,-3.1708376568427394,13.8,-4.14951171333139,-3.6881624769281762,27.500000000000004,-4.14951171333139,-4.302482522542317,54.900000000000006,-4.14951171333139,-4.978848393380015,79.10000000000001,-4.14951171333139,-5.686513069202698,94.1,-4.14951171333139,-6.426003455042098,98.6,-4.14951171333139,-7.189490500682561,99.6,-4.14951171333139,-7.970642256988438,100.0,-4.14951171333139,-8.758933427054185,100.0,-4.14951171333139,-9.553486456681796,100.0,-4.14951171333139,-10.354103592891773,100.0,-4.14951171333139,-11.159095781899508,100.0,-4.14951171333139,-11.9664919202741,100.0,-4.14951171333139,-12.777945315274417,100.0
5th Worst (LADIX),-4.076752690246757,-2.6141179012086626,7.199999999999999,-4.076752690246757,-2.707255731856364,7.9,-4.076752690246757,-3.0368970637276926,11.899999999999999,-4.076752690246757,-3.522371285923932,25.0,-4.076752690246757,-4.101256339358919,49.4,-4.076752690246757,-4.734513496384204,75.0,-4.076752690246757,-5.411469429430986,92.4,-4.076752690246757,-6.116696258928403,98.2,-4.076752690246757,-6.8446230326784585,99.6,-4.076752690246757,-7.584529253262105,99.9,-4.076752690246757,-8.334382285025757,100.0,-4.076752690246757,-9.091432381415888,100.0,-4.076752690246757,-9.854049022647898,100.0,-4.076752690246757,-10.621352307589586,100.0,-4.076752690246757,-11.393539761717609,100.0,-4.076752690246757,-12.166887128391853,100.0
10%,-1.4658920198424918,-1.5401177903451568,52.7,-1.4658920198424918,-1.6139559751640724,56.2,-1.4658920198424918,-1.8066994892782617,63.9,-1.4658920198424918,-2.091267232800164,77.4,-1.4658920198424918,-2.4328821553734614,88.1,-1.4658920198424918,-2.8110260242284792,95.1,-1.4658920198424918,-3.2162606979297426,98.5,-1.4658920198424918,-3.632787654607529,99.6,-1.4658920198424918,-4.06226642791249,99.7,-1.4658920198424918,-4.505784795819672,100.0,-1.4658920198424918,-4.950174965496869,100.0,-1.4658920198424918,-5.399857849037198,100.0,-1.4658920198424918,-5.851829353080919,100.0,-1.4658920198424918,-6.305828902880292,100.0,-1.4658920198424918,-6.763790428986163,100.0,-1.4658920198424918,-7.223938816401189,100.0
20%,-0.7839929215056114,-1.0062817146785117,59.9,-0.7839929215056114,-1.0513474398275262,62.7,-0.7839929215056114,-1.1779546720569378,67.4,-0.7839929215056114,-1.3660562769032962,76.1,-0.7839929215056114,-1.5885836986704318,84.1,-0.7839929215056114,-1.8348634590653994,90.10000000000001,-0.7839929215056114,-2.1012706074178484,94.5,-0.7839929215056114,-2.377627442851322,97.7,-0.7839929215056114,-2.6585609155006766,98.9,-0.7839929215056114,-2.9450908292192435,99.3,-0.7839929215056114,-3.233949536793957,99.8,-0.7839929215056114,-3.5304377912061926,99.9,-0.7839929215056114,-3.827458688067306,99.9,-0.7839929215056114,-4.1278567639363315,100.0,-0.7839929215056114,-4.429383457164564,100.0,-0.7839929215056114,-4.731814643392619,100.0
30%,-0.11038811185339291,-0.6181441533006702,72.0,-0.11038811185339291,-0.6419618903232194,73.2,-0.11038811185339291,-0.7242158708798143,77.7,-0.11038811185339291,-0.8401252874375802,82.1,-0.11038811185339291,-0.9811292554820754,85.6,-0.11038811185339291,-1.1398480516395675,89.3,-0.11038811185339291,-1.3039961260745345,93.60000000000001,-0.11038811185339291,-1.4759768097769095,95.3,-0.11038811185339291,-1.6505830593710111,97.3,-0.11038811185339291,-1.8332437089253406,98.4,-0.11038811185339291,-2.017521085797878,98.8,-0.11038811185339291,-2.2013709234486867,99.3,-0.11038811185339291,-2.386071615240548,99.5,-0.11038811185339291,-2.5729689715818402,99.6,-0.11038811185339291,-2.7597199538355004,99.9,-0.11038811185339291,-2.9452452869175376,99.9
40%,0.3586293238808808,-0.28081500290078987,76.9,0.3586293238808808,-0.29869125640222227,78.10000000000001,0.3586293238808808,-0.34008583767446304,79.9,0.3586293238808808,-0.3999624378143538,82.0,0.3586293238808808,-0.46923248617397134,83.89999999999999,0.3586293238808808,-0.5425336693068677,85.7,0.3586293238808808,-0.6222381217441469,88.4,0.3586293238808808,-0.7050311825430245,90.60000000000001,0.3586293238808808,-0.790924543696529,91.9,0.3586293238808808,-0.8789048766268881,93.30000000000001,0.3586293238808808,-0.9638598090998984,94.8,0.3586293238808808,-1.0541038343652427,96.2,0.3586293238808808,-1.143855000794616,96.5,0.3586293238808808,-1.2337744077980743,97.0,0.3586293238808808,-1.324320555053032,97.39999999999999,0.3586293238808808,-1.4150583249425,97.8
50%,0.6888648946256475,0.022147091169821713,79.0,0.6888648946256475,0.019391695084714108,78.60000000000001,0.6888648946256475,0.016750447471204848,79.4,0.6888648946256475,0.014363899896850453,79.10000000000001,0.6888648946256475,0.012117395518542146,79.0,0.6888648946256475,0.011046736414120416,79.5,0.6888648946256475,0.010461192224956008,79.10000000000001,0.6888648946256475,0.009357635835748286,79.3,0.6888648946256475,0.011075278308828183,79.0,0.6888648946256475,0.013069740265266852,78.9,0.6888648946256475,0.011970955260466898,77.60000000000001,0.6888648946256475,0.012168628089534601,77.7,0.6888648946256475,0.011111794347159702,77.4,0.6888648946256475,0.010897951882037474,77.60000000000001,0.6888648946256475,0.009382764363497104,77.4,0.6888648946256475,0.009854819155377541,77.5
