,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (DLDCX),-0.1607680922857057,-0.25806160708742104,62.8,-0.2861587096731833,65.9,-0.3216060025400831,69.6,-0.36224568608961943,73.7,-0.408002390547667,78.3,-0.4574959642158436,83.1,-0.5102227734006992,87.6,-0.5655179548295973,90.8,-0.6230426796330876,93.2,-0.6819371288846514,94.6,-0.7417723166119597,96.1,-0.8024976523168775,97.0,-0.8640137774019906,97.89999999999999,-0.9261829989731288,98.8,-0.9889761340750429,99.0,-1.0521207091366813,99.5
2nd Worst (SEPCX),-0.1571765159410253,-0.23897489394645613,59.5,-0.2557221844084521,62.0,-0.2794742388527418,65.5,-0.3084420558910337,68.2,-0.34151419802177757,71.3,-0.3780274699375661,76.4,-0.41777724294910434,80.80000000000001,-0.4600296085125575,84.39999999999999,-0.5037470240217711,87.8,-0.5490429157879514,90.4,-0.5953730044548469,92.5,-0.6424923324633953,94.3,-0.6900725609843722,96.0,-0.7380361692362333,96.8,-0.7861071780566412,97.3,-0.8346281193366704,98.2
3rd Worst (RYBCX),-0.13871029614026703,-0.23461006737238552,61.8,-0.2395904244020741,62.4,-0.2535426448173449,63.9,-0.27515265720368826,66.5,-0.30096380097849684,69.3,-0.33085134161401625,73.3,-0.36330506982478283,77.0,-0.3975178325358622,80.9,-0.4334306961556805,85.1,-0.4705057355107517,87.7,-0.5082867847644095,90.2,-0.5466091034501741,91.4,-0.585711578132116,93.10000000000001,-0.6253496851753529,94.8,-0.6655216224381152,96.0,-0.7061840557999169,96.8
4th Worst (SBMBX),-0.10814655652530888,-0.2194407050009936,63.7,-0.21974311121140347,64.0,-0.23034621192112115,64.5,-0.24775729362489798,67.5,-0.2699342140917993,69.39999999999999,-0.29587384432215197,72.7,-0.32479743766808883,76.5,-0.35526109523261584,80.5,-0.38623778442256107,83.6,-0.41768911467492503,86.0,-0.450892903850468,88.5,-0.4853143049865928,90.60000000000001,-0.5201677821134408,92.30000000000001,-0.5555934405613189,93.89999999999999,-0.5913413159448702,94.89999999999999,-0.6277376643967595,95.8
5th Worst (DNLAX),-0.0999498490818727,-0.18859041560961348,61.0,-0.19583275530896446,62.3,-0.20751077524528325,63.2,-0.223663019400175,65.4,-0.2441569739732804,67.80000000000001,-0.26687118434039203,70.1,-0.29159795086039153,74.3,-0.3173770846452534,77.5,-0.3452493511020792,80.10000000000001,-0.37464050464439264,82.5,-0.40461029746370375,85.9,-0.4350460765585493,88.2,-0.46631585511444223,90.3,-0.49814038252136994,91.4,-0.5310726034266465,92.9,-0.5641679305586412,94.39999999999999
10%,-0.0999498490818727,-0.18859041560961348,61.0,-0.19583275530896446,62.3,-0.20751077524528325,63.2,-0.223663019400175,65.4,-0.2441569739732804,67.80000000000001,-0.26687118434039203,70.1,-0.29159795086039153,74.3,-0.3173770846452534,77.5,-0.3452493511020792,80.10000000000001,-0.37464050464439264,82.5,-0.40461029746370375,85.9,-0.4350460765585493,88.2,-0.46631585511444223,90.3,-0.49814038252136994,91.4,-0.5310726034266465,92.9,-0.5641679305586412,94.39999999999999
20%,-0.08181415416072407,-0.13926049703801466,56.49999999999999,-0.1397816164624457,56.8,-0.14542974257823676,58.3,-0.1537188639480165,59.5,-0.1655395791225306,61.4,-0.18026993169645375,62.6,-0.19629510032764638,65.5,-0.21365190455863597,66.8,-0.23205303694539908,69.3,-0.251123341637657,72.3,-0.2710221641223725,73.9,-0.29137503621307237,76.6,-0.3118256594239931,78.60000000000001,-0.33251054638007665,81.2,-0.3535223227243487,83.5,-0.37465442338162325,85.3
30%,-0.05511609337118911,-0.09319859692436712,54.7,-0.09295329589556756,53.900000000000006,-0.09549650213489018,55.1,-0.10057053169417207,55.800000000000004,-0.10750092450141972,57.199999999999996,-0.11533247352019686,58.4,-0.1239777445505704,59.5,-0.13454556302550194,60.8,-0.14592457243155532,62.2,-0.15840252335983415,63.800000000000004,-0.1707771143225104,65.9,-0.18281670759989244,67.10000000000001,-0.1950961822397906,69.0,-0.20793831319330175,70.39999999999999,-0.22080895845107226,71.2,-0.2337730873281858,72.7
40%,0.026165345625119768,-0.04398916082350637,60.099999999999994,-0.044394182111283105,59.9,-0.04606339151038412,60.199999999999996,-0.049143659901595985,60.8,-0.052719143890122694,61.3,-0.05716033032941785,62.0,-0.0611645104138413,62.0,-0.06586101326232159,63.0,-0.07060658127076423,64.0,-0.07575691409675364,64.4,-0.08062486704481096,64.8,-0.0860906655769447,66.0,-0.09217664849088845,66.60000000000001,-0.09844329971214472,67.10000000000001,-0.10427856486237638,67.5,-0.11028327031625824,68.5
50%,0.12951737958778656,-0.0019376739376990159,66.7,-0.00037071011730784595,66.3,1.4375958145695477e-05,67.4,-0.00016640509885339693,68.0,-0.00023577758706537467,68.30000000000001,0.00018469467820931884,67.80000000000001,0.0008320440456157399,67.80000000000001,0.0009400545518941181,68.10000000000001,0.0011085276718679929,68.4,0.0010328826239921175,68.5,0.0015366148491030866,69.0,0.0020769653871815143,69.19999999999999,0.0023541840925670678,69.39999999999999,0.0024149492248495756,68.8,0.0021337334982024616,69.0,0.0020798404463965277,69.19999999999999
