,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (RYBCX),-0.7056709548117502,-1.2443359536782048,67.4,-0.7056709548117502,-1.358956112910962,70.19999999999999,-0.7056709548117502,-1.507036469023793,72.7,-0.7056709548117502,-1.6816986799388123,76.2,-0.7056709548117502,-1.8770413086899425,80.2,-0.7056709548117502,-2.0903374820071265,84.89999999999999,-0.7056709548117502,-2.3167491612491875,88.5,-0.7056709548117502,-2.5527952878673577,91.8,-0.7056709548117502,-2.7966411966001345,94.0,-0.7056709548117502,-3.0475007643701932,94.89999999999999,-0.7056709548117502,-3.3037551529536002,96.39999999999999,-0.7056709548117502,-3.563757991788459,97.5,-0.7056709548117502,-3.827618457423817,98.3,-0.7056709548117502,-4.095083976536436,99.0,-0.7056709548117502,-4.364374515786491,99.2,-0.7056709548117502,-4.6356029189063195,99.3
2nd Worst (ICBCX),-0.6931189570401726,-1.0877327485035644,62.4,-0.6931189570401726,-1.1673191734733777,64.60000000000001,-0.6931189570401726,-1.2752028225968093,67.4,-0.6931189570401726,-1.4086870957447764,70.0,-0.6931189570401726,-1.5590471810929143,73.1,-0.6931189570401726,-1.7230431050096375,77.4,-0.6931189570401726,-1.8989813984175838,82.3,-0.6931189570401726,-2.084134457101799,85.8,-0.6931189570401726,-2.2780155714172907,88.6,-0.6931189570401726,-2.4773895228193887,90.3,-0.6931189570401726,-2.6822323978363585,93.0,-0.6931189570401726,-2.8912029031966897,95.1,-0.6931189570401726,-3.1020318262513156,96.1,-0.6931189570401726,-3.3144679848344065,97.2,-0.6931189570401726,-3.528770170975079,97.7,-0.6931189570401726,-3.7458238511392485,98.3
3rd Worst (DLDCX),-0.6229583828424659,-1.0614917786995441,63.5,-0.6229583828424659,-1.0863080349105325,64.3,-0.6229583828424659,-1.1518572419574198,66.0,-0.6229583828424659,-1.2484312319956348,68.0,-0.6229583828424659,-1.3648392619207774,70.8,-0.6229583828424659,-1.5010405066223134,73.4,-0.6229583828424659,-1.6511554221856577,78.0,-0.6229583828424659,-1.8097678175517873,82.1,-0.6229583828424659,-1.9747802460495272,86.0,-0.6229583828424659,-2.145568546530513,88.1,-0.6229583828424659,-2.3194351912061686,89.9,-0.6229583828424659,-2.4966165407640206,92.0,-0.6229583828424659,-2.6772861948825812,93.8,-0.6229583828424659,-2.859033313594753,95.0,-0.6229583828424659,-3.043333195870442,96.5,-0.6229583828424659,-3.228552581831506,97.2
4th Worst (VMIAX),-0.6211887034047298,-0.9725400958273792,60.5,-0.6211887034047298,-0.9845512331858267,61.3,-0.6211887034047298,-1.0380200397913881,62.4,-0.6211887034047298,-1.1196560576665628,64.9,-0.6211887034047298,-1.2240899552544535,66.9,-0.6211887034047298,-1.3433365314821004,70.39999999999999,-0.6211887034047298,-1.4735655279239948,73.9,-0.6211887034047298,-1.614441239770994,77.10000000000001,-0.6211887034047298,-1.762230854264712,81.8,-0.6211887034047298,-1.9125636414037408,84.7,-0.6211887034047298,-2.0670908626511566,87.1,-0.6211887034047298,-2.2235737937959303,89.2,-0.6211887034047298,-2.3819040001766396,91.0,-0.6211887034047298,-2.5426184029008483,92.5,-0.6211887034047298,-2.705642683748818,94.0,-0.6211887034047298,-2.87095023998562,95.3
5th Worst (SEPCX),-0.6026022625589869,-0.8532766946277269,57.99999999999999,-0.6026022625589869,-0.8832165281180374,58.9,-0.6026022625589869,-0.9369558435022814,60.3,-0.6026022625589869,-1.0096890405891383,62.9,-0.6026022625589869,-1.103682361307207,64.4,-0.6026022625589869,-1.2075455848463954,67.10000000000001,-0.6026022625589869,-1.3228230817297801,70.19999999999999,-0.6026022625589869,-1.4474462555306518,73.6,-0.6026022625589869,-1.5796080191127813,77.60000000000001,-0.6026022625589869,-1.717067066229242,80.80000000000001,-0.6026022625589869,-1.8570891784711059,82.89999999999999,-0.6026022625589869,-1.9984178888361217,86.4,-0.6026022625589869,-2.1427962500931304,88.4,-0.6026022625589869,-2.290033577177766,89.9,-0.6026022625589869,-2.4396980795836205,91.4,-0.6026022625589869,-2.5909010226922957,93.4
10%,-0.6026022625589869,-0.8532766946277269,57.99999999999999,-0.6026022625589869,-0.8832165281180374,58.9,-0.6026022625589869,-0.9369558435022814,60.3,-0.6026022625589869,-1.0096890405891383,62.9,-0.6026022625589869,-1.103682361307207,64.4,-0.6026022625589869,-1.2075455848463954,67.10000000000001,-0.6026022625589869,-1.3228230817297801,70.19999999999999,-0.6026022625589869,-1.4474462555306518,73.6,-0.6026022625589869,-1.5796080191127813,77.60000000000001,-0.6026022625589869,-1.717067066229242,80.80000000000001,-0.6026022625589869,-1.8570891784711059,82.89999999999999,-0.6026022625589869,-1.9984178888361217,86.4,-0.6026022625589869,-2.1427962500931304,88.4,-0.6026022625589869,-2.290033577177766,89.9,-0.6026022625589869,-2.4396980795836205,91.4,-0.6026022625589869,-2.5909010226922957,93.4
20%,-0.3840546686057978,-0.6055339793843819,57.199999999999996,-0.3840546686057978,-0.6167262861136514,57.599999999999994,-0.3840546686057978,-0.645024623243791,58.099999999999994,-0.3840546686057978,-0.6887832569896741,60.0,-0.3840546686057978,-0.7462965591732891,61.0,-0.3840546686057978,-0.812918642412222,62.8,-0.3840546686057978,-0.8872403265500496,65.4,-0.3840546686057978,-0.9685350882606487,66.7,-0.3840546686057978,-1.0584987264651484,69.5,-0.3840546686057978,-1.1511804733693471,72.39999999999999,-0.3840546686057978,-1.2452042767114926,74.2,-0.3840546686057978,-1.3428594519724766,77.0,-0.3840546686057978,-1.4387715613861005,79.4,-0.3840546686057978,-1.5367291324662231,82.1,-0.3840546686057978,-1.6365264325259667,84.1,-0.3840546686057978,-1.7377033145762777,85.39999999999999
30%,-0.28021001218316094,-0.39536995962578386,54.0,-0.28021001218316094,-0.39644124531758956,53.800000000000004,-0.28021001218316094,-0.41441470012494197,54.2,-0.28021001218316094,-0.4412041916477327,55.50000000000001,-0.28021001218316094,-0.47522160210382247,56.699999999999996,-0.28021001218316094,-0.5183472755520834,58.099999999999994,-0.28021001218316094,-0.5642900567046787,59.199999999999996,-0.28021001218316094,-0.614836607379022,60.3,-0.28021001218316094,-0.666089316638268,61.4,-0.28021001218316094,-0.721692019793588,63.0,-0.28021001218316094,-0.7806416557522868,64.9,-0.28021001218316094,-0.8420739094922899,66.5,-0.28021001218316094,-0.9051514992682441,68.2,-0.28021001218316094,-0.9674691918796323,69.8,-0.28021001218316094,-1.0306173705843371,71.2,-0.28021001218316094,-1.0934232656375087,72.1
40%,0.09661673949711107,-0.1780691615094981,59.599999999999994,0.09661673949711107,-0.18128284313331122,59.4,0.09661673949711107,-0.19347058898621747,60.099999999999994,0.09661673949711107,-0.21072188577165782,60.0,0.09661673949711107,-0.2278888783672012,60.6,0.09661673949711107,-0.24964527640696135,61.3,0.09661673949711107,-0.271643814564101,61.3,0.09661673949711107,-0.2979701853121477,62.4,0.09661673949711107,-0.32171848679471154,63.5,0.09661673949711107,-0.34883884821819394,64.1,0.09661673949711107,-0.3768150881139934,64.1,0.09661673949711107,-0.4081576725023062,65.0,0.09661673949711107,-0.43570808397377975,66.10000000000001,0.09661673949711107,-0.4640392546731839,66.3,0.09661673949711107,-0.4934808750310737,66.60000000000001,0.09661673949711107,-0.52272311565628,67.5
50%,0.5705643946470591,-0.008787813510362426,66.60000000000001,0.5705643946470591,-0.006313324749225172,66.7,0.5705643946470591,-0.0035259462482340885,66.9,0.5705643946470591,-0.004707600035246468,66.9,0.5705643946470591,-0.008609145253876363,67.5,0.5705643946470591,-0.004541658871644108,67.30000000000001,0.5705643946470591,-0.0027148539466873914,66.8,0.5705643946470591,-0.0024314902210161513,66.9,0.5705643946470591,-0.0019102324358945388,68.10000000000001,0.5705643946470591,-0.000345996414150898,67.60000000000001,0.5705643946470591,0.0018878987707587225,67.4,0.5705643946470591,0.0028760979755714723,67.60000000000001,0.5705643946470591,0.003044498700493369,67.80000000000001,0.5705643946470591,0.004720866658410806,67.9,0.5705643946470591,0.0027856177075621957,67.7,0.5705643946470591,0.0009266638379989906,67.60000000000001
