,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (NSMCX),-0.3755605104294526,-0.3251071221136998,27.200000000000003,-0.3618323607765771,41.199999999999996,-0.4204062412067844,61.1,-0.4936614919130363,84.89999999999999,-0.5767832749378647,96.7,-0.6670513989823369,99.7,-0.7623748920123423,100.0,-0.861302465242874,100.0,-0.9629813970171608,100.0,-1.0664829243462586,100.0,-1.1713783216154638,100.0,-1.2774078653347338,100.0,-1.3841155882839407,100.0,-1.4912394859889906,100.0,-1.5988035434129952,100.0,-1.706810989324068,100.0
2nd Worst (SLPSX),-0.3609131138691302,-0.3085475058966131,25.1,-0.32974748514907537,32.300000000000004,-0.3726452694941443,48.6,-0.43090256599132987,75.2,-0.4996337233203756,93.4,-0.5749688785923182,99.5,-0.6552228444060256,99.8,-0.7381791559425422,100.0,-0.8236838854740501,100.0,-0.9105889960165825,100.0,-0.9986182960251249,100.0,-1.087493865177792,100.0,-1.177309504790824,100.0,-1.2680554201794516,100.0,-1.359621128006976,100.0,-1.4516369255520176,100.0
3rd Worst (NWQRX),-0.33702234895622063,-0.29337352678902867,27.800000000000004,-0.3077922734098721,32.9,-0.3432914970150229,47.599999999999994,-0.3942949676698072,73.4,-0.4558585938396143,93.30000000000001,-0.5233288482544413,99.1,-0.5961834909465861,99.7,-0.6720597301973568,100.0,-0.7492011546539986,100.0,-0.8286048238013384,100.0,-0.9090367956576403,100.0,-0.9904048020674706,100.0,-1.0722020587412795,100.0,-1.1546494699565568,100.0,-1.2373977151889595,100.0,-1.3206087389548347,100.0
4th Worst (WWSCX),-0.33672226307897724,-0.280716737109747,23.3,-0.29050926848837955,25.1,-0.3227664945067521,39.0,-0.3700232855357899,61.9,-0.42735426747361804,87.7,-0.4916852646040772,98.3,-0.5588942551761984,99.7,-0.6292284821131865,100.0,-0.7019355441382656,100.0,-0.7757640601362402,100.0,-0.8508247699343523,100.0,-0.9271106289313041,100.0,-1.0042617968983023,100.0,-1.0819489702827438,100.0,-1.159739551385616,100.0,-1.2375228018085922,100.0
5th Worst (NSMAX),-0.3118705900930462,-0.26259972829123696,25.1,-0.2745684668425356,28.9,-0.30531984905359477,43.5,-0.3507289656706431,68.10000000000001,-0.4044256718750273,90.0,-0.464795178379765,98.5,-0.52900174399061,99.7,-0.5958995308797315,100.0,-0.6649086602500713,100.0,-0.7356430493237618,100.0,-0.8074659380150992,100.0,-0.8795215042348539,100.0,-0.9526568278224433,100.0,-1.025910668068287,100.0,-1.099566026753916,100.0,-1.1735640735029693,100.0
10%,-0.17913980742494726,-0.12411578725759238,15.2,-0.1296670661765159,16.900000000000002,-0.1444510399328655,24.9,-0.16616283605737595,38.7,-0.19281944868006382,58.4,-0.22215993487692712,78.7,-0.2535643075616562,90.10000000000001,-0.28621741047923044,97.5,-0.3198571785650162,99.3,-0.3539263151431642,100.0,-0.38831137011395617,100.0,-0.4231135977765068,100.0,-0.45826002058443577,100.0,-0.4934880797201726,100.0,-0.5288916933799922,100.0,-0.5642531512747091,100.0
20%,-0.13380534832119012,-0.07755439625263975,14.7,-0.08134722769344686,15.4,-0.09101228055316395,19.3,-0.1050606201687286,28.199999999999996,-0.12166681716533576,39.7,-0.14025200075015742,54.50000000000001,-0.16010110570085725,68.4,-0.18052981576240323,81.3,-0.20149803786614556,89.9,-0.2228472160910527,95.5,-0.24458590457616175,97.7,-0.26644444843811665,99.3,-0.288478160637399,99.7,-0.3105081569108728,100.0,-0.33285259807413836,100.0,-0.355151453286509,100.0
30%,-0.09099390787014423,-0.04804638361484559,18.9,-0.050082875902953364,20.5,-0.05594481525080153,23.3,-0.06435221939933315,29.2,-0.07437712769598041,37.5,-0.08570139548708516,46.400000000000006,-0.09743664111304721,55.50000000000001,-0.10988080402997148,63.800000000000004,-0.12276742733366945,74.1,-0.13573170566392415,81.39999999999999,-0.1489060056548248,86.4,-0.16231394576229477,91.10000000000001,-0.17569249791019664,94.3,-0.18912160583967516,96.39999999999999,-0.20268975658017407,97.6,-0.21632570070788848,99.0
40%,-0.051080659547265955,-0.02338572103840815,28.799999999999997,-0.024397251828400406,29.4,-0.02725895630508119,31.900000000000002,-0.03124574177430824,34.599999999999994,-0.036196666471593246,38.3,-0.041579790790163156,41.9,-0.04735854140428286,47.9,-0.0532966797661296,52.7,-0.05923363471397097,56.699999999999996,-0.06547227844917454,60.6,-0.0715844894352138,66.4,-0.0779348394930699,71.0,-0.08426411520861621,74.3,-0.09048112021846871,78.0,-0.09694806346830892,81.0,-0.10348644666992929,83.39999999999999
50%,-0.0035250733981228577,-0.001246659456220032,48.699999999999996,-0.001273297307800249,49.9,-0.001352262044882217,48.9,-0.0013657265446065305,49.0,-0.0014447814396318104,48.699999999999996,-0.0013638781666022106,49.3,-0.0015076885887143215,49.3,-0.0015753603973769758,49.2,-0.0015684166424207403,49.7,-0.0017993026683743266,49.8,-0.0018355406485154866,49.8,-0.0018155836465512918,49.8,-0.0017401206349538633,49.3,-0.0017254401002228022,49.5,-0.0017700722314747937,50.1,-0.0017747906102937676,50.7
60%,0.038121615067603476,0.0207392264496186,64.4,0.021659806615702947,63.9,0.024560434289476532,61.4,0.028577200414638557,58.5,0.033277472004391254,54.6,0.038657384206637946,50.1,0.04423212452621787,45.7,0.050077299022652885,40.8,0.05615482142923983,37.0,0.062462568543290825,32.0,0.06872507490033061,27.500000000000004,0.07503213983568856,23.9,0.08135626917465032,20.7,0.08766570004288417,17.7,0.09408676537133143,15.5,0.10052066631454813,12.9
70%,0.07824257542362162,0.04464409641522368,75.0,0.04694716985991431,73.8,0.052653140715501354,70.3,0.06112873398663786,64.4,0.07114709920042266,56.2,0.08217850310248687,47.699999999999996,0.09413058225971492,39.300000000000004,0.10659871609024402,30.5,0.11927462654073136,22.5,0.1319483657969119,15.5,0.14503972866484474,10.5,0.15823564622370923,6.0,0.17165090258126162,3.5000000000000004,0.18519126832125654,1.9,0.19873040315700116,0.7000000000000001,0.2123036889262403,0.3
80%,0.13445335337121497,0.07406516681100143,87.1,0.07750756813459185,86.0,0.08711723402757825,81.8,0.10099038375298358,75.4,0.11747472005451348,63.6,0.1360010202645718,51.0,0.1556210601963428,36.6,0.17598265301719318,23.3,0.19686657266862892,12.7,0.21810644602830342,5.5,0.239561478632716,2.1,0.261332121500488,1.0,0.28324512974335075,0.1,0.30541464393675194,0.0,0.32766380416006735,0.0,0.3499942385380864,0.0
90%,0.17684621577769252,0.11998385091219026,84.89999999999999,0.12483597843167792,82.6,0.1396445468204392,74.8,0.16160049710891064,62.0,0.1884483182190911,44.0,0.2175078507302236,24.8,0.2485448985695619,10.6,0.28115815730280996,2.5,0.3141414884968741,0.4,0.3483135686762006,0.1,0.38295256389781623,0.0,0.41778828700237863,0.0,0.45294068127521114,0.0,0.4880341671598984,0.0,0.5233005214526247,0.0,0.5588756687885337,0.0
5th Best (WICVX),0.30314461249805513,0.2603958645761546,73.2,0.2707689565016154,70.19999999999999,0.3004580229720513,55.1,0.3466592718490902,32.4,0.4008583771332484,8.7,0.4615747990934938,1.4000000000000001,0.525180958880761,0.0,0.5920121836726157,0.0,0.6607568202022689,0.0,0.7307924079427532,0.0,0.802263619905407,0.0,0.8737714547103622,0.0,0.9455892852910878,0.0,1.018511914835809,0.0,1.091957235520889,0.0,1.1658596249950566,0.0
4th Best (RSPYX),0.3148681962141721,0.27542934372962447,71.1,0.28665379905084376,68.0,0.31853886690574995,52.6,0.3658759999875276,29.2,0.42327073452684044,7.6,0.48681234307083826,1.2,0.5537201359354776,0.0,0.623887000714031,0.0,0.697103247105176,0.0,0.7709767590404684,0.0,0.8452547140785036,0.0,0.9207134834035083,0.0,0.9967356048431614,0.0,1.0730491991424287,0.0,1.1498502319948947,0.0,1.2272009969514144,0.0
3rd Best (KSOAX),0.3275714363350356,0.2907751776454608,70.39999999999999,0.3038352719054273,65.60000000000001,0.3389341673731518,49.8,0.3898267980770192,25.5,0.4518138731759909,5.0,0.5194997786291758,0.7000000000000001,0.5923928325662534,0.0,0.6684720698876331,0.0,0.746170120157068,0.0,0.8252275963873343,0.0,0.9052997532635332,0.0,0.9863748726774619,0.0,1.068354133450161,0.0,1.150590844284594,0.0,1.2331459693753912,0.0,1.3159790161022245,0.0
2nd Best (KSCOX),0.35020248730956416,0.3057638751096772,71.39999999999999,0.3273311881444843,64.9,0.36906319555447575,47.699999999999996,0.4268041683045933,24.9,0.4950517829958699,5.4,0.57107975668317,0.4,0.6522175201959031,0.0,0.7371416013676835,0.0,0.8233636707175204,0.0,0.911057306769716,0.0,1.0000868801745124,0.0,1.0895578170211881,0.0,1.1794638705518197,0.0,1.2702033462543707,0.0,1.3614170603734115,0.0,1.4529337661748054,0.0
Best (KSCYX),0.3611807986628923,0.3271450094210445,67.9,0.363333240575869,54.6,0.4239113321551543,32.800000000000004,0.49871876818145905,14.399999999999999,0.5837422387154196,2.1,0.6758431534672243,0.2,0.7726511760750824,0.0,0.8726285295366636,0.0,0.9753179621911956,0.0,1.080257575440316,0.0,1.1867130056179884,0.0,1.2944883931764029,0.0,1.4031232984276811,0.0,1.5123655210117737,0.0,1.62207991233251,0.0,1.7321752998583435,0.0
