,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (RYROX),-12.504999680505598,-3.5310345309266222,0.0,-12.504999680505598,-3.9583823304733503,0.0,-12.504999680505598,-4.624878078144764,0.0,-12.504999680505598,-5.448721843415879,0.0,-12.504999680505598,-6.387953184750947,0.0,-12.504999680505598,-7.40685832285927,0.1,-12.504999680505598,-8.475988018906117,1.0,-12.504999680505598,-9.580143427368078,5.4,-12.504999680505598,-10.708811461941886,16.6,-12.504999680505598,-11.85391964775092,33.0,-12.504999680505598,-13.013373226979716,56.10000000000001,-12.504999680505598,-14.183957921318866,74.7,-12.504999680505598,-15.362686130340663,87.3,-12.504999680505598,-16.5469050755872,95.39999999999999,-12.504999680505598,-17.738980013518862,98.8,-12.504999680505598,-18.936127108538347,99.9
2nd Worst (SLPSX),-11.944322184731794,-3.3513171304565716,0.0,-11.944322184731794,-3.6304788350450936,0.0,-11.944322184731794,-4.157712534688018,0.0,-11.944322184731794,-4.858603785027607,0.0,-11.944322184731794,-5.666437579200599,0.0,-11.944322184731794,-6.547989350565937,0.0,-11.944322184731794,-7.481812485533712,0.0,-11.944322184731794,-8.447443360158653,0.6,-11.944322184731794,-9.435361947568909,5.1,-11.944322184731794,-10.440836698690298,15.5,-11.944322184731794,-11.456689053626103,35.0,-11.944322184731794,-12.480750565756068,59.8,-11.944322184731794,-13.510582166283154,80.80000000000001,-11.944322184731794,-14.54890851028929,92.5,-11.944322184731794,-15.590494596266314,97.89999999999999,-11.944322184731794,-16.634683336397263,99.7
3rd Worst (RYRRX),-9.628748898918552,-3.23840405433054,0.0,-9.628748898918552,-3.449874579253545,0.0,-9.628748898918552,-3.904317759453729,0.0,-9.628748898918552,-4.537227735999056,0.0,-9.628748898918552,-5.275984949927982,0.0,-9.628748898918552,-6.087229791860915,0.2,-9.628748898918552,-6.946645246365822,1.6,-9.628748898918552,-7.845120359213697,8.0,-9.628748898918552,-8.765641508245823,22.3,-9.628748898918552,-9.700692520900954,49.8,-9.628748898918552,-10.647475093122019,75.8,-9.628748898918552,-11.607093359212987,92.10000000000001,-9.628748898918552,-12.578010059276778,98.0,-9.628748898918552,-13.552387548055274,99.7,-9.628748898918552,-14.529548250230963,100.0,-9.628748898918552,-15.511090640416644,100.0
4th Worst (RYRHX),-9.54836424868441,-3.1604310962063664,0.0,-9.54836424868441,-3.3125419092660606,0.0,-9.54836424868441,-3.7212815445819962,0.0,-9.54836424868441,-4.309503059481636,0.0,-9.54836424868441,-5.014997702218302,0.0,-9.54836424868441,-5.780546173151757,0.0,-9.54836424868441,-6.60105552670714,0.8999999999999999,-9.54836424868441,-7.449968093764166,4.2,-9.54836424868441,-8.316960907863166,14.000000000000002,-9.54836424868441,-9.203078569166166,36.199999999999996,-9.54836424868441,-10.1029826833163,64.1,-9.54836424868441,-11.012183925664234,87.4,-9.54836424868441,-11.929830036742208,96.39999999999999,-9.54836424868441,-12.854875636276788,99.1,-9.54836424868441,-13.78424101662335,99.8,-9.54836424868441,-14.716315249508865,100.0
5th Worst (SLPIX),-9.151830587781031,-3.029502775982558,0.0,-9.151830587781031,-3.180274577408712,0.0,-9.151830587781031,-3.576572829909645,0.0,-9.151830587781031,-4.13281974171852,0.0,-9.151830587781031,-4.804588069621455,0.0,-9.151830587781031,-5.544241848364813,0.0,-9.151830587781031,-6.324786009746469,0.8999999999999999,-9.151830587781031,-7.137529725569844,3.6999999999999997,-9.151830587781031,-7.973007587979544,13.700000000000001,-9.151830587781031,-8.824844725496831,34.5,-9.151830587781031,-9.693487103387021,64.9,-9.151830587781031,-10.567718074706322,87.6,-9.151830587781031,-11.445441299629293,96.3,-9.151830587781031,-12.327937011559278,99.1,-9.151830587781031,-13.214641152345113,100.0,-9.151830587781031,-14.106937685205219,100.0
10%,-2.5900719559850844,-1.657375828166013,10.299999999999999,-2.5900719559850844,-1.7333513208959972,12.2,-2.5900719559850844,-1.9404829825058239,17.299999999999997,-2.5900719559850844,-2.2349968387957544,29.2,-2.5900719559850844,-2.5918911630722423,48.3,-2.5900719559850844,-2.9846522013935846,67.5,-2.5900719559850844,-3.40404056981874,85.39999999999999,-2.5900719559850844,-3.841105195860851,95.1,-2.5900719559850844,-4.290040482784272,98.8,-2.5900719559850844,-4.742433142301635,99.9,-2.5900719559850844,-5.201324592455674,100.0,-2.5900719559850844,-5.671033140205729,100.0,-2.5900719559850844,-6.140980241718467,100.0,-2.5900719559850844,-6.614644992040865,100.0,-2.5900719559850844,-7.090039282880932,100.0,-2.5900719559850844,-7.568705870852951,100.0
20%,-1.7848835949687931,-1.0940828538523848,16.3,-1.7848835949687931,-1.1420188985090869,18.2,-1.7848835949687931,-1.2752916555575988,22.8,-1.7848835949687931,-1.4704271962205904,31.7,-1.7848835949687931,-1.703956837934861,43.8,-1.7848835949687931,-1.9630338976811224,59.3,-1.7848835949687931,-2.2395557749819544,71.8,-1.7848835949687931,-2.528370791550234,83.89999999999999,-1.7848835949687931,-2.8189834894543746,91.3,-1.7848835949687931,-3.1189390134462354,96.5,-1.7848835949687931,-3.4224044957637214,98.0,-1.7848835949687931,-3.727202244577924,99.3,-1.7848835949687931,-4.037361298514704,99.8,-1.7848835949687931,-4.347893174644256,100.0,-1.7848835949687931,-4.6562813670742855,100.0,-1.7848835949687931,-4.96725582948446,100.0
30%,-1.324680404746812,-0.6836375483146531,18.7,-1.324680404746812,-0.71525550189078,19.900000000000002,-1.324680404746812,-0.8017904309469279,23.3,-1.324680404746812,-0.9252534406078817,28.299999999999997,-1.324680404746812,-1.0668158696815286,35.099999999999994,-1.324680404746812,-1.2273816279580936,44.0,-1.324680404746812,-1.3980826486516071,53.400000000000006,-1.324680404746812,-1.575688349005503,63.3,-1.324680404746812,-1.7556500752707216,71.8,-1.324680404746812,-1.9394755182440142,79.9,-1.324680404746812,-2.1277247428000705,85.5,-1.324680404746812,-2.3186257897054974,90.3,-1.324680404746812,-2.511833539190295,93.4,-1.324680404746812,-2.7054510553711726,95.7,-1.324680404746812,-2.8992335203376505,97.39999999999999,-1.324680404746812,-3.093962395272754,98.6
40%,-0.575202278117632,-0.3449618270675438,37.0,-0.575202278117632,-0.35867288366187494,37.7,-0.575202278117632,-0.39936961495677814,39.800000000000004,-0.575202278117632,-0.45750496066240054,42.8,-0.575202278117632,-0.5274083453837227,46.7,-0.575202278117632,-0.6055746127083586,51.6,-0.575202278117632,-0.6879810603304843,56.00000000000001,-0.575202278117632,-0.773263887651051,59.8,-0.575202278117632,-0.8618983710695177,64.60000000000001,-0.575202278117632,-0.950348096070804,70.39999999999999,-0.575202278117632,-1.0354436262374178,74.2,-0.575202278117632,-1.1259512234845246,77.8,-0.575202278117632,-1.216904185086058,80.60000000000001,-0.575202278117632,-1.311203324760158,83.5,-0.575202278117632,-1.4024379243486185,85.6,-0.575202278117632,-1.4948977946194728,88.0
50%,-0.08880743618114578,-0.027890647114357497,46.9,-0.08880743618114578,-0.029399732185423362,47.4,-0.08880743618114578,-0.028532648291795304,46.9,-0.08880743618114578,-0.02836493203937173,46.5,-0.08880743618114578,-0.028321181447156587,46.2,-0.08880743618114578,-0.028494194109513937,46.2,-0.08880743618114578,-0.029648779803774283,47.3,-0.08880743618114578,-0.028174288967597962,47.199999999999996,-0.08880743618114578,-0.029730833268308565,46.800000000000004,-0.08880743618114578,-0.031380756108121015,47.199999999999996,-0.08880743618114578,-0.033916336029583036,46.800000000000004,-0.08880743618114578,-0.03465702517174629,47.5,-0.08880743618114578,-0.03246032627450353,47.3,-0.08880743618114578,-0.03182043638536494,47.3,-0.08880743618114578,-0.03367261708414006,47.699999999999996,-0.08880743618114578,-0.03560775515032298,47.699999999999996
