,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (NYSAX),-0.7530803834725673,-0.372343305274199,0.5,-0.7530803834725673,-0.40410492450325053,0.5,-0.7530803834725673,-0.4524027963538483,1.7000000000000002,-0.7530803834725673,-0.5146026298642314,4.3,-0.7530803834725673,-0.5880330583661401,10.4,-0.7530803834725673,-0.6685318228143718,24.099999999999998,-0.7530803834725673,-0.7545317244193348,44.3,-0.7530803834725673,-0.8452986116144603,66.9,-0.7530803834725673,-0.9390960083594616,86.2,-0.7530803834725673,-1.0348186476875298,95.19999999999999,-0.7530803834725673,-1.1323400511725326,99.0,-0.7530803834725673,-1.230810387523678,99.9,-0.7530803834725673,-1.3303713359304894,100.0,-0.7530803834725673,-1.4307015357869308,100.0,-0.7530803834725673,-1.5315933025770314,100.0,-0.7530803834725673,-1.6329397621753483,100.0
2nd Worst (SSDCX),-0.4351094053010735,-0.3436529823089976,16.7,-0.4351094053010735,-0.36104763728267003,19.7,-0.4351094053010735,-0.39815999959983805,33.0,-0.4351094053010735,-0.4490021532793139,54.2,-0.4351094053010735,-0.5096664442306548,77.5,-0.4351094053010735,-0.5778158831291775,91.9,-0.4351094053010735,-0.6515070936701691,98.1,-0.4351094053010735,-0.7279107269049735,99.9,-0.4351094053010735,-0.8069027098613129,100.0,-0.4351094053010735,-0.8879311468572615,100.0,-0.4351094053010735,-0.9702063751405615,100.0,-0.4351094053010735,-1.0539708501933387,100.0,-0.4351094053010735,-1.1384132854277695,100.0,-0.4351094053010735,-1.2232818031543662,100.0,-0.4351094053010735,-1.3090114734667764,100.0,-0.4351094053010735,-1.3952575161859193,100.0
3rd Worst (SSDGX),-0.3945697204696052,-0.3213885583979356,19.5,-0.3945697204696052,-0.3376159593813477,24.7,-0.3945697204696052,-0.3697390594347308,37.5,-0.3945697204696052,-0.41458389947821633,58.4,-0.3945697204696052,-0.46933140510825183,79.0,-0.3945697204696052,-0.5314887946700713,93.4,-0.3945697204696052,-0.5978853925056573,98.4,-0.3945697204696052,-0.6681842902030669,99.9,-0.3945697204696052,-0.7407637889229579,100.0,-0.3945697204696052,-0.8156328702654057,100.0,-0.3945697204696052,-0.8923771706671539,100.0,-0.3945697204696052,-0.9697289965910945,100.0,-0.3945697204696052,-1.0476900009685286,100.0,-0.3945697204696052,-1.1266966108703282,100.0,-0.3945697204696052,-1.2059038514535734,100.0,-0.3945697204696052,-1.285520086752464,100.0
4th Worst (SSDAX),-0.3726748468496872,-0.3100027811677566,23.599999999999998,-0.3726748468496872,-0.32149367387219213,26.6,-0.3726748468496872,-0.3498426392287661,37.4,-0.3726748468496872,-0.3911297241618868,57.9,-0.3726748468496872,-0.44195329010780754,78.0,-0.3726748468496872,-0.499783054758184,92.60000000000001,-0.3726748468496872,-0.5622509820339734,98.4,-0.3726748468496872,-0.6283229802063744,99.9,-0.3726748468496872,-0.697209128107583,100.0,-0.3726748468496872,-0.7672110931927989,100.0,-0.3726748468496872,-0.838029089923542,100.0,-0.3726748468496872,-0.910221036143389,100.0,-0.3726748468496872,-0.9832305202949574,100.0,-0.3726748468496872,-1.0567653401687571,100.0,-0.3726748468496872,-1.1308578042373014,100.0,-0.3726748468496872,-1.2053709419866219,100.0
5th Worst (SSDZX),-0.3666876861629791,-0.29824864295855363,21.6,-0.3666876861629791,-0.30790628806183884,23.5,-0.3666876861629791,-0.33426634131888305,33.0,-0.3666876861629791,-0.37331309984709865,52.300000000000004,-0.3666876861629791,-0.4214716749842571,74.2,-0.3666876861629791,-0.4763768845788676,90.2,-0.3666876861629791,-0.535629764011348,98.1,-0.3666876861629791,-0.5984395063054061,99.9,-0.3666876861629791,-0.6635026280620782,100.0,-0.3666876861629791,-0.7308424823323036,100.0,-0.3666876861629791,-0.7991807055218858,100.0,-0.3666876861629791,-0.8678728680042238,100.0,-0.3666876861629791,-0.9373239258015506,100.0,-0.3666876861629791,-1.0079522851294913,100.0,-0.3666876861629791,-1.0791918141695327,100.0,-0.3666876861629791,-1.1506885815220735,100.0
10%,-0.18652321945566716,-0.1486697512852881,27.800000000000004,-0.18652321945566716,-0.15332372892421772,29.9,-0.18652321945566716,-0.16635051514874413,37.4,-0.18652321945566716,-0.18590567111456285,49.1,-0.18652321945566716,-0.2099138734649395,63.2,-0.18652321945566716,-0.23737204784844299,77.5,-0.18652321945566716,-0.2668728710872005,88.8,-0.18652321945566716,-0.2978893899621271,94.89999999999999,-0.18652321945566716,-0.32984276538255214,98.4,-0.18652321945566716,-0.3627174344766721,99.8,-0.18652321945566716,-0.39625454513616526,99.9,-0.18652321945566716,-0.4302448288447374,100.0,-0.18652321945566716,-0.46478819547283523,100.0,-0.18652321945566716,-0.4993051584972889,100.0,-0.18652321945566716,-0.5340890828589508,100.0,-0.18652321945566716,-0.5693494467896533,100.0
20%,-0.10873982889881677,-0.09624180005830425,41.9,-0.10873982889881677,-0.09901953213659664,43.1,-0.10873982889881677,-0.10746727746666815,47.699999999999996,-0.10873982889881677,-0.11985252547043822,55.800000000000004,-0.10873982889881677,-0.13527835514992664,65.3,-0.10873982889881677,-0.15274818740053672,76.0,-0.10873982889881677,-0.17161161106950992,83.7,-0.10873982889881677,-0.1916861432064772,90.10000000000001,-0.10873982889881677,-0.21244665971360424,94.1,-0.10873982889881677,-0.23375186150419688,97.6,-0.10873982889881677,-0.2556039637741353,98.8,-0.10873982889881677,-0.27754062603911245,99.6,-0.10873982889881677,-0.2997726199668335,99.9,-0.10873982889881677,-0.32230540422026943,100.0,-0.10873982889881677,-0.34488894670602893,100.0,-0.10873982889881677,-0.367599674872657,100.0
30%,-0.06858722822569038,-0.059924077702627275,44.9,-0.06858722822569038,-0.06190974723580558,45.1,-0.06858722822569038,-0.06697170447659881,49.1,-0.06858722822569038,-0.07449541984136684,54.1,-0.06858722822569038,-0.0838764728241871,59.599999999999994,-0.06858722822569038,-0.09475281252684634,65.8,-0.06858722822569038,-0.10634400331249043,73.4,-0.06858722822569038,-0.11843813764367762,80.10000000000001,-0.06858722822569038,-0.1310264276164589,85.0,-0.06858722822569038,-0.14403858139388584,88.6,-0.06858722822569038,-0.1570780705836076,90.9,-0.06858722822569038,-0.17029896244700668,93.89999999999999,-0.06858722822569038,-0.18398550870727298,95.6,-0.06858722822569038,-0.19782635380298075,97.7,-0.06858722822569038,-0.21166480984466113,98.6,-0.06858722822569038,-0.22535244322330591,99.4
40%,-0.039691097582262004,-0.02972006644604602,43.1,-0.039691097582262004,-0.03052129497720974,43.6,-0.039691097582262004,-0.03289365466996122,45.0,-0.039691097582262004,-0.03657324809086362,47.199999999999996,-0.039691097582262004,-0.041134274530827165,51.5,-0.039691097582262004,-0.04627567016687678,54.300000000000004,-0.039691097582262004,-0.0519198465522106,58.699999999999996,-0.039691097582262004,-0.05787310636930542,61.6,-0.039691097582262004,-0.06389061483589456,65.10000000000001,-0.039691097582262004,-0.07018988845510174,69.69999999999999,-0.039691097582262004,-0.07652834945697007,72.89999999999999,-0.039691097582262004,-0.08297934160282176,77.3,-0.039691097582262004,-0.0895096720281501,79.80000000000001,-0.039691097582262004,-0.09612373838161241,82.0,-0.039691097582262004,-0.10269297867416352,83.89999999999999,-0.039691097582262004,-0.109216392014937,85.7
50%,-0.007295530583156781,-0.0012334983334038212,45.1,-0.007295530583156781,-0.001292670479622501,45.2,-0.007295530583156781,-0.0012584416901020169,46.0,-0.007295530583156781,-0.0014535920355755762,46.400000000000006,-0.007295530583156781,-0.001515231282287472,46.300000000000004,-0.007295530583156781,-0.00161472546343639,46.9,-0.007295530583156781,-0.0017774617086815949,46.7,-0.007295530583156781,-0.001864413442836757,47.4,-0.007295530583156781,-0.0017364404972125432,47.9,-0.007295530583156781,-0.0018991762054871868,47.3,-0.007295530583156781,-0.0020307214055858796,47.9,-0.007295530583156781,-0.0020058883893942885,47.5,-0.007295530583156781,-0.002024387927537556,47.4,-0.007295530583156781,-0.002209861525474159,48.5,-0.007295530583156781,-0.002125903279510799,48.5,-0.007295530583156781,-0.00217080786138577,48.6
60%,0.02205133591011984,0.026464859350708393,47.5,0.02205133591011984,0.02749981295772341,45.9,0.02205133591011984,0.0299538114217257,45.0,0.02205133591011984,0.033553575524267444,43.0,0.02205133591011984,0.03792356972837875,40.6,0.02205133591011984,0.04298188954091287,38.0,0.02205133591011984,0.04831299235430463,34.8,0.02205133591011984,0.054137824732508805,29.599999999999998,0.02205133591011984,0.0601597304286495,26.400000000000002,0.02205133591011984,0.06618571734941493,23.599999999999998,0.02205133591011984,0.07254295122553435,21.7,0.02205133591011984,0.07897537958977904,19.2,0.02205133591011984,0.08543843251571706,16.2,0.02205133591011984,0.0919295724094077,13.8,0.02205133591011984,0.09839417911508258,11.4,0.02205133591011984,0.10495738111749735,9.2
70%,0.06579823160835206,0.056623967200980486,56.00000000000001,0.06579823160835206,0.05850689734423863,54.800000000000004,0.06579823160835206,0.06329367312692281,51.800000000000004,0.06579823160835206,0.07084989186081281,47.5,0.06579823160835206,0.08029399051842873,42.0,0.06579823160835206,0.09102384901967792,36.0,0.06579823160835206,0.10256945190208024,28.799999999999997,0.06579823160835206,0.11443756581269615,22.8,0.06579823160835206,0.1268855668932029,16.7,0.06579823160835206,0.13970032764619947,11.1,0.06579823160835206,0.15265943430831033,7.9,0.06579823160835206,0.16597029998701646,4.8,0.06579823160835206,0.1793702563148518,2.7,0.06579823160835206,0.19297642942937424,1.7000000000000002,0.06579823160835206,0.2064438239334089,0.8999999999999999,0.06579823160835206,0.2200961755021878,0.4
80%,0.11837603310590303,0.09328293216402288,66.5,0.11837603310590303,0.09587361618378806,64.60000000000001,0.11837603310590303,0.10371129062883208,59.699999999999996,0.11837603310590303,0.11590691587468172,52.800000000000004,0.11837603310590303,0.1311223582661146,43.9,0.11837603310590303,0.14857402406199527,32.7,0.11837603310590303,0.1672548130741094,23.799999999999997,0.11837603310590303,0.18694643898340968,14.2,0.11837603310590303,0.2077674813035022,7.5,0.11837603310590303,0.22882442539588232,3.6999999999999997,0.11837603310590303,0.2503040071801909,1.3,0.11837603310590303,0.272176540099335,0.7000000000000001,0.11837603310590303,0.2942359295900828,0.2,0.11837603310590303,0.31641521543484674,0.0,0.11837603310590303,0.33885014279416237,0.0,0.11837603310590303,0.361296253396442,0.0
90%,0.20273112357363685,0.1453008011883973,80.7,0.20273112357363685,0.14973157622898417,79.4,0.20273112357363685,0.16269015904256412,74.9,0.20273112357363685,0.18216591146014818,63.800000000000004,0.20273112357363685,0.20609285357018428,50.8,0.20273112357363685,0.23313627998258998,33.800000000000004,0.20273112357363685,0.2624018271263534,18.8,0.20273112357363685,0.29332383179848354,7.8,0.20273112357363685,0.32591442060403597,2.5,0.20273112357363685,0.3590761787712282,0.4,0.20273112357363685,0.39289582248377786,0.0,0.20273112357363685,0.4270880261530145,0.0,0.20273112357363685,0.46159016953703874,0.0,0.20273112357363685,0.49640263897292203,0.0,0.20273112357363685,0.5314241946640802,0.0,0.20273112357363685,0.5666856390914038,0.0
5th Best (MERDX),0.3355509273364542,0.29577629214957857,69.69999999999999,0.3355509273364542,0.30434227809863285,66.7,0.3355509273364542,0.33115322503464784,55.60000000000001,0.3355509273364542,0.370840384160715,36.6,0.3355509273364542,0.4194448204333427,16.3,0.3355509273364542,0.4746809550026436,4.9,0.3355509273364542,0.5359988567825955,0.4,0.3355509273364542,0.5996686059450635,0.0,0.3355509273364542,0.6654783388370734,0.0,0.3355509273364542,0.73424236583378,0.0,0.3355509273364542,0.8035158907412103,0.0,0.3355509273364542,0.8734114114808559,0.0,0.3355509273364542,0.943660885013234,0.0,0.3355509273364542,1.0146961851850842,0.0,0.3355509273364542,1.0864566145078116,0.0,0.3355509273364542,1.158724579878885,0.0
4th Best (WBSIX),0.3381264909668498,0.3070509490653787,65.9,0.3381264909668498,0.31779764938603183,61.7,0.3381264909668498,0.3464822565823928,49.7,0.3381264909668498,0.38904667947728117,30.4,0.3381264909668498,0.4401934171931645,13.0,0.3381264909668498,0.49856183095764406,3.6999999999999997,0.3381264909668498,0.5623357188724155,0.2,0.3381264909668498,0.629864170961051,0.0,0.3381264909668498,0.699129481184719,0.0,0.3381264909668498,0.7693933535553843,0.0,0.3381264909668498,0.8415269621675404,0.0,0.3381264909668498,0.9149081864628127,0.0,0.3381264909668498,0.9892660458478105,0.0,0.3381264909668498,1.0640803013565805,0.0,0.3381264909668498,1.1395241456959986,0.0,0.3381264909668498,1.2152352678576006,0.0
3rd Best (WGROX),0.3389077052915542,0.3192582065540823,61.8,0.3389077052915542,0.3344999683007025,56.2,0.3389077052915542,0.366446654543812,42.3,0.3389077052915542,0.4119905502146662,23.599999999999998,0.3389077052915542,0.4676560632608921,8.1,0.3389077052915542,0.5304867645688572,1.6,0.3389077052915542,0.5970193450727848,0.2,0.3389077052915542,0.6678409014818238,0.0,0.3389077052915542,0.7416163356460427,0.0,0.3389077052915542,0.8168805301385292,0.0,0.3389077052915542,0.893316245024728,0.0,0.3389077052915542,0.9707866712702644,0.0,0.3389077052915542,1.0491442200761654,0.0,0.3389077052915542,1.1282862138399428,0.0,0.3389077052915542,1.207667489635984,0.0,0.3389077052915542,1.2875225999252082,0.0
2nd Best (WIGRX),0.3419779862852739,0.33881520239884855,56.3,0.3419779862852739,0.3578023275700649,47.9,0.3419779862852739,0.39506859744984313,31.8,0.3419779862852739,0.4458499849076073,15.5,0.3419779862852739,0.5066102780937249,4.3,0.3419779862852739,0.5747568596019963,0.7000000000000001,0.3419779862852739,0.6487585146668189,0.0,0.3419779862852739,0.7264528312068795,0.0,0.3419779862852739,0.8069684947955991,0.0,0.3419779862852739,0.8895318932232605,0.0,0.3419779862852739,0.9736661026797769,0.0,0.3419779862852739,1.0591835598230481,0.0,0.3419779862852739,1.1453498279197043,0.0,0.3419779862852739,1.2317940177175801,0.0,0.3419779862852739,1.3190137019223072,0.0,0.3419779862852739,1.406513631335739,0.0
