,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (SSDCX),-4.869607594131338,-3.524100519687536,7.3999999999999995,-4.869607594131338,-3.858722762421112,13.8,-4.869607594131338,-4.362271331307171,27.1,-4.869607594131338,-4.9876566910959355,51.9,-4.869607594131338,-5.707380005855057,76.2,-4.869607594131338,-6.491487876475987,91.60000000000001,-4.869607594131338,-7.3232897873688465,98.3,-4.869607594131338,-8.191886589654514,99.6,-4.869607594131338,-9.091966920246282,99.9,-4.869607594131338,-10.013341492072291,100.0,-4.869607594131338,-10.949761669306891,100.0,-4.869607594131338,-11.896395675951117,100.0,-4.869607594131338,-12.851339497718731,100.0,-4.869607594131338,-13.813944978957764,100.0,-4.869607594131338,-14.782192103281629,100.0,-4.869607594131338,-15.754920699508402,100.0
2nd Worst (OCSGX),-4.630850945716711,-3.4245883368397494,9.700000000000001,-4.630850945716711,-3.6001612408921435,12.6,-4.630850945716711,-3.9667821852929346,22.1,-4.630850945716711,-4.471287713761895,40.6,-4.630850945716711,-5.072240208637368,66.2,-4.630850945716711,-5.758663459906185,87.8,-4.630850945716711,-6.501348817940625,96.8,-4.630850945716711,-7.280326962845335,99.6,-4.630850945716711,-8.080522867349977,100.0,-4.630850945716711,-8.894033806664925,100.0,-4.630850945716711,-9.720198791201257,100.0,-4.630850945716711,-10.557468905558805,100.0,-4.630850945716711,-11.402043428608337,100.0,-4.630850945716711,-12.254481554497154,100.0,-4.630850945716711,-13.11187691059853,100.0,-4.630850945716711,-13.972803931381392,100.0
3rd Worst (SSDGX),-4.420954620350552,-3.2918356328568366,11.3,-4.420954620350552,-3.420324443713018,11.899999999999999,-4.420954620350552,-3.7344263932461685,20.200000000000003,-4.420954620350552,-4.192464028636951,37.1,-4.420954620350552,-4.752975792694705,63.4,-4.420954620350552,-5.389762691526947,85.1,-4.420954620350552,-6.075893065460617,96.5,-4.420954620350552,-6.792370703211923,99.5,-4.420954620350552,-7.533898770241886,100.0,-4.420954620350552,-8.29380590143561,100.0,-4.420954620350552,-9.068959858866329,100.0,-4.420954620350552,-9.853928358600353,100.0,-4.420954620350552,-10.646452670049655,100.0,-4.420954620350552,-11.441224570820927,100.0,-4.420954620350552,-12.241240465621136,100.0,-4.420954620350552,-13.044881132228635,100.0
4th Worst (SSDAX),-4.175013611031951,-3.1964696566263497,13.100000000000001,-4.175013611031951,-3.2886780006191056,15.299999999999999,-4.175013611031951,-3.565242152705396,23.0,-4.175013611031951,-3.998744614829616,40.300000000000004,-4.175013611031951,-4.538784717808052,67.2,-4.175013611031951,-5.1407442427834855,86.0,-4.175013611031951,-5.788093223193998,96.39999999999999,-4.175013611031951,-6.466505745308539,99.6,-4.175013611031951,-7.166273887565749,100.0,-4.175013611031951,-7.891378790692264,100.0,-4.175013611031951,-8.6277475084053,100.0,-4.175013611031951,-9.372935864108905,100.0,-4.175013611031951,-10.125077189639626,100.0,-4.175013611031951,-10.882956256466635,100.0,-4.175013611031951,-11.644051592273499,100.0,-4.175013611031951,-12.41049856007475,100.0
5th Worst (AGSCX),-4.1299352331114845,-3.0785945441650973,12.0,-4.1299352331114845,-3.1664166874132316,13.700000000000001,-4.1299352331114845,-3.435268828788573,20.200000000000003,-4.1299352331114845,-3.842406681226381,36.6,-4.1299352331114845,-4.3614697051133335,59.5,-4.1299352331114845,-4.941197863915257,82.5,-4.1299352331114845,-5.557505034495259,95.19999999999999,-4.1299352331114845,-6.205934085262452,99.1,-4.1299352331114845,-6.885625954665313,100.0,-4.1299352331114845,-7.579751663373278,100.0,-4.1299352331114845,-8.286371579093197,100.0,-4.1299352331114845,-9.001961297838392,100.0,-4.1299352331114845,-9.720275695688231,100.0,-4.1299352331114845,-10.447214279598581,100.0,-4.1299352331114845,-11.181642479173632,100.0,-4.1299352331114845,-11.920628630911162,100.0
10%,-2.2079553212620273,-1.6503186362255329,21.5,-2.2079553212620273,-1.7007133679927862,24.4,-2.2079553212620273,-1.842581330598515,30.0,-2.2079553212620273,-2.0551821685990626,41.099999999999994,-2.2079553212620273,-2.320418330035019,56.00000000000001,-2.2079553212620273,-2.6229416410367294,70.5,-2.2079553212620273,-2.949569755764347,83.3,-2.2079553212620273,-3.295339814545671,93.0,-2.2079553212620273,-3.6501587037985757,97.7,-2.2079553212620273,-4.015682226623008,99.3,-2.2079553212620273,-4.385040424245095,99.8,-2.2079553212620273,-4.761786639269598,100.0,-2.2079553212620273,-5.1423755680529855,100.0,-2.2079553212620273,-5.527652179225013,100.0,-2.2079553212620273,-5.9136145471601775,100.0,-2.2079553212620273,-6.304270050362303,100.0
20%,-1.2080450446871747,-1.087636329383395,43.0,-1.2080450446871747,-1.1203900789068342,46.0,-1.2080450446871747,-1.2154010019433545,49.5,-1.2080450446871747,-1.3530639902384187,57.8,-1.2080450446871747,-1.5272511678271516,66.5,-1.2080450446871747,-1.726058356596308,76.4,-1.2080450446871747,-1.9419571680369614,84.6,-1.2080450446871747,-2.1633237134544663,91.0,-1.2080450446871747,-2.3951276464001854,94.5,-1.2080450446871747,-2.6345730187026537,97.5,-1.2080450446871747,-2.8766403184035054,99.1,-1.2080450446871747,-3.1253688259383527,99.6,-1.2080450446871747,-3.3751809019874774,99.8,-1.2080450446871747,-3.626826553289447,99.9,-1.2080450446871747,-3.8796562668531065,100.0,-1.2080450446871747,-4.13201794026803,100.0
30%,-0.7121659780120254,-0.6837302606610252,47.9,-0.7121659780120254,-0.7050789664253722,49.8,-0.7121659780120254,-0.7629894213953535,52.900000000000006,-0.7121659780120254,-0.8503406932234131,57.099999999999994,-0.7121659780120254,-0.956843024950682,63.800000000000004,-0.7121659780120254,-1.0807826985835995,69.8,-0.7121659780120254,-1.2114052422742247,76.1,-0.7121659780120254,-1.350205388078351,82.0,-0.7121659780120254,-1.4958377936441394,86.9,-0.7121659780120254,-1.6442194908935095,89.9,-0.7121659780120254,-1.7947618124777873,92.80000000000001,-0.7121659780120254,-1.9469178300022967,95.0,-0.7121659780120254,-2.1018113601817388,96.6,-0.7121659780120254,-2.258224853351555,97.8,-0.7121659780120254,-2.4160193561994325,98.9,-0.7121659780120254,-2.572449839134682,99.7
40%,-0.4176974941633902,-0.34120186509796635,45.2,-0.4176974941633902,-0.35135105976005343,45.7,-0.4176974941633902,-0.3777852263204531,47.5,-0.4176974941633902,-0.4208074489040559,50.4,-0.4176974941633902,-0.47352662140197577,53.0,-0.4176974941633902,-0.5319314066281144,56.2,-0.4176974941633902,-0.5955601100097663,60.4,-0.4176974941633902,-0.6651651847316916,64.0,-0.4176974941633902,-0.73276927932706,67.2,-0.4176974941633902,-0.8038532151068932,72.0,-0.4176974941633902,-0.8761315456829475,75.0,-0.4176974941633902,-0.949311321201303,78.7,-0.4176974941633902,-1.0240051880002667,81.10000000000001,-0.4176974941633902,-1.0995288129932665,83.0,-0.4176974941633902,-1.1749962245772632,84.8,-0.4176974941633902,-1.2494180133398518,87.1
50%,-0.08836859417401352,-0.018921144267114828,45.1,-0.08836859417401352,-0.01935382185180086,45.7,-0.08836859417401352,-0.019566798015621275,45.7,-0.08836859417401352,-0.020590145717766115,46.0,-0.08836859417401352,-0.020877445339677843,46.2,-0.08836859417401352,-0.021665489677394758,46.800000000000004,-0.08836859417401352,-0.023437989158566166,46.0,-0.08836859417401352,-0.0230703791920333,47.199999999999996,-0.08836859417401352,-0.022656454053808752,47.599999999999994,-0.08836859417401352,-0.0240727800029554,47.3,-0.08836859417401352,-0.025484196305731524,47.699999999999996,-0.08836859417401352,-0.026813758788093684,46.800000000000004,-0.08836859417401352,-0.02535445541528774,47.3,-0.08836859417401352,-0.02759923242172839,48.0,-0.08836859417401352,-0.028337107250560302,48.5,-0.08836859417401352,-0.02905553687227399,48.4
