,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (SCCCX),-0.3486933233771897,-0.3214666886198456,33.800000000000004,-0.3486933233771897,-0.35304154469719073,45.6,-0.3486933233771897,-0.40329821063546667,64.1,-0.3486933233771897,-0.46799130977270137,82.8,-0.3486933233771897,-0.542999388638754,95.39999999999999,-0.3486933233771897,-0.6240282789227208,99.5,-0.3486933233771897,-0.710289108017344,99.9,-0.3486933233771897,-0.800286018751998,100.0,-0.3486933233771897,-0.8931406319582993,100.0,-0.3486933233771897,-0.9877445421229547,100.0,-0.3486933233771897,-1.0837102625857409,100.0,-0.3486933233771897,-1.1806567115800457,100.0,-0.3486933233771897,-1.2781326271546267,100.0,-0.3486933233771897,-1.376123245275189,100.0,-0.3486933233771897,-1.474476175083796,100.0,-0.3486933233771897,-1.5731001852600834,100.0
2nd Worst (TSLCX),-0.3470362933602624,-0.287419805529927,22.6,-0.3470362933602624,-0.30472922534970076,28.7,-0.3470362933602624,-0.3399481886295807,40.8,-0.3470362933602624,-0.39007051466314485,66.5,-0.3470362933602624,-0.44963289545272345,86.5,-0.3470362933602624,-0.516374366104443,97.0,-0.3470362933602624,-0.587643883340342,99.4,-0.3470362933602624,-0.6615351616434728,100.0,-0.3470362933602624,-0.7375285598956925,100.0,-0.3470362933602624,-0.8154692661775869,100.0,-0.3470362933602624,-0.8944246541492007,100.0,-0.3470362933602624,-0.9743636331549528,100.0,-0.3470362933602624,-1.0549914870957795,100.0,-0.3470362933602624,-1.1363542275628506,100.0,-0.3470362933602624,-1.2185998349315976,100.0,-0.3470362933602624,-1.3013444904751945,100.0
3rd Worst (TCCRX),-0.30707572683975015,-0.2612902855614356,27.0,-0.30707572683975015,-0.2738298368137208,31.3,-0.30707572683975015,-0.3060554947376203,47.3,-0.30707572683975015,-0.35071465594282697,69.6,-0.30707572683975015,-0.406022188930581,89.9,-0.30707572683975015,-0.4676172693529703,98.2,-0.30707572683975015,-0.5329132246488795,99.7,-0.30707572683975015,-0.6007605342164559,100.0,-0.30707572683975015,-0.6703112133701268,100.0,-0.30707572683975015,-0.74070942476762,100.0,-0.30707572683975015,-0.8123420452128092,100.0,-0.30707572683975015,-0.8848452884148428,100.0,-0.30707572683975015,-0.9580278477297961,100.0,-0.30707572683975015,-1.0318869052754545,100.0,-0.30707572683975015,-1.1057089729037195,100.0,-0.30707572683975015,-1.1798114985035282,100.0
4th Worst (TSLAX),-0.28698599462377866,-0.24131495675240458,25.900000000000002,-0.28698599462377866,-0.2520650979388104,29.599999999999998,-0.28698599462377866,-0.2828797656331192,46.5,-0.28698599462377866,-0.32551140605780826,70.3,-0.28698599462377866,-0.3770228901733658,89.4,-0.28698599462377866,-0.43426792387000085,98.0,-0.28698599462377866,-0.49530384399124017,99.8,-0.28698599462377866,-0.5595513944808506,100.0,-0.28698599462377866,-0.624664401026131,100.0,-0.28698599462377866,-0.6908949429448509,100.0,-0.28698599462377866,-0.7578279515840243,100.0,-0.28698599462377866,-0.8255600379466679,100.0,-0.28698599462377866,-0.8938782036901901,100.0,-0.28698599462377866,-0.9623465336615403,100.0,-0.28698599462377866,-1.0311601015800367,100.0,-0.28698599462377866,-1.1000345670179954,100.0
5th Worst (ISMQX),-0.28665889779527154,-0.22662808302309043,19.1,-0.28665889779527154,-0.2376270066977097,21.5,-0.28665889779527154,-0.26681884880033824,37.2,-0.28665889779527154,-0.30719954630434904,60.6,-0.28665889779527154,-0.35535881559403504,83.8,-0.28665889779527154,-0.41045280176091015,95.89999999999999,-0.28665889779527154,-0.4682882067381703,99.4,-0.28665889779527154,-0.5279680333503084,100.0,-0.28665889779527154,-0.5896938240091014,100.0,-0.28665889779527154,-0.6529063165919188,100.0,-0.28665889779527154,-0.7167719451915586,100.0,-0.28665889779527154,-0.7811503519876355,100.0,-0.28665889779527154,-0.8458566695930032,100.0,-0.28665889779527154,-0.9108339615600015,100.0,-0.28665889779527154,-0.976110950496426,100.0,-0.28665889779527154,-1.041911475389922,100.0
10%,-0.18771755307224552,-0.12199489298659773,11.799999999999999,-0.18771755307224552,-0.12736479127682368,13.3,-0.18771755307224552,-0.14270328225887824,20.3,-0.18771755307224552,-0.1649077435070311,32.6,-0.18771755307224552,-0.19178250189913496,50.6,-0.18771755307224552,-0.22149086422794698,72.2,-0.18771755307224552,-0.2526770481017676,87.5,-0.18771755307224552,-0.2854102862421801,95.8,-0.18771755307224552,-0.3186720558004944,98.2,-0.18771755307224552,-0.3524884693194021,99.5,-0.18771755307224552,-0.38687822355656815,100.0,-0.18771755307224552,-0.4217584296242674,100.0,-0.18771755307224552,-0.4567395582130765,100.0,-0.18771755307224552,-0.4920625885249933,100.0,-0.18771755307224552,-0.5276800940387862,100.0,-0.18771755307224552,-0.5632968967528648,100.0
20%,-0.11606832412739299,-0.07919762535235055,23.9,-0.11606832412739299,-0.08286758508379663,25.2,-0.11606832412739299,-0.09260643256647907,31.1,-0.11606832412739299,-0.106521874706567,41.199999999999996,-0.11606832412739299,-0.12337063847284901,52.800000000000004,-0.11606832412739299,-0.1418507094735093,67.30000000000001,-0.11606832412739299,-0.16182672752457034,80.80000000000001,-0.11606832412739299,-0.18244006829873533,89.4,-0.11606832412739299,-0.20361450468035516,94.6,-0.11606832412739299,-0.22485758098393735,97.39999999999999,-0.11606832412739299,-0.2467055289800176,98.6,-0.11606832412739299,-0.2686608842569076,99.4,-0.11606832412739299,-0.2908415716439537,99.7,-0.11606832412739299,-0.3131711945691055,99.9,-0.11606832412739299,-0.33553878150062044,100.0,-0.11606832412739299,-0.35793034934057366,100.0
30%,-0.06980972498650309,-0.05065007668300214,34.599999999999994,-0.06980972498650309,-0.05276056032095316,35.199999999999996,-0.06980972498650309,-0.058642963925327404,39.800000000000004,-0.06980972498650309,-0.06712473608435843,45.6,-0.06980972498650309,-0.07737029021438283,53.7,-0.06980972498650309,-0.08850156245021554,62.0,-0.06980972498650309,-0.10062012692560285,72.8,-0.06980972498650309,-0.11293950722947634,80.0,-0.06980972498650309,-0.12566788389331432,85.9,-0.06980972498650309,-0.1387849345871362,91.4,-0.06980972498650309,-0.15220121686485677,94.0,-0.06980972498650309,-0.16540433878484925,96.2,-0.06980972498650309,-0.17895011432931415,97.39999999999999,-0.06980972498650309,-0.19254517433653875,98.0,-0.06980972498650309,-0.2060345541596722,98.7,-0.06980972498650309,-0.22002754294060414,99.2
40%,-0.017619082981548247,-0.026433040718626045,54.7,-0.017619082981548247,-0.02742129567695151,55.900000000000006,-0.017619082981548247,-0.0300612503260613,58.4,-0.017619082981548247,-0.03387243287303688,61.8,-0.017619082981548247,-0.03858490536171035,65.3,-0.017619082981548247,-0.044176872412596845,70.0,-0.017619082981548247,-0.05000943653440977,74.1,-0.017619082981548247,-0.05596801219552672,77.3,-0.017619082981548247,-0.06203896971672356,80.9,-0.017619082981548247,-0.06811388325041846,83.3,-0.017619082981548247,-0.0741754428540762,86.0,-0.017619082981548247,-0.080475634545387,88.7,-0.017619082981548247,-0.08702980950503555,90.9,-0.017619082981548247,-0.09332004070267189,91.9,-0.017619082981548247,-0.09966217060811457,92.9,-0.017619082981548247,-0.10621344208443767,94.1
50%,0.040722801995703745,-0.0037311710409717036,79.2,0.040722801995703745,-0.003327568862742302,79.2,0.040722801995703745,-0.0034122721873233505,79.9,0.040722801995703745,-0.0033002391673450696,79.9,0.040722801995703745,-0.0031792850808274255,80.10000000000001,0.040722801995703745,-0.003045415314540125,80.4,0.040722801995703745,-0.0030065652595338845,80.7,0.040722801995703745,-0.0028724897841393895,80.2,0.040722801995703745,-0.002696871972976813,80.0,0.040722801995703745,-0.002578059054811906,79.60000000000001,0.040722801995703745,-0.002525385532895229,80.10000000000001,0.040722801995703745,-0.0024199535714365156,78.9,0.040722801995703745,-0.0022663817952492185,78.5,0.040722801995703745,-0.0023851615900053755,78.10000000000001,0.040722801995703745,-0.002533543062044526,78.0,0.040722801995703745,-0.002563308324230447,78.2
