,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (SCCCX),-6.768869764846708,-3.2755700712060114,0.1,-6.768869764846708,-3.6938965788152243,0.3,-6.768869764846708,-4.317768821711285,1.9,-6.768869764846708,-5.091984626900777,7.000000000000001,-6.768869764846708,-5.969746851426569,24.8,-6.768869764846708,-6.922857251216554,51.4,-6.768869764846708,-7.922988698343502,78.0,-6.768869764846708,-8.957042618654926,93.89999999999999,-6.768869764846708,-10.013853337613043,98.5,-6.768869764846708,-11.086281991693388,99.6,-6.768869764846708,-12.171318486939494,99.9,-6.768869764846708,-13.26784361096245,99.9,-6.768869764846708,-14.37403352737719,100.0,-6.768869764846708,-15.4872430736235,100.0,-6.768869764846708,-16.605712231632335,100.0,-6.768869764846708,-17.727317797100735,100.0
2nd Worst (TCCRX),-6.0084828208311745,-3.135256636708384,0.5,-6.0084828208311745,-3.4043611006358496,0.6,-6.0084828208311745,-3.8916578828049446,2.1,-6.0084828208311745,-4.530822765244554,6.9,-6.0084828208311745,-5.284284557884308,22.2,-6.0084828208311745,-6.10320569865801,50.7,-6.0084828208311745,-6.974907562790908,80.4,-6.0084828208311745,-7.877299655718911,95.39999999999999,-6.0084828208311745,-8.80350747563413,98.8,-6.0084828208311745,-9.748974688428449,99.7,-6.0084828208311745,-10.710240192644433,99.9,-6.0084828208311745,-11.679343080292357,100.0,-6.0084828208311745,-12.653993158869245,100.0,-6.0084828208311745,-13.633597001656943,100.0,-6.0084828208311745,-14.616540848547112,100.0,-6.0084828208311745,-15.602558847804092,100.0
3rd Worst (ISMQX),-5.610810852895713,-3.0358602427096053,0.5,-5.610810852895713,-3.2220135967660974,0.8,-5.610810852895713,-3.6391544464410743,1.9,-5.610810852895713,-4.223212470572145,6.5,-5.610810852895713,-4.916595538578502,22.5,-5.610810852895713,-5.678772708362531,49.6,-5.610810852895713,-6.485549416229822,79.9,-5.610810852895713,-7.322516791216359,95.0,-5.610810852895713,-8.17739604948036,98.7,-5.610810852895713,-9.054593760299813,99.9,-5.610810852895713,-9.942360709597137,99.9,-5.610810852895713,-10.836659438212438,100.0,-5.610810852895713,-11.737202749623329,100.0,-5.610810852895713,-12.64130716343599,100.0,-5.610810852895713,-13.54927026928582,100.0,-5.610810852895713,-14.46293274274909,100.0
4th Worst (TASOX),-5.6085437482746485,-2.926393343234635,0.3,-5.6085437482746485,-3.071909126189533,0.4,-5.6085437482746485,-3.4545463923357547,1.3,-5.6085437482746485,-3.9981744892668414,3.8,-5.6085437482746485,-4.6546075406786676,14.299999999999999,-5.6085437482746485,-5.380308231906145,38.1,-5.6085437482746485,-6.138774437058489,69.1,-5.6085437482746485,-6.92751147129679,91.7,-5.6085437482746485,-7.734972468838798,97.7,-5.6085437482746485,-8.555615527412876,99.4,-5.6085437482746485,-9.387850011572963,99.9,-5.6085437482746485,-10.23188315958803,99.9,-5.6085437482746485,-11.08061799717077,100.0,-5.6085437482746485,-11.936062342412082,100.0,-5.6085437482746485,-12.794484056875593,100.0,-5.6085437482746485,-13.655182696498064,100.0
5th Worst (TCCFX),-5.605825022897559,-2.831155975260431,0.3,-5.605825022897559,-2.9486005959554697,0.3,-5.605825022897559,-3.3134289735033957,1.2,-5.605825022897559,-3.834027747245848,3.0,-5.605825022897559,-4.455320303821582,10.299999999999999,-5.605825022897559,-5.140146798378152,28.7,-5.605825022897559,-5.865749773562436,57.099999999999994,-5.605825022897559,-6.617049008799249,85.8,-5.605825022897559,-7.3915998215350776,96.8,-5.605825022897559,-8.171427309226797,99.0,-5.605825022897559,-8.962257481964398,99.9,-5.605825022897559,-9.761972057524106,99.9,-5.605825022897559,-10.570714854851005,100.0,-5.605825022897559,-11.387797334421482,100.0,-5.605825022897559,-12.211670725610881,100.0,-5.605825022897559,-13.037599092768964,100.0
10%,-2.7074786241430866,-1.6650322889713243,9.0,-2.7074786241430866,-1.7429860324527295,11.200000000000001,-2.7074786241430866,-1.9448195292697843,15.7,-2.7074786241430866,-2.243927379774376,25.3,-2.7074786241430866,-2.6033266689773327,41.8,-2.7074786241430866,-2.9973437879342275,62.1,-2.7074786241430866,-3.4167106343115092,81.89999999999999,-2.7074786241430866,-3.8546420974120186,92.5,-2.7074786241430866,-4.301798472795336,97.39999999999999,-2.7074786241430866,-4.756091407647145,99.3,-2.7074786241430866,-5.21673600329623,99.8,-2.7074786241430866,-5.682095909341064,100.0,-2.7074786241430866,-6.150552603425741,100.0,-2.7074786241430866,-6.621219475795528,100.0,-2.7074786241430866,-7.096774560111199,100.0,-2.7074786241430866,-7.571020122766052,100.0
20%,-1.7648325736252466,-1.1086584321486161,18.4,-1.7648325736252466,-1.1584133602859379,21.0,-1.7648325736252466,-1.2927034814540508,25.0,-1.7648325736252466,-1.4842349049664563,33.2,-1.7648325736252466,-1.7163257068830953,44.7,-1.7648325736252466,-1.9763648576048949,58.9,-1.7648325736252466,-2.2513979862963267,73.6,-1.7648325736252466,-2.536213710622418,85.5,-1.7648325736252466,-2.8293764652839846,91.7,-1.7648325736252466,-3.1288592200660816,96.3,-1.7648325736252466,-3.4292649043454118,98.2,-1.7648325736252466,-3.735044861982092,99.1,-1.7648325736252466,-4.044289577006379,99.7,-1.7648325736252466,-4.352372650052943,99.8,-1.7648325736252466,-4.666315946493525,100.0,-1.7648325736252466,-4.9773201077178415,100.0
30%,-0.9005307825720463,-0.7107633465384814,39.2,-0.9005307825720463,-0.7434321164715972,40.300000000000004,-0.9005307825720463,-0.8244500039987616,43.8,-0.9005307825720463,-0.9448613272125636,49.9,-0.9005307825720463,-1.0904325775144017,58.199999999999996,-0.9005307825720463,-1.251627109602544,67.30000000000001,-0.9005307825720463,-1.4174268413939508,75.9,-0.9005307825720463,-1.5908692930638233,83.3,-0.9005307825720463,-1.7706509615150694,88.6,-0.9005307825720463,-1.9560684224475218,92.5,-0.9005307825720463,-2.143102487299085,95.1,-0.9005307825720463,-2.3332977665291863,96.6,-0.9005307825720463,-2.524442143286255,97.8,-0.9005307825720463,-2.717819986733675,98.2,-0.9005307825720463,-2.9126498545773636,98.8,-0.9005307825720463,-3.1072233820049977,99.4
40%,-0.20240967011062558,-0.37657113049984686,57.699999999999996,-0.20240967011062558,-0.3887091751576869,58.8,-0.20240967011062558,-0.4265275468346931,61.199999999999996,-0.20240967011062558,-0.48419138328224004,63.800000000000004,-0.20240967011062558,-0.5517542366425038,67.5,-0.20240967011062558,-0.6299238460025604,72.5,-0.20240967011062558,-0.7107469816923424,75.8,-0.20240967011062558,-0.7978910466859079,79.3,-0.20240967011062558,-0.8818726508154968,82.5,-0.20240967011062558,-0.9706686332375069,84.6,-0.20240967011062558,-1.0586721088816604,88.0,-0.20240967011062558,-1.148228541121326,90.0,-0.20240967011062558,-1.2386942419409703,91.60000000000001,-0.20240967011062558,-1.3311780301671865,92.4,-0.20240967011062558,-1.4256098827378267,93.8,-0.20240967011062558,-1.5170420840662433,94.69999999999999
50%,0.4846259390108666,-0.06194504902744101,75.9,0.4846259390108666,-0.055272858489285176,76.4,0.4846259390108666,-0.055598314447493594,77.5,0.4846259390108666,-0.052775576699810776,77.3,0.4846259390108666,-0.05193949727468036,77.8,0.4846259390108666,-0.05142527120400045,77.60000000000001,0.4846259390108666,-0.049559321638118305,76.7,0.4846259390108666,-0.04945781428675336,76.9,0.4846259390108666,-0.04934080216659269,76.8,0.4846259390108666,-0.04729457557910784,76.5,0.4846259390108666,-0.04439414039180118,75.8,0.4846259390108666,-0.042600859821302545,75.3,0.4846259390108666,-0.041670299075517,74.3,0.4846259390108666,-0.04256711834235374,74.6,0.4846259390108666,-0.04432792439062478,74.8,0.4846259390108666,-0.044702046703767206,74.1
