,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (BOGSX),-0.630670363709271,-0.3893026124290932,12.3,-0.4106579103089008,13.3,-0.4446970833562153,17.599999999999998,-0.48868409620129605,23.1,-0.5403534929174364,31.900000000000002,-0.5977302405732717,42.3,-0.6596545482728438,51.5,-0.7251998719076128,62.9,-0.7939795407355953,73.0,-0.8652559669871984,81.69999999999999,-0.9384769605942928,88.1,-1.0128933960940971,92.5,-1.0882942963626003,95.39999999999999,-1.1647535520672196,97.5,-1.2419854274179574,98.6,-1.3198314849228128,99.4
2nd Worst (WIREX),-0.4304069373284978,-0.32991140840883265,28.299999999999997,-0.3489095663139515,32.1,-0.3775363140690166,37.5,-0.41308459913868556,44.5,-0.45413675490828487,52.300000000000004,-0.5002026916103905,61.3,-0.5501782079730422,70.8,-0.6042968465828581,80.80000000000001,-0.6604908137271075,87.3,-0.7179592120460486,92.10000000000001,-0.7768654059731701,94.69999999999999,-0.837257509152298,97.5,-0.8988017942930927,98.9,-0.9609531632289676,99.2,-1.023755700384251,99.8,-1.0870843433960236,99.9
3rd Worst (FDMCX),-0.32280549592225344,-0.30867279200130177,44.5,-0.3221046726492824,47.5,-0.34380229683715674,52.300000000000004,-0.37246279589059444,58.699999999999996,-0.40707781477576294,65.10000000000001,-0.44677698248694936,74.4,-0.4904531910441531,81.0,-0.536991658819433,87.3,-0.5857555470308451,91.2,-0.6369174762032536,94.89999999999999,-0.6901521344512821,97.89999999999999,-0.7443402831277194,98.6,-0.7992392071995807,99.6,-0.8545470104898975,99.8,-0.9105951626939722,100.0,-0.9673822303545103,100.0
4th Worst (RYICX),-0.3018232381891497,-0.2990320842999803,47.699999999999996,-0.3056020622581341,49.2,-0.32060497789919623,52.300000000000004,-0.34396247838556443,57.199999999999996,-0.3745538489184036,63.2,-0.4105320795299789,71.6,-0.4513355886004831,79.3,-0.4943265065996011,85.5,-0.5394890840955964,89.8,-0.585940874784247,93.7,-0.633515120663801,97.1,-0.6823067272043121,98.4,-0.7318891881868332,99.3,-0.7827440043494367,99.6,-0.8345345286577854,100.0,-0.8868878755307079,100.0
5th Worst (FDMTX),-0.27994316440852574,-0.28216791076739217,48.8,-0.286721202734577,49.3,-0.3013909498543227,52.6,-0.3229588243463489,57.8,-0.3509450245756266,63.4,-0.3840792572662557,71.1,-0.4208208615921483,78.0,-0.4607294875337794,84.1,-0.5025773693078388,89.1,-0.5459730115291085,93.10000000000001,-0.5903945022501075,96.2,-0.6356553463671445,98.0,-0.6822231568246206,99.0,-0.7300064413364116,99.6,-0.7779856707306878,99.9,-0.8261182876517599,99.9
10%,-0.21816625567721132,-0.19507005847628012,44.1,-0.19840012925838696,44.800000000000004,-0.2080126792334936,46.9,-0.22358292681515368,50.9,-0.24391797139057575,55.60000000000001,-0.26798319817694644,60.099999999999994,-0.29389862793191557,66.2,-0.3218375587582401,72.2,-0.3511374682924301,77.9,-0.38197568984134367,84.2,-0.41379523321415246,89.2,-0.4466419398047173,92.5,-0.47929471260267953,94.6,-0.5124973523109189,96.5,-0.5461428063514167,97.8,-0.5798967337507961,98.5
20%,-0.13256241700707525,-0.12593727971078536,47.4,-0.1278628477863831,47.9,-0.13423867729206665,49.3,-0.1450585210876651,52.900000000000006,-0.15880453688209395,55.900000000000006,-0.17470023545130228,60.099999999999994,-0.1914057825044622,63.7,-0.21027923179167748,69.89999999999999,-0.22911942367633656,73.5,-0.24885027051938624,76.1,-0.26978776441921626,80.4,-0.290400584336825,83.39999999999999,-0.31139739658438653,86.8,-0.3330001588803083,89.3,-0.3547076448305671,92.80000000000001,-0.37678113288702925,94.5
30%,-0.0776206911128598,-0.07885353519279142,49.4,-0.08017018806422675,50.2,-0.08468923641168245,50.7,-0.09127304427083231,52.300000000000004,-0.09908182116364289,54.800000000000004,-0.10860454892982532,57.199999999999996,-0.1191125712748817,59.8,-0.13035107966179,63.0,-0.14220685255879137,65.8,-0.15483553647701104,69.39999999999999,-0.16735048818569415,72.0,-0.18014751272433266,73.7,-0.19338384099715872,75.6,-0.20682795849483174,78.3,-0.22053578379996902,81.10000000000001,-0.23454641733705522,83.0
40%,-0.03198150620191849,-0.04071260727283631,52.1,-0.04137068366018571,52.1,-0.04315766745806753,52.1,-0.046172494314924296,52.900000000000006,-0.04985881526798596,53.300000000000004,-0.054881040814732045,55.00000000000001,-0.06005092312732683,56.89999999999999,-0.06561852265095994,58.199999999999996,-0.07140912466197892,59.599999999999994,-0.07753869616654117,61.1,-0.08400625173027605,63.6,-0.09032886269697918,65.10000000000001,-0.09645381568842414,66.10000000000001,-0.10283602577275365,67.10000000000001,-0.10954612349896342,68.0,-0.11601133294536271,69.69999999999999
50%,0.05269596798746008,-0.006128480209313231,64.7,-0.005552398969278259,64.1,-0.005427257538192351,64.8,-0.005166629904269176,64.9,-0.005279091291861329,65.3,-0.005193984131661495,64.7,-0.005037546495221968,64.4,-0.005335937161789188,64.1,-0.005393839519239435,64.5,-0.005150953578583223,64.4,-0.005169017637618136,64.2,-0.005313760190206505,64.0,-0.005648542956917834,63.5,-0.005837411446946757,63.5,-0.005877676402490403,63.7,-0.005868745587914489,63.800000000000004
