,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (BOGSX),-3.2904163103513104,-2.2827018083680395,18.2,-3.2904163103513104,-2.4482702370166307,22.5,-3.2904163103513104,-2.68506549225086,29.599999999999998,-3.2904163103513104,-2.9754860476876237,38.800000000000004,-3.2904163103513104,-3.3082927596146545,49.2,-3.2904163103513104,-3.6729899468727734,61.7,-3.2904163103513104,-4.064247172851465,71.6,-3.2904163103513104,-4.476085522574914,80.4,-3.2904163103513104,-4.902268017062484,89.0,-3.2904163103513104,-5.341072135663331,93.2,-3.2904163103513104,-5.789051789539146,96.5,-3.2904163103513104,-6.24632671567591,98.5,-3.2904163103513104,-6.710454551548044,99.0,-3.2904163103513104,-7.180041396471656,99.8,-3.2904163103513104,-7.653383195239485,99.9,-3.2904163103513104,-8.130240619882729,99.9
2nd Worst (WIREX),-2.3213260710210806,-2.059086470755934,40.300000000000004,-2.3213260710210806,-2.181610602738697,45.0,-2.3213260710210806,-2.3703260011644987,50.0,-2.3213260710210806,-2.598438407673694,58.5,-2.3213260710210806,-2.866529763552392,67.30000000000001,-2.3213260710210806,-3.166819617886547,76.0,-2.3213260710210806,-3.490455996683918,84.39999999999999,-2.3213260710210806,-3.8327902644183225,88.8,-2.3213260710210806,-4.192720907230607,94.39999999999999,-2.3213260710210806,-4.5614078838810475,97.3,-2.3213260710210806,-4.939640745665473,98.7,-2.3213260710210806,-5.32269109825749,99.2,-2.3213260710210806,-5.7102641150791955,99.6,-2.3213260710210806,-6.1026906516923205,99.9,-2.3213260710210806,-6.4998865613985295,100.0,-2.3213260710210806,-6.9005667615854,100.0
3rd Worst (IFOCX),-2.032271273607801,-1.962474705167428,45.7,-2.032271273607801,-2.04578366834417,49.6,-2.032271273607801,-2.1901360553000075,53.6,-2.032271273607801,-2.3844430053899304,61.199999999999996,-2.032271273607801,-2.614936269419083,69.1,-2.032271273607801,-2.878100190030449,77.4,-2.032271273607801,-3.1683549852297763,82.39999999999999,-2.032271273607801,-3.4831159167810535,89.0,-2.032271273607801,-3.808255156156789,93.4,-2.032271273607801,-4.142112538533405,96.89999999999999,-2.032271273607801,-4.483905803810011,98.4,-2.032271273607801,-4.834213529511992,99.3,-2.032271273607801,-5.189578435560182,99.8,-2.032271273607801,-5.549189926415919,99.8,-2.032271273607801,-5.911936285272045,99.9,-2.032271273607801,-6.278058360600231,100.0
4th Worst (FDMCX),-1.9806722519643516,-1.9035846773763556,44.9,-1.9806722519643516,-1.9534644554302012,47.8,-1.9806722519643516,-2.0688106443133836,51.300000000000004,-1.9806722519643516,-2.236392521578083,57.199999999999996,-1.9806722519643516,-2.444236407952302,64.5,-1.9806722519643516,-2.6810535837893257,72.39999999999999,-1.9806722519643516,-2.9444231453680576,79.80000000000001,-1.9806722519643516,-3.2239601087966645,86.0,-1.9806722519643516,-3.5169076061474525,90.5,-1.9806722519643516,-3.8262999818092216,94.69999999999999,-1.9806722519643516,-4.145993974427669,97.39999999999999,-1.9806722519643516,-4.468952818578291,98.6,-1.9806722519643516,-4.798160854742692,99.5,-1.9806722519643516,-5.131620118290406,99.8,-1.9806722519643516,-5.469285306915906,99.8,-1.9806722519643516,-5.809308376491728,100.0
5th Worst (RYICX),-1.723864037283773,-1.8164137746668647,51.6,-1.723864037283773,-1.8575983178112887,53.400000000000006,-1.723864037283773,-1.955441686653723,56.3,-1.723864037283773,-2.107459252989663,61.199999999999996,-1.723864037283773,-2.2973277918283808,67.4,-1.723864037283773,-2.517826422110196,75.1,-1.723864037283773,-2.762342247485355,81.69999999999999,-1.723864037283773,-3.022341582754077,87.2,-1.723864037283773,-3.3027483540743847,91.60000000000001,-1.723864037283773,-3.590916093906454,95.5,-1.723864037283773,-3.885623166999789,97.3,-1.723864037283773,-4.187180605022129,98.4,-1.723864037283773,-4.496830849128108,99.5,-1.723864037283773,-4.810942185063659,99.7,-1.723864037283773,-5.127209191128453,100.0,-1.723864037283773,-5.445583294277949,100.0
10%,-1.4261027280411618,-1.3040633639495995,45.5,-1.4261027280411618,-1.3246713646181412,46.7,-1.4261027280411618,-1.3915084595577627,48.3,-1.4261027280411618,-1.4954315312461217,52.6,-1.4261027280411618,-1.6333548088105403,56.699999999999996,-1.4261027280411618,-1.7981870990976778,61.5,-1.4261027280411618,-1.977383680679484,67.9,-1.4261027280411618,-2.1713329695703516,74.3,-1.4261027280411618,-2.3748771939522086,80.0,-1.4261027280411618,-2.584577170431379,85.39999999999999,-1.4261027280411618,-2.800891228772929,89.8,-1.4261027280411618,-3.019021697300547,92.2,-1.4261027280411618,-3.240025907853552,94.89999999999999,-1.4261027280411618,-3.4655308321402836,96.8,-1.4261027280411618,-3.6937466020274767,98.1,-1.4261027280411618,-3.9240219817901556,98.9
20%,-0.8298594940250756,-0.8636453491222847,50.6,-0.8298594940250756,-0.8728914741085709,50.8,-0.8298594940250756,-0.9188700234093872,53.0,-0.8298594940250756,-0.9958910750548864,55.7,-0.8298594940250756,-1.0902949460302436,59.099999999999994,-0.8298594940250756,-1.1978056565164708,63.1,-0.8298594940250756,-1.3165508155303456,67.2,-0.8298594940250756,-1.4412277452448252,71.1,-0.8298594940250756,-1.5723315524915629,74.9,-0.8298594940250756,-1.7064762386401962,78.60000000000001,-0.8298594940250756,-1.8463981031258847,82.5,-0.8298594940250756,-1.9909133527185585,85.7,-0.8298594940250756,-2.1372346743458204,89.2,-0.8298594940250756,-2.2859967544272095,90.9,-0.8298594940250756,-2.436868876362781,93.30000000000001,-0.8298594940250756,-2.5894761349542077,94.8
30%,-0.6050111061310242,-0.544675946836347,47.3,-0.6050111061310242,-0.5564068642709366,47.599999999999994,-0.6050111061310242,-0.5881274973099027,48.8,-0.6050111061310242,-0.6336885389002922,50.7,-0.6050111061310242,-0.6890778066958635,52.400000000000006,-0.6050111061310242,-0.7531183284398741,54.50000000000001,-0.6050111061310242,-0.8246797549401156,56.49999999999999,-0.6050111061310242,-0.9034103953595225,60.8,-0.6050111061310242,-0.9837630702665391,62.8,-0.6050111061310242,-1.0715343073991652,66.2,-0.6050111061310242,-1.1578548357418181,69.69999999999999,-0.6050111061310242,-1.2457321496505669,71.89999999999999,-0.6050111061310242,-1.336323447666386,73.9,-0.6050111061310242,-1.4284221252801277,76.7,-0.6050111061310242,-1.5217326509822973,79.10000000000001,-0.6050111061310242,-1.6162149834041264,81.89999999999999
40%,-0.17700733959898735,-0.28357880049689754,53.400000000000006,-0.17700733959898735,-0.2920290074706231,53.300000000000004,-0.17700733959898735,-0.3047301807627075,53.800000000000004,-0.17700733959898735,-0.3259836555736948,54.300000000000004,-0.17700733959898735,-0.35237860763166073,55.50000000000001,-0.17700733959898735,-0.38520468966974203,57.4,-0.17700733959898735,-0.4205968763949959,58.3,-0.17700733959898735,-0.46037308384192865,59.4,-0.17700733959898735,-0.49852366738232,61.3,-0.17700733959898735,-0.5386472245267192,63.2,-0.17700733959898735,-0.5849065913180804,65.2,-0.17700733959898735,-0.6295714063428134,65.9,-0.17700733959898735,-0.6725906322295766,67.7,-0.17700733959898735,-0.7153868246047318,68.5,-0.17700733959898735,-0.7616877489198245,69.8,-0.17700733959898735,-0.8078655040408266,71.1
50%,0.3968977831029068,-0.04749875640652773,66.2,0.3968977831029068,-0.04347132606033871,65.8,0.3968977831029068,-0.0437655106690403,65.60000000000001,0.3968977831029068,-0.04278748458912014,66.3,0.3968977831029068,-0.042909964448717926,66.2,0.3968977831029068,-0.04278144967165859,66.10000000000001,0.3968977831029068,-0.04110494114527036,65.60000000000001,0.3968977831029068,-0.040755328870191336,65.4,0.3968977831029068,-0.04017591709217352,65.3,0.3968977831029068,-0.03791205334456441,65.4,0.3968977831029068,-0.03864732446487727,64.8,0.3968977831029068,-0.04121052823089102,65.0,0.3968977831029068,-0.04561147169938604,65.3,0.3968977831029068,-0.049443462550884956,64.60000000000001,0.3968977831029068,-0.04992085960575113,64.4,0.3968977831029068,-0.049089938153760455,65.0
