,Actual,Sim Avg,%<Act,Sim Avg (0.10),%<Act (0.10),Sim Avg (0.20),%<Act (0.20),Sim Avg (0.30),%<Act (0.30),Sim Avg (0.40),%<Act (0.40),Sim Avg (0.50),%<Act (0.50),Sim Avg (0.60),%<Act (0.60),Sim Avg (0.70),%<Act (0.70),Sim Avg (0.80),%<Act (0.80),Sim Avg (0.90),%<Act (0.90),Sim Avg (1.00),%<Act (1.00),Sim Avg (1.10),%<Act (1.10),Sim Avg (1.20),%<Act (1.20),Sim Avg (1.30),%<Act (1.30),Sim Avg (1.40),%<Act (1.40),Sim Avg (1.50),%<Act (1.50)
Worst (PUTBX),-0.049356094466553785,-0.17278316014684214,74.5,-0.19862281634116227,78.4,-0.23719178218082954,84.39999999999999,-0.28298485815368324,89.8,-0.33401252653615016,93.7,-0.38847322426167397,96.89999999999999,-0.4453037989465767,98.3,-0.5039411905798239,99.7,-0.5640142302363562,99.8,-0.6252567465065826,99.9,-0.6872977969464064,100.0,-0.7498423769482263,100.0,-0.81282766173111,100.0,-0.8762253449910195,100.0,-0.9400157617783981,100.0,-1.004123102342074,100.0
2nd Worst (PUTCX),-0.04876892541397776,-0.1530005354392388,70.8,-0.16987674721161913,74.3,-0.1981834232266767,78.10000000000001,-0.23466242062745704,84.6,-0.2749214446610784,88.9,-0.3189011717381837,92.60000000000001,-0.36559202503889626,95.5,-0.4140194296001968,97.7,-0.46394412441327804,98.8,-0.5144331635157334,99.3,-0.565378638225928,99.9,-0.6172459835257244,99.9,-0.66964588351318,100.0,-0.7224313478487999,100.0,-0.7755397236625492,100.0,-0.8288863186904704,100.0
3rd Worst (PUTMX),-0.02829786924907196,-0.14027789987618652,72.5,-0.15272952623386546,74.8,-0.17468797545522874,77.8,-0.20414442562523255,82.6,-0.23913551690122475,86.7,-0.2776584860966695,90.9,-0.31867485366661563,95.0,-0.361151017699285,96.89999999999999,-0.40446894231908154,98.1,-0.4486471942481759,98.9,-0.49374184726539716,99.2,-0.5392353500947845,99.5,-0.5852102336713054,99.8,-0.6314122763901228,99.9,-0.6777856783109767,99.9,-0.7244536964960855,100.0
4th Worst (PULRX),-0.007148815500868114,-0.13653007056376423,75.2,-0.13964130518817802,76.7,-0.15593993074850312,78.60000000000001,-0.1814771958626393,83.1,-0.21325624694519432,86.6,-0.24799006201562782,91.0,-0.28489059664227806,93.7,-0.32308249357923413,96.3,-0.3617670846797065,97.3,-0.40147607392061535,98.5,-0.4417384995762842,98.9,-0.4823955871437747,99.5,-0.5233679284606301,99.7,-0.5646605794971571,99.9,-0.6060676252838162,100.0,-0.6474827057233724,100.0
5th Worst (PUGIX),0.013581168501861113,-0.12392069762741263,77.10000000000001,-0.12748767475494507,77.7,-0.1423066189929847,80.9,-0.16447314405222804,83.7,-0.19284588638363107,87.2,-0.22432401790629372,91.3,-0.25729532333159527,93.8,-0.2917594203936846,95.89999999999999,-0.3276605651001743,97.0,-0.363926146194086,98.1,-0.40037182333865884,98.9,-0.4373309409211977,99.4,-0.4744797265565618,99.7,-0.5118077155935791,99.8,-0.5495213026348436,99.9,-0.58754656278917,100.0
10%,0.02800971040886087,-0.11349457190438358,78.7,-0.11645518563273001,78.9,-0.12947835919927814,81.3,-0.1494139484720195,83.89999999999999,-0.1746770790051379,86.8,-0.2032919191576394,90.4,-0.23359630133800452,93.5,-0.26462809278991994,95.39999999999999,-0.29706929470095317,96.7,-0.33037045504150575,97.3,-0.36419234903415837,98.5,-0.3979666060170495,99.0,-0.43210273641568814,99.6,-0.4663981882561443,99.7,-0.5006983533889549,99.9,-0.5350123427661497,100.0
20%,0.10804388611184595,-0.0662188186782398,84.39999999999999,-0.07136438325316538,85.7,-0.08158512850147502,87.0,-0.09518769162722895,88.6,-0.11134351508841378,90.2,-0.12954116228721466,91.7,-0.14824975783609998,93.60000000000001,-0.16822204552471293,94.89999999999999,-0.18917993501474922,95.89999999999999,-0.21083698545120375,96.89999999999999,-0.23273767866505557,97.7,-0.2546650657362379,98.2,-0.2771524341137476,98.7,-0.2999932669795577,99.1,-0.32279997139806654,99.4,-0.3454566839173218,99.7
30%,0.1652095832895676,-0.03842785649372533,89.5,-0.04072125608969739,89.60000000000001,-0.04532872842257044,89.8,-0.05344299378968522,90.5,-0.06335387874107345,91.5,-0.07403306560437528,92.5,-0.08623898879228764,93.7,-0.09899186690969483,94.3,-0.11234798094156463,95.19999999999999,-0.1258234347879958,95.6,-0.139414452943605,96.2,-0.15327794459210634,96.2,-0.16727214580134298,96.6,-0.18138897053224762,96.89999999999999,-0.19533738609508206,97.3,-0.20960526646894448,97.5
40%,0.2051590587661446,-0.012559034845032412,89.9,-0.012749969034673079,90.3,-0.015079699596056796,90.7,-0.018510791544859344,91.10000000000001,-0.022529279989999332,91.5,-0.028543958466048628,91.9,-0.035257413407413965,92.80000000000001,-0.0411253094399269,92.9,-0.047817450426682145,92.9,-0.054207223330025985,93.2,-0.060579856528416784,94.0,-0.06706739323509865,94.39999999999999,-0.07389684640626706,94.5,-0.08085858640819149,94.69999999999999,-0.08807008625002695,94.8,-0.09521214327761328,95.19999999999999
50%,0.22695519156146257,0.014607976826662507,89.60000000000001,0.014081122063765023,89.60000000000001,0.014163891316707804,90.10000000000001,0.01458655843830723,89.8,0.013873366126137163,89.8,0.014063105888865167,90.2,0.013430037003595506,89.9,0.013631613751062968,89.60000000000001,0.01350435446292138,89.5,0.01322526070813363,89.5,0.013176556824212454,89.2,0.013394750902145872,88.7,0.013590500839241805,88.2,0.013501849403703903,88.0,0.013326273193637399,87.4,0.013127161277048192,87.2
