,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00),Actual (1.10),Sim Avg (1.10),%<Act (1.10),Actual (1.20),Sim Avg (1.20),%<Act (1.20),Actual (1.30),Sim Avg (1.30),%<Act (1.30),Actual (1.40),Sim Avg (1.40),%<Act (1.40),Actual (1.50),Sim Avg (1.50),%<Act (1.50)
Worst (PUTBX),-0.35095428743115126,-1.1641641207420963,74.2,-0.35095428743115126,-1.347001824297473,78.3,-0.35095428743115126,-1.6239677917448234,84.5,-0.35095428743115126,-1.9589247167898372,90.3,-0.35095428743115126,-2.3293014081363226,93.89999999999999,-0.35095428743115126,-2.7218296570801925,96.6,-0.35095428743115126,-3.1318883571178704,98.2,-0.35095428743115126,-3.55550765394721,99.6,-0.35095428743115126,-3.9875623592290546,99.8,-0.35095428743115126,-4.426622948648956,99.9,-0.35095428743115126,-4.871190234224994,100.0,-0.35095428743115126,-5.319805886575686,100.0,-0.35095428743115126,-5.772004216467214,100.0,-0.35095428743115126,-6.225830788362173,100.0,-0.35095428743115126,-6.681484023357397,100.0,-0.35095428743115126,-7.138821270689817,100.0
2nd Worst (PUTCX),-0.3468213135955523,-1.0401766817881084,70.89999999999999,-0.3468213135955523,-1.1620051775507427,74.6,-0.3468213135955523,-1.3676446661590522,78.2,-0.3468213135955523,-1.6241803599502405,84.39999999999999,-0.3468213135955523,-1.9126820315255946,89.1,-0.3468213135955523,-2.226823266993146,92.60000000000001,-0.3468213135955523,-2.557866227427699,95.5,-0.3468213135955523,-2.9034347053001275,97.6,-0.3468213135955523,-3.258539085969819,98.7,-0.3468213135955523,-3.6198870877813385,99.4,-0.3468213135955523,-3.9853510819800033,99.9,-0.3468213135955523,-4.354292274141832,99.9,-0.3468213135955523,-4.725749630437653,100.0,-0.3468213135955523,-5.10080442616942,100.0,-0.3468213135955523,-5.477929936926397,100.0,-0.3468213135955523,-5.856788555462028,100.0
3rd Worst (PUTMX),-0.20127424153539933,-0.9532726530986207,72.39999999999999,-0.20127424153539933,-1.04392996875127,75.1,-0.20127424153539933,-1.2041136333206537,77.60000000000001,-0.20127424153539933,-1.4202442616663953,82.8,-0.20127424153539933,-1.6722117775323828,87.4,-0.20127424153539933,-1.9485141559293186,91.2,-0.20127424153539933,-2.236809446992733,94.69999999999999,-0.20127424153539933,-2.5352339983294754,96.8,-0.20127424153539933,-2.8427993850702995,98.1,-0.20127424153539933,-3.157608601729786,98.9,-0.20127424153539933,-3.4768931190189245,99.3,-0.20127424153539933,-3.79926728456814,99.5,-0.20127424153539933,-4.1254540920822365,99.8,-0.20127424153539933,-4.452800416379823,99.9,-0.20127424153539933,-4.782452537968464,100.0,-0.20127424153539933,-5.113943516209915,100.0
4th Worst (PULRX),-0.05076237238395155,-0.9259756377859986,75.3,-0.05076237238395155,-0.958968884741055,76.7,-0.05076237238395155,-1.084370391013124,78.8,-0.05076237238395155,-1.2710782916086711,83.1,-0.05076237238395155,-1.4974113748427753,86.8,-0.05076237238395155,-1.7459269836069033,90.7,-0.05076237238395155,-2.0110414297832118,93.60000000000001,-0.05076237238395155,-2.2843458603081723,96.3,-0.05076237238395155,-2.566787267183872,97.3,-0.05076237238395155,-2.8523143927667243,98.5,-0.05076237238395155,-3.141553573182852,98.9,-0.05076237238395155,-3.4347982984661067,99.5,-0.05076237238395155,-3.729683157739171,99.7,-0.05076237238395155,-4.027975544209602,99.9,-0.05076237238395155,-4.328391901522778,100.0,-0.05076237238395155,-4.627377783295206,100.0
5th Worst (PUGIX),0.09653395572070748,-0.8384134012686772,77.0,0.09653395572070748,-0.8719790792010621,77.8,0.09653395572070748,-0.991312883120865,81.0,0.09653395572070748,-1.149320630137565,83.7,0.09653395572070748,-1.3514400756714726,87.3,0.09653395572070748,-1.5787855223513345,91.2,0.09653395572070748,-1.8215520313557572,93.7,0.09653395572070748,-2.0757043912770694,96.1,0.09653395572070748,-2.330939032754488,97.0,0.09653395572070748,-2.5893878299229933,98.1,0.09653395572070748,-2.8523312610138456,98.9,0.09653395572070748,-3.1189963059021975,99.4,0.09653395572070748,-3.3873149504525046,99.7,0.09653395572070748,-3.6567880994080353,99.8,0.09653395572070748,-3.926921199867143,99.9,0.09653395572070748,-4.198884766683983,100.0
10%,0.19899048685373083,-0.7734221804286894,78.3,0.19899048685373083,-0.798617845837222,78.60000000000001,0.19899048685373083,-0.8984302285743899,81.10000000000001,0.19899048685373083,-1.0504630420136067,83.7,0.19899048685373083,-1.2327251129190029,86.8,0.19899048685373083,-1.4371512726287374,90.0,0.19899048685373083,-1.6589531294690922,93.5,0.19899048685373083,-1.8859643772847587,95.39999999999999,0.19899048685373083,-2.1198542890413026,96.5,0.19899048685373083,-2.358784292432477,97.3,0.19899048685373083,-2.600808236422533,98.3,0.19899048685373083,-2.8458501367283833,99.0,0.19899048685373083,-3.0937304494397493,99.5,0.19899048685373083,-3.3434149350904394,99.7,0.19899048685373083,-3.595278109550807,99.9,0.19899048685373083,-3.849044318017533,99.9
20%,0.6406977672709809,-0.44827371252568526,80.30000000000001,0.6406977672709809,-0.4894681069333494,81.39999999999999,0.6406977672709809,-0.561898455157369,83.89999999999999,0.6406977672709809,-0.6603776481950597,85.5,0.6406977672709809,-0.7836645196469687,87.6,0.6406977672709809,-0.9166996325146137,89.3,0.6406977672709809,-1.0552410134583843,91.10000000000001,0.6406977672709809,-1.2057202009595729,93.10000000000001,0.6406977672709809,-1.360428562289851,94.8,0.6406977672709809,-1.5184535976283946,95.89999999999999,0.6406977672709809,-1.6791203740377945,96.7,0.6406977672709809,-1.840130820091631,97.2,0.6406977672709809,-2.0036638356000664,97.8,0.6406977672709809,-2.1699141558024677,98.7,0.6406977672709809,-2.33734276705069,99.0,0.6406977672709809,-2.5048821512394834,99.3
30%,1.0729108774609541,-0.2512802164514123,86.9,1.0729108774609541,-0.2693980627898237,86.9,1.0729108774609541,-0.3080305537228344,87.4,1.0729108774609541,-0.36905527505790225,88.5,1.0729108774609541,-0.4436501771376131,89.60000000000001,1.0729108774609541,-0.5204653858687871,90.5,1.0729108774609541,-0.607809084256801,91.60000000000001,1.0729108774609541,-0.7016092515793587,92.4,1.0729108774609541,-0.8012639102909697,94.0,1.0729108774609541,-0.8968445877426214,94.69999999999999,1.0729108774609541,-0.9984413531883506,95.1,1.0729108774609541,-1.099801022799166,95.5,1.0729108774609541,-1.2013007912553266,95.89999999999999,1.0729108774609541,-1.3023824754388988,96.1,1.0729108774609541,-1.4041721896677026,96.3,1.0729108774609541,-1.5060083195984866,96.89999999999999
40%,1.57113145485994,-0.06869310550704638,91.2,1.57113145485994,-0.07046025499315929,91.0,1.57113145485994,-0.08488132635057656,91.0,1.57113145485994,-0.11372295507330682,91.2,1.57113145485994,-0.14331357624796714,92.2,1.57113145485994,-0.18611677570400934,92.9,1.57113145485994,-0.2346559275121018,93.10000000000001,1.57113145485994,-0.2792405877483815,93.10000000000001,1.57113145485994,-0.3280671479496349,93.4,1.57113145485994,-0.3758848580821093,93.60000000000001,1.57113145485994,-0.42228295252785814,94.0,1.57113145485994,-0.472721309466703,94.8,1.57113145485994,-0.5260191162877919,94.89999999999999,1.57113145485994,-0.5779023627516645,95.0,1.57113145485994,-0.6302105454583066,95.1,1.57113145485994,-0.6827594575841998,95.3
50%,1.6598388485938935,0.1220901045769117,89.4,1.6598388485938935,0.11875683620601234,89.2,1.6598388485938935,0.1210755056539162,89.4,1.6598388485938935,0.1250857098557557,89.7,1.6598388485938935,0.122124239187384,89.5,1.6598388485938935,0.12002973896289293,89.3,1.6598388485938935,0.1158853381948058,89.2,1.6598388485938935,0.11656017587007403,89.1,1.6598388485938935,0.11514287779442706,88.8,1.6598388485938935,0.11478669625549594,88.6,1.6598388485938935,0.11343182691317849,88.3,1.6598388485938935,0.11370987141010276,88.1,1.6598388485938935,0.11216930192275068,87.5,1.6598388485938935,0.11202696334785138,87.5,1.6598388485938935,0.11237654569185923,87.5,1.6598388485938935,0.1116338521804084,87.7
