,Actual,Sim Avg,%<Act,Actual (0.10),Sim Avg (0.10),%<Act (0.10),Actual (0.20),Sim Avg (0.20),%<Act (0.20),Actual (0.30),Sim Avg (0.30),%<Act (0.30),Actual (0.40),Sim Avg (0.40),%<Act (0.40),Actual (0.50),Sim Avg (0.50),%<Act (0.50),Actual (0.60),Sim Avg (0.60),%<Act (0.60),Actual (0.70),Sim Avg (0.70),%<Act (0.70),Actual (0.80),Sim Avg (0.80),%<Act (0.80),Actual (0.90),Sim Avg (0.90),%<Act (0.90),Actual (1.00),Sim Avg (1.00),%<Act (1.00)
Worst (AMRBX),-0.6522606714578872,-0.45749822682569463,9.8,-0.6522606714578872,-0.506734761766219,13.8,-0.6522606714578872,-0.5974645526840129,28.199999999999996,-0.6522606714578872,-0.7166256824278661,58.599999999999994,-0.6522606714578872,-0.8506104729992429,90.0,-0.6522606714578872,-0.9953367421402047,99.2,-0.6522606714578872,-1.1474700856413762,100.0,-0.6522606714578872,-1.3039221072379694,100.0,-0.6522606714578872,-1.463453610046024,100.0,-0.6522606714578872,-1.6251495959714868,100.0,-0.6522606714578872,-1.7894568178561057,100.0
2nd Worst (AMRCX),-0.6488488423414197,-0.3953618219843008,1.4000000000000001,-0.6488488423414197,-0.4346009244495151,3.4000000000000004,-0.6488488423414197,-0.5101065199821146,9.2,-0.6488488423414197,-0.6102436243274335,30.8,-0.6488488423414197,-0.7259530213329217,73.0,-0.6488488423414197,-0.8517540527989652,97.0,-0.6488488423414197,-0.9833979084607928,100.0,-0.6488488423414197,-1.1190656098130667,100.0,-0.6488488423414197,-1.25778849229583,100.0,-0.6488488423414197,-1.3990236589084548,100.0,-0.6488488423414197,-1.540330614407756,100.0
3rd Worst (AMRAX),-0.5902155986399823,-0.3812222996272251,3.0,-0.5902155986399823,-0.40664182959689027,4.0,-0.5902155986399823,-0.4729653829558337,10.4,-0.5902155986399823,-0.5642662168413838,35.4,-0.5902155986399823,-0.6722533066802978,80.4,-0.5902155986399823,-0.7873360439900472,99.2,-0.5902155986399823,-0.9078071804127146,100.0,-0.5902155986399823,-1.032986167024223,100.0,-0.5902155986399823,-1.1600271325907374,100.0,-0.5902155986399823,-1.2884727046696658,100.0,-0.5902155986399823,-1.4189428655449852,100.0
4th Worst (AMRGX),-0.5638959575115917,-0.3611704987875862,2.0,-0.5638959575115917,-0.38497834473864156,3.0,-0.5638959575115917,-0.4469379233767115,8.200000000000001,-0.5638959575115917,-0.5336541553706439,32.4,-0.5638959575115917,-0.6336973692920029,78.60000000000001,-0.5638959575115917,-0.7421725775334042,99.2,-0.5638959575115917,-0.8575511974093966,100.0,-0.5638959575115917,-0.9755904365000586,100.0,-0.5638959575115917,-1.0948334145222292,100.0,-0.5638959575115917,-1.2150274960973442,100.0,-0.5638959575115917,-1.335709106257996,100.0
5th Worst (NQCCX),-0.4140165642058119,-0.3443496434857874,18.4,-0.4140165642058119,-0.3688387497520257,26.200000000000003,-0.4140165642058119,-0.42924109865963656,54.800000000000004,-0.4140165642058119,-0.5111465403394874,91.60000000000001,-0.4140165642058119,-0.6079958595284777,99.6,-0.4140165642058119,-0.7119591817957692,100.0,-0.4140165642058119,-0.8200858013818758,100.0,-0.4140165642058119,-0.9310689406556505,100.0,-0.4140165642058119,-1.0446745642259494,100.0,-0.4140165642058119,-1.1603063571221928,100.0,-0.4140165642058119,-1.277984085625592,100.0
10%,-0.1421469853577425,-0.11130332966035675,20.599999999999998,-0.1421469853577425,-0.11731585762324119,23.200000000000003,-0.1421469853577425,-0.13370437891830722,37.8,-0.1421469853577425,-0.15713232952934925,65.0,-0.1421469853577425,-0.18477926060498834,90.0,-0.1421469853577425,-0.21526343312828605,98.6,-0.1421469853577425,-0.2475146612151836,100.0,-0.1421469853577425,-0.280910965168062,100.0,-0.1421469853577425,-0.31482364481929687,100.0,-0.1421469853577425,-0.3491840521838323,100.0,-0.1421469853577425,-0.38411742373762026,100.0
20%,-0.09335416996073259,-0.0690120568056457,22.8,-0.09335416996073259,-0.0724368663532981,26.0,-0.09335416996073259,-0.08206511698965464,35.0,-0.09335416996073259,-0.095959341821245,52.0,-0.09335416996073259,-0.112582858111592,73.6,-0.09335416996073259,-0.13092282694238733,89.2,-0.09335416996073259,-0.1503078700031407,97.0,-0.09335416996073259,-0.17037367144913335,99.6,-0.09335416996073259,-0.1907719423719077,100.0,-0.09335416996073259,-0.21155299396937619,100.0,-0.09335416996073259,-0.23270222374555186,100.0
30%,-0.05606247255012124,-0.0413032045995883,29.799999999999997,-0.05606247255012124,-0.04324849498567133,31.8,-0.05606247255012124,-0.04876523691016345,38.6,-0.05606247255012124,-0.056812371897556106,50.4,-0.05606247255012124,-0.06644743681575327,65.2,-0.05606247255012124,-0.07699924069652435,78.4,-0.05606247255012124,-0.08822781781307666,88.0,-0.05606247255012124,-0.09992710264776294,93.8,-0.05606247255012124,-0.11203085898930996,98.0,-0.05606247255012124,-0.12417791381113043,99.4,-0.05606247255012124,-0.13651653757431473,100.0
40%,-0.028311817027843775,-0.01974760123840424,35.8,-0.028311817027843775,-0.02058345560902922,37.2,-0.028311817027843775,-0.022945724367679887,40.6,-0.028311817027843775,-0.026578771725998863,46.2,-0.028311817027843775,-0.030923679616129855,54.800000000000004,-0.028311817027843775,-0.0357253620567693,64.60000000000001,-0.028311817027843775,-0.04089261234866717,70.8,-0.028311817027843775,-0.04621101398572662,77.0,-0.028311817027843775,-0.05156799859827303,82.8,-0.028311817027843775,-0.05705027198409064,88.2,-0.028311817027843775,-0.06262739017561043,91.4
50%,-0.0041194913257412286,-0.0006746194441100109,45.4,-0.0041194913257412286,-0.0006696767209793204,44.6,-0.0041194913257412286,-0.0006155035262542344,44.6,-0.0041194913257412286,-0.0006947205981264322,45.2,-0.0041194913257412286,-0.0007052730172485903,45.0,-0.0041194913257412286,-0.0007766668064709874,44.6,-0.0041194913257412286,-0.0007982580599606852,45.0,-0.0041194913257412286,-0.0007208197537583283,44.6,-0.0041194913257412286,-0.0007714285728389453,45.2,-0.0041194913257412286,-0.0007764939906695723,45.2,-0.0041194913257412286,-0.0007776454939902133,45.2
